measurement_id:ID,:LABEL,label,notes
MEAS_PE002001_1921_EUR_BELGIAN,E16_Measurement,EUR_BELGIAN for PE002001 in 1921,
MEAS_PE002001_1921_EUR_DUTCH,E16_Measurement,EUR_DUTCH for PE002001 in 1921,
MEAS_PE002001_1921_ASIA_SYRIAN,E16_Measurement,ASIA_SYRIAN for PE002001 in 1921,
MEAS_PE002001_1921_NEGRO,E16_Measurement,NEGRO for PE002001 in 1921,
MEAS_PE002002_1921_POP_TOT,E16_Measurement,POP_TOT for PE002002 in 1921,
MEAS_PE002002_1921_BRIT_ENG,E16_Measurement,BRIT_ENG for PE002002 in 1921,
MEAS_PE002002_1921_BRIT_IRISH,E16_Measurement,BRIT_IRISH for PE002002 in 1921,
MEAS_PE002002_1921_BRIT_SCOTCH,E16_Measurement,BRIT_SCOTCH for PE002002 in 1921,
MEAS_PE002002_1921_BRIT_OTHER,E16_Measurement,BRIT_OTHER for PE002002 in 1921,
MEAS_PE002002_1921_EUR_FRENCH,E16_Measurement,EUR_FRENCH for PE002002 in 1921,
MEAS_PE002002_1921_EUR_DUTCH,E16_Measurement,EUR_DUTCH for PE002002 in 1921,
MEAS_PE002002_1921_EUR_HEBREW,E16_Measurement,EUR_HEBREW for PE002002 in 1921,
MEAS_PE002002_1921_ASIA_SYRIAN,E16_Measurement,ASIA_SYRIAN for PE002002 in 1921,
MEAS_PE002003_1921_POP_TOT,E16_Measurement,POP_TOT for PE002003 in 1921,
MEAS_PE002003_1921_BRIT_ENG,E16_Measurement,BRIT_ENG for PE002003 in 1921,
MEAS_PE002003_1921_BRIT_IRISH,E16_Measurement,BRIT_IRISH for PE002003 in 1921,
MEAS_PE002003_1921_BRIT_SCOTCH,E16_Measurement,BRIT_SCOTCH for PE002003 in 1921,
MEAS_PE002003_1921_BRIT_OTHER,E16_Measurement,BRIT_OTHER for PE002003 in 1921,
MEAS_PE002003_1921_EUR_FRENCH,E16_Measurement,EUR_FRENCH for PE002003 in 1921,
MEAS_PE002003_1921_EUR_ITALIAN,E16_Measurement,EUR_ITALIAN for PE002003 in 1921,
MEAS_PE002004_1921_POP_TOT,E16_Measurement,POP_TOT for PE002004 in 1921,
MEAS_PE002004_1921_BRIT_ENG,E16_Measurement,BRIT_ENG for PE002004 in 1921,
MEAS_PE002004_1921_BRIT_IRISH,E16_Measurement,BRIT_IRISH for PE002004 in 1921,
MEAS_PE002004_1921_BRIT_SCOTCH,E16_Measurement,BRIT_SCOTCH for PE002004 in 1921,
MEAS_PE002004_1921_BRIT_OTHER,E16_Measurement,BRIT_OTHER for PE002004 in 1921,
MEAS_PE002004_1921_EUR_FRENCH,E16_Measurement,EUR_FRENCH for PE002004 in 1921,
MEAS_PE002004_1921_EUR_GERMAN,E16_Measurement,EUR_GERMAN for PE002004 in 1921,
MEAS_PE002004_1921_EUR_ITALIAN,E16_Measurement,EUR_ITALIAN for PE002004 in 1921,
MEAS_PE002005_1921_POP_TOT,E16_Measurement,POP_TOT for PE002005 in 1921,
MEAS_PE002005_1921_BRIT_ENG,E16_Measurement,BRIT_ENG for PE002005 in 1921,
MEAS_PE002005_1921_BRIT_IRISH,E16_Measurement,BRIT_IRISH for PE002005 in 1921,
MEAS_PE002005_1921_BRIT_SCOTCH,E16_Measurement,BRIT_SCOTCH for PE002005 in 1921,
MEAS_PE002005_1921_EUR_FRENCH,E16_Measurement,EUR_FRENCH for PE002005 in 1921,
MEAS_PE002005_1921_EUR_DUTCH,E16_Measurement,EUR_DUTCH for PE002005 in 1921,
MEAS_PE002005_1921_EUR_ITALIAN,E16_Measurement,EUR_ITALIAN for PE002005 in 1921,
MEAS_PE002006_1921_POP_TOT,E16_Measurement,POP_TOT for PE002006 in 1921,
MEAS_PE002006_1921_BRIT_ENG,E16_Measurement,BRIT_ENG for PE002006 in 1921,
MEAS_PE002006_1921_BRIT_IRISH,E16_Measurement,BRIT_IRISH for PE002006 in 1921,
MEAS_PE002006_1921_BRIT_SCOTCH,E16_Measurement,BRIT_SCOTCH for PE002006 in 1921,
MEAS_PE002006_1921_EUR_FRENCH,E16_Measurement,EUR_FRENCH for PE002006 in 1921,
MEAS_PE002006_1921_EUR_GERMAN,E16_Measurement,EUR_GERMAN for PE002006 in 1921,
MEAS_PE002007_1921_POP_TOT,E16_Measurement,POP_TOT for PE002007 in 1921,
MEAS_PE002007_1921_BRIT_ENG,E16_Measurement,BRIT_ENG for PE002007 in 1921,
MEAS_PE002007_1921_BRIT_IRISH,E16_Measurement,BRIT_IRISH for PE002007 in 1921,
MEAS_PE002007_1921_BRIT_SCOTCH,E16_Measurement,BRIT_SCOTCH for PE002007 in 1921,
MEAS_PE002007_1921_EUR_FRENCH,E16_Measurement,EUR_FRENCH for PE002007 in 1921,
MEAS_PE002008_1921_POP_TOT,E16_Measurement,POP_TOT for PE002008 in 1921,
MEAS_PE002008_1921_BRIT_ENG,E16_Measurement,BRIT_ENG for PE002008 in 1921,
MEAS_PE002008_1921_BRIT_IRISH,E16_Measurement,BRIT_IRISH for PE002008 in 1921,
MEAS_PE002008_1921_BRIT_SCOTCH,E16_Measurement,BRIT_SCOTCH for PE002008 in 1921,
MEAS_PE002008_1921_EUR_FRENCH,E16_Measurement,EUR_FRENCH for PE002008 in 1921,
MEAS_PE002008_1921_EUR_DUTCH,E16_Measurement,EUR_DUTCH for PE002008 in 1921,
MEAS_PE002008_1921_EUR_GERMAN,E16_Measurement,EUR_GERMAN for PE002008 in 1921,
MEAS_PE002009_1921_POP_TOT,E16_Measurement,POP_TOT for PE002009 in 1921,
MEAS_PE002009_1921_BRIT_ENG,E16_Measurement,BRIT_ENG for PE002009 in 1921,
MEAS_PE002009_1921_BRIT_IRISH,E16_Measurement,BRIT_IRISH for PE002009 in 1921,
MEAS_PE002009_1921_BRIT_SCOTCH,E16_Measurement,BRIT_SCOTCH for PE002009 in 1921,
MEAS_PE002009_1921_BRIT_OTHER,E16_Measurement,BRIT_OTHER for PE002009 in 1921,
MEAS_PE002009_1921_EUR_FRENCH,E16_Measurement,EUR_FRENCH for PE002009 in 1921,
MEAS_PE002010_1921_POP_TOT,E16_Measurement,POP_TOT for PE002010 in 1921,
