dimension_id:ID,:LABEL,value:float,value_string
DIM_AB001013_1911_AUSTRO_HUNGARIAN,E54_Dimension,3.0,
DIM_AB001013_1911_BULGARIAN_AND_RUMANIAN,E54_Dimension,2.0,
DIM_AB001013_1911_CHINESE,E54_Dimension,6.0,
DIM_AB001013_1911_DUTCH,E54_Dimension,1.0,
DIM_AB001013_1911_SCANDINAVIAN,E54_Dimension,2.0,
DIM_AB001013_1911_UNSPECIFIED,E54_Dimension,16.0,
DIM_AB001014_1911_CSD_TYPE,E54_Dimension,,VL
DIM_AB001014_1911_BRIT_ENGLISH,E54_Dimension,121.0,
DIM_AB001014_1911_BRIT_IRISH,E54_Dimension,50.0,
DIM_AB001014_1911_BRIT_SCOTCH,E54_Dimension,110.0,
DIM_AB001014_1911_BRIT_OTHER,E54_Dimension,8.0,
DIM_AB001014_1911_FRENCH,E54_Dimension,27.0,
DIM_AB001014_1911_GERMAN,E54_Dimension,8.0,
DIM_AB001014_1911_AUSTRO_HUNGARIAN,E54_Dimension,10.0,
DIM_AB001014_1911_BELGIAN,E54_Dimension,26.0,
DIM_AB001014_1911_CHINESE,E54_Dimension,7.0,
DIM_AB001014_1911_ITALIAN,E54_Dimension,1.0,
DIM_AB001014_1911_POLISH,E54_Dimension,1.0,
DIM_AB001014_1911_RUSSIAN,E54_Dimension,3.0,
DIM_AB001014_1911_SCANDINAVIAN,E54_Dimension,9.0,
DIM_AB001014_1911_UNSPECIFIED,E54_Dimension,14.0,
DIM_AB001015_1911_CSD_TYPE,E54_Dimension,,VL
DIM_AB001015_1911_BRIT_ENGLISH,E54_Dimension,48.0,
DIM_AB001015_1911_BRIT_IRISH,E54_Dimension,14.0,
DIM_AB001015_1911_BRIT_SCOTCH,E54_Dimension,53.0,
DIM_AB001015_1911_BRIT_OTHER,E54_Dimension,1.0,
DIM_AB001015_1911_GERMAN,E54_Dimension,15.0,
DIM_AB001015_1911_CHINESE,E54_Dimension,6.0,
DIM_AB001015_1911_POLISH,E54_Dimension,5.0,
DIM_AB001015_1911_SCANDINAVIAN,E54_Dimension,8.0,
DIM_AB001015_1911_UNSPECIFIED,E54_Dimension,112.0,
DIM_AB001016_1911_CSD_TYPE,E54_Dimension,,VL
DIM_AB001016_1911_BRIT_ENGLISH,E54_Dimension,85.0,
DIM_AB001016_1911_BRIT_IRISH,E54_Dimension,8.0,
