tcpuid_1881,csd_name_1881,cd_name_1881,pr_1881,tcpuid_1891,csd_name_1891,cd_name_1891,pr_1891,relationship,iou,frac_from,frac_to,name_similarity
NS014004,Ohio,Yarmouth,NS,NS044010,Hebron,Yarmouth,NS,CONTAINS,0.27,0.27,1.0,58.0
NS014004,Ohio,Yarmouth,NS,NS044015,Port Maitland,Yarmouth,NS,CONTAINS,0.29,0.29,1.0,46.47
NS014004,Ohio,Yarmouth,NS,NS044014,Ohio,Yarmouth,NS,CONTAINS,0.44,0.44,1.0,100.0
NS014010,Pubnico,Yarmouth,NS,NS044018,Pubnico W-O,Yarmouth,NS,CONTAINS,0.0991,0.0991,1.0,84.44
NS014010,Pubnico,Yarmouth,NS,NS044016,Pubnico E,Yarmouth,NS,CONTAINS,0.7241,0.7241,1.0,91.25
NS014010,Pubnico,Yarmouth,NS,NS044017,Pubnico Head,Yarmouth,NS,CONTAINS,0.1768,0.1768,1.0,81.58
NS014008,Tusket,Yarmouth,NS,NS044011,Islands,Yarmouth,NS,CONTAINS,0.1098,0.1098,1.0,40.77
NS014008,Tusket,Yarmouth,NS,NS044021,Tusket,Yarmouth,NS,CONTAINS,0.3387,0.3387,1.0,100.0
NS014008,Tusket,Yarmouth,NS,NS044003,Belleville,Yarmouth,NS,CONTAINS,0.5516,0.5516,1.0,38.75
NS016999,NO DATA,Annapolis,NS,NS026999,NO DATA,Annapolis,NS,SAME_AS,1.0,1.0,1.0,100.0
NS005999,NO DATA,Victoria,NS,NS043999,NO DATA,Victoria,NS,SAME_AS,1.0,1.0,1.0,100.0
NS015999,NO DATA,Digby,NS,NS031999,NO DATA,Digby,NS,SAME_AS,1.0,1.0,1.0,100.0
NS008999,NO DATA,Guysborough,NS,NS032999,NO DATA,Guysborough,NS,SAME_AS,1.0,1.0,1.0,100.0
NS018999,NO DATA,Hants,NS,NS035999,NO DATA,Hants,NS,SAME_AS,1.0,1.0,1.0,100.0
NS004999,NO DATA,Inverness,NS,NS036999,NO DATA,Inverness,NS,SAME_AS,1.0,1.0,1.0,100.0
NS020999,NO DATA,Pictou,NS,NS039999,NO DATA,Pictou,NS,SAME_AS,1.0,1.0,1.0,100.0
NS013999,NO DATA,Shelburne,NS,NS042999,NO DATA,Shelburne,NS,SAME_AS,1.0,1.0,1.0,100.0
NS017008,Wolfville,King's,NS,NS037008,Wolfville,King’s,NS,SAME_AS,1.0,1.0,1.0,95.0
NS017013,Berwick,King's,NS,NS037013,Berwick,King’s,NS,SAME_AS,1.0,1.0,1.0,95.0
NS017003,Centreville,King's,NS,NS037003,Centreville,King’s,NS,SAME_AS,1.0,1.0,1.0,95.0
NS017010,Aylesford S,King's,NS,NS037010,Aylesford S,King’s,NS,SAME_AS,1.0,1.0,1.0,95.0
NS017007,Gaspereau,King's,NS,NS037007,Gaspereaux,King’s,NS,SAME_AS,1.0,1.0,1.0,91.32
NS017009,Lower Horton,King's,NS,NS037009,Lower Horton,King’s,NS,SAME_AS,1.0,1.0,1.0,95.0
NS022013,"Mills, Village",Cumberland,NS,NS030009,"Parrsboro', Town—Ville",Cumberland,NS,CONTAINS,0.0316,0.0316,1.0,61.11
NS020025,Westville,Pictou,NS,NS039027,Westville,Pictou,NS,SAME_AS,1.0,1.0,1.0,100.0
NS017001,Canning,King's,NS,NS037001,Canning,King’s,NS,SAME_AS,1.0,1.0,1.0,95.0
NS005006,Boularderie,Victoria,NS,NS043004,Boularderie,Victoria,NS,SAME_AS,1.0,1.0,1.0,100.0
NS010999,NO DATA,Halifax (County-Comté),NS,NS034999,NO DATA,"Halifax, City—Cité",NS,SAME_AS,1.0,1.0,1.0,91.0
NS009008,Sable Island,Halifax (City-Ville),NS,NS033007,Sable Island,"Halifax, City—Cité",NS,SAME_AS,1.0,1.0,1.0,90.53
NS007002,Petit De Grat,Richmond,NS,NS041002,Arichat E,Richmond,NS,CONTAINS,0.5584,0.5584,1.0,55.45
NS007002,Petit De Grat,Richmond,NS,NS041009,Petit de Grat,Richmond,NS,CONTAINS,0.4416,0.4416,1.0,100.0
NS018012,Maitland,Hants,NS,NS035006,Five Mile River,Hants,NS,CONTAINS,0.4553,0.4553,1.0,48.26
NS018012,Maitland,Hants,NS,NS035018,South Maitland,Hants,NS,CONTAINS,0.1814,0.1814,1.0,80.91
NS018012,Maitland,Hants,NS,NS035016,Selmah,Hants,NS,CONTAINS,0.2219,0.2219,1.0,50.0
NS018012,Maitland,Hants,NS,NS035011,Maitland,Hants,NS,CONTAINS,0.1414,0.1414,1.0,100.0
NS014002,Chebogue,Yarmouth,NS,NS044006,Chegoggin,Yarmouth,NS,CONTAINS,0.3177,0.3177,1.0,71.18
NS014002,Chebogue,Yarmouth,NS,NS044001,Areadia,Yarmouth,NS,CONTAINS,0.2383,0.2383,1.0,39.33
NS014003,Yarmouth,Yarmouth,NS,NS044020,South End,Yarmouth,NS,CONTAINS,0.046,0.046,1.0,62.94
NS014003,Yarmouth,Yarmouth,NS,NS044007,Court House,Yarmouth,NS,CONTAINS,0.0199,0.0199,1.0,59.47
NS014003,Yarmouth,Yarmouth,NS,NS044009,Exchange Building,Yarmouth,NS,CONTAINS,0.0234,0.0234,1.0,41.2
NS014003,Yarmouth,Yarmouth,NS,NS044013,Milton,Yarmouth,NS,CONTAINS,0.6135,0.6135,1.0,50.0
NS014003,Yarmouth,Yarmouth,NS,NS044005,"Centre, Town—Ville",Yarmouth,NS,CONTAINS,0.028,0.028,1.0,40.77
NS006007,East Bay S,Cape Breton,NS,NS028008,East Bay N & S,Cape Breton,NS,WITHIN,0.5398,1.0,0.5398,88.33
NS006006,East Bay N,Cape Breton,NS,NS028008,East Bay N & S,Cape Breton,NS,WITHIN,0.4602,1.0,0.4602,88.33
NS014999,NO DATA,Yarmouth,NS,NS044999,NO DATA,Yarmouth,NS,SAME_AS,1.0,1.0,1.0,100.0
NS020008,Harwood Hill,Pictou,NS,NS039012,Hardwood Hill,Pictou,NS,WITHIN,0.4678,1.0,0.4678,97.2
NS009003,"Halifax, Ward—Quartier No. 3",Halifax (City-Ville),NS,NS033003,"Halifax, Ward—Quartier No. 3","Halifax, City—Cité",NS,WITHIN,0.2712,1.0,0.2712,90.53
NS009004,"Halifax, Ward—Quartier No. 4",Halifax (City-Ville),NS,NS033003,"Halifax, Ward—Quartier No. 3","Halifax, City—Cité",NS,WITHIN,0.1364,1.0,0.1364,88.03
NS020017,New Glasgow,Pictou,NS,NS039001,Abercrombie,Pictou,NS,CONTAINS,0.6749,0.6749,1.0,42.73
NS010013,"Dartmouth, Town—Ville",Halifax (County-Comté),NS,NS034028,"Dartmouth, Town—Ville","Halifax, City—Cité",NS,WITHIN,0.0933,1.0,0.0933,91.0
NS012001,Local District No. 1,Queens,NS,NS040008,Liverpool,Queen's,NS,WITHIN,0.3699,1.0,0.3699,47.0
PE003010,Township No. 38,King's,PE,PE134002,Township No. 38,King’s,PE,SAME_AS,1.0,1.0,1.0,95.0
PE003009,Township No. 39,King's,PE,PE134003,Township No. 39,King’s,PE,SAME_AS,1.0,1.0,1.0,95.0
PE003008,Township No. 40,King's,PE,PE134004,Township No. 40,King’s,PE,SAME_AS,1.0,1.0,1.0,95.0
PE003007,Township No. 41,King's,PE,PE134005,Township No. 41,King’s,PE,SAME_AS,1.0,1.0,1.0,95.0
