person_id,dcb_url,dcb_url_en,dcb_url_fr,dcb_label_en,dcb_label_fr,in_cohort
lincs:0BgFKbRYjBn,http://www.biographi.ca/en/bio/daniel_thomas_wilder_12E.html,http://www.biographi.ca/en/bio/daniel_thomas_wilder_12E.html,http://www.biographi.ca/fr/bio/daniel_thomas_wilder_12F.html,English DCB biography of Thomas Wilder Daniel,Biographie en anglais du DBC de Thomas Wilder Daniel,1
lincs:0BkUzozAure,http://www.biographi.ca/en/bio/rine_david_isaac_kirwin_11E.html,http://www.biographi.ca/en/bio/rine_david_isaac_kirwin_11E.html,http://www.biographi.ca/fr/bio/rine_david_isaac_kirwin_11F.html,English DCB biography of David Isaac Kirwin Rine,,1
lincs:0CS7KNtjuF3,http://www.biographi.ca/en/bio/muiron_david_bernard_3E.html,http://www.biographi.ca/en/bio/muiron_david_bernard_3E.html,http://www.biographi.ca/fr/bio/muiron_david_bernard_3F.html,English DCB biography of David-Bernard Muiron,,0
lincs:0E3HVyqa24j,http://www.biographi.ca/en/bio/hendrie_william_13E.html,http://www.biographi.ca/en/bio/hendrie_william_13E.html,http://www.biographi.ca/fr/bio/hendrie_william_13F.html,English DCB biography of William Hendrie,Biographie en anglais du DBC de William Hendrie,1
lincs:0ERZqSplc9G,http://www.biographi.ca/en/bio/burch_john_4E.html,http://www.biographi.ca/en/bio/burch_john_4E.html,http://www.biographi.ca/fr/bio/burch_john_4F.html,English DCB biography of John Burch,Biographie en anglais du DBC de John Burch,0
lincs:0ETaf7ID9Sa,http://www.biographi.ca/en/bio/bourgeaux_eugene_10E.html,http://www.biographi.ca/en/bio/bourgeaux_eugene_10E.html,http://www.biographi.ca/fr/bio/bourgeaux_eugene_10F.html,English DCB biography of Eugène Bourgeaux,Biographie en anglais du DBC de Eugène Bourgeaux,1
lincs:0Ffq69OMTC6,http://www.biographi.ca/en/bio/chanter_thomas_burnard_10E.html,http://www.biographi.ca/en/bio/chanter_thomas_burnard_10E.html,http://www.biographi.ca/fr/bio/chanter_thomas_burnard_10F.html,French DCB biography of Thomas Burnard Chanter,Biographie française du DBC de Thomas Burnard Chanter,1
lincs:0Fm8cO0xQdt,http://www.biographi.ca/en/bio/mcgillivray_alexander_9E.html,http://www.biographi.ca/en/bio/mcgillivray_alexander_9E.html,http://www.biographi.ca/fr/bio/mcgillivray_alexander_9F.html,English DCB biography of Alexander McGillivray,,1
lincs:0Ijej66nTM7,http://www.biographi.ca/en/bio/breithaupt_ezra_carl_12E.html,http://www.biographi.ca/en/bio/breithaupt_ezra_carl_12E.html,http://www.biographi.ca/fr/bio/breithaupt_ezra_carl_12F.html,English DCB biography of Ezra Carl Breithaupt,Biographie en anglais du DBC de Ezra Carl Breithaupt,1
lincs:0ImU99JakMX,http://www.biographi.ca/en/bio/rees_william_10E.html,http://www.biographi.ca/en/bio/rees_william_10E.html,http://www.biographi.ca/fr/bio/rees_william_10F.html,English DCB biography of William Rees,Biographie en anglais du DBC de William Rees,1
lincs:0J73tlx2YLV,http://www.biographi.ca/en/bio/calvarin_goulven_2E.html,http://www.biographi.ca/en/bio/calvarin_goulven_2E.html,http://www.biographi.ca/fr/bio/calvarin_goulven_2F.html,English DCB biography of Goulven Calvarin,Biographie en anglais du DBC de Goulven Calvarin,0
lincs:0JspVMQWCaF,http://www.biographi.ca/en/bio/amantacha_1E.html,http://www.biographi.ca/en/bio/amantacha_1E.html,http://www.biographi.ca/fr/bio/amantacha_1F.html,French DCB biography of Amantacha,Biographie française du DBC de  Amantacha,0
lincs:0KVPwPsoANv,http://www.biographi.ca/en/bio/guernon_francois_5E.html,http://www.biographi.ca/en/bio/guernon_francois_5E.html,http://www.biographi.ca/fr/bio/guernon_francois_5F.html,English DCB biography of François Guernon,,0
lincs:0Kg0SSzupt7,http://www.biographi.ca/en/bio/levasseur_pierre_1E.html,http://www.biographi.ca/en/bio/levasseur_pierre_1E.html,http://www.biographi.ca/fr/bio/levasseur_pierre_1F.html,English DCB biography of Pierre Levasseur,Biographie en anglais du DBC de Pierre Levasseur,0
lincs:0Kwz5b8m9eE,http://www.biographi.ca/en/bio/willis_alexander_parker_16E.html,http://www.biographi.ca/en/bio/willis_alexander_parker_16E.html,http://www.biographi.ca/fr/bio/willis_alexander_parker_16F.html,English DCB biography of Alexander Parker Willis,Biographie en anglais du DBC de Alexander Parker Willis,1
lincs:0L4Kuvykenq,http://www.biographi.ca/en/bio/cabazie_pierre_2E.html,http://www.biographi.ca/en/bio/cabazie_pierre_2E.html,http://www.biographi.ca/fr/bio/cabazie_pierre_2F.html,English DCB biography of Pierre Cabazié,Biographie en anglais du DBC de Pierre Cabazié,0
lincs:0MhjyKcEmLc,http://www.biographi.ca/en/bio/lauverjat_etienne_3E.html,http://www.biographi.ca/en/bio/lauverjat_etienne_3E.html,http://www.biographi.ca/fr/bio/lauverjat_etienne_3F.html,English DCB biography of Étienne Lauverjat,,0
lincs:0QA1k6z4VIU,http://www.biographi.ca/en/bio/nelles_abram_11E.html,http://www.biographi.ca/en/bio/nelles_abram_11E.html,http://www.biographi.ca/fr/bio/nelles_abram_11F.html,French DCB biography of Abram Nelles,Biographie française du DBC de Abram Nelles,1
lincs:0Qjb0lmWNrn,http://www.biographi.ca/en/bio/bruyere_regis_16E.html,http://www.biographi.ca/en/bio/bruyere_regis_16E.html,http://www.biographi.ca/fr/bio/bruyere_regis_16F.html,English DCB biography of Régis Bruyère,Biographie en anglais du DBC de Régis Bruyère,1
lincs:0Qnd12ZDgHJ,http://www.biographi.ca/en/bio/mcrae_john_william_13E.html,http://www.biographi.ca/en/bio/mcrae_john_william_13E.html,http://www.biographi.ca/fr/bio/mcrae_john_william_13F.html,English DCB biography of John William McRae,Biographie en anglais du DBC de John William McRae,1
lincs:0RLLrSdCCKO,http://www.biographi.ca/en/bio/mccann_rosanna_9E.html,http://www.biographi.ca/en/bio/mccann_rosanna_9E.html,http://www.biographi.ca/fr/bio/mccann_rosanna_9F.html,English DCB biography of Rosanna McCann,,1
lincs:0SQL7zVZEMt,http://www.biographi.ca/en/bio/desdevens_de_glandons_maurice_4E.html,http://www.biographi.ca/en/bio/desdevens_de_glandons_maurice_4E.html,http://www.biographi.ca/fr/bio/desdevens_de_glandons_maurice_4F.html,English DCB biography of Maurice Desdevens de Glandons,Biographie en anglais du DBC de Maurice Desdevens de Glandons,0
lincs:0TAdNe63Du9,http://www.biographi.ca/en/bio/peers_henry_newsham_9E.html,http://www.biographi.ca/en/bio/peers_henry_newsham_9E.html,http://www.biographi.ca/fr/bio/peers_henry_newsham_9F.html,English DCB biography of Henry Newsham Peers,Biographie en anglais du DBC de Henry Newsham Peers,1
lincs:0UAx1ZRc6ze,http://www.biographi.ca/en/bio/parks_john_hegan_13E.html,http://www.biographi.ca/en/bio/parks_john_hegan_13E.html,http://www.biographi.ca/fr/bio/parks_john_hegan_13F.html,English DCB biography of John Hegan Parks,Biographie en anglais du DBC de John Hegan Parks,1
lincs:0Y2NoK3XNcY,http://www.biographi.ca/en/bio/arcand_narcisse_15E.html,http://www.biographi.ca/en/bio/arcand_narcisse_15E.html,http://www.biographi.ca/fr/bio/arcand_narcisse_15F.html,English DCB biography of Narcisse Arcand,,1
lincs:0YH6VN8Jjyy,http://www.biographi.ca/en/bio/paradis_jean_2E.html,http://www.biographi.ca/en/bio/paradis_jean_2E.html,http://www.biographi.ca/fr/bio/paradis_jean_2F.html,French DCB biography of Jean Paradis,Biographie française du DBC de Jean Paradis,0
lincs:0Yg5ggOqfsl,http://www.biographi.ca/en/bio/fletcher_edward_taylor_12E.html,http://www.biographi.ca/en/bio/fletcher_edward_taylor_12E.html,http://www.biographi.ca/fr/bio/fletcher_edward_taylor_12F.html,English DCB biography of Edward Taylor Fletcher,Biographie en anglais du DBC de Edward Taylor Fletcher,1
lincs:0aRuhRfKBZt,http://www.biographi.ca/en/bio/danielou_jean_pierre_3E.html,http://www.biographi.ca/en/bio/danielou_jean_pierre_3E.html,http://www.biographi.ca/fr/bio/danielou_jean_pierre_3F.html,English DCB biography of Jean-Pierre Daniélou,Biographie en anglais du DBC de Jean-Pierre Daniélou,0
lincs:0dIcg3BArTl,http://www.biographi.ca/en/bio/kinonge_2E.html,http://www.biographi.ca/en/bio/kinonge_2E.html,http://www.biographi.ca/fr/bio/kinonge_2F.html,French DCB biography of Kinongé,Biographie française du DBC de  Kinongé,0
lincs:0ea7zTTJNL7,http://www.biographi.ca/en/bio/kamakura_yoichi_14E.html,http://www.biographi.ca/en/bio/kamakura_yoichi_14E.html,http://www.biographi.ca/fr/bio/kamakura_yoichi_14F.html,English DCB biography of Yoichi Kamakura,Biographie en anglais du DBC de Yoichi Kamakura,1
lincs:0gB5gHOYAbS,http://www.biographi.ca/en/bio/curran_william_henry_15E.html,http://www.biographi.ca/en/bio/curran_william_henry_15E.html,http://www.biographi.ca/fr/bio/curran_william_henry_15F.html,English DCB biography of William Henry Curran,,1
lincs:0gPo2zlgaOo,http://www.biographi.ca/en/bio/hubbard_hester_ann_6E.html,http://www.biographi.ca/en/bio/hubbard_hester_ann_6E.html,http://www.biographi.ca/fr/bio/hubbard_hester_ann_6F.html,French DCB biography of Hester Ann Hubbard,Biographie française du DBC de Hester Ann Hubbard,0
lincs:0gm8EJgp4qe,http://www.biographi.ca/en/bio/reader_joseph_15E.html,http://www.biographi.ca/en/bio/reader_joseph_15E.html,http://www.biographi.ca/fr/bio/reader_joseph_15F.html,English DCB biography of Joseph Reader,Biographie en anglais du DBC de Joseph Reader,1
lincs:0hIHR3v1H08,http://www.biographi.ca/en/bio/murray_walter_4E.html,http://www.biographi.ca/en/bio/murray_walter_4E.html,http://www.biographi.ca/fr/bio/murray_walter_4F.html,English DCB biography of Walter Murray,Biographie en anglais du DBC de Walter Murray,0
lincs:0iuaT8m2UXS,http://www.biographi.ca/en/bio/gibb_james_8E.html,http://www.biographi.ca/en/bio/gibb_james_8E.html,http://www.biographi.ca/fr/bio/gibb_james_8F.html,English DCB biography of James Gibb,Biographie en anglais du DBC de James Gibb,1
lincs:0mlgkkWt7sd,http://www.biographi.ca/en/bio/lynn_washington_frank_13E.html,http://www.biographi.ca/en/bio/lynn_washington_frank_13E.html,http://www.biographi.ca/fr/bio/lynn_washington_frank_13F.html,English DCB biography of Washington Frank Lynn,,1
lincs:0oioVGPJVql,http://www.biographi.ca/en/bio/smith_alexander_12E.html,http://www.biographi.ca/en/bio/smith_alexander_12E.html,http://www.biographi.ca/fr/bio/smith_alexander_12F.html,French DCB biography of Alexander Smith,Biographie française du DBC de Alexander Smith,1
lincs:0okW2NYIqzI,http://www.biographi.ca/en/bio/brooke_john_4E.html,http://www.biographi.ca/en/bio/brooke_john_4E.html,http://www.biographi.ca/fr/bio/brooke_john_4F.html,English DCB biography of John Brooke,Biographie en anglais du DBC de John Brooke,0
lincs:0qaqP4kxqDv,http://www.biographi.ca/en/bio/miscomote_2E.html,http://www.biographi.ca/en/bio/miscomote_2E.html,http://www.biographi.ca/fr/bio/miscomote_2F.html,English DCB biography of  Miscomote,Biographie en anglais du DBC de  Miscomote,0
lincs:0qc9Oiz31hd,http://www.biographi.ca/en/bio/eirikr_gnupsson_1E.html,http://www.biographi.ca/en/bio/eirikr_gnupsson_1E.html,http://www.biographi.ca/fr/bio/eirikr_gnupsson_1F.html,English DCB biography of Eirikr Gnupsson,Biographie en anglais du DBC de Eirikr Gnupsson,0
lincs:0rWc8KYGuFo,http://www.biographi.ca/en/bio/huguet_joseph_4E.html,http://www.biographi.ca/en/bio/huguet_joseph_4E.html,http://www.biographi.ca/fr/bio/huguet_joseph_4F.html,English DCB biography of Joseph Huguet,Biographie en anglais du DBC de Joseph Huguet,0
lincs:0ry4hzwO8i8,http://www.biographi.ca/en/bio/lambert_eustache_1E.html,http://www.biographi.ca/en/bio/lambert_eustache_1E.html,http://www.biographi.ca/fr/bio/lambert_eustache_1F.html,English DCB biography of Eustache Lambert,Biographie en anglais du DBC de Eustache Lambert,0
lincs:0wutVM4wPiB,http://www.biographi.ca/en/bio/champagneur_etienne_11E.html,http://www.biographi.ca/en/bio/champagneur_etienne_11E.html,http://www.biographi.ca/fr/bio/champagneur_etienne_11F.html,English DCB biography of Étienne Champagneur,Biographie en anglais du DBC de Étienne Champagneur,1
lincs:0xQm2GrlflE,http://www.biographi.ca/en/bio/mckenzie_james_1849_7E.html,http://www.biographi.ca/en/bio/mckenzie_james_1849_7E.html,http://www.biographi.ca/fr/bio/mckenzie_james_1849_7F.html,English DCB biography of James McKenzie,Biographie en anglais du DBC de James McKenzie,0
lincs:0yMN3t5tRjb,http://www.biographi.ca/en/bio/mcdowell_eugene_addison_12E.html,http://www.biographi.ca/en/bio/mcdowell_eugene_addison_12E.html,http://www.biographi.ca/fr/bio/mcdowell_eugene_addison_12F.html,English DCB biography of Eugene Addison McDowell,Biographie en anglais du DBC de Eugene Addison McDowell,1
lincs:0yWhbvOlCqD,http://www.biographi.ca/en/bio/prevost_albert_15E.html,http://www.biographi.ca/en/bio/prevost_albert_15E.html,http://www.biographi.ca/fr/bio/prevost_albert_15F.html,English DCB biography of Albert Prévost,Biographie en anglais du DBC de Albert Prévost,1
lincs:0zjOFoFX26H,http://www.biographi.ca/en/bio/bengle_marie_aveline_16E.html,http://www.biographi.ca/en/bio/bengle_marie_aveline_16E.html,http://www.biographi.ca/fr/bio/bengle_marie_aveline_16F.html,English DCB biography of Marie-Aveline Bengle,Biographie en anglais du DBC de Marie-Aveline Bengle,1
lincs:10LCu6Q3JNx,http://www.biographi.ca/en/bio/peronne_dumesnil_jean_1E.html,http://www.biographi.ca/en/bio/peronne_dumesnil_jean_1E.html,http://www.biographi.ca/fr/bio/peronne_dumesnil_jean_1F.html,English DCB biography of Jean Perronne Dumesnil,Biographie en anglais du DBC de Jean Perronne Dumesnil,0
lincs:12I3urxASQD,http://www.biographi.ca/en/bio/playter_george_frederick_9E.html,http://www.biographi.ca/en/bio/playter_george_frederick_9E.html,http://www.biographi.ca/fr/bio/playter_george_frederick_9F.html,English DCB biography of George Frederick Playter,Biographie en anglais du DBC de George Frederick Playter,1
lincs:12KLmXjqxYw,http://www.biographi.ca/en/bio/merry_ralph_6E.html,http://www.biographi.ca/en/bio/merry_ralph_6E.html,http://www.biographi.ca/fr/bio/merry_ralph_6F.html,English DCB biography of Ralph Merry,,0
lincs:12gXAn7Hw2d,http://www.biographi.ca/en/bio/stewart_donald_alexander_12E.html,http://www.biographi.ca/en/bio/stewart_donald_alexander_12E.html,http://www.biographi.ca/fr/bio/stewart_donald_alexander_12F.html,English DCB biography of Donald Alexander Stewart,Biographie en anglais du DBC de Donald Alexander Stewart,1
lincs:13pogPUnFfU,http://www.biographi.ca/en/bio/chachagouesse_2E.html,http://www.biographi.ca/en/bio/chachagouesse_2E.html,http://www.biographi.ca/fr/bio/chachagouesse_2F.html,English DCB biography of Chachagouesse,Biographie en anglais du DBC de  Chachagouesse,0
lincs:13uhhnX1kY8,http://www.biographi.ca/en/bio/milly_francois_3E.html,http://www.biographi.ca/en/bio/milly_francois_3E.html,http://www.biographi.ca/fr/bio/milly_francois_3F.html,English DCB biography of François Milly,,0
lincs:151IThKe0xo,http://www.biographi.ca/en/bio/gillespie_robert_9E.html,http://www.biographi.ca/en/bio/gillespie_robert_9E.html,http://www.biographi.ca/fr/bio/gillespie_robert_9F.html,English DCB biography of Robert Gillespie,Biographie en anglais du DBC de Robert Gillespie,1
lincs:16gfBbV0bQG,http://www.biographi.ca/en/bio/hurlburt_thomas_10E.html,http://www.biographi.ca/en/bio/hurlburt_thomas_10E.html,http://www.biographi.ca/fr/bio/hurlburt_thomas_10F.html,French DCB biography of Thomas Hurlburt,Biographie française du DBC de Thomas Hurlburt,1
lincs:187x2RPRZBb,http://www.biographi.ca/en/bio/caumont_pierre_de_1E.html,http://www.biographi.ca/en/bio/caumont_pierre_de_1E.html,http://www.biographi.ca/fr/bio/caumont_pierre_de_1F.html,English DCB biography of Pierre de Caumont,Biographie en anglais du DBC de Pierre de Caumont,0
lincs:1DgjZNr1awx,http://www.biographi.ca/en/bio/johnstone_walter_6E.html,http://www.biographi.ca/en/bio/johnstone_walter_6E.html,http://www.biographi.ca/fr/bio/johnstone_walter_6F.html,English DCB biography of Walter Johnstone,Biographie en anglais du DBC de Walter Johnstone,0
lincs:1EyQnSNdbx2,http://www.biographi.ca/en/bio/northway_john_15E.html,http://www.biographi.ca/en/bio/northway_john_15E.html,http://www.biographi.ca/fr/bio/northway_john_15F.html,English DCB biography of John Northway,Biographie en anglais du DBC de John Northway,1
lincs:1GzuDIsxJvi,http://www.biographi.ca/en/bio/spark_alexander_5E.html,http://www.biographi.ca/en/bio/spark_alexander_5E.html,http://www.biographi.ca/fr/bio/spark_alexander_5F.html,English DCB biography of Alexander Spark,Biographie en anglais du DBC de Alexander Spark,0
lincs:1Hm8YijLiQX,http://www.biographi.ca/en/bio/meliki_13E.html,http://www.biographi.ca/en/bio/meliki_13E.html,http://www.biographi.ca/fr/bio/meliki_13F.html,English DCB biography of  Meliki,Biographie en anglais du DBC de  Meliki,1
lincs:1HmU2QegI66,http://www.biographi.ca/en/bio/rosvall_viljo_15E.html,http://www.biographi.ca/en/bio/rosvall_viljo_15E.html,http://www.biographi.ca/fr/bio/rosvall_viljo_15F.html,French DCB biography of Viljo Rosvall,Biographie française du DBC de Viljo Rosvall,1
lincs:1IXDZ0eda9h,http://www.biographi.ca/en/bio/sims_louisa_15E.html,http://www.biographi.ca/en/bio/sims_louisa_15E.html,http://www.biographi.ca/fr/bio/sims_louisa_15F.html,English DCB biography of Louisa Sims,Biographie en anglais du DBC de Louisa Sims,0
lincs:1LCdaKyy9Ie,http://www.biographi.ca/en/bio/fernandes_joao_1E.html,http://www.biographi.ca/en/bio/fernandes_joao_1E.html,http://www.biographi.ca/fr/bio/fernandes_joao_1F.html,French DCB biography of João Fernandes,Biographie française du DBC de João Fernandes,0
lincs:1P5UHyOCKd4,http://www.biographi.ca/en/bio/herdt_louis_anthyme_15E.html,http://www.biographi.ca/en/bio/herdt_louis_anthyme_15E.html,http://www.biographi.ca/fr/bio/herdt_louis_anthyme_15F.html,English DCB biography of Louis-Anthyme Herdt,,1
lincs:1QW0zXId7bG,http://www.biographi.ca/en/bio/dollard_patrick_9E.html,http://www.biographi.ca/en/bio/dollard_patrick_9E.html,http://www.biographi.ca/fr/bio/dollard_patrick_9F.html,English DCB biography of Patrick Dollard,Biographie en anglais du DBC de Patrick Dollard,1
lincs:1RyEZkSm2Cf,http://www.biographi.ca/en/bio/smith_alfred_corbett_13E.html,http://www.biographi.ca/en/bio/smith_alfred_corbett_13E.html,http://www.biographi.ca/fr/bio/smith_alfred_corbett_13F.html,English DCB biography of Alfred Corbett Smith,Biographie en anglais du DBC de Alfred Corbett Smith,1
lincs:1SyuFP9ZtHl,http://www.biographi.ca/en/bio/mott_jacob_s_5E.html,http://www.biographi.ca/en/bio/mott_jacob_s_5E.html,http://www.biographi.ca/fr/bio/mott_jacob_s_5F.html,English DCB biography of Jacob S. Mott,Biographie en anglais du DBC de Jacob S. Mott,0
lincs:1UEWXiH9Nte,http://www.biographi.ca/en/bio/halhead_edward_3E.html,http://www.biographi.ca/en/bio/halhead_edward_3E.html,http://www.biographi.ca/fr/bio/halhead_edward_3F.html,English DCB biography of Edward Halhead,Biographie en anglais du DBC de Edward Halhead,0
lincs:1UYLpL7vX78,http://www.biographi.ca/en/bio/gaultier_de_varennes_jacques_rene_3E.html,http://www.biographi.ca/en/bio/gaultier_de_varennes_jacques_rene_3E.html,http://www.biographi.ca/fr/bio/gaultier_de_varennes_jacques_rene_3F.html,English DCB biography of Jacques-René Gaultier de Varennes,Biographie en anglais du DBC de Jacques-René Gaultier de Varennes,0
lincs:1Ug6gpnb5rw,http://www.biographi.ca/en/bio/fortier_narcisse_charles_8E.html,http://www.biographi.ca/en/bio/fortier_narcisse_charles_8E.html,http://www.biographi.ca/fr/bio/fortier_narcisse_charles_8F.html,English DCB biography of Narcisse-Charles Fortier,Biographie en anglais du DBC de Narcisse-Charles Fortier,1
lincs:1VYZnhefI1g,http://www.biographi.ca/en/bio/mckinnon_hugh_13E.html,http://www.biographi.ca/en/bio/mckinnon_hugh_13E.html,http://www.biographi.ca/fr/bio/mckinnon_hugh_13F.html,English DCB biography of Hugh McKinnon,,1
lincs:1WrBqDgR53B,http://www.biographi.ca/en/bio/morin_de_fonfay_jean_baptiste_4E.html,http://www.biographi.ca/en/bio/morin_de_fonfay_jean_baptiste_4E.html,http://www.biographi.ca/fr/bio/morin_de_fonfay_jean_baptiste_4F.html,English DCB biography of Jean-Baptiste Morin de Fonfay,Biographie en anglais du DBC de Jean-Baptiste Morin de Fonfay,0
lincs:1YcEctbjfAC,http://www.biographi.ca/en/bio/hazeur_joseph_thierry_3E.html,http://www.biographi.ca/en/bio/hazeur_joseph_thierry_3E.html,http://www.biographi.ca/fr/bio/hazeur_joseph_thierry_3F.html,English DCB biography of Joseph-Thierry Hazeur,Biographie en anglais du DBC de Joseph-Thierry Hazeur,0
lincs:1Z2eFa58LEK,http://www.biographi.ca/en/bio/mathews_robert_5E.html,http://www.biographi.ca/en/bio/mathews_robert_5E.html,http://www.biographi.ca/fr/bio/mathews_robert_5F.html,English DCB biography of Robert Mathews,Biographie en anglais du DBC de Robert Mathews,0
lincs:1aXebXRTmFX,http://www.biographi.ca/en/bio/toosey_philip_4E.html,http://www.biographi.ca/en/bio/toosey_philip_4E.html,http://www.biographi.ca/fr/bio/toosey_philip_4F.html,English DCB biography of Philip Toosey,Biographie en anglais du DBC de Philip Toosey,0
lincs:1eZhFHrt4xI,http://www.biographi.ca/en/bio/harris_joseph_12E.html,http://www.biographi.ca/en/bio/harris_joseph_12E.html,http://www.biographi.ca/fr/bio/harris_joseph_12F.html,French DCB biography of Joseph Harris,Biographie française du DBC de Joseph Harris,1
lincs:1emTuPeGTP7,http://www.biographi.ca/en/bio/levinson_solomon_16E.html,http://www.biographi.ca/en/bio/levinson_solomon_16E.html,http://www.biographi.ca/fr/bio/levinson_solomon_16F.html,English DCB biography of Solomon Levinson,Biographie en anglais du DBC de Solomon Levinson,1
lincs:1gRQPXS4hE6,http://www.biographi.ca/en/bio/drachart_christian_larsen_4E.html,http://www.biographi.ca/en/bio/drachart_christian_larsen_4E.html,http://www.biographi.ca/fr/bio/drachart_christian_larsen_4F.html,English DCB biography of Christian Larsen Drachart,Biographie en anglais du DBC de Christian Larsen Drachart,0
lincs:1grJTDJyElA,http://www.biographi.ca/en/bio/m_alpine_john_6E.html,http://www.biographi.ca/en/bio/m_alpine_john_6E.html,http://www.biographi.ca/fr/bio/m_alpine_john_6F.html,French DCB biography of John M’Alpine,Biographie française du DBC de John M’Alpine,0
lincs:1gvmVIFgjkT,http://www.biographi.ca/en/bio/nodogawerrimet_3E.html,http://www.biographi.ca/en/bio/nodogawerrimet_3E.html,http://www.biographi.ca/fr/bio/nodogawerrimet_3F.html,English DCB biography of Nodogawerrimet,Biographie en anglais du DBC de  Nodogawerrimet,0
lincs:1iESqvVXiZu,http://www.biographi.ca/en/bio/antrobus_edmund_william_romer_8E.html,http://www.biographi.ca/en/bio/antrobus_edmund_william_romer_8E.html,http://www.biographi.ca/fr/bio/antrobus_edmund_william_romer_8F.html,English DCB biography of Edmund William Romer Antrobus,Biographie en anglais du DBC de Edmund William Romer Antrobus,1
lincs:1iaGkq1jA1W,http://www.biographi.ca/en/bio/holmes_elkanah_6E.html,http://www.biographi.ca/en/bio/holmes_elkanah_6E.html,http://www.biographi.ca/fr/bio/holmes_elkanah_6F.html,English DCB biography of Elkanah Holmes,Biographie en anglais du DBC de Elkanah Holmes,0
lincs:1j2t47zH99Q,http://www.biographi.ca/en/bio/guillimin_marie_francoise_4E.html,http://www.biographi.ca/en/bio/guillimin_marie_francoise_4E.html,http://www.biographi.ca/fr/bio/guillimin_marie_francoise_4F.html,English DCB biography of Marie-Françoise Guillimin,Biographie en anglais du DBC de Marie-Françoise Guillimin,0
