person_id,person_name,person_qid,dcb_url,event_type,event_year,census_year,place_id,place_label,geonames_id,geonames_name,match_strategy,confidence
lincs:1vWuv2ooHty,Henry Rowsell,,http://www.biographi.ca/en/bio/rowsell_henry_11E.html,death,1890,1891,PLACE_ON131003_1891,"Toronto, St. Paul & St. Mathew’s, Ward—Quartier",,Toronto,pip,high
lincs:1ybP7nmPbRS,James Smith,,http://www.biographi.ca/en/bio/smith_james_1820_88_11E.html,death,1888,1891,PLACE_QC148008,Métapédia,8672716,Matapédia,pip,high
lincs:1yt07WDSsKN,John Millar,,http://www.biographi.ca/en/bio/millar_john_13E.html,death,1905,1901,PLACE_ON129007,"Toronto, Ward—Quartier 2 (part)",,Toronto,pip,high
lincs:20kCLLVSAqW,James Harvie Crocket,,http://www.biographi.ca/en/bio/crocket_james_harvie_15E.html,death,1930,1921,PLACE_NB036016,"Fredericton, C",5957776,Fredericton,pip,high
lincs:21lEfnDsZcA,Lewis Samuel,,http://www.biographi.ca/en/bio/samuel_lewis_11E.html,death,1887,1891,PLACE_BC004002,"Victoria, Johnson Street, Ward—Quartier",6174041,Victoria,pip,high
lincs:253ZLPc0Dea,Frédéric-Ligori Béïque,,http://www.biographi.ca/en/bio/beique_frederic_ligori_16E.html,death,1933,1921,PLACE_QC076022_1921,"La Salle, T-V",,LaSalle,pip,high
lincs:2658NB83isT,Amelia Anne McLean,,http://www.biographi.ca/en/bio/mclean_amelia_anne_15E.html,birth,1867,1881,PLACE_NT193015,McKenzie,6091069,Northwest Territories,pip,high
lincs:2658NB83isT,Amelia Anne McLean,,http://www.biographi.ca/en/bio/mclean_amelia_anne_15E.html,death,1922,1921,PLACE_ON105011_1921,"Ottawa, C",,"Ottawa, Ontario",pip,high
lincs:26lei0Jbp5T,Hannibal Mulkins,,http://www.biographi.ca/en/bio/mulkins_hannibal_10E.html,birth,1811,1851,PLACE_ON106005,Mono,,Haut-Canada,pip,high
lincs:27YkhBb6id4,James Richardson,,http://www.biographi.ca/en/bio/richardson_james_1791_1875_10E.html,birth,1791,1851,PLACE_ON045005,"Kingston, Ontario Ward",5992500,Kingston,pip,high
lincs:27YkhBb6id4,James Richardson,,http://www.biographi.ca/en/bio/richardson_james_1791_1875_10E.html,death,1875,1871,PLACE_ON135004,"Yorkville, Village",,Toronto,pip,high
lincs:2CfxK9dPl7F,Jean-Baptiste Proulx,,http://www.biographi.ca/en/bio/proulx_jean_baptiste_1808_81_11E.html,death,1881,1881,PLACE_QC096021,Terrebonne,6163012,Terrebonne,pip,high
lincs:2IJzxiwuqvl,William Morris Graham,,http://www.biographi.ca/en/bio/graham_william_morris_16E.html,birth,1867,1871,PLACE_ON145003,Osnabrock,,Eastern Ontario,pip,high
lincs:2LKwj4kvwEN,Louis-Timothée Suzor,,http://www.biographi.ca/en/bio/suzor_louis_timothee_9E.html,birth,1834,1851,PLACE_QC080002_1911,Cap Santé,7535673,Cap-Santé,pip,high
lincs:2LKwj4kvwEN,Louis-Timothée Suzor,,http://www.biographi.ca/en/bio/suzor_louis_timothee_9E.html,death,1866,1861,PLACE_QC062003,Montcalm Ward,6325494,Québec,pip,high
lincs:2OF8brAAlJR,Jean Anne Drever,,http://www.biographi.ca/en/bio/drever_jean_anne_16E.html,death,1940,1921,PLACE_AB194026,"Calgary, C",5913490,Calgary,pip,high
lincs:2Rwgyna2Ujk,John T. Mortimer,,http://www.biographi.ca/en/bio/mortimer_john_t_13E.html,death,1908,1911,PLACE_MB021001,104 townships,,"Emerson, Man",pip,high
lincs:2Si7QSskdRx,Joseph-Émile Vanier,,http://www.biographi.ca/en/bio/vanier_joseph_emile_16E.html,birth,1858,1861,PLACE_QC096021,"Terrebonne, Parish",6163012,Terrebonne,pip,high
lincs:2Si7QSskdRx,Joseph-Émile Vanier,,http://www.biographi.ca/en/bio/vanier_joseph_emile_16E.html,death,1934,1921,PLACE_QC076013_1921,"Montréal, C",6077243,Montreal,pip,high
lincs:2VH4b4kH5gm,Alfred Hawkins,,http://www.biographi.ca/en/bio/hawkins_alfred_8E.html,death,1854,1851,PLACE_QC081017,"Québec, cité",6325494,Québec,pip,high
lincs:2XLuUBzIFNU,Reuben Crandall,,http://www.biographi.ca/en/bio/crandall_reuben_8E.html,death,1853,1851,PLACE_QC005002,Aylmer,5888712,Aylmer,pip,high
lincs:2dWUvCs8x0O,William Tyndale Jennings,,http://www.biographi.ca/en/bio/jennings_william_tyndale_13E.html,birth,1846,1851,PLACE_ON026001,Whitby,,Centre de l'Ontario,pip,high
lincs:2lhiXerxGUa,John Waddell,,http://www.biographi.ca/en/bio/waddell_john_10E.html,death,1878,1881,PLACE_NS007026,"Truro, Town—Ville",,Truro,pip,high
lincs:2m99wj3CASU,Thomas Connon,,http://www.biographi.ca/en/bio/connon_thomas_12E.html,death,1899,1901,PLACE_ON152020,"Elora, Village",5948111,Elora,pip,high
lincs:2oyjwHeyJjE,Charles-François Lévesque,,http://www.biographi.ca/en/bio/levesque_charles_francois_8E.html,birth,1817,1851,PLACE_QC065010,St. Louis,6077243,Montreal,pip,high
lincs:2oyjwHeyJjE,Charles-François Lévesque,,http://www.biographi.ca/en/bio/levesque_charles_francois_8E.html,death,1859,1861,PLACE_QC060012,Ste. Mélanie,6138041,Sainte-Mélanie,pip,high
lincs:2rxShhtmR6X,John Smith,,http://www.biographi.ca/en/bio/smith_john_1881_11E.html,death,1881,1881,PLACE_ON135004,"Yorkville, Village",,Toronto,pip,high
lincs:2s7HaDMAMXG,Thomas Nepean Molesworth,,http://www.biographi.ca/en/bio/molesworth_thomas_nepean_10E.html,death,1879,1881,PLACE_ON135004,"Yorkville, Village",,Toronto,pip,high
lincs:2v502fOIRax,Aloisia Wilhelm,,http://www.biographi.ca/en/bio/wilhelm_aloisia_14E.html,death,1916,1911,PLACE_SK209004,Humbolt t-v,,"Humboldt, Sask",pip,high
lincs:2wq250DtjKN,George Reading Crowe,,http://www.biographi.ca/en/bio/crowe_george_reading_15E.html,death,1924,1921,PLACE_MB160013,"Winnipeg, C",,Winnipeg (Man.),pip,high
lincs:33ExS28Vc9s,Michel Forgues,,http://www.biographi.ca/en/bio/forgues_michel_11E.html,death,1882,1881,PLACE_QC075010,St. Laurent,11903570,Saint-Laurent-d'Orléans,pip,high
lincs:36NW683GbMV,Edward Herbert Maunsell,,http://www.biographi.ca/en/bio/maunsell_edward_herbert_15E.html,death,1923,1921,PLACE_AB190009,67. L.I.D.-D.A.L.,6053154,Lethbridge,pip,high
lincs:370EzAh52hy,Rosanna Eleanora Mullins,,http://www.biographi.ca/en/bio/mullins_rosanna_eleanora_10E.html,birth,1829,1851,PLACE_QC065010,St. Louis,6077243,Montreal,pip,high
lincs:39mAG1a8YkB,Alexander Buchanan,,http://www.biographi.ca/en/bio/buchanan_alexander_8E.html,death,1851,1851,PLACE_QC065010,St. Louis,6077243,Montreal,pip,high
lincs:39vzwCrG6N6,John Lynch,,http://www.biographi.ca/en/bio/lynch_john_11E.html,death,1884,1881,PLACE_ON136006_1911_1921,"Brampton, Town—Ville",,"Brampton, Ont",pip,high
lincs:3EWQE0kL4fO,Louis-Eusèbe Richard,,http://www.biographi.ca/en/bio/richard_louis_eusebe_10E.html,birth,1817,1851,PLACE_QC072007,St. Grégoire,6138322,Saint-Grégoire-le-Grand,pip,high
lincs:3EWQE0kL4fO,Louis-Eusèbe Richard,,http://www.biographi.ca/en/bio/richard_louis_eusebe_10E.html,death,1876,1871,PLACE_QC153037,Stanfold,8674003,Princeville,pip,high
lincs:3HLJlE5Qo0N,Andrew Murray Smith,,http://www.biographi.ca/en/bio/smith_andrew_murray_13E.html,death,1910,1911,PLACE_ON093009_1911,St Catharines c,6155721,St. Catharines,pip,high
lincs:3M1cESJDOIm,Norton Hervey Crow,,http://www.biographi.ca/en/bio/crow_norton_hervey_15E.html,birth,1878,1881,PLACE_ON143001,"Niagara, Township",6087884,Niagara,pip,high
lincs:3M1cESJDOIm,Norton Hervey Crow,,http://www.biographi.ca/en/bio/crow_norton_hervey_15E.html,death,1929,1921,PLACE_ON154011,"Toronto, C",,Toronto,pip,high
lincs:3RoIcYDI3RB,Michael Urias Cook,,http://www.biographi.ca/en/bio/cook_michael_urias_14E.html,birth,1824,1851,PLACE_ON107003,Williamsburg,,"Williamsburgh Township, Upper Canada",pip,high
lincs:3RoIcYDI3RB,Michael Urias Cook,,http://www.biographi.ca/en/bio/cook_michael_urias_14E.html,death,1912,1911,PLACE_ON145003,Osnabruck,11071873,Aultsville,pip,high
lincs:3WZDYAhm1jG,Huldah S. McMullen,,http://www.biographi.ca/en/bio/mcmullen_huldah_s_13E.html,birth,1854,1851,PLACE_ON140008,"Picton, Town",6104215,Picton,pip,high
lincs:3XxJHuiGB9D,Joseph Duhamel,,http://www.biographi.ca/en/bio/duhamel_joseph_12E.html,birth,1834,1851,PLACE_QC065010,St. Louis,6077243,Montreal,pip,high
lincs:3awHP2J4T2A,James George Moylan,,http://www.biographi.ca/en/bio/moylan_james_george_13E.html,death,1902,1901,PLACE_ON105007_1901,"Ottawa, Victoria, Ward—Quartier",,"Ottawa, Ontario",pip,high
lincs:3b9zLWuxSvb,Joseph Czerniawski,,http://www.biographi.ca/en/bio/czerniawski_joseph_14E.html,death,1912,1911,PLACE_SK215018,Goodeve vl (T29 R9 MW2),5962867,Goodeve,pip,high
lincs:3j2QVHwdTeI,Jean-Baptiste Roupe,,http://www.biographi.ca/en/bio/roupe_jean_baptiste_8E.html,birth,1782,1851,PLACE_QC065010,St. Louis,6077243,Montreal,pip,high
lincs:3j2QVHwdTeI,Jean-Baptiste Roupe,,http://www.biographi.ca/en/bio/roupe_jean_baptiste_8E.html,death,1854,1851,PLACE_QC065010,St. Louis,6077243,Montreal,pip,high
lincs:3mbhmWJF94N,John Thomas Foster,,http://www.biographi.ca/en/bio/foster_john_thomas_16E.html,birth,1874,1871,PLACE_QC107004,Côteau St. Louis,6077243,Montreal,pip,high
lincs:3mbhmWJF94N,John Thomas Foster,,http://www.biographi.ca/en/bio/foster_john_thomas_16E.html,death,1934,1921,PLACE_QC076013_1921,"Montréal, C",6077243,Montreal,pip,high
lincs:3pVigrBJnA2,André-T. Bourque,,http://www.biographi.ca/en/bio/bourque_andre_t_14E.html,death,1914,1911,PLACE_NB035002_1921,Dorchester,6072045,Memramcook,pip,high
