person_id,person_name,person_qid,dcb_url,event_type,event_year,census_year,geonames_id,geonames_name,tcpuid_csd,csd_name,place_id,match_strategy,confidence
lincs:0TAdNe63Du9,Henry Newsham Peers,,http://www.biographi.ca/en/bio/peers_henry_newsham_9E.html,death,1864,1881,6136944,Saanich,BC192004,Saanich S & N,PLACE_BC003012,pip,high
lincs:0UAx1ZRc6ze,John Hegan Parks,,http://www.biographi.ca/en/bio/parks_john_hegan_13E.html,birth,1836,1851,6138517,Saint John,NB995999,NO DATA,PLACE_NB995999,pip,high
lincs:0UAx1ZRc6ze,John Hegan Parks,,http://www.biographi.ca/en/bio/parks_john_hegan_13E.html,death,1903,1901,6138517,Saint John,NB021002,"St. John, Dukis, Ward—Quartier",PLACE_NB032007,pip,high
lincs:0Y2NoK3XNcY,Narcisse Arcand,,http://www.biographi.ca/en/bio/arcand_narcisse_15E.html,birth,1871,1871,5938160,Deschambault,QC151999,NO DATA,PLACE_QC151999,pip,high
lincs:0Y2NoK3XNcY,Narcisse Arcand,,http://www.biographi.ca/en/bio/arcand_narcisse_15E.html,death,1927,1921,6077243,Montreal,QC076013,"Montréal, C",PLACE_QC076013_1921,pip,high
lincs:0Yg5ggOqfsl,Edward Taylor Fletcher,,http://www.biographi.ca/en/bio/fletcher_edward_taylor_12E.html,death,1897,1901,,"New Westminster, B.C",BC002004,"New Westminster, City—Cité",PLACE_BC213004,pip,high
lincs:0gB5gHOYAbS,William Henry Curran,,http://www.biographi.ca/en/bio/curran_william_henry_15E.html,death,1930,1921,,"New Westminster, B.C",BC213002,Richmond (pt),PLACE_BC213002,pip,high
lincs:0gm8EJgp4qe,Joseph Reader,,http://www.biographi.ca/en/bio/reader_joseph_15E.html,death,1928,1921,5948770,Enderby,BC218007,"Enderby, C",PLACE_BC218007,pip,high
lincs:0iuaT8m2UXS,James Gibb,,http://www.biographi.ca/en/bio/gibb_james_8E.html,death,1858,1861,6325494,Québec,QC062003,Montcalm Ward,PLACE_QC062003,pip,high
lincs:0mlgkkWt7sd,Washington Frank Lynn,,http://www.biographi.ca/en/bio/lynn_washington_frank_13E.html,death,1906,1901,,Winnipeg (Man.),MB012004,"Winnipeg, Ward—Quartier No. 4",PLACE_MB012004,pip,high
lincs:0oioVGPJVql,Alexander Smith,,http://www.biographi.ca/en/bio/smith_alexander_12E.html,death,1892,1891,6324733,St. John's,NL998999,NO DATA,PLACE_NL998999,pip,high
lincs:0yWhbvOlCqD,Albert Prévost,,http://www.biographi.ca/en/bio/prevost_albert_15E.html,birth,1881,1881,6077243,Montreal,QC091999,NO DATA,PLACE_QC162999,pip,high
lincs:0yWhbvOlCqD,Albert Prévost,,http://www.biographi.ca/en/bio/prevost_albert_15E.html,death,1926,1921,6077243,Montreal,QC076013,"Montréal, C",PLACE_QC076013_1921,pip,high
lincs:0zjOFoFX26H,Marie-Aveline Bengle,,http://www.biographi.ca/en/bio/bengle_marie_aveline_16E.html,death,1937,1921,6077243,Montreal,QC076013,"Montréal, C",PLACE_QC076013_1921,pip,high
lincs:12I3urxASQD,George Frederick Playter,,http://www.biographi.ca/en/bio/playter_george_frederick_9E.html,death,1866,1861,,Frankford,ON078010,Sydney,PLACE_ON121001,pip,high
lincs:12gXAn7Hw2d,Donald Alexander Stewart,,http://www.biographi.ca/en/bio/stewart_donald_alexander_12E.html,birth,1851,1851,6091530,"Halifax, N.S",NS996999,NO DATA,PLACE_NS996999,pip,high
lincs:12gXAn7Hw2d,Donald Alexander Stewart,,http://www.biographi.ca/en/bio/stewart_donald_alexander_12E.html,death,1897,1901,,"Halifax, N.S",NS033002,"Halifax, Ward—Quartier No. 2",PLACE_NS045044,pip,high
lincs:16gfBbV0bQG,Thomas Hurlburt,,http://www.biographi.ca/en/bio/hurlburt_thomas_10E.html,birth,1808,1851,6172001,United Counties of Leeds and Grenville,ON012001,Augusta,PLACE_ON113001,pip,high
lincs:16gfBbV0bQG,Thomas Hurlburt,,http://www.biographi.ca/en/bio/hurlburt_thomas_10E.html,death,1873,1871,6055388,Little Current,ON087002,"Manitoulin, Centre",PLACE_ON087002_1871,pip,high
lincs:1EyQnSNdbx2,John Northway,,http://www.biographi.ca/en/bio/northway_john_15E.html,death,1926,1921,,Toronto,ON154011,"Toronto, C",PLACE_ON154011,pip,high
lincs:1Hm8YijLiQX,Meliki,,http://www.biographi.ca/en/bio/meliki_13E.html,death,1908,1911,6151514,Southampton Island,NT218999,NO DATA,PLACE_NT218999,pip,high
lincs:1HmU2QegI66,Viljo Rosvall,,http://www.biographi.ca/en/bio/rosvall_viljo_15E.html,death,1929,1921,6166142,Thunder Bay,ON147012,McIntyre,PLACE_ON147012,pip,high
lincs:1P5UHyOCKd4,Louis-Anthyme Herdt,,http://www.biographi.ca/en/bio/herdt_louis_anthyme_15E.html,birth,1872,1871,6169470,Trout River,PE002015,Township No. 36,PLACE_PE003013,pip,high
lincs:1P5UHyOCKd4,Louis-Anthyme Herdt,,http://www.biographi.ca/en/bio/herdt_louis_anthyme_15E.html,death,1926,1921,6077243,Montreal,QC076013,"Montréal, C",PLACE_QC076013_1921,pip,high
lincs:1QW0zXId7bG,Patrick Dollard,,http://www.biographi.ca/en/bio/dollard_patrick_9E.html,death,1868,1871,5992500,Kingston,ON066005,"Kingston, Ontario Ward—Quartier",PLACE_ON077003,pip,high
lincs:1RyEZkSm2Cf,Alfred Corbett Smith,,http://www.biographi.ca/en/bio/smith_alfred_corbett_13E.html,birth,1841,1851,6087430,"Bathurst, New Brunswick",NB995999,NO DATA,PLACE_NB995999,pip,high
lincs:1RyEZkSm2Cf,Alfred Corbett Smith,,http://www.biographi.ca/en/bio/smith_alfred_corbett_13E.html,death,1909,1911,7302644,Tracadie–Sheila,NB027008,Saumarez,PLACE_NB025008_1871,pip,high
lincs:1Ug6gpnb5rw,Narcisse-Charles Fortier,,http://www.biographi.ca/en/bio/fortier_narcisse_charles_8E.html,birth,1800,1851,6325494,Québec,QC084000,"Québec, cité",PLACE_QC084000,pip,high
lincs:1Ug6gpnb5rw,Narcisse-Charles Fortier,,http://www.biographi.ca/en/bio/fortier_narcisse_charles_8E.html,death,1859,1861,8674247,Saint-Michel-des-Saints,QC052999,NO DATA,PLACE_QC130999,pip,high
lincs:1VYZnhefI1g,Hugh McKinnon,,http://www.biographi.ca/en/bio/mckinnon_hugh_13E.html,birth,1843,1851,,Vaughan,ON042002,Vaughan,PLACE_ON154008,pip,high
lincs:1VYZnhefI1g,Hugh McKinnon,,http://www.biographi.ca/en/bio/mckinnon_hugh_13E.html,death,1903,1901,,"Dawson City, Y.T",NT206006,Yukon,PLACE_NT206006,pip,high
lincs:1eZhFHrt4xI,Joseph Harris,,http://www.biographi.ca/en/bio/harris_joseph_12E.html,birth,1835,1851,,Toronto,ON042005,York,PLACE_ON105011,pip,high
lincs:1eZhFHrt4xI,Joseph Harris,,http://www.biographi.ca/en/bio/harris_joseph_12E.html,death,1899,1901,,Toronto,ON129007,"Toronto, Ward—Quartier 2 (part)",PLACE_ON129007,pip,high
lincs:1emTuPeGTP7,Solomon Levinson,,http://www.biographi.ca/en/bio/levinson_solomon_16E.html,death,1931,1921,6077243,Montreal,QC076013,"Montréal, C",PLACE_QC076013_1921,pip,high
lincs:1iESqvVXiZu,Edmund William Romer Antrobus,,http://www.biographi.ca/en/bio/antrobus_edmund_william_romer_8E.html,death,1852,1851,6115047,péninsule de la Gaspésie,QC056999,NO DATA,PLACE_QC019999,pip,high
lincs:1khLATM9Htz,Flora Amelia Ross,,http://www.biographi.ca/en/bio/ross_flora_amelia_12E.html,death,1897,1901,,"New Westminster, B.C",BC002004,"New Westminster, City—Cité",PLACE_BC213004,pip,high
lincs:1p2RzTUh7yi,Charles McKenzie,,http://www.biographi.ca/en/bio/mckenzie_charles_8E.html,death,1855,1881,6065171,Manitoba,NT193999,NO DATA,PLACE_NT202999,pip,high
lincs:1r7XrIHiStr,John Naylor,,http://www.biographi.ca/en/bio/naylor_john_13E.html,death,1906,1901,,"Halifax, N.S",NS033002,"Halifax, Ward—Quartier No. 2",PLACE_NS045044,pip,high
lincs:1sk0VhC6Ocb,George Frederick Byers,,http://www.biographi.ca/en/bio/byers_george_frederick_16E.html,birth,1872,1871,6113358,Charlottetown,PE002024,City of Charlottetown and Royalty,PLACE_PE003025,pip,high
lincs:1vWuv2ooHty,Henry Rowsell,,http://www.biographi.ca/en/bio/rowsell_henry_11E.html,death,1890,1891,,Toronto,ON131003,"Toronto, St. Paul & St. Mathew’s, Ward—Quartier",PLACE_ON131003_1891,pip,high
lincs:1ybP7nmPbRS,James Smith,,http://www.biographi.ca/en/bio/smith_james_1820_88_11E.html,birth,1820,1851,,Caraquet,NB995999,NO DATA,PLACE_NB995999,pip,high
lincs:1ybP7nmPbRS,James Smith,,http://www.biographi.ca/en/bio/smith_james_1820_88_11E.html,death,1888,1891,8672716,Matapédia,QC143009,Métapédia,PLACE_QC044009,pip,high
lincs:1yt07WDSsKN,John Millar,,http://www.biographi.ca/en/bio/millar_john_13E.html,death,1905,1901,,Toronto,ON129007,"Toronto, Ward—Quartier 2 (part)",PLACE_ON129007,pip,high
lincs:20kCLLVSAqW,James Harvie Crocket,,http://www.biographi.ca/en/bio/crocket_james_harvie_15E.html,birth,1859,1861,6087430,"Bathurst, New Brunswick",NB995999,NO DATA,PLACE_NB995999,pip,high
lincs:20kCLLVSAqW,James Harvie Crocket,,http://www.biographi.ca/en/bio/crocket_james_harvie_15E.html,death,1930,1921,5957776,Fredericton,NB036016,"Fredericton, C",PLACE_NB036016,pip,high
lincs:21lEfnDsZcA,Lewis Samuel,,http://www.biographi.ca/en/bio/samuel_lewis_11E.html,death,1887,1891,6174041,Victoria,BC004002,"Victoria, Johnson Street, Ward—Quartier",PLACE_BC004002,pip,high
lincs:253ZLPc0Dea,Frédéric-Ligori Béïque,,http://www.biographi.ca/en/bio/beique_frederic_ligori_16E.html,death,1933,1921,,LaSalle,QC076022,"La Salle, T-V",PLACE_QC076022_1921,pip,high
lincs:2658NB83isT,Amelia Anne McLean,,http://www.biographi.ca/en/bio/mclean_amelia_anne_15E.html,birth,1867,1881,6091069,Northwest Territories,NT193015,McKenzie,PLACE_NT193015,pip,high
lincs:2658NB83isT,Amelia Anne McLean,,http://www.biographi.ca/en/bio/mclean_amelia_anne_15E.html,death,1922,1921,,"Ottawa, Ontario",ON105011,"Ottawa, C",PLACE_ON105011_1921,pip,high
lincs:26lei0Jbp5T,Hannibal Mulkins,,http://www.biographi.ca/en/bio/mulkins_hannibal_10E.html,birth,1811,1851,,Haut-Canada,ON035016,Mono,PLACE_ON106005,pip,high
lincs:27YkhBb6id4,James Richardson,,http://www.biographi.ca/en/bio/richardson_james_1791_1875_10E.html,birth,1791,1851,5992500,Kingston,ON045005,"Kingston, Ontario Ward",PLACE_ON045005,pip,high
lincs:27YkhBb6id4,James Richardson,,http://www.biographi.ca/en/bio/richardson_james_1791_1875_10E.html,death,1875,1871,,Toronto,ON045002,"Yorkville, Village",PLACE_ON135004,pip,high
lincs:2CfxK9dPl7F,Jean-Baptiste Proulx,,http://www.biographi.ca/en/bio/proulx_jean_baptiste_1808_81_11E.html,birth,1808,1851,6545041,Lachine,QC065009,"Lachine, Village",PLACE_QC108002,pip,high
lincs:2CfxK9dPl7F,Jean-Baptiste Proulx,,http://www.biographi.ca/en/bio/proulx_jean_baptiste_1808_81_11E.html,death,1881,1881,6163012,Terrebonne,QC094002,Terrebonne,PLACE_QC096021,pip,high
lincs:2IJzxiwuqvl,William Morris Graham,,http://www.biographi.ca/en/bio/graham_william_morris_16E.html,birth,1867,1871,,Eastern Ontario,ON072001,Osnabrock,PLACE_ON145003,pip,high
lincs:2IJzxiwuqvl,William Morris Graham,,http://www.biographi.ca/en/bio/graham_william_morris_16E.html,death,1940,1921,6119109,Regina,SK176022,"Regina, C",PLACE_SK176022,pip,high
lincs:2IvimeB9kNc,Ludger-Napoléon Voyer,,http://www.biographi.ca/en/bio/voyer_ludger_napoleon_10E.html,birth,1842,1851,6115047,péninsule de la Gaspésie,QC056999,NO DATA,PLACE_QC019999,pip,high
lincs:2IvimeB9kNc,Ludger-Napoléon Voyer,,http://www.biographi.ca/en/bio/voyer_ludger_napoleon_10E.html,death,1876,1871,6115047,péninsule de la Gaspésie,QC171999,NO DATA,PLACE_QC171999,pip,high
lincs:2LKwj4kvwEN,Louis-Timothée Suzor,,http://www.biographi.ca/en/bio/suzor_louis_timothee_9E.html,birth,1834,1851,7535673,Cap-Santé,QC068005,Cap Santé,PLACE_QC080002,pip,high
lincs:2LKwj4kvwEN,Louis-Timothée Suzor,,http://www.biographi.ca/en/bio/suzor_louis_timothee_9E.html,death,1866,1861,6325494,Québec,QC062003,Montcalm Ward,PLACE_QC062003,pip,high
lincs:2OF8brAAlJR,Jean Anne Drever,,http://www.biographi.ca/en/bio/drever_jean_anne_16E.html,birth,1849,1881,6065171,Manitoba,NT193999,NO DATA,PLACE_NT202999,pip,high
lincs:2OF8brAAlJR,Jean Anne Drever,,http://www.biographi.ca/en/bio/drever_jean_anne_16E.html,death,1940,1921,5913490,Calgary,AB194026,"Calgary, C",PLACE_AB194026,pip,high
lincs:2Rwgyna2Ujk,John T. Mortimer,,http://www.biographi.ca/en/bio/mortimer_john_t_13E.html,death,1908,1911,,"Emerson, Man",MB021001,104 townships,PLACE_MB021001,pip,high
lincs:2Si7QSskdRx,Joseph-Émile Vanier,,http://www.biographi.ca/en/bio/vanier_joseph_emile_16E.html,birth,1858,1861,6163012,Terrebonne,QC055011,"Terrebonne, Parish",PLACE_QC096021,pip,high
lincs:2Si7QSskdRx,Joseph-Émile Vanier,,http://www.biographi.ca/en/bio/vanier_joseph_emile_16E.html,death,1934,1921,6077243,Montreal,QC076013,"Montréal, C",PLACE_QC076013_1921,pip,high
lincs:2VH4b4kH5gm,Alfred Hawkins,,http://www.biographi.ca/en/bio/hawkins_alfred_8E.html,death,1854,1851,6325494,Québec,QC084000,"Québec, cité",PLACE_QC084000,pip,high
lincs:2XLuUBzIFNU,Reuben Crandall,,http://www.biographi.ca/en/bio/crandall_reuben_8E.html,death,1853,1851,5888712,Aylmer,QC062013,Aylmer,PLACE_QC005002,pip,high
lincs:2dWUvCs8x0O,William Tyndale Jennings,,http://www.biographi.ca/en/bio/jennings_william_tyndale_13E.html,birth,1846,1851,,Centre de l'Ontario,ON026001,Whitby,PLACE_ON026001,pip,high
lincs:2lhiXerxGUa,John Waddell,,http://www.biographi.ca/en/bio/waddell_john_10E.html,birth,1810,1851,,Truro,NS996999,NO DATA,PLACE_NS996999,pip,high
lincs:2lhiXerxGUa,John Waddell,,http://www.biographi.ca/en/bio/waddell_john_10E.html,death,1878,1881,,Truro,NS019014,"Truro, Town—Ville",PLACE_NS007026,pip,high
lincs:2m99wj3CASU,Thomas Connon,,http://www.biographi.ca/en/bio/connon_thomas_12E.html,death,1899,1901,5948111,Elora,ON124002,"Elora, Village",PLACE_ON152020,pip,high
lincs:2oyjwHeyJjE,Charles-François Lévesque,,http://www.biographi.ca/en/bio/levesque_charles_francois_8E.html,birth,1817,1851,6077243,Montreal,QC065010,St. Louis,PLACE_QC065010,pip,high
lincs:2oyjwHeyJjE,Charles-François Lévesque,,http://www.biographi.ca/en/bio/levesque_charles_francois_8E.html,death,1859,1861,6138041,Sainte-Mélanie,QC025012,Ste. Mélanie,PLACE_QC060012,pip,high
lincs:2rxShhtmR6X,John Smith,,http://www.biographi.ca/en/bio/smith_john_1881_11E.html,death,1881,1881,,Toronto,ON135004,"Yorkville, Village",PLACE_ON135004,pip,high
lincs:2s7HaDMAMXG,Thomas Nepean Molesworth,,http://www.biographi.ca/en/bio/molesworth_thomas_nepean_10E.html,death,1879,1881,,Toronto,ON135004,"Yorkville, Village",PLACE_ON135004,pip,high
lincs:2v502fOIRax,Aloisia Wilhelm,,http://www.biographi.ca/en/bio/wilhelm_aloisia_14E.html,death,1916,1911,,"Humboldt, Sask",SK209004,Humbolt t-v,PLACE_SK185028,pip,high
lincs:2wq250DtjKN,George Reading Crowe,,http://www.biographi.ca/en/bio/crowe_george_reading_15E.html,birth,1852,1851,6091530,"Halifax, N.S",NS996999,NO DATA,PLACE_NS996999,pip,high
lincs:2wq250DtjKN,George Reading Crowe,,http://www.biographi.ca/en/bio/crowe_george_reading_15E.html,death,1924,1921,,Winnipeg (Man.),MB160013,"Winnipeg, C",PLACE_MB160013,pip,high
lincs:33ExS28Vc9s,Michel Forgues,,http://www.biographi.ca/en/bio/forgues_michel_11E.html,birth,1811,1851,8674247,Saint-Michel-des-Saints,QC073999,NO DATA,PLACE_QC073999,pip,high
lincs:33ExS28Vc9s,Michel Forgues,,http://www.biographi.ca/en/bio/forgues_michel_11E.html,death,1882,1881,11903570,Saint-Laurent-d'Orléans,QC078002,St. Laurent,PLACE_QC075010,pip,high
lincs:36NW683GbMV,Edward Herbert Maunsell,,http://www.biographi.ca/en/bio/maunsell_edward_herbert_15E.html,death,1923,1921,6053154,Lethbridge,AB190009,67. L.I.D.-D.A.L.,PLACE_AB190009,pip,high
lincs:36uZMHRYDAE,James Croil,,http://www.biographi.ca/en/bio/croil_james_14E.html,death,1916,1911,6077243,Montreal,QC162999,NO DATA,PLACE_QC162999,pip,high
lincs:370EzAh52hy,Rosanna Eleanora Mullins,,http://www.biographi.ca/en/bio/mullins_rosanna_eleanora_10E.html,birth,1829,1851,6077243,Montreal,QC065010,St. Louis,PLACE_QC065010,pip,high
lincs:370EzAh52hy,Rosanna Eleanora Mullins,,http://www.biographi.ca/en/bio/mullins_rosanna_eleanora_10E.html,death,1879,1881,6077243,Montreal,QC091999,NO DATA,PLACE_QC162999,pip,high
lincs:39mAG1a8YkB,Alexander Buchanan,,http://www.biographi.ca/en/bio/buchanan_alexander_8E.html,death,1851,1851,6077243,Montreal,QC065010,St. Louis,PLACE_QC065010,pip,high
lincs:39vzwCrG6N6,John Lynch,,http://www.biographi.ca/en/bio/lynch_john_11E.html,death,1884,1881,,"Brampton, Ont",ON140003,"Brampton, Town—Ville",PLACE_ON136006,pip,high
lincs:3EWQE0kL4fO,Louis-Eusèbe Richard,,http://www.biographi.ca/en/bio/richard_louis_eusebe_10E.html,birth,1817,1851,6138322,Saint-Grégoire-le-Grand,QC072007,St. Grégoire,PLACE_QC059006,pip,high
lincs:3EWQE0kL4fO,Louis-Eusèbe Richard,,http://www.biographi.ca/en/bio/richard_louis_eusebe_10E.html,death,1876,1871,8674003,Princeville,QC137008,Stanfold,PLACE_QC158028,pip,high
lincs:3HLJlE5Qo0N,Andrew Murray Smith,,http://www.biographi.ca/en/bio/smith_andrew_murray_13E.html,death,1910,1911,6155721,St. Catharines,ON093009,St Catharines c,PLACE_ON126009,pip,high
lincs:3M1cESJDOIm,Norton Hervey Crow,,http://www.biographi.ca/en/bio/crow_norton_hervey_15E.html,birth,1878,1881,6087884,Niagara,ON143001,"Niagara, Township",PLACE_ON143001_1871,pip,high
lincs:3M1cESJDOIm,Norton Hervey Crow,,http://www.biographi.ca/en/bio/crow_norton_hervey_15E.html,death,1929,1921,,Toronto,ON154011,"Toronto, C",PLACE_ON154011,pip,high
lincs:3RoIcYDI3RB,Michael Urias Cook,,http://www.biographi.ca/en/bio/cook_michael_urias_14E.html,birth,1824,1851,,"Williamsburgh Township, Upper Canada",ON005003,Williamsburg,PLACE_ON107003,pip,high
lincs:3RoIcYDI3RB,Michael Urias Cook,,http://www.biographi.ca/en/bio/cook_michael_urias_14E.html,death,1912,1911,11071873,Aultsville,ON122003,Osnabruck,PLACE_ON145003,pip,high
lincs:3WZDYAhm1jG,Huldah S. McMullen,,http://www.biographi.ca/en/bio/mcmullen_huldah_s_13E.html,birth,1854,1851,6104215,Picton,ON032007,"Picton, Town",PLACE_ON140008,pip,high
lincs:3XxJHuiGB9D,Joseph Duhamel,,http://www.biographi.ca/en/bio/duhamel_joseph_12E.html,birth,1834,1851,6077243,Montreal,QC065010,St. Louis,PLACE_QC065010,pip,high
lincs:3XxJHuiGB9D,Joseph Duhamel,,http://www.biographi.ca/en/bio/duhamel_joseph_12E.html,death,1894,1891,6077243,Montreal,QC155999,NO DATA,PLACE_QC162999,pip,high
lincs:3awHP2J4T2A,James George Moylan,,http://www.biographi.ca/en/bio/moylan_james_george_13E.html,death,1902,1901,,"Ottawa, Ontario",ON100006,"Ottawa, Victoria, Ward—Quartier",PLACE_ON105007_1871,pip,high
lincs:3b9zLWuxSvb,Joseph Czerniawski,,http://www.biographi.ca/en/bio/czerniawski_joseph_14E.html,death,1912,1911,5962867,Goodeve,SK215018,Goodeve vl (T29 R9 MW2),PLACE_SK175040,pip,high
lincs:3gSbThdOPXh,Azarie Lavigne,,http://www.biographi.ca/en/bio/lavigne_azarie_11E.html,death,1890,1891,6077243,Montreal,QC155999,NO DATA,PLACE_QC162999,pip,high
lincs:3j2QVHwdTeI,Jean-Baptiste Roupe,,http://www.biographi.ca/en/bio/roupe_jean_baptiste_8E.html,birth,1782,1851,6077243,Montreal,QC065010,St. Louis,PLACE_QC065010,pip,high
lincs:3j2QVHwdTeI,Jean-Baptiste Roupe,,http://www.biographi.ca/en/bio/roupe_jean_baptiste_8E.html,death,1854,1851,6077243,Montreal,QC065010,St. Louis,PLACE_QC065010,pip,high
lincs:3mbhmWJF94N,John Thomas Foster,,http://www.biographi.ca/en/bio/foster_john_thomas_16E.html,birth,1874,1871,6077243,Montreal,QC107004,Côteau St. Louis,PLACE_QC107004,pip,high
lincs:3mbhmWJF94N,John Thomas Foster,,http://www.biographi.ca/en/bio/foster_john_thomas_16E.html,death,1934,1921,6077243,Montreal,QC076013,"Montréal, C",PLACE_QC076013_1921,pip,high
lincs:3o4c8UIgWle,Adolph Nielsen,,http://www.biographi.ca/en/bio/nielsen_adolph_13E.html,death,1903,1901,6324733,St. John's,NL998999,NO DATA,PLACE_NL998999,pip,high
lincs:3pVigrBJnA2,André-T. Bourque,,http://www.biographi.ca/en/bio/bourque_andre_t_14E.html,birth,1854,1851,5896518,Beaumont,NB995999,NO DATA,PLACE_NB995999,pip,high
lincs:3pVigrBJnA2,André-T. Bourque,,http://www.biographi.ca/en/bio/bourque_andre_t_14E.html,death,1914,1911,6072045,Memramcook,NB035002,Dorchester,PLACE_NB035002,pip,high
lincs:3py9zyNiZRO,George Gladman,,http://www.biographi.ca/en/bio/gladman_george_9E.html,birth,1800,1881,,"New Brunswick House, an HBC post on Brunswick Lake (Ont.)",ON182999,NO DATA,PLACE_ON182999,pip,high
lincs:3py9zyNiZRO,George Gladman,,http://www.biographi.ca/en/bio/gladman_george_9E.html,death,1863,1861,6111882,Port Hope,ON069006,Hope,PLACE_ON108005,pip,high
lincs:3sOfd07HWS2,John Joseph Cassidy,,http://www.biographi.ca/en/bio/cassidy_john_joseph_14E.html,birth,1843,1851,,Centre de l'Ontario,ON026001,Whitby,PLACE_ON026001,pip,high
lincs:3tnUVdfsM7D,John Moser,,http://www.biographi.ca/en/bio/moser_john_13E.html,birth,1826,1851,6079068,Mosers Island,NS996999,NO DATA,PLACE_NS996999,pip,high
lincs:3tnUVdfsM7D,John Moser,,http://www.biographi.ca/en/bio/moser_john_13E.html,death,1907,1911,6139317,Salem,NB029005,Havelock,PLACE_NB027005,pip,high
lincs:3uTB1ymDoRZ,Hugolin Lemay,,http://www.biographi.ca/en/bio/lemay_hugolin_16E.html,death,1938,1921,6077243,Montreal,QC076013,"Montréal, C",PLACE_QC076013_1921,pip,high
