dcb_personId,dcb_name,dcb_birthYear,dcb_deathYear,dcb_url_en,wikidataQid,census_unique_identifier,census_namlast,census_namfrst,census_age,census_sex,census_birthplace_label,persistent_place_id,tcpuid_csd_1881,person_uri,leaf_url,match_method,confidence
lincs:6pbQQCAMzLn,James Goodfellow,1828,1898,http://www.biographi.ca/en/bio/goodfellow_james_12E.html,,801202110,goodfellow,james,53,Male,Ontario,PLACE_ON132006,ON126004,https://jimclifford.ca/hgiscanada/places/on/monaghan-s-on126004-1881/residents/d/g/#p-801202110,/hgiscanada/places/on/monaghan-s-on126004-1881/residents/d/g/,name_age_only,medium_no_birthplace
lincs:72rVVmUsPhU,Théogène Fafard,1854,1890,http://www.biographi.ca/en/bio/fafard_theogene_11E.html,,1213500912,fafard,theogerie,26,Male,Quebec,PLACE_MB010010,MB183004,https://jimclifford.ca/hgiscanada/places/mb/st-boniface-mb183004-1881/residents/d/f/#p-1213500912,/hgiscanada/places/mb/st-boniface-mb183004-1881/residents/d/f/,name_age_only,medium_no_birthplace
lincs:7GBYRZQDj3x,William Richard Mulharen Burtis,1818,1882,http://www.biographi.ca/en/bio/burtis_william_richard_mulharen_11E.html,,180305602,burtis,william,64,Male,New Brunswick,PLACE_NB032017,NB025006,https://jimclifford.ca/hgiscanada/places/nb/st-john-city-victoria-ward-quartier-nb025006-1881/residents/f/b/#p-180305602,/hgiscanada/places/nb/st-john-city-victoria-ward-quartier-nb025006-1881/residents/f/b/,name_age_only,medium_no_birthplace
lincs:823EZtnzyRT,Robert Maclellan,1849,1922,http://www.biographi.ca/en/bio/maclellan_robert_15E.html,,141401116,mclellan,robert,31,Male,Nova Scotia,PLACE_NS016037,NS020006,https://jimclifford.ca/hgiscanada/places/ns/pictou-town-ville-ns020006-1881/residents/f/m-1/#p-141401116,/hgiscanada/places/ns/pictou-town-ville-ns020006-1881/residents/f/m-1/,name_age_birthplace_strict,high
lincs:84Np1PdPKKr,Edward Marion Chadwick,1840,1921,http://www.biographi.ca/en/bio/chadwick_edward_marion_15E.html,,860714512,chadwick,edward,40,Male,Ontario,PLACE_ON134008,ON134008,https://jimclifford.ca/hgiscanada/places/on/toronto-st-patrick-s-ward-quartier-on134008-1881/residents/h/c-2/#p-860714512,/hgiscanada/places/on/toronto-st-patrick-s-ward-quartier-on134008-1881/residents/h/c-2/,name_age_birthplace_strict,high
lincs:882frBxPEhU,Charles B. Record,1817,1890,http://www.biographi.ca/en/bio/record_charles_b_11E.html,,230902506,record,charles,63,Male,United States,PLACE_NB024003_1881,NB033006,https://jimclifford.ca/hgiscanada/places/nb/moncton-city-cit-nb033006-1881/residents/f/r/#p-230902506,/hgiscanada/places/nb/moncton-city-cit-nb033006-1881/residents/f/r/,name_age_only,medium_no_birthplace
lincs:8QZCyVW7YCr,Zéphirin Paquet,1818,1905,http://www.biographi.ca/en/bio/paquet_zephirin_13E.html,,490709824,paquet,zephirin,61,Male,Quebec,PLACE_QC188001,QC079002,https://jimclifford.ca/hgiscanada/places/qc/qu-bec-jacques-cartier-ward-quartier-qc079002-1881/residents/b/p/#p-490709824,/hgiscanada/places/qc/qu-bec-jacques-cartier-ward-quartier-qc079002-1881/residents/b/p/,name_age_birthplace_strict,high
lincs:8XVUvepngCd,Nathaniel Francis Hagel,1846,1915,http://www.biographi.ca/en/bio/hagel_nathaniel_francis_14E.html,,871512712,hagel,nathan,35,Male,Ontario,PLACE_ON135004,ON135004,https://jimclifford.ca/hgiscanada/places/on/yorkville-village-on135004-1881/residents/d/h/#p-871512712,/hgiscanada/places/on/yorkville-village-on135004-1881/residents/d/h/,name_age_birthplace_strict,high
lincs:8lZVZUGuavf,George Murray,1825,1888,http://www.biographi.ca/en/bio/murray_george_11E.html,,142606902,murray,george,55,Male,Nova Scotia,PLACE_NS016036,NS020016,https://jimclifford.ca/hgiscanada/places/ns/new-glasgow-town-ville-ns020016-1881/residents/p/m/#p-142606902,/hgiscanada/places/ns/new-glasgow-town-ville-ns020016-1881/residents/p/m/,name_age_only,medium_no_birthplace
lincs:92KuHxZf5Db,Theresa Mary Johnson,1863,1899,http://www.biographi.ca/en/bio/johnson_theresa_mary_12E.html,,940203314,johnson,theresa,18,Female,Ontario,PLACE_ON126002,ON145004,https://jimclifford.ca/hgiscanada/places/on/clinton-on145004-1881/residents/d/j/#p-940203314,/hgiscanada/places/on/clinton-on145004-1881/residents/d/j/,name_age_only,medium_no_birthplace
lincs:95Gdrj2YPmq,Patrick Dowd,1813,1891,http://www.biographi.ca/en/bio/dowd_patrick_12E.html,,581308001,dowd,patrick,68,Male,Ireland,PLACE_QC180001,QC090008,https://jimclifford.ca/hgiscanada/places/qc/montr-al-st-antoine-ward-quartier-qc090008-1881/residents/h/d-3/#p-581308001,/hgiscanada/places/qc/montr-al-st-antoine-ward-quartier-qc090008-1881/residents/h/d-3/,name_age_only,medium_no_birthplace
lincs:9Dl3m4suzST,Ann Jane Powell,1853,1924,http://www.biographi.ca/en/bio/powell_ann_jane_15E.html,,1190605808,powell,annie,27,Female,Ontario,PLACE_ON121012,ON180009,https://jimclifford.ca/hgiscanada/places/on/chatham-town-ville-on180009-1881/residents/i/p/#p-1190605808,/hgiscanada/places/on/chatham-town-ville-on180009-1881/residents/i/p/,name_age_birthplace_strict,high
lincs:9SlSQSsqzkA,François-Xavier Drolet,1849,1924,http://www.biographi.ca/en/bio/drolet_francois_xavier_15E.html,,490700910,drolet,francois,33,Male,Quebec,PLACE_QC188001,QC079002,https://jimclifford.ca/hgiscanada/places/qc/qu-bec-jacques-cartier-ward-quartier-qc079002-1881/residents/b/d/#p-490700910,/hgiscanada/places/qc/qu-bec-jacques-cartier-ward-quartier-qc079002-1881/residents/b/d/,name_age_only,medium_no_birthplace
lincs:9T77mdiUPRC,Flavien Granger,1856,1913,http://www.biographi.ca/en/bio/granger_flavien_14E.html,,570802016,granger,flavien,24,Male,Quebec,PLACE_QC176002,QC090006,https://jimclifford.ca/hgiscanada/places/qc/montreal-st-james-ward-quartier-st-jacques-qc090006-1881/residents/f/g-1/#p-570802016,/hgiscanada/places/qc/montreal-st-james-ward-quartier-st-jacques-qc090006-1881/residents/f/g-1/,name_age_only,medium_no_birthplace
lincs:9XuTsCAOnFM,Jules Jetté,1864,1927,http://www.biographi.ca/en/bio/jette_jules_15E.html,,422705823,jette,julie,17,Female,Quebec,PLACE_QC157007,QC064003,https://jimclifford.ca/hgiscanada/places/qc/st-gr-goire-qc064003-1881/residents/c/j/#p-422705823,/hgiscanada/places/qc/st-gr-goire-qc064003-1881/residents/c/j/,name_age_only,medium_no_birthplace
lincs:9heYZqpxscP,Calvin Elijah Amaron,1852,1917,http://www.biographi.ca/en/bio/amaron_calvin_elijah_14E.html,,540501223,amaron,calvin,28,Male,Quebec,PLACE_QC043015,QC086004,https://jimclifford.ca/hgiscanada/places/qc/berthier-town-ville-qc086004-1881/residents/d/a/#p-540501223,/hgiscanada/places/qc/berthier-town-ville-qc086004-1881/residents/d/a/,name_age_birthplace_strict,high
lincs:9l0QfI5Pmg9,Henry John Prescott Wilshere Good,1848,1927,http://www.biographi.ca/en/bio/good_henry_john_prescott_wilshere_15E.html,,860610705,good,henry,32,Male,England,PLACE_ON134008,ON134008,https://jimclifford.ca/hgiscanada/places/on/toronto-st-patrick-s-ward-quartier-on134008-1881/residents/h/g/#p-860610705,/hgiscanada/places/on/toronto-st-patrick-s-ward-quartier-on134008-1881/residents/h/g/,name_age_only,medium_no_birthplace
lincs:9nEOLNYWf3e,Albert Laurendeau,1857,1920,http://www.biographi.ca/en/bio/laurendeau_albert_14E.html,,541302203,laurendeau,albert,24,Male,Quebec,PLACE_QC043009_1911,QC086009,https://jimclifford.ca/hgiscanada/places/qc/st-gabriel-de-brandon-qc086009-1881/residents/i/l/#p-541302203,/hgiscanada/places/qc/st-gabriel-de-brandon-qc086009-1881/residents/i/l/,name_age_only,medium_no_birthplace
lincs:9tF3daQngdz,Anne Gregg Ryan,1830,1901,http://www.biographi.ca/en/bio/ryan_anne_gregg_13E.html,,980104704,ryan,ann,50,Female,Ontario,PLACE_ON106007,ON152001,https://jimclifford.ca/hgiscanada/places/on/orangeville-town-ville-on152001-1881/residents/a/r/#p-980104704,/hgiscanada/places/on/orangeville-town-ville-on152001-1881/residents/a/r/,name_age_birthplace_strict,high
