person_id,person_name,person_qid,dcb_url,event_type,event_year,place_qid,place_id,place_label,match_strategy,confidence
viaf:104453344,J.B. (Jean-Baptiste) Labelle,Q6168938,http://www.biographi.ca/en/bio/labelle_jean_baptiste_12E.html,death,1898,Q340,PLACE_QC076013_1921,Montreal,wd,high
viaf:104453634,Elzéar Gérin,Q3051910,http://www.biographi.ca/en/bio/gerin_elzear_11E.html,birth,1843,Q3571405,PLACE_QC093011,Yamachiche,wd,high
viaf:104453634,Elzéar Gérin,Q3051910,http://www.biographi.ca/en/bio/gerin_elzear_11E.html,death,1887,Q340,PLACE_QC076013_1921,Montreal,wd,high
viaf:104453815,Paul Durieu,Q7150406,http://www.biographi.ca/en/bio/durieu_paul_12E.html,death,1899,Q876122,PLACE_BC213004,New Westminster,wd,high
viaf:104454851,Felix Carbray,Q5511577,http://www.biographi.ca/en/bio/carbray_felix_13E.html,death,1907,Q2145,PLACE_QC081017,Quebec City,wd,high
viaf:104455144,John Hamilton Gray,Q977758,http://www.biographi.ca/en/bio/gray_john_hamilton_1814_89_11E.html,death,1889,Q2132,PLACE_BC217001,Victoria,wd,high
viaf:104455440,James Young,Q6145952,http://www.biographi.ca/en/bio/young_james_1835_1913_14E.html,birth,1835,Q15982096,PLACE_ON122003,Galt,wd,high
viaf:104455464,W. D. (William Dillon) Otter,Q3568558,http://www.biographi.ca/en/bio/otter_william_dillon_15E.html,birth,1843,Q2979345,PLACE_ON119017_1911,Clinton,wd,high
viaf:104455464,W. D. (William Dillon) Otter,Q3568558,http://www.biographi.ca/en/bio/otter_william_dillon_15E.html,death,1929,Q172,PLACE_ON154011,Toronto,wd,high
viaf:104455493,Gilbert McMicken,Q5561105,http://www.biographi.ca/en/bio/mcmicken_gilbert_12E.html,death,1891,Q2135,PLACE_MB160013,Winnipeg,wd,high
viaf:104455845,Sir Joseph Hickson,Q6283989,http://www.biographi.ca/en/bio/hickson_joseph_12E.html,death,1897,Q340,PLACE_QC076013_1921,Montreal,wd,high
viaf:104455911,John Costigan,Q3181277,http://www.biographi.ca/en/bio/costigan_john_14E.html,death,1916,Q1930,PLACE_ON105011_1921,Ottawa,wd,high
viaf:104455982,Henry How,Q1444691,http://www.biographi.ca/en/bio/how_henry_10E.html,death,1879,Q1973829,PLACE_NS012019,Windsor,wd,high
viaf:104456245,James Loudon,Q6138238,http://www.biographi.ca/en/bio/loudon_james_14E.html,birth,1841,Q172,PLACE_ON154011,Toronto,wd,high
