presence_id:ID,cd_id,census_year:int,area_sqm:float,num_csds:int,:LABEL
CD_QC_Nicolet_1871,CD_QC_Nicolet,1871,1604083151.18,15,E93_Presence
"CD_ON_Nipissing,_North—Nord_1871","CD_ON_Nipissing,_North—Nord",1871,33653688890.1,9,E93_Presence
"CD_ON_Nipissing,_South—Sud_1871","CD_ON_Nipissing,_South—Sud",1871,9981312351.22,7,E93_Presence
"CD_ON_Norfolk,_North—Nord_1871","CD_ON_Norfolk,_North—Nord",1871,789235683.06,4,E93_Presence
"CD_ON_Norfolk,_South—Sud_1871","CD_ON_Norfolk,_South—Sud",1871,957784531.69,4,E93_Presence
CD_NB_Northumberland_1871,CD_NB_Northumberland,1871,12450091202.6,11,E93_Presence
"CD_ON_Northumberland,_East—Est_1871","CD_ON_Northumberland,_East—Est",1871,1236421609.98,7,E93_Presence
"CD_ON_Northumberland,_West—Ouest_1871","CD_ON_Northumberland,_West—Ouest",1871,778812150.36,4,E93_Presence
"CD_ON_Ontario,_North—Nord_1871","CD_ON_Ontario,_North—Nord",1871,1893824476.99,8,E93_Presence
"CD_ON_Ontario,_South—Sud_1871","CD_ON_Ontario,_South—Sud",1871,625766183.29,5,E93_Presence
CD_QC_Ottaoua_Centre_1871,CD_QC_Ottaoua_Centre,1871,17649844619.34,10,E93_Presence
CD_QC_Ottaoua_Est_1871,CD_QC_Ottaoua_Est,1871,7547724876.57,11,E93_Presence
CD_QC_Ottawa_Ouest_1871,CD_QC_Ottawa_Ouest,1871,18616910046.06,20,E93_Presence
"CD_ON_Ottawa,_City—Cité_1871","CD_ON_Ottawa,_City—Cité",1871,9368354.29,5,E93_Presence
"CD_ON_Oxford,_North—Nord_1871","CD_ON_Oxford,_North—Nord",1871,1166291874.57,7,E93_Presence
"CD_ON_Oxford,_South—Sud_1871","CD_ON_Oxford,_South—Sud",1871,988465582.29,7,E93_Presence
CD_ON_Parry_Sound_1871,CD_ON_Parry_Sound,1871,11054538857.07,3,E93_Presence
CD_ON_Peel_1871,CD_ON_Peel,1871,738313536.21,5,E93_Presence
"CD_ON_Perth,_North—Nord_1871","CD_ON_Perth,_North—Nord",1871,1426952362.49,8,E93_Presence
