:START_ID,:END_ID,relationship_type,iou:float,from_fraction:float,to_fraction:float,year_from:int,year_to:int,:TYPE
ON012002_1851,ON074002_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON012004_1851,ON074006_1861,SAME_AS,0.9906,0.9906,1.0,1851,1861,P134_continued
ON012004_1851,ON074004_1861,CONTAINS,0.0094,0.0094,1.0,1851,1861,P134_continued
ON011001_1851,ON075001_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON011003_1851,ON075003_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON011006_1851,ON075006_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON011008_1851,ON075008_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON011011_1851,ON075012_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON011012_1851,ON075017_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON011005_1851,ON075005_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON011007_1851,ON075007_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON011010_1851,ON075011_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON013004_1851,ON076004_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON013006_1851,ON076007_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON013007_1851,ON076008_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON013010_1851,ON076009_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON013009_1851,ON076010_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON014003_1851,ON077004_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON014004_1851,ON077005_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON014002_1851,ON077006_1861,CONTAINS,0.0207,0.0207,1.0,1851,1861,P134_continued
ON014002_1851,ON077003_1861,CONTAINS,0.0084,0.0084,1.0,1851,1861,P134_continued
ON015003_1851,ON078006_1861,CONTAINS,0.3394,0.3394,1.0,1851,1861,P134_continued
ON015002_1851,ON078005_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON015005_1851,ON078009_1861,CONTAINS,0.0088,0.0088,1.0,1851,1861,P134_continued
ON015005_1851,ON078008_1861,CONTAINS,0.9244,0.9244,1.0,1851,1861,P134_continued
ON016006_1851,ON079009_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON016008_1851,ON079007_1861,CONTAINS,0.4143,0.4143,1.0,1851,1861,P134_continued
ON016008_1851,ON079013_1861,CONTAINS,0.3533,0.3533,1.0,1851,1861,P134_continued
ON016008_1851,ON079017_1861,CONTAINS,0.2324,0.2324,1.0,1851,1861,P134_continued
ON016010_1851,ON079019_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON016001_1851,ON079008_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON016007_1851,ON079012_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON016002_1851,ON079015_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON016011_1851,ON079004_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON017005_1851,ON080006_1861,CONTAINS,0.5318,0.5318,1.0,1851,1861,P134_continued
ON017005_1851,ON080007_1861,CONTAINS,0.4682,0.4682,1.0,1851,1861,P134_continued
ON017004_1851,ON080005_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON017006_1851,ON080008_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON018001_1851,ON081001_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON018004_1851,ON081004_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON018005_1851,ON081005_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON018010_1851,ON081011_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON018003_1851,ON081003_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON018006_1851,ON081006_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON018007_1851,ON081007_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON018008_1851,ON081009_1861,CONTAINS,0.0229,0.0229,1.0,1851,1861,P134_continued
ON019004_1851,ON082014_1861,CONTAINS,0.2543,0.2543,1.0,1851,1861,P134_continued
ON019004_1851,ON082004_1861,CONTAINS,0.7457,0.7457,1.0,1851,1861,P134_continued
ON019009_1851,ON082005_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON019008_1851,ON082008_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON019011_1851,ON082011_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON019012_1851,ON082013_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON019001_1851,ON082015_1861,CONTAINS,0.3952,0.3952,1.0,1851,1861,P134_continued
ON019001_1851,ON082001_1861,CONTAINS,0.6048,0.6048,1.0,1851,1861,P134_continued
ON019002_1851,ON082002_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON019006_1851,ON082006_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON019010_1851,ON082010_1861,SAME_AS,0.9984,0.9984,1.0,1851,1861,P134_continued
ON020001_1851,ON083001_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON020006_1851,ON083006_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON021001_1851,ON084001_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON001001_1851,ON084002_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON001002_1851,ON084004_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON021003_1851,ON084009_1861,CONTAINS,0.0335,0.0335,1.0,1851,1861,P134_continued
ON022001_1851,ON085001_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON022002_1851,ON085002_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON022003_1851,ON085003_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON022004_1851,ON085004_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON022005_1851,ON085005_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON022006_1851,ON085006_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON023012_1851,ON110007_1861,CONTAINS,0.007,0.007,1.0,1851,1861,P134_continued
ON023012_1851,ON086007_1861,SAME_AS,0.993,0.993,1.0,1851,1861,P134_continued
ON023008_1851,ON086010_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON023011_1851,ON086014_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON016004_1851,ON079002_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON023007_1851,ON086006_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON016003_1851,ON079011_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON023010_1851,ON086003_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON023002_1851,ON086005_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON023004_1851,ON086008_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON023001_1851,ON086009_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON025003_1851,ON087001_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON025001_1851,ON087002_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON025002_1851,ON087003_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON025005_1851,ON087005_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON025007_1851,ON087006_1861,WITHIN,0.917,1.0,0.917,1851,1861,P134_continued
ON025004_1851,ON087007_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON024001_1851,ON088002_1861,CONTAINS,0.011,0.011,1.0,1851,1861,P134_continued
ON024001_1851,ON088003_1861,SAME_AS,0.989,0.989,1.0,1851,1861,P134_continued
ON024002_1851,ON088005_1861,CONTAINS,0.0123,0.0123,1.0,1851,1861,P134_continued
ON024002_1851,ON088006_1861,SAME_AS,0.9877,0.9877,1.0,1851,1861,P134_continued
ON024009_1851,ON088010_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON024006_1851,ON088011_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON024005_1851,ON088012_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON024003_1851,ON088007_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON024007_1851,ON088008_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON026005_1851,ON089001_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON026007_1851,ON089002_1861,CONTAINS,0.6239,0.6239,1.0,1851,1861,P134_continued
ON026007_1851,ON089005_1861,CONTAINS,0.3761,0.3761,1.0,1851,1861,P134_continued
ON026009_1851,ON089007_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON026006_1851,ON089009_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON026003_1851,ON089010_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON026002_1851,ON089004_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON026004_1851,ON089006_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON027009_1851,ON090001_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON027008_1851,ON090002_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
