place_id:ID,place_type,name,province,:LABEL
CD_ON_Rainy_River,CD,Rainy River,ON,E53_Place
CD_SK_Division_No._16,CD,Division No. 16,SK,E53_Place
CD_ON_Lambton,CD,Lambton,ON,E53_Place
CD_AB_Division_No._5,CD,Division No. 5,AB,E53_Place
CD_ON_Brant,CD,Brant,ON,E53_Place
CD_ON_Welland,CD,Welland,ON,E53_Place
CD_ON_Muskoka,CD,Muskoka,ON,E53_Place
CD_QC_Montréal_&_Jésus_Islands—Iles,CD,Montréal & Jésus Islands—Iles,QC,E53_Place
CD_QC_Nicolet,CD,Nicolet,QC,E53_Place
CD_ON_Frontenac,CD,Frontenac,ON,E53_Place
CD_QC_Missisquoi,CD,Missisquoi,QC,E53_Place
CD_QC_L'IsIet,CD,L'IsIet,QC,E53_Place
CD_BC_Nanaimo,CD,Nanaimo,BC,E53_Place
CD_QC_Laprairie,CD,Laprairie,QC,E53_Place
CD_SK_Division_No._15,CD,Division No. 15,SK,E53_Place
CD_QC_Charlevoix,CD,Charlevoix,QC,E53_Place
CD_QC_Maskinongé,CD,Maskinongé,QC,E53_Place
CD_QC_Témiscouata,CD,Témiscouata,QC,E53_Place
CD_NB_Kent,CD,Kent,NB,E53_Place
CD_QC_Portneuf,CD,Portneuf,QC,E53_Place
CD_QC_Huntingdon,CD,Huntingdon,QC,E53_Place
CD_NS_Antigonish,CD,Antigonish,NS,E53_Place
CD_ON_Bruce,CD,Bruce,ON,E53_Place
CD_MB_Division_No._7,CD,Division No. 7,MB,E53_Place
CD_NS_Shelburne,CD,Shelburne,NS,E53_Place
CD_ON_Haliburton,CD,Haliburton,ON,E53_Place
CD_YT_Yukon,CD,Yukon,YT,E53_Place
CD_QC_Beauce,CD,Beauce,QC,E53_Place
CD_QC_Hull,CD,Hull,QC,E53_Place
CD_ON_Victoria,CD,Victoria,ON,E53_Place
CD_MB_Division_No._16,CD,Division No. 16,MB,E53_Place
CD_QC_Québec,CD,Québec,QC,E53_Place
CD_QC_Berthier,CD,Berthier,QC,E53_Place
CD_NB_St._John,CD,St. John,NB,E53_Place
CD_ON_York,CD,York,ON,E53_Place
CD_NB_Queens,CD,Queens,NB,E53_Place
CD_QC_Bellechasse,CD,Bellechasse,QC,E53_Place
CD_ON_Russell,CD,Russell,ON,E53_Place
CD_QC_Shefford,CD,Shefford,QC,E53_Place
CD_NB_Albert,CD,Albert,NB,E53_Place
CD_NS_Cape_Breton,CD,Cape Breton,NS,E53_Place
CD_ON_Durham,CD,Durham,ON,E53_Place
CD_QC_Bagot,CD,Bagot,QC,E53_Place
CD_QC_Rouville,CD,Rouville,QC,E53_Place
CD_NS_Queens,CD,Queens,NS,E53_Place
CD_ON_Haldimand,CD,Haldimand,ON,E53_Place
CD_SK_Division_No._7,CD,Division No. 7,SK,E53_Place
CD_ON_Northumberland,CD,Northumberland,ON,E53_Place
CD_NS_Pictou,CD,Pictou,NS,E53_Place
CD_QC_Bonaventure,CD,Bonaventure,QC,E53_Place
CD_QC_Compton,CD,Compton,QC,E53_Place
CD_QC_Chicoutimi,CD,Chicoutimi,QC,E53_Place
CD_SK_Division_No._2,CD,Division No. 2,SK,E53_Place
CD_NS_Inverness,CD,Inverness,NS,E53_Place
CD_ON_Timiskaming,CD,Timiskaming,ON,E53_Place
CD_MB_Division_No._8,CD,Division No. 8,MB,E53_Place
CD_NB_Victoria,CD,Victoria,NB,E53_Place
CD_MB_Division_No._2,CD,Division No. 2,MB,E53_Place
CD_SK_Division_No._10,CD,Division No. 10,SK,E53_Place
CD_QC_Lévis,CD,Lévis,QC,E53_Place
CD_QC_St._Hyacinthe,CD,St. Hyacinthe,QC,E53_Place
CD_NS_Victoria,CD,Victoria,NS,E53_Place
CD_QC_St._Maurice,CD,St. Maurice,QC,E53_Place
CD_QC_Gaspé,CD,Gaspé,QC,E53_Place
CD_QC_St._Jean,CD,St. Jean,QC,E53_Place
CD_ON_Perth,CD,Perth,ON,E53_Place
CD_ON_Grey,CD,Grey,ON,E53_Place
CD_AB_Division_No._16,CD,Division No. 16,AB,E53_Place
CD_AB_Division_No._4,CD,Division No. 4,AB,E53_Place
CD_QC_Montcalm,CD,Montcalm,QC,E53_Place
CD_BC_Comox-Alberni,CD,Comox-Alberni,BC,E53_Place
CD_ON_Carleton,CD,Carleton,ON,E53_Place
CD_BC_Skeena,CD,Skeena,BC,E53_Place
CD_ON_Wentworth,CD,Wentworth,ON,E53_Place
CD_AB_Division_No._2,CD,Division No. 2,AB,E53_Place
CD_ON_Leeds,CD,Leeds,ON,E53_Place
CD_NS_Annapolis,CD,Annapolis,NS,E53_Place
CD_QC_Lotbinière,CD,Lotbinière,QC,E53_Place
CD_BC_Vancouver_South,CD,Vancouver South,BC,E53_Place
CD_AB_Division_No._17,CD,Division No. 17,AB,E53_Place
CD_QC_Arthabaska,CD,Arthabaska,QC,E53_Place
CD_ON_Prince_Edward,CD,Prince Edward,ON,E53_Place
CD_ON_Peel,CD,Peel,ON,E53_Place
CD_MB_Division_No._15,CD,Division No. 15,MB,E53_Place
CD_BC_Fraser_Valley,CD,Fraser Valley,BC,E53_Place
CD_ON_Dufferin,CD,Dufferin,ON,E53_Place
CD_AB_Division_No._1,CD,Division No. 1,AB,E53_Place
CD_NS_Digby,CD,Digby,NS,E53_Place
CD_QC_Verchères,CD,Verchères,QC,E53_Place
CD_BC_Victoria_City,CD,Victoria City,BC,E53_Place
CD_ON_Hastings,CD,Hastings,ON,E53_Place
CD_QC_Kamouraska,CD,Kamouraska,QC,E53_Place
CD_ON_Glengarry,CD,Glengarry,ON,E53_Place
CD_ON_Grenville,CD,Grenville,ON,E53_Place
CD_NS_Lunenburg,CD,Lunenburg,NS,E53_Place
CD_NS_Richmond,CD,Richmond,NS,E53_Place
CD_NL_Labrador,CD,Labrador,NL,E53_Place
CD_NS_Yarmouth,CD,Yarmouth,NS,E53_Place
CD_AB_Division_No._12,CD,Division No. 12,AB,E53_Place
CD_MB_Division_No._1,CD,Division No. 1,MB,E53_Place
CD_ON_Kenora,CD,Kenora,ON,E53_Place
CD_ON_Waterloo,CD,Waterloo,ON,E53_Place
CD_MB_Division_No._4,CD,Division No. 4,MB,E53_Place
CD_MB_Division_No._14,CD,Division No. 14,MB,E53_Place
CD_SK_Division_No._4,CD,Division No. 4,SK,E53_Place
CD_ON_Essex,CD,Essex,ON,E53_Place
CD_ON_Sudbury,CD,Sudbury,ON,E53_Place
CD_QC_Frontenac,CD,Frontenac,QC,E53_Place
CD_QC_Deux_Montagnes,CD,Deux Montagnes,QC,E53_Place
CD_SK_Division_No._1,CD,Division No. 1,SK,E53_Place
CD_NB_Sunbury,CD,Sunbury,NB,E53_Place
CD_QC_Beauharnois,CD,Beauharnois,QC,E53_Place
CD_SK_Division_No._17,CD,Division No. 17,SK,E53_Place
CD_AB_Division_No._15,CD,Division No. 15,AB,E53_Place
CD_ON_Dundas,CD,Dundas,ON,E53_Place
CD_QC_Châteauguay,CD,Châteauguay,QC,E53_Place
CD_NB_Madawaska,CD,Madawaska,NB,E53_Place
CD_ON_Huron,CD,Huron,ON,E53_Place
CD_QC_Richelieu,CD,Richelieu,QC,E53_Place
CD_NL_Newfoundland,CD,Newfoundland,NL,E53_Place
CD_SK_Division_No._14,CD,Division No. 14,SK,E53_Place
CD_AB_Division_No._14,CD,Division No. 14,AB,E53_Place
CD_ON_Halton,CD,Halton,ON,E53_Place
CD_ON_Kent,CD,Kent,ON,E53_Place
CD_QC_Soulanges,CD,Soulanges,QC,E53_Place
CD_ON_Norfolk,CD,Norfolk,ON,E53_Place
CD_BC_Kootenay_West,CD,Kootenay West,BC,E53_Place
CD_ON_Prescott,CD,Prescott,ON,E53_Place
CD_NB_Carleton,CD,Carleton,NB,E53_Place
CD_NS_Cumberland,CD,Cumberland,NS,E53_Place
CD_QC_Wolfe,CD,Wolfe,QC,E53_Place
CD_ON_Lennox,CD,Lennox,ON,E53_Place
CD_AB_Division_No._3,CD,Division No. 3,AB,E53_Place
CD_BC_Kootenay_East,CD,Kootenay East,BC,E53_Place
CD_NT_Northwest_Territories,CD,Northwest Territories,NT,E53_Place
CD_QC_Labelle,CD,Labelle,QC,E53_Place
CD_NS_Guysborough,CD,Guysborough,NS,E53_Place
CD_NB_Kings,CD,Kings,NB,E53_Place
CD_MB_Division_No._12,CD,Division No. 12,MB,E53_Place
CD_QC_Sherbrooke,CD,Sherbrooke,QC,E53_Place
CD_ON_Thunder_Bay,CD,Thunder Bay,ON,E53_Place
CD_ON_Oxford,CD,Oxford,ON,E53_Place
CD_MB_Division_No._10,CD,Division No. 10,MB,E53_Place
CD_ON_Peterborough,CD,Peterborough,ON,E53_Place
CD_QC_Drummond,CD,Drummond,QC,E53_Place
CD_NB_Restigouche,CD,Restigouche,NB,E53_Place
CD_SK_Division_No._12,CD,Division No. 12,SK,E53_Place
CD_SK_Division_No._3,CD,Division No. 3,SK,E53_Place
CD_QC_Lac_St._Jean,CD,Lac St. Jean,QC,E53_Place
CD_QC_Saguenay,CD,Saguenay,QC,E53_Place
CD_SK_Division_No._9,CD,Division No. 9,SK,E53_Place
CD_SK_Division_No._18,CD,Division No. 18,SK,E53_Place
CD_QC_Yamaska,CD,Yamaska,QC,E53_Place
CD_MB_Division_No._6,CD,Division No. 6,MB,E53_Place
CD_MB_Division_No._11,CD,Division No. 11,MB,E53_Place
CD_ON_Nipissing,CD,Nipissing,ON,E53_Place
