place_id:ID,place_type,:LABEL
NS020013,CSD,E53_Place
QC147007,CSD,E53_Place
QC094039,CSD,E53_Place
MB160015,CSD,E53_Place
SK211021,CSD,E53_Place
ON019006,CSD,E53_Place
ON151014,CSD,E53_Place
ON148112,CSD,E53_Place
ON173006,CSD,E53_Place
NB020003,CSD,E53_Place
AB006004,CSD,E53_Place
NS034013,CSD,E53_Place
QC155999,CSD,E53_Place
NB023002,CSD,E53_Place
ON092030,CSD,E53_Place
ON130070,CSD,E53_Place
NS050008,CSD,E53_Place
QC071016,CSD,E53_Place
QC136009,CSD,E53_Place
PE136016,CSD,E53_Place
NS013015,CSD,E53_Place
MB168009,CSD,E53_Place
SK171041,CSD,E53_Place
SK174005,CSD,E53_Place
SK185006,CSD,E53_Place
QC086029,CSD,E53_Place
QC039999,CSD,E53_Place
NT206004,CSD,E53_Place
QC180026,CSD,E53_Place
NB023005,CSD,E53_Place
ON148002,CSD,E53_Place
QC200017,CSD,E53_Place
ON106010,CSD,E53_Place
PE141002,CSD,E53_Place
NS197004,CSD,E53_Place
NS051015,CSD,E53_Place
SK207003,CSD,E53_Place
NS009011,CSD,E53_Place
QC148003,CSD,E53_Place
ON078999,CSD,E53_Place
SK213012,CSD,E53_Place
ON079014,CSD,E53_Place
QC062014,CSD,E53_Place
ON046026,CSD,E53_Place
ON055030,CSD,E53_Place
AB003009,CSD,E53_Place
NS038001,CSD,E53_Place
SK180036,CSD,E53_Place
PE132014,CSD,E53_Place
NS190008,CSD,E53_Place
QC190001,CSD,E53_Place
SK178033,CSD,E53_Place
QC014005,CSD,E53_Place
QC068021,CSD,E53_Place
ON147014,CSD,E53_Place
ON148016,CSD,E53_Place
ON097015,CSD,E53_Place
QC190012,CSD,E53_Place
SK173031,CSD,E53_Place
MB007028,CSD,E53_Place
QC191007,CSD,E53_Place
BC011005,CSD,E53_Place
QC122001,CSD,E53_Place
NT202016,CSD,E53_Place
QC149054,CSD,E53_Place
QC171007,CSD,E53_Place
SK213017,CSD,E53_Place
QC031005,CSD,E53_Place
SK175040,CSD,E53_Place
QC048001,CSD,E53_Place
NS042014,CSD,E53_Place
QC186003,CSD,E53_Place
SK216028,CSD,E53_Place
QC093006,CSD,E53_Place
SK208011,CSD,E53_Place
NS015035,CSD,E53_Place
ON144012,CSD,E53_Place
MB167001,CSD,E53_Place
ON148025,CSD,E53_Place
QC062053,CSD,E53_Place
NS048014,CSD,E53_Place
QC195005,CSD,E53_Place
QC085012,CSD,E53_Place
NS011019,CSD,E53_Place
MB011003,CSD,E53_Place
QC157022,CSD,E53_Place
QC075008,CSD,E53_Place
ON054022,CSD,E53_Place
NS010032,CSD,E53_Place
QC139021,CSD,E53_Place
QC091007,CSD,E53_Place
NS044014,CSD,E53_Place
ON002005,CSD,E53_Place
ON018004,CSD,E53_Place
QC086045,CSD,E53_Place
ON096007,CSD,E53_Place
AB203025,CSD,E53_Place
NS016006,CSD,E53_Place
NS038018,CSD,E53_Place
NT201002,CSD,E53_Place
NS006028,CSD,E53_Place
QC187015,CSD,E53_Place
NB021007,CSD,E53_Place
QC198009,CSD,E53_Place
QC20N007,CSD,E53_Place
NT202061,CSD,E53_Place
QC002011,CSD,E53_Place
NB177002,CSD,E53_Place
AB189023,CSD,E53_Place
QC015005,CSD,E53_Place
NS039026,CSD,E53_Place
QC039011,CSD,E53_Place
SK180003,CSD,E53_Place
ON148138,CSD,E53_Place
QC149014,CSD,E53_Place
ON149005,CSD,E53_Place
ON120011,CSD,E53_Place
NS190004,CSD,E53_Place
ON044054,CSD,E53_Place
NS004001,CSD,E53_Place
NB028012,CSD,E53_Place
ON146106,CSD,E53_Place
QC177011,CSD,E53_Place
ON044051,CSD,E53_Place
SK173048,CSD,E53_Place
ON044006,CSD,E53_Place
QC093007,CSD,E53_Place
NS194006,CSD,E53_Place
QC190003,CSD,E53_Place
ON073004,CSD,E53_Place
ON121014,CSD,E53_Place
ON099115,CSD,E53_Place
ON017009,CSD,E53_Place
SK177002,CSD,E53_Place
BC010004,CSD,E53_Place
SK209012,CSD,E53_Place
QC063036,CSD,E53_Place
ON100007,CSD,E53_Place
ON108033,CSD,E53_Place
QC202006,CSD,E53_Place
MB184006,CSD,E53_Place
NS200004,CSD,E53_Place
SK172016,CSD,E53_Place
QC107005,CSD,E53_Place
QC031999,CSD,E53_Place
QC001008,CSD,E53_Place
ON128013,CSD,E53_Place
ON108001,CSD,E53_Place
NB018009,CSD,E53_Place
ON102011,CSD,E53_Place
ON067010,CSD,E53_Place
NS005017,CSD,E53_Place
NB024007,CSD,E53_Place
SK174018,CSD,E53_Place
NS026010,CSD,E53_Place
MB009011,CSD,E53_Place
QC152005,CSD,E53_Place
ON148196,CSD,E53_Place
ON093005,CSD,E53_Place
SK183033,CSD,E53_Place
QC160023,CSD,E53_Place
ON046029,CSD,E53_Place
QC086062,CSD,E53_Place
QC063020,CSD,E53_Place
QC069012,CSD,E53_Place
QC149008,CSD,E53_Place
QC144014,CSD,E53_Place
QC048013,CSD,E53_Place
NS191002,CSD,E53_Place
NB186006,CSD,E53_Place
QC092013,CSD,E53_Place
MB156007,CSD,E53_Place
ON052004,CSD,E53_Place
ON023007,CSD,E53_Place
QC041999,CSD,E53_Place
ON087012,CSD,E53_Place
ON113004,CSD,E53_Place
QC160013,CSD,E53_Place
QC037007,CSD,E53_Place
QC086096,CSD,E53_Place
NB030001,CSD,E53_Place
ON124004,CSD,E53_Place
QC041014,CSD,E53_Place
NS042017,CSD,E53_Place
NS008014,CSD,E53_Place
SK177049,CSD,E53_Place
QC090005,CSD,E53_Place
QC170006,CSD,E53_Place
QC165050,CSD,E53_Place
PE133010,CSD,E53_Place
ON175010,CSD,E53_Place
ON099071,CSD,E53_Place
QC165028,CSD,E53_Place
ON087009,CSD,E53_Place
QC197014,CSD,E53_Place
QC150021,CSD,E53_Place
QC047013,CSD,E53_Place
SK213023,CSD,E53_Place
NS034015,CSD,E53_Place
NS034010,CSD,E53_Place
QC144025,CSD,E53_Place
NS016016,CSD,E53_Place
BC209002,CSD,E53_Place
AB193029,CSD,E53_Place
AB200023,CSD,E53_Place
QC068003,CSD,E53_Place
ON182012,CSD,E53_Place
NT204061,CSD,E53_Place
QC063031,CSD,E53_Place
QC076023,CSD,E53_Place
QC142008,CSD,E53_Place
ON129024,CSD,E53_Place
ON096011,CSD,E53_Place
QC075006,CSD,E53_Place
ON148060,CSD,E53_Place
QC076015,CSD,E53_Place
NS053021,CSD,E53_Place
QC056016,CSD,E53_Place
ON123031,CSD,E53_Place
NT205034,CSD,E53_Place
SK175001,CSD,E53_Place
NS203008,CSD,E53_Place
NS021006,CSD,E53_Place
QC105003,CSD,E53_Place
BC003014,CSD,E53_Place
BC207003,CSD,E53_Place
ON141048,CSD,E53_Place
ON140010,CSD,E53_Place
NT204044,CSD,E53_Place
NT203084,CSD,E53_Place
NS010017,CSD,E53_Place
NS006004,CSD,E53_Place
ON124014,CSD,E53_Place
QC076048,CSD,E53_Place
ON109004,CSD,E53_Place
SK187013,CSD,E53_Place
QC001010,CSD,E53_Place
NS199009,CSD,E53_Place
QC154058,CSD,E53_Place
NT203065,CSD,E53_Place
ON122020,CSD,E53_Place
AB189024,CSD,E53_Place
ON067009,CSD,E53_Place
NS047020,CSD,E53_Place
ON013009,CSD,E53_Place
QC051013,CSD,E53_Place
ON108036,CSD,E53_Place
ON027005,CSD,E53_Place
MB019008,CSD,E53_Place
ON044024,CSD,E53_Place
ON025006,CSD,E53_Place
AB002003,CSD,E53_Place
QC008999,CSD,E53_Place
NS049032,CSD,E53_Place
ON099007,CSD,E53_Place
ON045013,CSD,E53_Place
SK181016,CSD,E53_Place
QC168003,CSD,E53_Place
NT203091,CSD,E53_Place
ON130022,CSD,E53_Place
QC169999,CSD,E53_Place
ON131004,CSD,E53_Place
AB204026,CSD,E53_Place
NS021005,CSD,E53_Place
ON177005,CSD,E53_Place
ON140004,CSD,E53_Place
QC163999,CSD,E53_Place
NB014007,CSD,E53_Place
ON034008,CSD,E53_Place
ON004002,CSD,E53_Place
BC011008,CSD,E53_Place
QC047038,CSD,E53_Place
QC086090,CSD,E53_Place
QC158015,CSD,E53_Place
ON099134,CSD,E53_Place
PE140009,CSD,E53_Place
QC039021,CSD,E53_Place
NS008010,CSD,E53_Place
SK172006,CSD,E53_Place
QC060014,CSD,E53_Place
ON151015,CSD,E53_Place
NS206013,CSD,E53_Place
SK176036,CSD,E53_Place
AB192012,CSD,E53_Place
NT203076,CSD,E53_Place
SK209018,CSD,E53_Place
ON178010,CSD,E53_Place
PE141023,CSD,E53_Place
ON016015,CSD,E53_Place
NT202075,CSD,E53_Place
YT217001,CSD,E53_Place
QC052020,CSD,E53_Place
QC094055,CSD,E53_Place
SK173017,CSD,E53_Place
SK182022,CSD,E53_Place
QC037014,CSD,E53_Place
QC054999,CSD,E53_Place
NS018005,CSD,E53_Place
QC188020,CSD,E53_Place
MB187003,CSD,E53_Place
NT203020,CSD,E53_Place
ON030005,CSD,E53_Place
NB023001,CSD,E53_Place
ON125015,CSD,E53_Place
QC200001,CSD,E53_Place
QC099009,CSD,E53_Place
PE135001,CSD,E53_Place
QC047002,CSD,E53_Place
QC166008,CSD,E53_Place
AB192026,CSD,E53_Place
ON130091,CSD,E53_Place
ON123115,CSD,E53_Place
NS199011,CSD,E53_Place
ON044042,CSD,E53_Place
QC192028,CSD,E53_Place
QC053019,CSD,E53_Place
ON102081,CSD,E53_Place
NS042999,CSD,E53_Place
QC068013,CSD,E53_Place
NS037018,CSD,E53_Place
NS035023,CSD,E53_Place
SK213003,CSD,E53_Place
QC134007,CSD,E53_Place
QC186021,CSD,E53_Place
ON119019,CSD,E53_Place
ON064015,CSD,E53_Place
QC154008,CSD,E53_Place
QC184008,CSD,E53_Place
AB003999,CSD,E53_Place
SK213001,CSD,E53_Place
SK183050,CSD,E53_Place
MB006013,CSD,E53_Place
QC144038,CSD,E53_Place
ON146124,CSD,E53_Place
ON132001,CSD,E53_Place
QC123007,CSD,E53_Place
QC064008,CSD,E53_Place
BC218005,CSD,E53_Place
MB159009,CSD,E53_Place
ON089003,CSD,E53_Place
MB023007,CSD,E53_Place
QC075015,CSD,E53_Place
SK212029,CSD,E53_Place
ON099128,CSD,E53_Place
MB156005,CSD,E53_Place
ON102033,CSD,E53_Place
QC007002,CSD,E53_Place
ON002003,CSD,E53_Place
NB015014,CSD,E53_Place
QC123006,CSD,E53_Place
SK207032,CSD,E53_Place
ON093004,CSD,E53_Place
ON121002,CSD,E53_Place
MB165007,CSD,E53_Place
NT205048,CSD,E53_Place
SK209029,CSD,E53_Place
QC032005,CSD,E53_Place
QC187029,CSD,E53_Place
ON076002,CSD,E53_Place
ON082009,CSD,E53_Place
PE135006,CSD,E53_Place
QC057005,CSD,E53_Place
NB016001,CSD,E53_Place
QC128005,CSD,E53_Place
QC078007,CSD,E53_Place
QC042014,CSD,E53_Place
NS036003,CSD,E53_Place
QC054004,CSD,E53_Place
QC179010,CSD,E53_Place
QC206008,CSD,E53_Place
ON181014,CSD,E53_Place
QC149044,CSD,E53_Place
NB176005,CSD,E53_Place
NS197012,CSD,E53_Place
QC185021,CSD,E53_Place
NB024001,CSD,E53_Place
QC164004,CSD,E53_Place
BC005004,CSD,E53_Place
QC046012,CSD,E53_Place
BC003006,CSD,E53_Place
AB003005,CSD,E53_Place
MB166012,CSD,E53_Place
ON119022,CSD,E53_Place
ON120041,CSD,E53_Place
SK181040,CSD,E53_Place
ON125006,CSD,E53_Place
ON148163,CSD,E53_Place
SK207019,CSD,E53_Place
NS031010,CSD,E53_Place
NS204006,CSD,E53_Place
ON044075,CSD,E53_Place
ON037007,CSD,E53_Place
ON115005,CSD,E53_Place
QC176013,CSD,E53_Place
ON024003,CSD,E53_Place
QC149035,CSD,E53_Place
SK173026,CSD,E53_Place
ON131010,CSD,E53_Place
ON061007,CSD,E53_Place
NS011035,CSD,E53_Place
NS034017,CSD,E53_Place
NT203007,CSD,E53_Place
ON102043,CSD,E53_Place
SK180016,CSD,E53_Place
SK172010,CSD,E53_Place
ON123100,CSD,E53_Place
MB167005,CSD,E53_Place
QC171016,CSD,E53_Place
NS014009,CSD,E53_Place
QC139029,CSD,E53_Place
NS026003,CSD,E53_Place
NS030017,CSD,E53_Place
SK178041,CSD,E53_Place
AB202026,CSD,E53_Place
NS047006,CSD,E53_Place
MB007027,CSD,E53_Place
ON143005,CSD,E53_Place
QC126004,CSD,E53_Place
ON168004,CSD,E53_Place
QC096014,CSD,E53_Place
SK177050,CSD,E53_Place
QC190013,CSD,E53_Place
NS035019,CSD,E53_Place
NS015009,CSD,E53_Place
ON115006,CSD,E53_Place
MB020002,CSD,E53_Place
SK183048,CSD,E53_Place
SK216031,CSD,E53_Place
QC025013,CSD,E53_Place
QC144036,CSD,E53_Place
QC080010,CSD,E53_Place
ON130075,CSD,E53_Place
SK184028,CSD,E53_Place
NB035011,CSD,E53_Place
QC056019,CSD,E53_Place
NB029001,CSD,E53_Place
NS013999,CSD,E53_Place
ON138014,CSD,E53_Place
QC144005,CSD,E53_Place
AB197002,CSD,E53_Place
NS010005,CSD,E53_Place
NS029023,CSD,E53_Place
QC201024,CSD,E53_Place
SK183046,CSD,E53_Place
ON145005,CSD,E53_Place
NS031023,CSD,E53_Place
NT203031,CSD,E53_Place
AB001012,CSD,E53_Place
ON136009,CSD,E53_Place
ON092007,CSD,E53_Place
QC138011,CSD,E53_Place
ON146119,CSD,E53_Place
ON113010,CSD,E53_Place
QC036003,CSD,E53_Place
ON013005,CSD,E53_Place
QC052004,CSD,E53_Place
QC094009,CSD,E53_Place
NS006017,CSD,E53_Place
QC100004,CSD,E53_Place
QC085014,CSD,E53_Place
QC080003,CSD,E53_Place
NT205023,CSD,E53_Place
QC153029,CSD,E53_Place
QC169014,CSD,E53_Place
QC157021,CSD,E53_Place
PE134015,CSD,E53_Place
ON117004,CSD,E53_Place
NS031999,CSD,E53_Place
ON152014,CSD,E53_Place
QC127006,CSD,E53_Place
