chain_id,year,tcpuid,original_name,canonical_name,should_apply,cd_name,province
chain_00056,1851,ON003002,[Start of chain],[Start of chain],False,Bruce,ON
chain_00056,1861,ON066004,Brant,Brant,False,Bruce,ON
chain_00057,1851,ON001001,[Start of chain],[Start of chain],False,Lennox and Addington ,ON
chain_00057,1861,ON084002,Amherst Island,Amherst Island,False,Lennox and Addington ,ON
chain_00058,1851,ON009004,[Start of chain],[Start of chain],False,Frontenac,ON
chain_00058,1861,ON072015,Wolfe Island,Wolfe Island,False,Frontenac,ON
chain_00059,1851,QC061006,[Start of chain],[Start of chain],False,Lotbiniere,QC
chain_00059,1861,QC030005,Ste. Croix and Convent,Ste. Croix and Convent,False,Lotbiniere,QC
chain_00060,1851,QC055005,[Start of chain],[Start of chain],False,Drummond,QC
chain_00060,1861,QC018002,Grantham,Grantham,False,Drummond,QC
chain_00061,1851,ON012002,[Start of chain],[Start of chain],False,Grenville ,ON
chain_00061,1861,ON074002,Edwardsburg,Edwardsburg,False,Grenville ,ON
chain_00062,1851,QC067001,[Start of chain],[Start of chain],False,Outaouais,QC
chain_00062,1861,QC039003,"Aylmer, Village","Aylmer, Village",False,Outaouais,QC
chain_00063,1851,QC063001,[Start of chain],[Start of chain],False,Brome,QC
chain_00063,1861,QC010005,Sutton,Sutton,False,Brome,QC
chain_00064,1851,QC071019,[Start of chain],[Start of chain],False,Rimouski,QC
chain_00064,1861,QC045004,"Matane, Township","Matane, Township",False,Rimouski,QC
chain_00065,1851,QC080015,[Start of chain],[Start of chain],False,Argenteuil,QC
chain_00065,1861,QC002004,Grenville,Grenville,False,Argenteuil,QC
chain_00066,1851,ON035008,[Start of chain],[Start of chain],False,Simcoe,ON
chain_00066,1861,ON098016,Sunnidale,Sunnidale,False,Simcoe,ON
chain_00067,1851,QC068007,[Start of chain],[Start of chain],False,Portneuf,QC
chain_00067,1861,QC041011,St. Raymond,St. Raymond,False,Portneuf,QC
chain_00068,1851,ON002001,[Start of chain],[Start of chain],False,Brant,ON
chain_00068,1861,ON065002,Brantford,Brantford,False,Brant,ON
chain_00069,1851,QC069013,[Start of chain],[Start of chain],False,Quebec (Comté),QC
chain_00069,1861,QC042004,General Hospital,General Hospital,False,Quebec (Comté),QC
chain_00070,1851,QC079013,[Start of chain],[Start of chain],False,Laval,QC
chain_00070,1861,QC028002,St. Martin,St. Martin,False,Laval,QC
chain_00071,1851,QC074002,[Start of chain],[Start of chain],False,Charlevoix,QC
chain_00071,1861,QC013012,St. Urbain,St. Urbain,False,Charlevoix,QC
chain_00072,1851,QC071009,[Start of chain],[Start of chain],False,Temiscouata,QC
chain_00072,1861,QC054008,St. Eloi,St. Eloi,False,Temiscouata,QC
chain_00073,1851,ON010001,[Start of chain],[Start of chain],False,Glengary ,ON
chain_00073,1861,ON073003,Lancaster,Lancaster,False,Glengary ,ON
chain_00074,1851,ON033012,[Start of chain],[Start of chain],False,Renfrew,ON
chain_00074,1861,ON096009,Grattan,Grattan,False,Renfrew,ON
chain_00075,1851,ON013009,[Start of chain],[Start of chain],False,Haldimand,ON
chain_00075,1861,ON076010,Walpole,Walpole,False,Haldimand,ON
chain_00076,1851,ON009006,[Start of chain],[Start of chain],False,Frontenac,ON
chain_00076,1861,ON072006,Loughborough,Loughborough,False,Frontenac,ON
chain_00077,1851,QC058001,[Start of chain],[Start of chain],False,Kamouraska,QC
chain_00077,1861,QC026007,Ste. Anne,Ste. Anne,False,Kamouraska,QC
chain_00078,1851,ON018002,[Start of chain],[Start of chain],False,Lambton,ON
chain_00078,1861,ON081002,Brooke,Brooke,False,Lambton,ON
chain_00079,1851,ON019005,[Start of chain],[Start of chain],False,Lanark,ON
chain_00079,1861,ON082009,Lavant,Lavant,False,Lanark,ON
chain_00080,1851,QC060002,[Start of chain],[Start of chain],False,Montmagny,QC
chain_00080,1861,QC035012,St. Thomas,St. Thomas,False,Montmagny,QC
chain_00081,1851,ON012006,[Start of chain],[Start of chain],False,Grenville ,ON
chain_00081,1861,ON074007,"Present, town of","Present, town of",False,Grenville ,ON
chain_00082,1851,ON030005,[Start of chain],[Start of chain],False,Peterborough,ON
chain_00082,1861,ON093010,"Monaghan, North","Monaghan, North",False,Peterborough,ON
chain_00083,1851,QC067007,[Start of chain],[Start of chain],False,Pontiac,QC
chain_00083,1861,QC040005,Clarendon,Clarendon,False,Pontiac,QC
chain_00084,1851,ON027005,[Start of chain],[Start of chain],False,Oxford,ON
chain_00084,1861,ON090011,"Oxford, West","Oxford, West",False,Oxford,ON
chain_00085,1851,QC050013,[Start of chain],[Start of chain],False,Berthier,QC
chain_00085,1861,QC008010,St. Norbert,St. Norbert,False,Berthier,QC
chain_00086,1851,QC051999,[Start of chain],[Start of chain],False,Bonaventure,QC
chain_00086,1861,QC009999,NO DATA,NO DATA,False,Bonaventure,QC
chain_00087,1851,QC075003,[Start of chain],[Start of chain],False,Shefford,QC
chain_00087,1861,QC048001,Ely,Ely,False,Shefford,QC
chain_00088,1851,ON022003,[Start of chain],[Start of chain],False,Lincoln,ON
chain_00088,1861,ON085003,Gainsborough,Gainsborough,False,Lincoln,ON
chain_00089,1851,ON039002,[Start of chain],[Start of chain],False,Wellington,ON
chain_00089,1861,ON103016,Puslinch,Puslinch,False,Wellington,ON
chain_00090,1851,ON038007,[Start of chain],[Start of chain],False,Waterloo,ON
chain_00090,1861,ON101006,"Preston, Village","Preston, Village",False,Waterloo,ON
chain_00091,1851,ON016002,[Start of chain],[Start of chain],False,Huron,ON
chain_00091,1861,ON079015,Stephen,Stephen,False,Huron,ON
chain_00092,1851,ON035018,[Start of chain],[Start of chain],False,Simcoe,ON
chain_00092,1861,ON098002,"Barrie, Town of","Barrie, Town of",False,Simcoe,ON
chain_00093,1851,QC075005,[Start of chain],[Start of chain],False,Shefford,QC
chain_00093,1861,QC048006,Shefford,Shefford,False,Shefford,QC
chain_00094,1851,QC077002,[Start of chain],[Start of chain],False,Stanstead,QC
chain_00094,1861,QC053003,Barnston,Barnston,False,Stanstead,QC
chain_00095,1851,ON016001,[Start of chain],[Start of chain],False,Huron,ON
chain_00095,1861,ON079008,Hay,Hay,False,Huron,ON
chain_00096,1851,QC081011,[Start of chain],[Start of chain],False,Vaudreuil,QC
chain_00096,1861,QC057002,Newton,Newton,False,Vaudreuil,QC
chain_00097,1851,ON019002,[Start of chain],[Start of chain],False,Lanark,ON
chain_00097,1861,ON082002,Beckwith,Beckwith,False,Lanark,ON
chain_00098,1851,QC051001,[Start of chain],[Start of chain],False,Bonaventure,QC
chain_00098,1861,QC009003,Daniel (Port),Daniel (Port),False,Bonaventure,QC
chain_00099,1851,QC063006,[Start of chain],[Start of chain],False,Missisquoi,QC
chain_00099,1861,QC033008,Stanbridge,Stanbridge,False,Missisquoi,QC
chain_00100,1851,ON020005,[Start of chain],[Start of chain],False,Leeds,ON
chain_00100,1861,ON083007,Elizabethtown,Elizabethtown,False,Leeds,ON
chain_00101,1851,ON032003,[Start of chain],[Start of chain],False,Prince Edward,ON
chain_00101,1861,ON095003,Hallowell,Hallowell,False,Prince Edward,ON
chain_00102,1851,ON024003,[Start of chain],[Start of chain],False,Northumberland,ON
chain_00102,1861,ON088007,Haldimand,Haldimand,False,Northumberland,ON
chain_00103,1851,ON016006,[Start of chain],[Start of chain],False,Huron,ON
chain_00103,1861,ON079009,Howick,Howick,False,Huron,ON
chain_00104,1851,ON008005,[Start of chain],[Start of chain],False,Essex,ON
chain_00104,1861,ON071005,Maidstone,Maidstone,False,Essex,ON
chain_00105,1851,QC071011,[Start of chain],[Start of chain],False,Rimouski,QC
chain_00105,1861,QC045013,St. Simon,St. Simon,False,Rimouski,QC
chain_00106,1851,ON002006,[Start of chain],[Start of chain],False,Brant ,ON
chain_00106,1861,ON065006,Onondag,Onondag,False,Brant ,ON
chain_00107,1851,ON019013,[Start of chain],[Start of chain],False,Lanark,ON
chain_00107,1861,ON082012,"Perth, Town of","Perth, Town of",False,Lanark,ON
chain_00108,1851,QC080017,[Start of chain],[Start of chain],False,Argenteuil,QC
chain_00108,1861,QC002005,Gore,Gore,False,Argenteuil,QC
chain_00109,1851,ON001003,[Start of chain],[Start of chain],False,Lennox and Addington ,ON
chain_00109,1861,ON084006,Ernestown,Ernestown,False,Lennox and Addington ,ON
chain_00110,1851,QC051011,[Start of chain],[Start of chain],False,Bonaventure,QC
chain_00110,1861,QC009008,Matapedia,Matapedia,False,Bonaventure,QC
chain_00111,1851,QC048008,[Start of chain],[Start of chain],False,Chateauguay,QC
chain_00111,1861,QC014007,St. Urbain Premier,St. Urbain Premier,False,Chateauguay,QC
chain_00112,1851,QC056008,[Start of chain],[Start of chain],False,Gaspé,QC
chain_00112,1861,QC019002,Cap Rosier,Cap Rosier,False,Gaspé,QC
chain_00113,1851,ON008007,[Start of chain],[Start of chain],False,Essex,ON
chain_00113,1861,ON071007,Mersea,Mersea,False,Essex,ON
chain_00114,1851,ON019009,[Start of chain],[Start of chain],False,Lanark,ON
chain_00114,1861,ON082005,Darling,Darling,False,Lanark,ON
chain_00115,1851,ON013004,[Start of chain],[Start of chain],False,Haldimand,ON
chain_00115,1861,ON076004,Dunn,Dunn,False,Haldimand,ON
chain_00116,1851,QC050002,[Start of chain],[Start of chain],False,Berthier,QC
chain_00116,1861,QC008007,St. Barthélemi,St. Barthélemi,False,Berthier,QC
chain_00117,1851,QC057003,[Start of chain],[Start of chain],False,Laprairie,QC
chain_00117,1861,QC027003,St. Constant,St. Constant,False,Laprairie,QC
chain_00118,1851,ON011008,[Start of chain],[Start of chain],False,Grey,ON
chain_00118,1861,ON075008,Holland,Holland,False,Grey,ON
chain_00119,1851,ON002004,[Start of chain],[Start of chain],False,Brant ,ON
chain_00119,1861,ON065004,"Dumfries, South","Dumfries, South",False,Brant ,ON
chain_00120,1851,ON042006,[Start of chain],[Start of chain],False,York,ON
chain_00120,1861,ON105006,King,King,False,York,ON
chain_00121,1851,ON020007,[Start of chain],[Start of chain],False,Leeds,ON
chain_00121,1861,ON083008,Escott,Escott,False,Leeds,ON
chain_00122,1851,ON035011,[Start of chain],[Start of chain],False,Simcoe,ON
chain_00122,1861,ON098005,Essa,Essa,False,Simcoe,ON
chain_00123,1851,ON038001,[Start of chain],[Start of chain],False,Waterloo,ON
chain_00123,1861,ON101002,"Dumfries, North","Dumfries, North",False,Waterloo,ON
chain_00124,1851,ON018010,[Start of chain],[Start of chain],False,Lambton,ON
chain_00124,1861,ON081011,Warwick,Warwick,False,Lambton,ON
chain_00125,1851,ON022006,[Start of chain],[Start of chain],False,Lincoln,ON
chain_00125,1861,ON085006,Louth,Louth,False,Lincoln,ON
chain_00126,1851,ON025005,[Start of chain],[Start of chain],False,Norfolk,ON
chain_00126,1861,ON087005,Townsend,Townsend,False,Norfolk,ON
chain_00127,1851,ON040010,[Start of chain],[Start of chain],False,Welland,ON
chain_00127,1861,ON102010,"Thorald, Village","Thorald, Village",False,Welland,ON
chain_00128,1851,QC074001,[Start of chain],[Start of chain],False,Charlevoix,QC
chain_00128,1861,QC013001,Baie St. Paul,Baie St. Paul,False,Charlevoix,QC
chain_00129,1851,ON041006,[Start of chain],[Start of chain],False,Wentworth,ON
chain_00129,1861,ON104003,Binbrook,Binbrook,False,Wentworth,ON
chain_00130,1851,QC080004,[Start of chain],[Start of chain],False,Two Mountains,QC
chain_00130,1861,QC056008,St. Hermas,St. Hermas,False,Two Mountains,QC
chain_00131,1851,ON016009,[Start of chain],[Start of chain],False,Huron,ON
chain_00131,1861,ON079001,Ashfield,Ashfield,False,Huron,ON
chain_00132,1851,QC078010,[Start of chain],[Start of chain],False,Bagot,QC
chain_00132,1861,QC004007,Ste. Rosalie,Ste. Rosalie,False,Bagot,QC
chain_00133,1851,ON039011,[Start of chain],[Start of chain],False,Wellington,ON
chain_00133,1861,ON103001,Amaranth,Amaranth,False,Wellington,ON
chain_00134,1851,ON009007,[Start of chain],[Start of chain],False,Frontenac,ON
chain_00134,1861,ON072012,Portland,Portland,False,Frontenac,ON
chain_00135,1851,ON005002,[Start of chain],[Start of chain],False,Dundas,ON
chain_00135,1861,ON068004,Mountain,Mountain,False,Dundas,ON
chain_00136,1851,QC064009,[Start of chain],[Start of chain],False,Montmorency,QC
chain_00136,1861,QC036007,St. François,St. François,False,Montmorency,QC
chain_00137,1851,ON022005,[Start of chain],[Start of chain],False,Lincoln,ON
chain_00137,1861,ON085005,Grimsby,Grimsby,False,Lincoln,ON
chain_00138,1851,QC069999,[Start of chain],[Start of chain],False,Quebec (Comté),QC
chain_00138,1861,QC042999,NO DATA,NO DATA,False,Quebec (Comté),QC
chain_00139,1851,ON035005,[Start of chain],[Start of chain],False,Simcoe,ON
chain_00139,1861,ON098021,Vespra,Vespra,False,Simcoe,ON
chain_00140,1851,QC050003,[Start of chain],[Start of chain],False,Berthier,QC
chain_00140,1861,QC008008,St. Cuthbert,St. Cuthbert,False,Berthier,QC
chain_00141,1851,ON017002,[Start of chain],[Start of chain],False,Kent,ON
chain_00141,1861,ON080003,Chatham and Gore,Chatham and Gore,False,Kent,ON
chain_00142,1851,ON011002,[Start of chain],[Start of chain],False,Grey,ON
chain_00142,1861,ON075002,Bentinck,Bentinck,False,Grey,ON
chain_00143,1851,QC050001,[Start of chain],[Start of chain],False,Berthier,QC
chain_00143,1861,QC008004,Isle du Pads,Isle du Pads,False,Berthier,QC
chain_00144,1851,QC059008,[Start of chain],[Start of chain],False,Montcalm,QC
chain_00144,1861,QC034006,St. Esprit,St. Esprit,False,Montcalm,QC
chain_00145,1851,QC068006,[Start of chain],[Start of chain],False,Portneuf,QC
chain_00145,1861,QC041008,St. Bazile,St. Bazile,False,Portneuf,QC
chain_00146,1851,QC064005,[Start of chain],[Start of chain],False,Montmorency,QC
chain_00146,1861,QC036009,St. Joachim,St. Joachim,False,Montmorency,QC
chain_00147,1851,QC071010,[Start of chain],[Start of chain],False,Temiscouata,QC
chain_00147,1861,QC054004,Isle Verte,Isle Verte,False,Temiscouata,QC
chain_00148,1851,ON025001,[Start of chain],[Start of chain],False,Norfolk,ON
chain_00148,1861,ON087002,Houghton,Houghton,False,Norfolk,ON
chain_00149,1851,ON021001,[Start of chain],[Start of chain],False,Lennox and Addington ,ON
chain_00149,1861,ON084001,Adolphustown,Adolphustown,False,Lennox and Addington ,ON
chain_00150,1851,QC048001,[Start of chain],[Start of chain],False,Huntingdon,QC
chain_00150,1861,QC021006,St. Anicet,St. Anicet,False,Huntingdon,QC
chain_00151,1851,ON024010,[Start of chain],[Start of chain],False,Northumberland,ON
chain_00151,1861,ON088004,"Cobourg, Town of","Cobourg, Town of",False,Northumberland,ON
chain_00152,1851,ON007007,[Start of chain],[Start of chain],False,Elgin,ON
chain_00152,1861,ON070009,Yarmouth,Yarmouth,False,Elgin,ON
chain_00153,1851,QC064003,[Start of chain],[Start of chain],False,Montmorency,QC
chain_00153,1861,QC036003,Laval,Laval,False,Montmorency,QC
chain_00154,1851,ON024009,[Start of chain],[Start of chain],False,Northumberland,ON
chain_00154,1861,ON088010,Murray,Murray,False,Northumberland,ON
chain_00155,1851,ON026005,[Start of chain],[Start of chain],False,Ontario,ON
chain_00155,1861,ON089001,Brock,Brock,False,Ontario,ON
chain_00156,1851,ON008002,[Start of chain],[Start of chain],False,Essex,ON
chain_00156,1861,ON071002,Anderdon,Anderdon,False,Essex,ON
chain_00157,1851,QC057004,[Start of chain],[Start of chain],False,Laprairie,QC
chain_00157,1861,QC027006,St. Philippe,St. Philippe,False,Laprairie,QC
chain_00158,1851,ON032006,[Start of chain],[Start of chain],False,Prince Edward,ON
chain_00158,1861,ON095007,Sophiasburgh,Sophiasburgh,False,Prince Edward,ON
chain_00159,1851,QC067015,[Start of chain],[Start of chain],False,Outaouais,QC
chain_00159,1861,QC039028,Masham,Masham,False,Outaouais,QC
chain_00160,1851,ON040005,[Start of chain],[Start of chain],False,Welland,ON
chain_00160,1861,ON102013,Willoughby,Willoughby,False,Welland,ON
chain_00161,1851,ON007005,[Start of chain],[Start of chain],False,Elgin,ON
chain_00161,1861,ON070005,Malahide,Malahide,False,Elgin,ON
chain_00162,1851,QC064006,[Start of chain],[Start of chain],False,Montmorency,QC
chain_00162,1861,QC036006,St. Féréol,St. Féréol,False,Montmorency,QC
chain_00163,1851,ON008003,[Start of chain],[Start of chain],False,Essex,ON
chain_00163,1861,ON071003,Colchester,Colchester,False,Essex,ON
chain_00164,1851,,[Start of chain],[Start of chain],False,Bruce,ON
chain_00164,1861,ON066002,Amabel,Amabel,False,Bruce,ON
chain_00165,1851,ON045006,[Start of chain],[Start of chain],False,Kingston,ON
chain_00165,1861,ON109005,St. Lawrence Ward,St. Lawrence Ward,False,Kingston,ON
chain_00166,1851,QC059010,[Start of chain],[Start of chain],False,Montcalm,QC
chain_00166,1861,QC034005,St. Alexis,St. Alexis,False,Montcalm,QC
chain_00167,1851,ON044002,[Start of chain],[Start of chain],False,Hamilton,ON
chain_00167,1861,ON108004,St. Mary’s Ward,St. Mary’s Ward,False,Hamilton,ON
chain_00168,1851,ON004011,[Start of chain],[Start of chain],False,Carleton,ON
chain_00168,1861,ON067011,Torbolton,Torbolton,False,Carleton,ON
chain_00169,1851,QC062009,[Start of chain],[Start of chain],False,Mégantic,QC
chain_00169,1861,QC032001,Broughton,Broughton,False,Mégantic,QC
chain_00170,1851,ON041003,[Start of chain],[Start of chain],False,Wentworth,ON
chain_00170,1861,ON104007,"Flamboro, West","Flamboro, West",False,Wentworth,ON
chain_00171,1851,QC053006,[Start of chain],[Start of chain],False,Champlain,QC
chain_00171,1861,QC012007,Ste. Geneviève de Batiscan,Ste. Geneviève de Batiscan,False,Champlain,QC
chain_00172,1851,QC069007,[Start of chain],[Start of chain],False,Quebec (Comté),QC
chain_00172,1861,QC042010,St. Edmond,St. Edmond,False,Quebec (Comté),QC
chain_00173,1851,ON035013,[Start of chain],[Start of chain],False,Simcoe,ON
chain_00173,1861,ON098001,Adjala,Adjala,False,Simcoe,ON
chain_00174,1851,QC057005,[Start of chain],[Start of chain],False,Laprairie,QC
chain_00174,1861,QC027004,St. Isidore,St. Isidore,False,Laprairie,QC
chain_00175,1851,ON045002,[Start of chain],[Start of chain],False,Kingston,ON
chain_00175,1861,ON109004,Rideau Ward,Rideau Ward,False,Kingston,ON
chain_00176,1851,ON013003,[Start of chain],[Start of chain],False,Haldimand,ON
chain_00176,1861,ON076002,"Cayuga, North","Cayuga, North",False,Haldimand,ON
chain_00177,1851,ON027011,[Start of chain],[Start of chain],False,Oxford,ON
chain_00177,1861,ON090012,"Woodstock, Town of","Woodstock, Town of",False,Oxford,ON
chain_00178,1851,ON004003,[Start of chain],[Start of chain],False,Carleton,ON
chain_00178,1861,ON067003,Goulbourne,Goulbourne,False,Carleton,ON
chain_00179,1851,QC062010,[Start of chain],[Start of chain],False,Beauce,QC
chain_00179,1861,QC005018,Tring,Tring,False,Beauce,QC
chain_00180,1851,QC067016,[Start of chain],[Start of chain],False,Pontiac,QC
chain_00180,1861,QC040011,Onslow,Onslow,False,Pontiac,QC
chain_00181,1851,NL998999,[Start of chain],[Start of chain],False,Newfoundland,NL
chain_00181,1861,NL998999,NO DATA,NO DATA,False,Newfoundland,NL
