year_from,year_to,tcpuid_from,tcpuid_to,name_from,name_to,iou,name_similarity,len_diff,cd_name_from,cd_name_to,pr_from
1901,1911,ON091047,ON108052,"Sundridge, Village",Sundridge vl,1.0,76.62,6,Muskoka & Parry Sound,Parry Sound,ON
1901,1911,MB011011,MB022011,"Selkirk, Town—Ville",Selkirk t-v,1.0,76.67,8,Selkirk,Selkirk,MB
1901,1911,ON092041,ON099167,"Mattawa, Town—Ville",Mattawa t-v,1.0,76.67,8,Nipissing,Nipissing,ON
1901,1911,ON092056,ON099171,"Sudbury, Town—Ville",Sudbury t-v,1.0,76.67,8,Nipissing,Nipissing,ON
1901,1911,ON123012,ON132010,"Thorold, Town—Ville",Thorold t-v,1.0,76.67,8,Welland,Welland,ON
1901,1911,ON123013,ON132011,"Welland, Town—Ville",Welland t-v,1.0,76.67,8,Welland,Welland,ON
1901,1911,NS030001,NS042030,"Amherst, Town—Ville",Amherst t-v,1.0,76.67,8,Cumberland,Cumberland,NS
1901,1911,NS034019,NS046019,"Windsor, Town—Ville",Windsor t-v,1.0,76.67,8,Hants,Hants,NS
1901,1911,NS037010,NS049009,"Chester, East—Est",Chester E.,1.0,76.67,7,Lunenburg,Lunenburg,NS
1901,1911,NS037011,NS049010,"Chester, West—Ouest",Chester W-O,1.0,76.67,8,Lunenburg,Lunenburg,NS
1901,1911,NS038030,NS050028,"River John, West Branch—Branche Ouest",River John W. Branch,1.0,76.67,17,Pictou,Pictou,NS
1901,1911,NS039002,NS051003,"Arichat, West—Ouest",Arichat W-O,1.0,76.67,8,Richmond,Richmond,NS
1901,1911,NS042015,NS053015,"Pubnico, East—Est",Pubnico E.,1.0,76.67,7,Yarmouth,Yarmouth,NS
1901,1911,NS042017,NS053017,"Pubnico, West—Ouest",Pubnico W-O,1.0,76.67,8,Yarmouth,Yarmouth,NS
1901,1911,QC142009,QC147008,St. Ignace,St. Ignace de Loyola,1.0,76.67,10,Berthier,Berthier,QC
1901,1911,QC146004,QC151002,La Visitation,La Visitation de Champlain,1.0,76.67,13,Champlain,Champlain,QC
1901,1911,QC153016,QC158033,"Wickham, West—Ouest",Wickham W-O,1.0,76.67,8,Drummond & Arthabaska,Drummond & Arthabaska,QC
1901,1911,QC157004,QC162013,"Lachine, Town—Ville",Lachine t-v,1.0,76.67,8,Jacques-Cartier,Jacques-Cartier,QC
1901,1911,QC169017,QC174016,"Somerset, South—Sud",Somerset S.,1.0,76.67,8,Mégantic,Mégantic,QC
1901,1911,QC170006,QC175002,"Farnham, West—Ouest",Farnham W-O,0.9918,76.67,8,Missisquoi,Missisquoi,QC
1901,1911,QC170001,QC175012,"Bedford, Town—Ville",Bedford t-v,1.0,76.67,8,Missisquoi,Missisquoi,QC
1901,1911,QC170005,QC175013,"Farnham, Town—Ville",Farnham t-v,1.0,76.67,8,Missisquoi,Missisquoi,QC
1901,1911,QC137009,QC142013,"Lachute, Town—Ville",Lachute t-v,1.0,76.67,8,Argenteuil,Argenteuil,QC
1901,1911,ON131003,ON136007,"Richmond Hill, Village",Richmond Hill vl,1.0,76.73,6,"York, West—Ouest",York Centre,ON
1901,1911,ON073006,ON081004,Tumberry,Turnberry,1.0,76.74,1,"Huron, East—Est",Huron E,ON
1901,1911,ON067001,ON075012,"Caledonia, Village",Caledonia vl,1.0,76.77,6,Haldimand & Monok,Haldimand,ON
1901,1911,ON098002,ON104008,"Port Perry, Village",Port Perry vl,1.0,76.88,6,"Ontario, South—Sud",Ontario S,ON
1901,1911,ON085010,ON093014,"Port Dalhousie, Village",Port Dalhousie vl,1.0,77.0,6,Lincoln & Niagara,Lincoln,ON
1901,1911,ON119013,ON129029,Snowdon,Snowden,1.0,77.14,0,"Victoria, North—Nord",Victoria,ON
1901,1911,ON106020,ON112012,"Norwood, Village",Norwood vl,1.0,77.18,6,"Peterborough, East—Est",Peterborough E,ON
1901,1911,ON043006,ON069007,Hinchinbrooke,Hinchinbrook,1.0,77.2,1,Addington,Frontenac,ON
1901,1911,ON099006,ON137005,Whitchurch,Whitchurch,1.0,77.2,0,"Ontario, West—Ouest",York N,ON
1901,1911,ON078002,ON087009,"Arkona, Village",Arkona vl,1.0,77.33,6,"Lambton, East—Est",Lambton East,ON
1901,1911,ON118001,ON127003,"Toronto, Ward—Quartier 3 (part)","Toronto, ward-quartier 3 pt",1.0,77.35,4,"Toronto, East—Est, City—Cité",Toronto S,ON
1901,1911,ON117001,ON127001,"Toronto, Ward—Quartier 1 (part)","Toronto, ward-quartier 1 pt",1.0,77.35,4,"Toronto, East—Est, City—Cité",Toronto S,ON
1901,1911,ON057004,ON065006,"Port Stanley, Village",Port Stanley vl,1.0,77.42,6,"Elgin, East—Est",Elgin E,ON
1901,1911,ON049001,ON059001,Albemarle & Cape Croker Ind. Reserve,Albemarle & Cape Croker I R,1.0,77.5,9,"Bruce, North—Nord",Bruce N,ON
1901,1911,ON051005,ON062005,Mono,Mono,1.0,77.5,0,Cardwell,Dufferin,ON
1901,1911,ON051001,ON121001,Adjala,Adjala,1.0,77.5,0,Cardwell,Simcoe S,ON
1901,1911,ON085009,ON132004,Pelham,Pelham,1.0,77.5,0,Lincoln & Niagara,Welland,ON
1901,1911,QC153009,QC206004,St. Bonaventure d’Upton,St. Bonaventure d'Upton,1.0,77.67,0,Drummond & Arthabaska,Yamaska,QC
1901,1911,ON105007,ON082006,Usborne,Usborne,1.0,77.83,0,"Perth, South—Sud",Huron S,ON
1901,1911,ON113004,ON098011,Medora & Wood,Medora & Wood,1.0,77.83,0,"Simcoe, East—Est",Muskoka,ON
1901,1911,ON113006,ON098012,Monck,Monck,1.0,77.83,0,"Simcoe, East—Est",Muskoka,ON
