observation_id:ID,:LABEL,variable_name,variable_category,value_numeric:float,value_string,unit,source_table,notes
NB184004_1871_ARE_XX_A,E13_Attribute_Assignment,ARE_XX_A,AGR,215000.0,,unknown,V1T1,
NB184004_1871_HOUSE_TS_N,E13_Attribute_Assignment,HOUSE_TS_N,BLD,7.0,,unknown,V1T1,
NB184004_1871_HOUSE_XI_N,E13_Attribute_Assignment,HOUSE_XI_N,BLD,92.0,,unknown,V1T1,
NB184004_1871_HOUSE_XU_N,E13_Attribute_Assignment,HOUSE_XU_N,BLD,2.0,,unknown,V1T1,
NB184004_1871_HOUSE_XO_N,E13_Attribute_Assignment,HOUSE_XO_N,BLD,99.0,,unknown,V1T1,
NB184004_1871_POP_XF_N,E13_Attribute_Assignment,POP_XF_N,POP,101.0,,persons,V1T1,
NB184004_1871_POP_XX_N,E13_Attribute_Assignment,POP_XX_N,POP,605.0,,persons,V1T1,
NB184004_1871_POP_MX_N,E13_Attribute_Assignment,POP_MX_N,POP,330.0,,persons,V1T1,
NB184004_1871_POP_FX_N,E13_Attribute_Assignment,POP_FX_N,POP,275.0,,persons,V1T1,
NB184004_1871_POP_MM_N,E13_Attribute_Assignment,POP_MM_N,POP,80.0,,persons,V1T1,
NB184004_1871_POP_FM_N,E13_Attribute_Assignment,POP_FM_N,POP,81.0,,persons,V1T1,
NB184004_1871_POP_XM_N,E13_Attribute_Assignment,POP_XM_N,POP,161.0,,persons,V1T1,
NB184004_1871_POP_MW_N,E13_Attribute_Assignment,POP_MW_N,POP,6.0,,persons,V1T1,
NB184004_1871_POP_FW_N,E13_Attribute_Assignment,POP_FW_N,POP,11.0,,persons,V1T1,
NB184004_1871_POP_XW_N,E13_Attribute_Assignment,POP_XW_N,POP,17.0,,persons,V1T1,
NB184004_1871_AGE_0to17MS_N,E13_Attribute_Assignment,AGE_0to17MS_N,AGE,244.0,,persons,V1T1,
NB184004_1871_AGE_0to17FS_N,E13_Attribute_Assignment,AGE_0to17FS_N,AGE,183.0,,persons,V1T1,
NB184004_1871_AGE_0to17XS_N,E13_Attribute_Assignment,AGE_0to17XS_N,AGE,427.0,,persons,V1T1,
NB184005_1871_ARE_XX_A,E13_Attribute_Assignment,ARE_XX_A,AGR,368640.0,,unknown,V1T1,
NB184005_1871_HOUSE_TS_N,E13_Attribute_Assignment,HOUSE_TS_N,BLD,1.0,,unknown,V1T1,
NB184005_1871_HOUSE_XI_N,E13_Attribute_Assignment,HOUSE_XI_N,BLD,105.0,,unknown,V1T1,
NB184005_1871_HOUSE_XU_N,E13_Attribute_Assignment,HOUSE_XU_N,BLD,8.0,,unknown,V1T1,
NB184005_1871_HOUSE_XC_N,E13_Attribute_Assignment,HOUSE_XC_N,BLD,5.0,,unknown,V1T1,
NB184005_1871_HOUSE_XO_N,E13_Attribute_Assignment,HOUSE_XO_N,BLD,106.0,,unknown,V1T1,
NB184005_1871_POP_XF_N,E13_Attribute_Assignment,POP_XF_N,POP,109.0,,persons,V1T1,
NB184005_1871_POP_XX_N,E13_Attribute_Assignment,POP_XX_N,POP,757.0,,persons,V1T1,
NB184005_1871_POP_MX_N,E13_Attribute_Assignment,POP_MX_N,POP,381.0,,persons,V1T1,
NB184005_1871_POP_FX_N,E13_Attribute_Assignment,POP_FX_N,POP,376.0,,persons,V1T1,
NB184005_1871_POP_MM_N,E13_Attribute_Assignment,POP_MM_N,POP,115.0,,persons,V1T1,
NB184005_1871_POP_FM_N,E13_Attribute_Assignment,POP_FM_N,POP,113.0,,persons,V1T1,
NB184005_1871_POP_XM_N,E13_Attribute_Assignment,POP_XM_N,POP,228.0,,persons,V1T1,
NB184005_1871_POP_MW_N,E13_Attribute_Assignment,POP_MW_N,POP,10.0,,persons,V1T1,
NB184005_1871_POP_FW_N,E13_Attribute_Assignment,POP_FW_N,POP,19.0,,persons,V1T1,
NB184005_1871_POP_XW_N,E13_Attribute_Assignment,POP_XW_N,POP,29.0,,persons,V1T1,
NB184005_1871_AGE_0to17MS_N,E13_Attribute_Assignment,AGE_0to17MS_N,AGE,256.0,,persons,V1T1,
NB184005_1871_AGE_0to17FS_N,E13_Attribute_Assignment,AGE_0to17FS_N,AGE,244.0,,persons,V1T1,
NB184005_1871_AGE_0to17XS_N,E13_Attribute_Assignment,AGE_0to17XS_N,AGE,500.0,,persons,V1T1,
NB184006_1871_ARE_XX_A,E13_Attribute_Assignment,ARE_XX_A,AGR,204000.0,,unknown,V1T1,
NB184006_1871_HOUSE_TS_N,E13_Attribute_Assignment,HOUSE_TS_N,BLD,7.0,,unknown,V1T1,
NB184006_1871_HOUSE_XI_N,E13_Attribute_Assignment,HOUSE_XI_N,BLD,235.0,,unknown,V1T1,
NB184006_1871_HOUSE_XU_N,E13_Attribute_Assignment,HOUSE_XU_N,BLD,20.0,,unknown,V1T1,
NB184006_1871_HOUSE_XC_N,E13_Attribute_Assignment,HOUSE_XC_N,BLD,3.0,,unknown,V1T1,
NB184006_1871_HOUSE_XO_N,E13_Attribute_Assignment,HOUSE_XO_N,BLD,242.0,,unknown,V1T1,
NB184006_1871_POP_XF_N,E13_Attribute_Assignment,POP_XF_N,POP,246.0,,persons,V1T1,
NB184006_1871_POP_XX_N,E13_Attribute_Assignment,POP_XX_N,POP,1688.0,,persons,V1T1,
NB184006_1871_POP_MX_N,E13_Attribute_Assignment,POP_MX_N,POP,897.0,,persons,V1T1,
NB184006_1871_POP_FX_N,E13_Attribute_Assignment,POP_FX_N,POP,791.0,,persons,V1T1,
NB184006_1871_POP_MM_N,E13_Attribute_Assignment,POP_MM_N,POP,214.0,,persons,V1T1,
NB184006_1871_POP_FM_N,E13_Attribute_Assignment,POP_FM_N,POP,213.0,,persons,V1T1,
NB184006_1871_POP_XM_N,E13_Attribute_Assignment,POP_XM_N,POP,427.0,,persons,V1T1,
NB184006_1871_POP_MW_N,E13_Attribute_Assignment,POP_MW_N,POP,30.0,,persons,V1T1,
NB184006_1871_POP_FW_N,E13_Attribute_Assignment,POP_FW_N,POP,36.0,,persons,V1T1,
