year,cd_presence,excel_csds,gdb_csds,only_in_excel,only_in_gdb
1891,CD_QC_Gaspé_1891,23,24,,QC154999_1891
1891,CD_QC_Hochelaga_1891,22,22,QC155003_1891,QC155999_1891
1891,CD_QC_Jacques-Cartier_1891_1891,11,1,QC158002_1891;QC158003_1891;QC158004_1891;QC158005_1891;QC158006_1891;QC158007_1891;QC158008_1891;QC158009_1891;QC158010_1891;QC158011_1891,
1891,CD_QC_Joliette_1891,13,14,,QC159999_1891
1891,CD_QC_Kamouraska_1891,14,15,,QC160999_1891
1891,CD_QC_Maskinongé_1891,12,13,,QC167999_1891
1891,CD_QC_Montcalm_1891,11,12,,QC170999_1891
1891,CD_QC_Montmorency_1891,13,14,,QC172999_1891
1891,CD_QC_Montréal_1881_1891,9,10,,QC173999_1891
1891,CD_QC_Ottawa_County_1891,49,50,,QC176999_1891
1891,CD_QC_Pontiac_1891,24,25,,QC177999_1891
1891,CD_QC_Portneuf_1891,17,18,,QC178999_1891
1891,CD_QC_Quebec_County_1891,12,13,,QC180999_1891
1891,CD_QC_Rimouski_1891,33,34,,QC183999_1891
1891,CD_QC_Temiscouata_1891,24,25,,QC192999_1891
1891,CD_QC_Trois-Rivières_&_St._Maurice_1891,11,12,,QC187999_1891
1901,CD_BC_Victoria_1901_1901,4,3,BC004004_1901,
1901,CD_NB_Kent_1901,10,11,,NB028999_1901
1901,CD_NS_Annapolis_1901,28,29,,NS037999_1901
1901,CD_NS_Digby_1901,24,25,,NS043999_1901
1901,CD_NS_Guysborough_1901,22,23,,NS044999_1901
1901,CD_NS_Halifax_City_1901,47,48,,NS045999_1901
1901,CD_NS_Hants_1901,19,20,,NS046999_1901
1901,CD_NS_Inverness_1901,25,26,,NS047999_1901
1901,CD_NS_Pictou_1901,37,38,,NS050999_1901
1901,CD_NS_Shelburne_&_Queens_1901,31,32,,NS052999_1901
1901,CD_NS_Victoria_1901,18,19,,NS039999_1901
1901,CD_NS_Yarmouth_1901,21,22,,NS053999_1901
1901,CD_NT_Unorganized_Territories_1901,6,5,NT206005_1901,
1901,CD_ON_Kingston_City_1881_1901_1901,7,1,ON077002_1901;ON077003_1901;ON077004_1901;ON077005_1901;ON077006_1901;ON077007_1901,
1901,CD_ON_Nipissing_1891_1901,59,60,,ON092999_1901
1901,CD_ON_Toronto_East_City_1901,3,3,ON117003_1901,ON118001_1901
1901,CD_ON_Toronto_West_City_1901,4,4,ON118001_1901,ON117003_1901
1901,CD_QC_Beauce_1901,31,32,,QC139999_1901
1901,CD_QC_Berthier_1901,13,14,,QC142999_1901
1901,CD_QC_Bonaventure_1901,13,14,,QC143999_1901
1901,CD_QC_Champlain_1901,22,23,,QC146999_1901
1901,CD_QC_Charlevoix_1901,14,15,,QC147999_1901
1901,CD_QC_Chicoutimi_&_Saguenay_1901,55,56,,QC149999_1901
1901,CD_QC_Gaspé_1901,27,28,,QC154999_1901
1901,CD_QC_Jacques_Cartier_1901,24,25,,QC157999_1901
1901,CD_QC_Joliette_1901,14,15,,QC158999_1901
1901,CD_QC_Labelle_1901,40,41,,QC160999_1901
1901,CD_QC_Maskinongé_1901,12,13,,QC168999_1901
1901,CD_QC_Montcalm_1901,11,12,,QC171999_1901
1901,CD_QC_Montmorency_1901,13,14,,QC173999_1901
1901,CD_QC_Pontiac_1901,26,27,,QC180999_1901
1901,CD_QC_Portneuf_1901,22,23,,QC181999_1901
1901,CD_QC_Quebec_County_1901,12,13,,QC185999_1901
1901,CD_QC_Rimouski_1901,36,37,,QC188999_1901
1901,CD_QC_Temiscouata_1901,24,25,,QC196999_1901
1901,CD_QC_Trois-Rivières_&_St._Maurice_1901,15,16,,QC198999_1901
1901,CD_QC_Wright_1901,26,27,,QC200999_1901
