csd_id,csd_name,cd_id,cd_name,wikidata_qid,wikidata_label,wikidata_types,distance_km,our_lat,our_lon
NB024017,"St. Andrews, T-V",CD_NB_Charlotte,Charlotte,Q957700,St. Andrews,town in New Brunswick,1.62,45.086547,-67.062534
NB024018,"St. George, T-V",CD_NB_Charlotte,Charlotte,Q3365892,Saint George Parish,parish of New Brunswick,10.07,45.134165,-66.821595
NB024019,"St. Stephen, T-V",CD_NB_Charlotte,Charlotte,Q2358467,St. Stephen,border city; town; town in New Brunswick,1.82,45.208125,-67.271547
NB025001,Bathurst,CD_NB_Gloucester,Gloucester,Q810807,Bathurst,city,17.41,47.469217,-65.71249
NB025002,Beresford,CD_NB_Gloucester,Gloucester,Q13107388,Beresford Parish,parish of New Brunswick,2.81,47.735457,-65.86554
NB025003,Caraquet,CD_NB_Gloucester,Gloucester,Q3365795,Caraquet Parish,parish of New Brunswick,2.38,47.747648,-64.885647
NB025004,Inkerman,CD_NB_Gloucester,Gloucester,Q3365772,Inkerman Parish,parish of New Brunswick,6.4,47.645565,-64.906808
NB025005,New Bandon,CD_NB_Gloucester,Gloucester,Q3365854,New Bandon Parish,parish of New Brunswick,6.88,47.697329,-65.2667
NB025006,Paquetville,CD_NB_Gloucester,Gloucester,Q3365868,Paquetville Parish,parish of New Brunswick,3.14,47.627482,-65.17328
NB025007,St. Isidore,CD_NB_Gloucester,Gloucester,Q3365897,Saint-Isidore Parish,parish of New Brunswick,5.9,47.556248,-65.064115
NB025008,Saumarez,CD_NB_Gloucester,Gloucester,Q3365919,Saumarez Parish,parish of New Brunswick,15.83,47.45183,-65.13821
NB025011,"Bathurst, T-V",CD_NB_Gloucester,Gloucester,Q810807,Bathurst,city,2.55,47.616333,-65.683539
NB026001,Acadieville,CD_NB_Kent,Kent,Q3365752,Acadieville Parish,parish of New Brunswick,4.21,46.715173,-65.315836
NB026002,Carleton,CD_NB_Kent,Kent,Q3365796,Carleton Parish,parish of New Brunswick,9.42,46.879849,-65.007058
NB026003,Dundas,CD_NB_Kent,Kent,Q3365816,Dundas Parish,parish of New Brunswick,15.26,46.32117,-64.675726
NB026004,Harcourt,CD_NB_Kent,Kent,Q3365761,Harcourt Parish,parish of New Brunswick,18.41,46.376534,-65.448256
NB026005,Richibucto,CD_NB_Kent,Kent,Q3365878,Richibucto Parish,parish of New Brunswick,4.19,46.625066,-64.843708
NB026006,St. Charles,CD_NB_Kent,Kent,Q3365889,Saint-Charles Parish,parish of New Brunswick,4.28,46.665661,-65.035749
NB026007,St. Louis,CD_NB_Kent,Kent,Q3365903,Saint-Louis Parish,parish of New Brunswick,3.13,46.70509,-65.104098
NB026009,St. Paul,CD_NB_Kent,Kent,Q7400773,Saint-Paul Parish,parish of New Brunswick,0.79,46.331003,-65.008572
NB026011,Wellington,CD_NB_Kent,Kent,Q3365938,Wellington Parish,local service district of New Brunswick; parish of New Brunswick,5.54,46.475053,-64.735929
NB026013,"Richibucto, T-V",CD_NB_Kent,Kent,Q3365878,Richibucto Parish,parish of New Brunswick,10.08,46.683493,-64.88058
NB027001,Cardwell,CD_NB_Kings,Kings,Q2402119,Cardwell Parish,parish of New Brunswick,1.45,45.784761,-65.303687
NB027002,Greenwich,CD_NB_Kings,Kings,Q3365828,Greenwich Parish,parish of New Brunswick,25.85,45.51337,-66.128661
NB027003,Hammond,CD_NB_Kings,Kings,Q3365758,Hammond Parish,parish of New Brunswick,1.9,45.568695,-65.394796
NB027004,Hampton,CD_NB_Kings,Kings,Q3365759,Hampton Parish,parish of New Brunswick,2.42,45.493806,-65.834107
NB027005,Havelock,CD_NB_Kings,Kings,Q3365765,Havelock Parish,parish of New Brunswick,2.58,45.952184,-65.388468
NB027006,Kars,CD_NB_Kings,Kings,Q1285055,Kars Parish,parish of New Brunswick,0.61,45.618722,-65.968982
NB027007,Kingston,CD_NB_Kings,Kings,Q6413572,Kingston Parish,parish of New Brunswick,3.7,45.475947,-66.019206
NB027009,Rothesay,CD_NB_Kings,Kings,Q3365880,Rothesay Parish,parish of New Brunswick,5.91,45.416801,-65.914314
NB027012,Sussex,CD_NB_Kings,Kings,Q7649461,Sussex Parish,local service district of New Brunswick; parish of New Brunswick,3.63,45.655704,-65.525039
NB027013,Upham,CD_NB_Kings,Kings,Q7898296,Upham Parish,parish of New Brunswick,0.61,45.508235,-65.661973
NB027014,Waterford,CD_NB_Kings,Kings,Q3365936,Waterford Parish,parish of New Brunswick,6.76,45.663312,-65.293593
NB027015,Westfield,CD_NB_Kings,Kings,Q3365944,Westfield Parish,parish of New Brunswick,0.94,45.340936,-66.291367
NB027016,"Sussex, T-V",CD_NB_Kings,Kings,Q7649461,Sussex Parish,local service district of New Brunswick; parish of New Brunswick,4.33,45.72495,-65.507061
NB027017,"Hampton, VL",CD_NB_Kings,Kings,Q3365759,Hampton Parish,parish of New Brunswick,5.1,45.518799,-65.832828
NB027018,"Rothesay, VL",CD_NB_Kings,Kings,Q240864,Rothesay,town,1.38,45.392104,-65.984839
NB028001,Clair,CD_NB_Madawaska,Madawaska,Q3365798,Clair Parish,parish of New Brunswick,2.81,47.284333,-68.636293
NB028004,Madawaska,CD_NB_Madawaska,Madawaska,Q6726557,Madawaska Parish,parish of New Brunswick,23.4,47.564427,-68.210768
NB028005,St. André,CD_NB_Madawaska,Madawaska,Q3365887,Saint-André Parish,parish of New Brunswick,1.31,47.133868,-67.745236
NB028006,Ste. Anne,CD_NB_Madawaska,Madawaska,Q3365917,Sainte-Anne Parish,parish of New Brunswick,2.52,47.388994,-67.862419
NB028007,St. Basile,CD_NB_Madawaska,Madawaska,Q3365891,Saint-Basile Parish,parish of New Brunswick,21.31,47.487042,-68.042871
NB028009,St. Hilaire,CD_NB_Madawaska,Madawaska,Q3365895,Saint-Hilaire Parish,parish of New Brunswick,5.76,47.341999,-68.50284
NB028010,St. Jacques,CD_NB_Madawaska,Madawaska,Q3365899,Saint-Jacques Parish,parish of New Brunswick,14.77,47.559749,-68.34291
NB028011,St. Léonard,CD_NB_Madawaska,Madawaska,Q7400719,Saint-Léonard Parish,parish of New Brunswick,1.61,47.249309,-67.79697
NB028013,"Edmundston, T-V",CD_NB_Madawaska,Madawaska,Q991257,Edmundston,municipality; town,0.63,47.380997,-68.320231
NB028014,"St. Léonard, T-V",CD_NB_Madawaska,Madawaska,Q7400719,Saint-Léonard Parish,parish of New Brunswick,11.49,47.17147,-67.920019
NB029001,Alnwick,CD_NB_Northumberland,Northumberland,Q3365755,Alnwick Parish,parish of New Brunswick,4.52,47.276085,-65.200965
NB029002,Blackville,CD_NB_Northumberland,Northumberland,Q3365779,Blackville Parish,parish of New Brunswick,9.2,46.673415,-65.800397
NB029003,Blissfield,CD_NB_Northumberland,Northumberland,Q664434,Blissfield Parish,parish of New Brunswick,1.51,46.600025,-66.041765
NB029004,Chatham,CD_NB_Northumberland,Northumberland,Q3365797,Chatham Parish,parish of New Brunswick,6.25,47.020925,-65.444528
NB029005,Derby,CD_NB_Northumberland,Northumberland,Q3365808,Derby Parish,parish of New Brunswick,3.29,46.880554,-65.697038
NB029006,Glenelg,CD_NB_Northumberland,Northumberland,Q5568476,Glenelg Parish,parish of New Brunswick,6.01,46.946279,-65.281795
NB029007,Hardwicke,CD_NB_Northumberland,Northumberland,Q3365767,Hardwicke Parish,parish of New Brunswick,5.36,47.02678,-65.020612
NB029008,Ludlow,CD_NB_Northumberland,Northumberland,Q3365842,Ludlow Parish,parish of New Brunswick,12.18,46.599201,-66.36181
NB029009,Nelson,CD_NB_Northumberland,Northumberland,Q3365853,Nelson Parish,parish of New Brunswick,7.6,46.846582,-65.590428
NB029010,Newcastle,CD_NB_Northumberland,Northumberland,Q3365857,Newcastle Parish,parish of New Brunswick,17.45,47.156474,-65.553239
NB029012,Rogersville,CD_NB_Northumberland,Northumberland,Q3365879,Rogersville Parish,parish of New Brunswick,1.99,46.763216,-65.461099
NB029015,"Chatham, T-V",CD_NB_Northumberland,Northumberland,Q3365797,Chatham Parish,parish of New Brunswick,6.27,47.019905,-65.444021
NB029016,"Newcastle, T-V",CD_NB_Northumberland,Northumberland,Q3365857,Newcastle Parish,parish of New Brunswick,0.61,46.99655,-65.576227
NB030001,Brunswick,CD_NB_Queens,Queens,Q3365788,Brunswick Parish,parish of New Brunswick,2.32,46.082356,-65.548288
NB030002,Cambridge,CD_NB_Queens,Queens,Q657125,Cambridge Parish,parish of New Brunswick,2.08,45.818062,-66.044495
NB030003,Canning,CD_NB_Queens,Queens,Q3365792,Canning Parish,parish of New Brunswick,0.68,45.972721,-66.091761
NB030004,Chipman,CD_NB_Queens,Queens,Q3365799,Chipman Parish,parish of New Brunswick,3.61,46.213026,-65.818432
NB030005,Gagetown,CD_NB_Queens,Queens,Q5516859,Gagetown Parish,parish of New Brunswick,6.69,45.744657,-66.250191
NB030006,Hampstead,CD_NB_Queens,Queens,Q3365766,Hampstead Parish,parish of New Brunswick,5.92,45.628189,-66.161208
NB030007,Johnston,CD_NB_Queens,Queens,Q429276,Johnston Parish,parish of New Brunswick,1.77,45.889336,-65.805898
NB030008,Petersville,CD_NB_Queens,Queens,Q3365871,Petersville Parish,parish of New Brunswick,1.89,45.521923,-66.366084
NB030010,Wickham,CD_NB_Queens,Queens,Q7998387,Wickham Parish,parish of New Brunswick,1.92,45.717785,-65.971322
NB030011,"Gagetown, T-V",CD_NB_Queens,Queens,Q5516859,Gagetown Parish,parish of New Brunswick,2.44,45.790832,-66.164276
NB031001,Addington,CD_NB_Restigouche,Restigouche,Q3365753,Addington Parish,parish of New Brunswick,2.86,47.710623,-66.767962
NB031002,Balmoral,CD_NB_Restigouche,Restigouche,Q3365776,Balmoral Parish,parish of New Brunswick,4.56,47.725554,-66.513089
NB031003,Colborne,CD_NB_Restigouche,Restigouche,Q3365802,Colborne Parish,parish of New Brunswick,13.51,47.766026,-66.27057
NB031004,Dalhousie,CD_NB_Restigouche,Restigouche,Q3365804,Dalhousie Parish,parish of New Brunswick,0.86,48.005724,-66.508325
NB031005,Durham,CD_NB_Restigouche,Restigouche,Q3365814,Durham Parish,parish of New Brunswick,7.71,47.790917,-66.061713
NB031006,Eldon,CD_NB_Restigouche,Restigouche,Q3365757,Eldon Parish,parish of New Brunswick,9.09,47.668606,-67.064172
NB031007,Grimmer,CD_NB_Restigouche,Restigouche,Q3365830,Grimmer Parish,parish of New Brunswick,23.36,47.758325,-67.733366
NB031009,"Dalhousie, T-V",CD_NB_Restigouche,Restigouche,Q3365804,Dalhousie Parish,parish of New Brunswick,11.08,48.052641,-66.3901
NB032002,Musquash,CD_NB_St._John,St. John,Q3365852,Musquash Parish,parish of New Brunswick,1.9,45.182927,-66.352707
NB032003,St. Martins,CD_NB_St._John,St. John,Q3365907,Saint Martins Parish,parish of New Brunswick,13.31,45.455142,-65.438872
NB032004,Simonds,CD_NB_St._John,St. John,Q7520238,Simonds Parish,parish of New Brunswick,6.56,45.309116,-65.859439
NB032005,"St. John, C",CD_NB_St._John,St. John,Q203403,Saint John,city in New Brunswick,2.13,45.297383,-66.072906
NB033001,Blissville,CD_NB_Sunbury,Sunbury,Q3365781,Blissville Parish,parish of New Brunswick,3.27,45.61174,-66.553921
NB033002,Burton,CD_NB_Sunbury,Sunbury,Q5000891,Burton Parish,parish of New Brunswick,0.87,45.798858,-66.415606
NB033003,Gladstone,CD_NB_Sunbury,Sunbury,Q5566340,Gladstone Parish,parish; parish of New Brunswick,2.43,45.628424,-66.726417
NB033004,Lincoln,CD_NB_Sunbury,Sunbury,Q6550896,Lincoln Parish,parish of New Brunswick,8.43,45.82318,-66.591491
NB033005,Maugerville,CD_NB_Sunbury,Sunbury,Q6792357,Maugerville Parish,parish of New Brunswick,32.07,46.131434,-66.285199
NB033006,Northfield,CD_NB_Sunbury,Sunbury,Q7059387,Northfield Parish,parish of New Brunswick,1.68,46.219756,-66.021027
NB033007,Sheffield,CD_NB_Sunbury,Sunbury,Q7492719,Sheffield Parish,parish of New Brunswick,0.58,45.990688,-66.225144
NB034001,Andover,CD_NB_Victoria,Victoria,Q3365754,Andover Parish,parish of New Brunswick,0.6,46.703368,-67.75256
NB034002,Drummond,CD_NB_Victoria,Victoria,Q3365807,Drummond Parish,parish of New Brunswick,10.67,47.222554,-67.530535
NB034003,Gordon,CD_NB_Victoria,Victoria,Q5585639,Gordon Parish,parish of New Brunswick,14.49,46.836491,-67.191969
NB034004,Grand Falls,CD_NB_Victoria,Victoria,Q5594542,Grand Falls Parish,parish of New Brunswick,1.17,46.925407,-67.746336
NB034005,Lorne,CD_NB_Victoria,Victoria,Q3365837,Lorne Parish,parish of New Brunswick,1.82,47.123187,-67.142527
NB034006,Perth,CD_NB_Victoria,Victoria,Q3365866,Perth Parish,parish of New Brunswick,2.53,46.709795,-67.603619
NB034008,"Grand Falls, T-V",CD_NB_Victoria,Victoria,Q5594542,Grand Falls Parish,parish of New Brunswick,12.07,47.042769,-67.758983
NB034009,"Perth, T-V",CD_NB_Victoria,Victoria,Q116685696,Perth,former village; neighborhood,1.01,46.727173,-67.705971
NB034010,"Andover, VL",CD_NB_Victoria,Victoria,Q116685837,Andover,former village; neighborhood,1.03,46.745011,-67.712404
NB035001,Botsford,CD_NB_Westmorland,Westmorland,Q3365783,Botsford Parish,parish of New Brunswick,5.25,46.127543,-64.039399
NB035002,Dorchester,CD_NB_Westmorland,Westmorland,Q3365806,Dorchester Parish,parish of New Brunswick,5.32,45.981843,-64.570242
NB035003,Moncton,CD_NB_Westmorland,Westmorland,Q3365851,Moncton Parish,parish of New Brunswick,5.15,46.159502,-64.868062
NB035004,Sackville,CD_NB_Westmorland,Westmorland,Q3365883,Sackville Parish,parish of New Brunswick,8.05,45.971638,-64.378958
NB035005,Salisbury,CD_NB_Westmorland,Westmorland,Q7404790,Salisbury Parish,parish of New Brunswick,1.98,46.074365,-65.197353
NB035006,Shediac,CD_NB_Westmorland,Westmorland,Q1009713,Shediac,town,4.39,46.184944,-64.499403
NB035007,Westmorland,CD_NB_Westmorland,Westmorland,Q7989310,Westmorland Parish,parish of New Brunswick,21.38,45.98847,-64.188529
NB035009,"Moncton, C",CD_NB_Westmorland,Westmorland,Q457334,Moncton,city; city in New Brunswick,2.51,46.084317,-64.804879
NB035010,"Sackville, T-V",CD_NB_Westmorland,Westmorland,Q3365883,Sackville Parish,parish of New Brunswick,5.11,45.887283,-64.37591
NB035011,"Shediac, T-V",CD_NB_Westmorland,Westmorland,Q1009713,Shediac,town,0.24,46.218797,-64.533911
NB036001,Bright,CD_NB_York,York,Q3365789,Bright Parish,parish of New Brunswick,6.99,46.124101,-67.058506
NB036002,Canterbury,CD_NB_York,York,Q3365794,Canterbury Parish,parish of New Brunswick,4.13,45.877047,-67.508116
NB036003,Douglas,CD_NB_York,York,Q3365810,Douglas Parish,parish of New Brunswick,36.28,46.27466,-66.934674
NB036004,Dumfries,CD_NB_York,York,Q3365815,Dumfries Parish,parish of New Brunswick,11.1,45.875383,-67.21333
NB036005,Kingsclear,CD_NB_York,York,Q3365833,Kingsclear Parish,parish of New Brunswick,6.09,45.867489,-66.832935
NB036006,McAdam,CD_NB_York,York,Q3365845,McAdam Parish,parish of New Brunswick,3.7,45.667156,-67.356024
NB036007,Manners Sutton,CD_NB_York,York,Q3365844,Manners Sutton Parish,parish of New Brunswick,5.57,45.642009,-67.060682
NB036008,New Maryland,CD_NB_York,York,Q3365856,New Maryland Parish,parish of New Brunswick,1.32,45.698614,-66.827024
NB036009,North Lake,CD_NB_York,York,Q3365860,North Lake Parish,parish of New Brunswick,9.15,45.757415,-67.66808
NB036010,Prince William,CD_NB_York,York,Q3365874,Prince William Parish,parish of New Brunswick,14.87,45.784132,-67.11219
NB036011,Queensbury,CD_NB_York,York,Q3365876,Queensbury Parish,parish of New Brunswick,5.21,45.993599,-67.065475
NB036012,St. Marys,CD_NB_York,York,Q3365737,Saint Marys Parish,parish of New Brunswick,4.17,46.168382,-66.493101
NB036013,Southampton,CD_NB_York,York,Q3365928,Southampton Parish,parish of New Brunswick,13.14,46.078595,-67.308153
NB036014,Stanley,CD_NB_York,York,Q3365934,Stanley Parish,parish of New Brunswick,3.27,46.502502,-66.667862
NS004001,Bear River,CD_NS_Annapolis,Annapolis,Q4876537,Bear River,human settlement,4.29,44.595094,-65.600297
NS004006,Lawrencetown,CD_NS_Annapolis,Annapolis,Q6504808,Lawrencetown,village,0.26,44.884757,-65.163167
NS004010,Granville Ferry,CD_NS_Annapolis,Annapolis,Q5596894,Granville Ferry,human settlement,1.18,44.755999,-65.53634
NS004011,Hampton,CD_NS_Annapolis,Annapolis,Q5646137,Hampton,human settlement,3.85,44.878478,-65.315287
NS004013,Lequille,CD_NS_Annapolis,Annapolis,Q6528725,Lequille,human settlement; unincorporated area,3.64,44.697019,-65.474789
NS004015,Margaretsville,CD_NS_Annapolis,Annapolis,Q14875710,Margaretsville,human settlement; village,2.69,45.032279,-65.038521
NS004022,Port George,CD_NS_Annapolis,Annapolis,Q7230638,Port George,human settlement,2.95,44.994304,-65.123181
NS004025,Springfield,CD_NS_Annapolis,Annapolis,Q7580904,Springfield,General Service Area,5.2,44.650441,-64.911029
NS004029,"Annapolis Royal, T-V",CD_NS_Annapolis,Annapolis,Q564536,Annapolis Royal,town in Nova Scotia,1.0,44.735614,-65.513502
NS004030,"Bridgetown, T-V",CD_NS_Annapolis,Annapolis,Q913891,Bridgetown,former town; human settlement,0.97,44.848868,-65.282939
NS004031,"Middleton, T-V",CD_NS_Annapolis,Annapolis,Q3312661,Middleton,town in Nova Scotia,1.78,44.958459,-65.070133
NS005001,Antigonish (Rural),CD_NS_Antigonish,Antigonish,Q575483,Antigonish,town in Nova Scotia,4.81,45.579541,-61.994353
NS005002,Arisaig,CD_NS_Antigonish,Antigonish,Q4790868,Arisaig,human settlement,5.57,45.711081,-62.177837
NS005003,Cape George,CD_NS_Antigonish,Antigonish,Q22422322,Cape George,cape,2.16,45.837408,-61.969343
NS005019,"Antigonish, T-V",CD_NS_Antigonish,Antigonish,Q575483,Antigonish,town in Nova Scotia,0.01,45.622738,-61.991727
NS007002,Brookfield,CD_NS_Colchester,Colchester,Q4974552,Brookfield,human settlement,8.65,45.325467,-63.256285
NS007006,Economy,CD_NS_Colchester,Colchester,Q5333610,Economy,human settlement,8.26,45.455475,-63.891507
NS007014,Middle Stewiacke,CD_NS_Colchester,Colchester,Q6841603,Middle Stewiacke,human settlement,1.67,45.21291,-63.101407
NS007025,"Stewiacke, T-V",CD_NS_Colchester,Colchester,Q3499358,Stewiacke,town in Nova Scotia,0.86,45.144514,-63.353184
NS007026,"Truro, T-V",CD_NS_Colchester,Colchester,Q283064,Truro,town in Nova Scotia,1.75,45.378115,-63.267327
NS008005,Diligent River,CD_NS_Cumberland,Cumberland,Q5276785,Diligent River,human settlement,8.78,45.472596,-64.53338
NS008008,Fort Lawrence,CD_NS_Cumberland,Cumberland,Q5471487,Fort Lawrence,archaeological site,6.58,45.884038,-64.194459
NS008015,Port Greville,CD_NS_Cumberland,Cumberland,Q7230655,Port Greville,human settlement,12.69,45.450521,-64.679141
NS008016,Pugwash,CD_NS_Cumberland,Cumberland,Q374857,Pugwash,village; village in Nova Scotia,3.57,45.842475,-63.616141
NS008023,Southampton,CD_NS_Cumberland,Cumberland,Q7569088,Southampton,human settlement,2.04,45.602284,-64.226591
NS008024,Tidnish,CD_NS_Cumberland,Cumberland,Q7800917,Tidnish,dispersed rural community,5.11,45.956434,-63.998629
NS008030,"Amherst, T-V",CD_NS_Cumberland,Cumberland,Q470594,Amherst,town in Nova Scotia,1.25,45.823414,-64.205388
NS008031,"Joggins, T-V",CD_NS_Cumberland,Cumberland,Q1070033,Joggins,human settlement,1.33,45.701966,-64.434274
NS008032,"Oxford, T-V",CD_NS_Cumberland,Cumberland,Q3248963,Oxford,town in Nova Scotia,0.55,45.731542,-63.865667
NS008033,"Parrsboro, T-V",CD_NS_Cumberland,Cumberland,Q499355,Parrsboro,town,7.24,45.468747,-64.301969
NS008034,"Springhill, T-V",CD_NS_Cumberland,Cumberland,Q1000316,Springhill,town,2.71,45.642536,-64.061777
NS009003,Church Point,CD_NS_Digby,Digby,Q3393523,Church Point,human settlement,8.19,44.294784,-66.031446
NS009025,Weymouth,CD_NS_Digby,Digby,Q3567587,Weymouth,village,6.83,44.421625,-65.91583
NS009028,"Digby, T-V",CD_NS_Digby,Digby,Q1224586,Digby,town in Nova Scotia,4.25,44.656986,-65.775715
NS010010,Guysborough,CD_NS_Guysborough,Guysborough,Q3122367,Municipality of the District of Guysborough,municipal district of Nova Scotia,6.09,45.354668,-61.556472
NS010023,Mulgrave,CD_NS_Guysborough,Guysborough,Q1861474,Mulgrave,town in Nova Scotia,4.36,45.593866,-61.441182
NS012015,Walton,CD_NS_Hants,Hants,Q7966700,Walton,human settlement,8.42,45.213948,-63.901223
NS012018,"Hantsport, T-V",CD_NS_Hants,Hants,Q660265,Hantsport,town,1.62,45.05213,-64.182877
NS013002,Cheticamp,CD_NS_Inverness,Inverness,Q992768,Chéticamp,designated place of Canada; village,5.81,46.636275,-60.933104
NS013015,Port Hastings,CD_NS_Inverness,Inverness,Q3398356,Port Hastings,human settlement,6.21,45.680112,-61.340151
NS013016,Port Hood,CD_NS_Inverness,Inverness,Q3398359,Port Hood,harbor; human settlement,7.14,46.02632,-61.457745
NS013019,St. Joseph,CD_NS_Inverness,Inverness,Q3462611,St. Joseph du Moine,human settlement,5.09,46.500907,-61.00609
NS013025,"Inverness, T-V",CD_NS_Inverness,Inverness,Q749228,Inverness,town,0.38,46.23342,-61.308365
NS013026,"Port Hawkesbury, T-V",CD_NS_Inverness,Inverness,Q2326975,Port Hawkesbury,town in Nova Scotia,3.69,45.640989,-61.324471
NS013027,"Port Hood, T-V",CD_NS_Inverness,Inverness,Q3398359,Port Hood,harbor; human settlement,2.81,46.032438,-61.530212
NS014001,Aylesford,CD_NS_Kings,Kings,Q4831385,Aylesford,village,1.54,45.045928,-64.825104
NS014002,Cambridge,CD_NS_Kings,Kings,Q5025323,Cambridge,human settlement,3.47,45.032264,-64.661168
NS014004,Canning,CD_NS_Kings,Kings,Q2936427,Canning,municipality; village,5.38,45.206277,-64.421434
NS014009,Kingston,CD_NS_Kings,Kings,Q3197122,Kingston,village,6.0,44.961499,-64.886285
NS014016,"Kentville, T-V",CD_NS_Kings,Kings,Q992432,Kentville,town in Nova Scotia,0.85,45.070253,-64.493269
NS014017,"Wolfville, T-V",CD_NS_Kings,Kings,Q475953,Wolfville,town in Nova Scotia,3.23,45.109158,-64.326383
NS015043,"Bridgewater, T-V",CD_NS_Lunenburg,Lunenburg,Q474178,Bridgewater,town in Nova Scotia,2.74,44.379654,-64.552952
NS015044,"Lunenburg, T-V",CD_NS_Lunenburg,Lunenburg,Q105441,Lunenburg,town in Nova Scotia,1.96,44.371143,-64.286606
NS015045,"Mahone Bay, T-V",CD_NS_Lunenburg,Lunenburg,Q1885050,Mahone Bay,town in Nova Scotia,0.37,44.447788,-64.382445
NS016004,Big Island,CD_NS_Pictou,Pictou,Q4905878,Big Island,peninsula,0.61,45.664164,-62.417799
