wikidata_qid,wikidata_label,n_chains,place_ids,names,provinces,place_types,verdict
Q138972308,La Malbaie,2,PLACE_QC152004;PLACE_QC048014_1901,"Malbaie;Malbaie, VL",QC,CSD,CONFLICTING-NAMES
Q138779669,Saint-Gédéon,2,PLACE_QC063018;PLACE_QC063033,"St. Gédéon;St. Gédéon, VL",QC,CSD,CONFLICTING-NAMES
Q112912257,Saint-Gilles,2,PLACE_QC061003;PLACE_QC068011,St. Joseph;St. Gilles,QC,CSD,CONFLICTING-NAMES
Q3462628,Saint-Jude,2,PLACE_QC190011;PLACE_QC091009_1911,St. Jude;St. Judes,QC,CSD,CONFLICTING-NAMES
Q731223,Sainte-Cécile-de-Milton,2,PLACE_QC127003;PLACE_QC087006,Ste. Cécile;Ste. Cécile de Milton,QC,CSD,CONFLICTING-NAMES
Q138277576,Coteau-du-Lac,2,PLACE_QC089001_1881;PLACE_QC089007,"St. Ignace;Côteau du Lac, VL",QC,CSD,CONFLICTING-NAMES
Q112911955,Saint-Boniface,2,PLACE_QC093005;PLACE_QC093017_1921,"St. Boniface (Shawinigan);St. Boniface de Shawinigan, VL",QC,CSD,CONFLICTING-NAMES
Q3213854,La Visitation-de-l'Île-Dupas,2,PLACE_QC142012;PLACE_QC043002,Visitation de l’île Dupas;Visitation (Ile Dupas),QC,CSD,CONFLICTING-NAMES
Q142451,Saint-Pascal,2,PLACE_QC165010;PLACE_QC061014,St. Paschal;St. Pascal,QC,CSD,CONFLICTING-NAMES
Q3464147,Sainte-Angèle-de-Mérici,2,PLACE_QC188010;PLACE_QC084023,"Ste. Angèle de Merrici;Ste. Angèle de Mérici, VL",QC,CSD,CONFLICTING-NAMES
Q2128700,Fort Macleod,2,PLACE_NT198003;PLACE_AB190025,"McLeod;Macleod, T-V",AB;NT,CSD,CONFLICTING-NAMES
Q985671,Vernon,2,PLACE_BC005012;PLACE_BC218011,"Priest’s Valley;Vernon, C",BC,CSD,CONFLICTING-NAMES
Q5034975,Cape North,2,PLACE_NS020007;PLACE_NS039008,Cape North;Fraser's Mountain & Churchville,NS,CSD,CONFLICTING-NAMES
Q141613,Saint-Joseph-de-Beauce,2,PLACE_QC040027;PLACE_QC040013,"St. Joseph, Village;St. Joseph",QC,CSD,CONFLICTING-NAMES
Q142020,Lac-Mégantic,2,PLACE_QC155024;PLACE_QC055022,"Lac Mégantic vl;Mégantic, T-V",QC,CSD,CONFLICTING-NAMES
Q3462008,Saint-Cyprien-de-Napierville,2,PLACE_QC161008;PLACE_QC077001,St. Cyprien;St. Cyprien de Léry,QC,CSD,CONFLICTING-NAMES
Q431487,Saint-Octave-de-Métis,2,PLACE_QC040021_1881;PLACE_QC070017,St. Octave;St. Octave de Métis N.,QC,CSD,CONFLICTING-NAMES
Q112912724,Saint-Polycarpe,2,PLACE_QC089012;PLACE_QC089004_1891,"St. Polycarpe, Village;St. Polycarpe",QC,CSD,CONFLICTING-NAMES
Q112912399,Saint-Jérôme,2,PLACE_QC096019;PLACE_QC096010,"St. Jérôme, Town—Ville;St. Jérôme",QC,CSD,CONFLICTING-NAMES
Q3462193,Saint-Fulgence,2,PLACE_QC149021;PLACE_QC050014_1911,"St. Fulgence;St. Fulgence, par.",QC,CSD,CONFLICTING-NAMES
Q3541256,Très-Saint-Sacrement,2,PLACE_QC148011_1891;PLACE_QC049009_1911,Très-St. Sacrement;Très Saint Sacrement,QC,CSD,CONFLICTING-NAMES
Q112912403,Saint-Joachim,2,PLACE_QC157016;PLACE_QC076009_1921,"St. Joachim de la Pointe Claire, Village;St. Joachim de la Pointe Claire",QC,CSD,CONFLICTING-NAMES
Q115261521,Fullarton,2,PLACE_ON092007;PLACE_ON137007_1891,Blezard & Hanmer;Fullarton,ON,CSD,CONFLICTING-NAMES
Q999654,North Battleford,2,PLACE_NT205004;PLACE_SK186026,"Battleford, North—Nord;North Battleford, C",NT;SK,CSD,CONFLICTING-NAMES
Q2003414,Gainsborough,2,PLACE_NT203041;PLACE_SK171033,"Gainsborough;Gainsboro, VL",NT;SK,CSD,CONFLICTING-NAMES
Q727984,Esterhazy,2,PLACE_NT203058;PLACE_SK175037,"Kaposvar;Esterhazy, VL",NT;SK,CSD,CONFLICTING-NAMES
Q2202128,Pelly,2,PLACE_NT203076;PLACE_SK179028,"Pelly;Pelley, VL",NT;SK,CSD,CONFLICTING-NAMES
Q1004192,Saint Boniface,2,PLACE_MB010010;PLACE_MB160012,"St. Boniface;St. Boniface, C",MB,CSD,CONFLICTING-NAMES
Q112912200,Saint-Gabriel-de-Brandon,2,PLACE_QC043016;PLACE_QC043009_1911,"St. Gabriel de Brandon, VL;St. Gabriel de Brandon",QC,CSD,CONFLICTING-NAMES
Q112912788,Saint-Siméon,2,PLACE_QC048010_1901;PLACE_QC048016_1911,"St. Siméon;St. Siméon, VL",QC,CSD,CONFLICTING-NAMES
Q3463195,Saint-Pierre-les-Becquets,2,PLACE_QC038009;PLACE_QC078017,St. Christophe;St. Pierre les Becquets,QC,CSD,CONFLICTING-NAMES
Q3463114,Saint-Paul-de-l'Île-aux-Noix,2,PLACE_QC191008;PLACE_QC092007_1911,St. Paul;St. Paul de l'Ile aux Noix,QC,CSD,CONFLICTING-NAMES
Q3462013,Saint-Cyprien,2,PLACE_QC196013_1901;PLACE_QC095010_1911,St. Cyprien;St. Cyprien (Hocquart),QC,CSD,CONFLICTING-NAMES
Q106815239,Saint-Jérôme,2,PLACE_QC070025;PLACE_QC070011,"St. Jérôme de Matane, VL;St. Jérôme de Matane",QC,CSD,CONFLICTING-NAMES
Q754638,Athabasca,2,PLACE_AB002009;PLACE_AB202029,"Athabaska Landing vl (T66 R24 MW4);Athabaska, T-V",AB,CSD,CONFLICTING-NAMES
Q112912693,Saint-Pie,2,PLACE_QC039017;PLACE_QC039009_1911,"St. Pie, VL;St. Pie",QC,CSD,CONFLICTING-NAMES
Q143227,Saint-Georges,2,PLACE_QC139014;PLACE_QC040001_1911,St. George;Aubert Gallion (St. Georges),QC,CSD,CONFLICTING-NAMES
Q112912000,Saint-Charles-Borromée,2,PLACE_QC050012_1911;PLACE_QC050011_1911,St. Charles Borromée (Kénogami pt.);St. Charles Borromée (Bourget),QC,CSD,CONFLICTING-NAMES
Q985593,Deschambault-Grondines,2,PLACE_QC080003_1911;PLACE_QC080004_1921,Deschambault (St. Joseph);Grondines,QC,CSD,CONFLICTING-NAMES
Q112911830,Saint-Alban,2,PLACE_QC080009;PLACE_QC080030,"St. Alban;St. Alban, VL",QC,CSD,CONFLICTING-NAMES
Q106644521,Saint-Benoît-Joseph-Labre,2,PLACE_QC070023;PLACE_QC070006,"St. Benoit Joseph Labre (Amqui), VL;St. Benoit Joseph Labre",QC,CSD,CONFLICTING-NAMES
Q112912052,Saint-Denis,2,PLACE_QC091006;PLACE_QC091014,"St. Denis;St. Denis, VL",QC,CSD,CONFLICTING-NAMES
Q1743985,Peace River,2,PLACE_AB203029;PLACE_AB204016_1921,"Peace River, T-V;857. Peace",AB,CSD,CONFLICTING-NAMES
Q141652,Sainte-Marie,2,PLACE_QC040015;PLACE_QC040028,"Ste. Marie;Ste. Marie, VL",QC,CSD,CONFLICTING-NAMES
Q112912944,Sainte-Cécile,2,PLACE_QC041001_1921;PLACE_QC041012,"Ste. Cécile;Ste. Cécile, VL",QC,CSD,CONFLICTING-NAMES
Q112912837,Saint-Timothée,2,PLACE_QC041013_1921;PLACE_QC041006_1921,"St. Timothée, VL;St. Timothée",QC,CSD,CONFLICTING-NAMES
Q3461746,Saint-Ambroise,2,PLACE_QC050024;PLACE_QC050009_1921,"St. Ambroise, VL;St. Ambroise, par.",QC,CSD,CONFLICTING-NAMES
Q112912478,Saint-Laurent,2,PLACE_QC076010;PLACE_QC076032,"St. Laurent, par.;St. Laurent, T-V",QC,CSD,CONFLICTING-NAMES
Q3461677,Saint-Agapit,2,PLACE_QC068024;PLACE_QC068003_1921,"St. Agapit, VL;St. Agapit de Beaurivage",QC,CSD,CONFLICTING-NAMES
Q112912885,Sainte-Agathe,2,PLACE_QC068004_1921;PLACE_QC068025,"Ste. Agathe;Ste. Agathe, VL",QC,CSD,CONFLICTING-NAMES
Q112912153,Saint-Flavien,2,PLACE_QC068026;PLACE_QC068010,"St. Flavien, VL;St. Flavien de Ste. Croix",QC,CSD,CONFLICTING-NAMES
Q112912808,Saint-Sylvestre,2,PLACE_QC068027;PLACE_QC068018_1921,"St. Sylvestre, VL;St. Sylvestre de Beaurivage",QC,CSD,CONFLICTING-NAMES
