chain_id,name,province,inherited_qid,inherited_label,phase_a_signals,phase_a_confidence,decision,notes
PLACE_QC149033_1901,St. Thomas d’Aquin,QC,Q112912829,Saint-Thomas-d'Aquin,S4_TIER_ROOT_PROVINCE,low,DEMOTED,FAR: 293 km from chain centroid
PLACE_QC150015_1911,Longueuil t-v,QC,Q139398,Longueuil,S3_AMBIGUOUS_NAMED,medium,VERIFIED,
PLACE_QC150023_1911,St. Bruno vl,QC,Q112911961,Saint-Bruno,S4_TIER_ROOT_PROVINCE,low,DEMOTED,FAR: 351 km from chain centroid
PLACE_QC151006,St. Eustache,QC,Q141505,Saint-Eustache,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC151015,St. Roch Mékinac,QC,Q3463280,Saint-Roch-de-Mékinac,S1_STRICT_YEAR_LINK,high,VERIFIED,
PLACE_QC151018,Ste. Thècle,QC,Q112913114,Sainte-Thècle,S1_STRICT_YEAR_LINK,high,VERIFIED,
PLACE_QC152001_1881,St. Anselme,QC,Q112911875,Saint-Anselme,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC152001_1901,St. Anselme,QC,Q112911875,Saint-Anselme,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC153007_1871,St. Joseph,QC,Q141613,Saint-Joseph-de-Beauce,S4_TIER_ROOT_PROVINCE,low,DEMOTED,FAR: 55 km from chain centroid
PLACE_QC153009_1911,Très-St. Sacrement,QC,Q3541256,Très-Saint-Sacrement,S1_STRICT_YEAR_LINK,high,VERIFIED,
PLACE_QC154004,Chicoutimi,QC,Q63242812,Chicoutimi,S1_STRICT_YEAR_LINK,high,VERIFIED,
PLACE_QC154007,Hébertville pr,QC,Q3144525,Hébertville,S1_STRICT_YEAR_LINK,high,VERIFIED,
PLACE_QC154026_1911,St. François de Sales,QC,Q112912171,Saint-François-de-Sales,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC154031,St. Joseph d'Alma pr,QC,Q141973,Alma,S1_STRICT_YEAR_LINK,high,VERIFIED,
PLACE_QC154041_1911,Roberval t-v,QC,Q141954,Roberval,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC154042,Bagotville vl,QC,Q2879166,Bagotville,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC154043,Grande Baie vl,QC,Q3114873,Grande-Baie,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC154044,Hébertville vl,QC,Q3144525,Hébertville,S1_STRICT_YEAR_LINK;S2_STRICT_MULTIHOP,high,VERIFIED,
PLACE_QC154048,St. Bruno vl,QC,Q112911961,Saint-Bruno,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC154049,St. Félicien vl,QC,Q141511,Saint-Félicien,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC154050_1911,St. Jérôme vl,QC,Q112912401,Saint-Jérôme,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC155001_1871,St. Jean,QC,Q3462540,Saint-Jean-de-l'Île-d'Orléans,S4_TIER_ROOT_PROVINCE,low,DEMOTED,FAR: 97 km from chain centroid
PLACE_QC156001,L’Annonciation,QC,Q112911481,L'Annonciation,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC156006_1911,St. Eustache,QC,Q141505,Saint-Eustache,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC156008,St. Joseph,QC,Q141613,Saint-Joseph-de-Beauce,S4_TIER_ROOT_PROVINCE,low,DEMOTED,FAR: 257 km from chain centroid
PLACE_QC157001_1911,St. Anselme,QC,Q112911875,Saint-Anselme,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
