tcpuid,year,province,old_canonical_name,new_canonical_name,old_place_id,new_place_id
MB007017,1891,MB,Norfolk N,Norfolk North—Nord,PLACE_MB161005,PLACE_MB008008
MB007019,1891,MB,Oak River,"Hamiota, VL",PLACE_MB007019,PLACE_MB165019
MB007023,1891,MB,"Portage la Prairie, Town—Ville","Portage la Prairie, C",PLACE_MB007023,PLACE_MB160011
MB007024,1891,MB,Rapid City vl,"Rapid City, T-V",PLACE_MB019005,PLACE_MB165017
MB008001,1901,MB,"Carberry, Town—Ville","Carberry, T-V",PLACE_MB008001,PLACE_MB161011
MB008003,1891,MB,"Emerson, Town—Ville","Emerson, T-V",PLACE_MB010002,PLACE_MB156010
MB008004,1901,MB,"Gladstone, Town—Ville","Gladstone, T-V",PLACE_MB008004_1901,PLACE_MB164009
MB008010,1891,MB,"Morris, Town—Ville","Morris, T-V",PLACE_MB008010,PLACE_MB156012
MB008012,1901,MB,"Portage la Prairie, Town—Ville","Portage la Prairie, C",PLACE_MB008012_1901,PLACE_MB160011
MB008013,1891,MB,"St. Boniface, Town—Ville","St. Boniface, C",PLACE_MB010011,PLACE_MB160012
MB009003,1891,MB,"Brandon, City—Cité","Brandon, C",PLACE_MB006002,PLACE_MB161010
MB009011,1901,MB,"Dauphin, Town—Ville","Dauphin, T-V",PLACE_MB009011_1901,PLACE_MB167009
MB009012,1901,MB,Gilbert Plains,"Gilbert Plains, VL",PLACE_MB168002,PLACE_MB168015
MB009013,1901,MB,Grandview,"Grandview, T-V",PLACE_MB009013_1901,PLACE_MB168012
MB009014,1901,MB,Hamiota,"Hamiota, VL",PLACE_MB165006,PLACE_MB165019
MB009017,1901,MB,"Minnedosa, Town—Ville","Minnedosa, T-V",PLACE_MB009017_1891,PLACE_MB165016
MB009019,1891,MB,"Morden, Town—Ville","Morden, T-V",PLACE_MB009019,PLACE_MB156011
MB009020,1901,MB,Rapid City vl,"Rapid City, T-V",PLACE_MB019005,PLACE_MB165017
MB009022,1901,MB,Russell,"Russell, T-V",PLACE_MB168006,PLACE_MB168013
MB009024,1901,MB,Shoal Lake,"Shoal Lake, VL",PLACE_MB165012,PLACE_MB165020
MB009026,1901,MB,"Swan River, T-V",Swan River,PLACE_MB169004,PLACE_MB009026
MB010002,1901,MB,"Emerson, Town—Ville","Emerson, T-V",PLACE_MB010002,PLACE_MB156010
MB010008,1901,MB,"Morris, Town—Ville","Morris, T-V",PLACE_MB010008,PLACE_MB156012
MB010011,1901,MB,"St. Boniface, Town—Ville","St. Boniface, C",PLACE_MB010011,PLACE_MB160012
MB011003,1901,MB,"East Selkirk, Town—Ville",St. Peters,PLACE_MB011003,PLACE_MB022006
MB011004,1901,MB,Gimli,"Gimli, VL",PLACE_MB166007,PLACE_MB166013
MB015008,1911,MB,Virden t-v,"Virden, Town—Ville",PLACE_MB015008_1911,PLACE_MB162012
MB015009,1911,MB,Elkhorn vl (T12 R28 MW1),"Elkhorn, VL",PLACE_MB015009,PLACE_MB162013
MB015011,1911,MB,Wawanesa vl (T7 R17 MW1),"Wawanesa, VL",PLACE_MB015011,PLACE_MB161012
MB016004,1911,MB,Grand View t-v,"Grandview, T-V",PLACE_MB016004,PLACE_MB168012
MB016006,1911,MB,Gilbert Plains vl (T25 R22 MW1),"Gilbert Plains, VL",PLACE_MB016006,PLACE_MB168015
MB016007,1911,MB,Winnipegosis vl (T31 R18 MW1),"Winnipegosis, VL",PLACE_MB016007,PLACE_MB167010
MB017003,1911,MB,Gretna vl (T1 R1 MW1),"Gretna, VL",PLACE_MB017003_1911,PLACE_MB156013
MB017004,1911,MB,Manitou vl (T3 R8 MW1),"Manitou, VL",PLACE_MB017004_1911,PLACE_MB157011
MB017005,1911,MB,Pilot Mound vl (T3 R11 MW1),"Pilot Mound, VL",PLACE_MB017005,PLACE_MB157012
MB017006,1911,MB,Plum Coulee vl (T3 R3 MW1),"Plum Coulee, VL",PLACE_MB017006_1911,PLACE_MB156014
MB017007,1911,MB,Winkler vl (T2 R4 MW1),"Winkler, VL",PLACE_MB017007,PLACE_MB156015
MB018011,1911,MB,Swan Lake I R,Indian reserves,PLACE_MB018011,PLACE_MB157009
MB019003,1911,MB,Birtle t-v,"Birtle, Town—Ville",PLACE_MB019003_1911,PLACE_MB165015
MB019005,1911,MB,Rapid City vl,"Rapid City, T-V",PLACE_MB019005,PLACE_MB165017
MB019006,1911,MB,Hamiota vl (T14 R23 MW1),"Hamiota, VL",PLACE_MB019006,PLACE_MB165019
MB019007,1911,MB,Russell vl (T21 R28 MW1),"Russell, T-V",PLACE_MB019007,PLACE_MB168013
MB019008,1911,MB,Shoal Lake vl (T17 R23 MW1),"Shoal Lake, VL",PLACE_MB019008,PLACE_MB165020
MB020006,1911,MB,Neepawa t-v,"Neepawa, Town—Ville",PLACE_MB020006_1911,PLACE_MB164010
MB020007,1911,MB,Portage la Prairie t-v,"Portage la Prairie, C",PLACE_MB020007,PLACE_MB160011
MB022011,1911,MB,Selkirk t-v,"Selkirk, Town—Ville",PLACE_MB022011_1911,PLACE_MB163010
MB022013,1911,MB,Beausejour vl (T12 R7 ME1),"Beausejour, T-V",PLACE_MB022013,PLACE_MB159012
MB022014,1911,MB,Gimli vl (T27 R4 ME1),"Gimli, VL",PLACE_MB022014,PLACE_MB166013
MB022015,1911,MB,Winnipeg Beach vl (T17 R4 ME1),"Winnipeg Beach, T-V",PLACE_MB022015,PLACE_MB163012
MB023007,1911,MB,Napinka vl (T4 R25 MW1),"Napinka, VL",PLACE_MB023007,PLACE_MB158013
MB162012,1921,MB,"Virden, T-V","Virden, Town—Ville",PLACE_MB162012_1921,PLACE_MB162012
MB163010,1921,MB,"Selkirk, T-V","Selkirk, Town—Ville",PLACE_MB163010_1921,PLACE_MB163010
MB164010,1921,MB,"Neepawa, T-V","Neepawa, Town—Ville",PLACE_MB164010_1921,PLACE_MB164010
MB165015,1921,MB,"Birtle, T-V","Birtle, Town—Ville",PLACE_MB165015_1921,PLACE_MB165015
MB183003,1881,MB,"Winnipeg, C",Winnipeg,PLACE_MB160013,PLACE_MB183003
MB184001,1881,MB,Morris W-O,"Morris, T-V",PLACE_MB184001,PLACE_MB156012
MB184002,1881,MB,"Emerson, Town—Ville","Emerson, T-V",PLACE_MB010002,PLACE_MB156010
MB186001,1881,MB,"Gladstone, Town—Ville","Gladstone, T-V",PLACE_MB008004_1901,PLACE_MB164009
MB186009,1881,MB,Morris W-O,Morris,PLACE_MB186009,PLACE_MB156004
NB013012,1891,NB,"St. George, Town & Parish — Ville et Paroisse",St. George,PLACE_NB015012,PLACE_NB024011
NB013018,1891,NB,West Isles (Deer Island),West Isles,PLACE_NB013018_1891,PLACE_NB024015
NB015012,1901,NB,"St. George, Town & Parish — Ville et Paroisse",St. George,PLACE_NB015012,PLACE_NB024011
NB017004,1891,NB,Chatham,"Chatham, T-V",PLACE_NB019004,PLACE_NB029015
NB019004,1901,NB,Chatham,"Chatham, T-V",PLACE_NB019004,PLACE_NB029015
NB020003,1891,NB,"St. John, Dukis, Ward—Quartier","St. John City, Dukes ward-quartier",PLACE_NB021002,PLACE_NB032007
NB021001,1891,NB,"Portland, Dufferin, Ward—Quartier","St. John City, Dufferin ward-quartier",PLACE_NB021001_1891,PLACE_NB032008
NB021002,1891,NB,"Portland, Lansdowne, Ward—Quartier","St. John City, Lansdowne ward-quartier",PLACE_NB021002_1891,PLACE_NB032011
NB021002,1901,NB,"St. John, Dukis, Ward—Quartier","St. John City, Dukes ward-quartier",PLACE_NB021002,PLACE_NB032007
NB021003,1891,NB,"Portland, Lorne, Ward—Quartier","St. John City, Lorne ward-quartier",PLACE_NB021003_1891,PLACE_NB032012
NB021004,1891,NB,"Portland, Stanley, Ward—Quartier","St. John City, Stanley ward-quartier",PLACE_NB021004_1891,PLACE_NB032015
NB021005,1891,NB,"Portland, Victoria, Ward—Quartier","St. John City, Victoria ward-quartier",PLACE_NB021005_1891,PLACE_NB032017
NB023009,1891,NB,St. Bazile,St. Basile,PLACE_NB034013,PLACE_NB028007
NB023009,1901,NB,St. Bazile,St. Basile,PLACE_NB034013,PLACE_NB028007
NB023013,1891,NB,St. Leonard's,St. Léonard,PLACE_NB023013,PLACE_NB028011
NB023014,1921,NB,"Woodstock, T-V","Woodstock, Town—Ville",PLACE_NB023014,PLACE_NB023014
NB024005,1881,NB,"St. John, Dukis, Ward—Quartier","St. John City, Dukes ward-quartier",PLACE_NB021002,PLACE_NB032007
NB025003,1881,NB,"Portland, Ward—Quartier No. 1","St. John City, Lorne ward-quartier",PLACE_NB025003,PLACE_NB032012
NB025004,1881,NB,"Portland, Ward—Quartier No. 2","St. John City, Lansdowne ward-quartier",PLACE_NB025004,PLACE_NB032011
NB025005,1881,NB,"Portland, Ward—Quartier No. 3","St. John City, Dufferin ward-quartier",PLACE_NB025005_1881,PLACE_NB032008
NB025006,1881,NB,"Portland, Ward—Quartier No. 4","St. John City, Victoria ward-quartier",PLACE_NB025006_1881,PLACE_NB032017
NB025007,1881,NB,"Portland, Ward—Quartier No. 5","St. John City, Stanley ward-quartier",PLACE_NB025007_1881,PLACE_NB032015
NB025009,1881,NB,Saint Martin's,St. Martins,PLACE_NB025009_1871,PLACE_NB032003
NB025012,1911,NB,"Woodstock, T-V","Woodstock, Town—Ville",PLACE_NB023014,PLACE_NB023014
NB026004,1881,NB,"St. George, Town—Ville",St. George,PLACE_NB026004_1881,PLACE_NB024011
NB026007,1881,NB,"St. Andrew's, Town—Ville","St. Andrews, Town & Parish — Ville et Paroisse",PLACE_NB026007,PLACE_NB015009
NB026010,1921,NB,Welford,Weldford,PLACE_NB026010,PLACE_NB026010
NB026016,1881,NB,Deer Island,West Isles,PLACE_NB026016_1881,PLACE_NB024015
NB030018,1881,NB,St. Mary's,St. Marys,PLACE_NB030018,PLACE_NB036012
NB032005,1881,NB,St. Bazile,St. Basile,PLACE_NB034013,PLACE_NB028007
NB032007,1881,NB,St. Leonard's,St. Léonard,PLACE_NB023013,PLACE_NB028011
NB033006,1881,NB,"Moncton, Town—Ville","Moncton, City—Cité",PLACE_NB033006_1881,PLACE_NB024003_1881
NB033018,1911,NB,Gagetown vl,"Gagetown, T-V",PLACE_NB033018,PLACE_NB030011
NB034013,1911,NB,St. Bazile,St. Basile,PLACE_NB034013,PLACE_NB028007
NB034017,1911,NB,St. Leonard,St. Léonard,PLACE_NB034017,PLACE_NB028011
NB035010,1881,NB,Chatham,"Chatham, T-V",PLACE_NB019004,PLACE_NB029015
NB037001,1881,NB,Eldon,Eldon & Restigouche River,PLACE_NB031006_1921,PLACE_NB031006
NB174005,1871,NB,"St. John, Dukis, Ward—Quartier","St. John City, Dukes ward-quartier",PLACE_NB021002,PLACE_NB032007
NB174013,1871,NB,Saint Martin's,St. Martins,PLACE_NB025009_1871,PLACE_NB032003
NB175007,1871,NB,"St. Andrew's, Town—Ville",St. Andrew’s,PLACE_NB026007,PLACE_NB175007
NB179017,1871,NB,St. Mary's,St. Marys,PLACE_NB030018,PLACE_NB036012
NB181006,1871,NB,St. Bazile,St. Basile,PLACE_NB034013,PLACE_NB028007
NB182001,1871,NB,Eldon,Eldon & Restigouche River,PLACE_NB031006_1921,PLACE_NB031006
NB184009,1871,NB,Chatham,"Chatham, T-V",PLACE_NB019004,PLACE_NB029015
NL001999,1891,NL,Labrador,NO DATA,PLACE_NL001999_1891,PLACE_NL001999
NS004003,1881,NS,North Mountain,West Bay,PLACE_NS036012,PLACE_NS013021
NS004004,1881,NS,Dennis River,River Denys,PLACE_NS004004_1881,PLACE_NS013017
NS004006,1881,NS,Port Hood,"Port Hood, T-V",PLACE_NS035018,PLACE_NS013027
NS004012,1881,NS,Margaree Harbour,Margarie,PLACE_NS004012_1881,PLACE_NS036009
NS004014,1881,NS,North-East Margaree,Margaree N. E.,PLACE_NS004014_1871,PLACE_NS013011
NS004015,1881,NS,Young's Bridge,Margaree S. W.-O.,PLACE_NS004015_1881,PLACE_NS013012
NS004018,1921,NS,Morse Road (Dalhousie),Dalhousie,PLACE_NS004018_1921,PLACE_NS004018
NS004026,1921,NS,Thornes Cove (Granville Lower),"Granville, Lower",PLACE_NS004026_1921,PLACE_NS004026
NS004027,1921,NS,Torbrook (Meadowvale),Meadowvale,PLACE_NS004027_1921,PLACE_NS004027
NS005016,1921,NS,"South River, Upper",Upper South River,PLACE_NS005016_1921,PLACE_NS005016
NS006013,1881,NS,Cow Bay,Port Morien,PLACE_NS028007,PLACE_NS006024
NS006018,1881,NS,North Mira,Hillside,PLACE_NS006018_1881,PLACE_NS006020
NS007013,1881,NS,Forchu,Framboise,PLACE_NS007013_1881,PLACE_NS018006
NS007026,1921,NS,"Truro, T-V","Truro, Town—Ville",PLACE_NS007026,PLACE_NS007026
NS008003,1881,NS,Cape Canso,"Canso, T-V",PLACE_NS008003,PLACE_NS010033
NS008010,1881,NS,Forks St. Mary’s,Forks,PLACE_NS032005,PLACE_NS010006
NS008013,1881,NS,Guysborough Intervale,Intervale,PLACE_NS032007,PLACE_NS010013_1921
NS008016,1881,NS,Goshen & Giant's Lake,Goshen,PLACE_NS008016,PLACE_NS010007
NS008030,1921,NS,"Amherst, T-V","Amherst, Town—Ville",PLACE_NS008030,PLACE_NS008030
NS009015,1921,NS,New Tusket & Havelock,New Tusket,PLACE_NS009015_1921,PLACE_NS009015
NS009020,1921,NS,Sandy Cove & Centreville,Sandy Cove,PLACE_NS009020_1921,PLACE_NS009020
NS010001,1881,NS,North West Arm,Northwest Arm,PLACE_NS010001,PLACE_NS011024
NS010002,1881,NS,Ferguson's Cove,Polling District No. 7,PLACE_NS010002,PLACE_NS034001
NS010005,1881,NS,Lower Prospect,Terence Bay,PLACE_NS010005_1881,PLACE_NS011040
NS010006,1921,NS,Glenelg (Forks),Forks,PLACE_NS010006_1921,PLACE_NS010006
NS010007,1881,NS,Drysdale's Cove,Spryfield (Prospect Road),PLACE_NS010007_1881,PLACE_NS011039
NS010008,1881,NS,Haggett's Cove,East Dover,PLACE_NS010008,PLACE_NS011005
NS010011,1881,NS,Hammond's Plains,Hammond Plains,PLACE_NS010011,PLACE_NS011012
NS010012,1881,NS,Pier's Mills,Polling District No. 15,PLACE_NS010012_1881,PLACE_NS034009
NS010013,1881,NS,"Dartmouth, Town—Ville","Dartmouth, T-V",PLACE_NS010013,PLACE_NS011044
NS010016,1881,NS,Truro Road,Fall River,PLACE_NS010016,PLACE_NS011007
NS010024,1881,NS,Sheet Harbor,Sheet Harbour,PLACE_NS010024,PLACE_NS011033
NS010025,1881,NS,Salmon River,Port Dufferin,PLACE_NS010025,PLACE_NS011025
NS010026,1881,NS,Nicumteouch,Smith Cove,PLACE_NS010026_1881,PLACE_NS011037
NS010030,1881,NS,Wyse's Corner,Meagher Grant,PLACE_NS010030,PLACE_NS011019
NS010031,1881,NS,Gay's River,Gays River,PLACE_NS010031_1881,PLACE_NS011010
NS011004,1921,NS,Cole Harbour (Imperial),Cole Harbour,PLACE_NS011004_1921,PLACE_NS011004
NS011007,1921,NS,Fall River (Waverly Corner),Fall River,PLACE_NS011007_1921,PLACE_NS011007
NS011009,1881,NS,"Bridgewater, T-V",Bridgewater,PLACE_NS015043,PLACE_NS038003
NS011011,1881,NS,Baywater,Blandford,PLACE_NS038001,PLACE_NS015003
NS011011,1921,NS,Hackett Cove (Haggens Cove),Hackett Cove,PLACE_NS011011_1921,PLACE_NS011011
NS011014,1921,NS,Hubbard Cove (North Shore),Hubbard Cove,PLACE_NS011014_1921,PLACE_NS011014
NS011023,1921,NS,Musquodoboit Upper,Upper Musquodoboit,PLACE_NS011023_1921,PLACE_NS011023
NS011030,1921,NS,Sackville (13 Mile House),Windsor Road,PLACE_NS011030_1921,PLACE_NS011030
NS012001,1921,NS,Avondale (Newport Sounding),Avondale,PLACE_NS012001_1921,PLACE_NS012001_1891
NS012003,1881,NS,Local District No. 3,Hunt Point,PLACE_NS012003,PLACE_NS017006
NS012004,1881,NS,Local District No. 4,Port Mouton,PLACE_NS012004_1881,PLACE_NS017010
NS012005,1881,NS,Local District No. 5,Milton,PLACE_NS012005_1881,PLACE_NS017008
NS012006,1881,NS,Local District No. 6,Brooklyn,PLACE_NS012006,PLACE_NS017002
NS012007,1881,NS,Local District No. 7,Eagle Head,PLACE_NS012007,PLACE_NS017004
NS012008,1881,NS,Local District No. 8,Port Medway,PLACE_NS012008_1881,PLACE_NS017009
NS012009,1881,NS,Local District No. 9,"Mill, VL",PLACE_NS012009,PLACE_NS017014
NS012010,1881,NS,Local District No. 10,Greenfield,PLACE_NS012010,PLACE_NS017005
NS012011,1881,NS,Local District No. 11,Brookfield,PLACE_NS012011_1881,PLACE_NS017001
NS012012,1881,NS,Local District No. 12,Caledonia,PLACE_NS012012,PLACE_NS052004
NS012013,1881,NS,Local District No. 13,Kempt,PLACE_NS012013,PLACE_NS017007
NS012014,1921,NS,South Newport (Brooklyn),Brooklyn,PLACE_NS012014_1921,PLACE_NS012014
NS013001,1881,NS,Clyde River,Northeast Harbour,PLACE_NS052009,PLACE_NS019008
NS013002,1881,NS,"Birchtown, Gunning Cove",Church Over,PLACE_NS013002,PLACE_NS052007
NS013007,1881,NS,"Sable River, Louis Head",Louis Head,PLACE_NS013007_1881,PLACE_NS040014
NS014003,1881,NS,"Yarmouth, T-V",Yarmouth,PLACE_NS021022,PLACE_NS014003
NS014006,1881,NS,Kempt,Kemptville,PLACE_NS014006_1871,PLACE_NS021010
NS014007,1881,NS,West Tusket River,Forest Lakes,PLACE_NS014007,PLACE_NS053007
NS015002,1881,NS,"Marshall, Town—Ville",Marshalls,PLACE_NS031011,PLACE_NS009011
NS015033,1921,NS,Petite Rivière & Broad Cove,Petite Rivière,PLACE_NS015033_1921,PLACE_NS015033
NS016001,1921,NS,Abercrombie & Granton,Abercrombie,PLACE_NS016001_1921,PLACE_NS016001_1891
NS016007,1881,NS,Broad Cove,"Granville, Lower",PLACE_NS016007,PLACE_NS004026
NS016014,1881,NS,Morse's Road,Dalhousie,PLACE_NS016014,PLACE_NS004018
NS016036,1921,NS,"New Glasgow, T-V","New Glasgow, Town—Ville",PLACE_NS016036,PLACE_NS016036
NS016037,1921,NS,"Pictou, T-V","Pictou, Town—Ville",PLACE_NS016037,PLACE_NS016037
