tcpuid,year,persistent_place_id
ON006003,1851,PLACE_ON108003
ON069008,1861,PLACE_ON108010
ON050005,1871,PLACE_ON108010
ON128002,1881,PLACE_ON108010
ON006004,1851,PLACE_ON108004
ON069001,1861,PLACE_ON108007
ON050002,1871,PLACE_ON108007
ON069005,1861,PLACE_ON108004
ON050001,1871,PLACE_ON108004
ON128001,1881,PLACE_ON108004
ON006005,1851,PLACE_ON108005
ON069006,1861,PLACE_ON108005
ON051001,1871,PLACE_ON108005
ON127001,1881,PLACE_ON108005
ON006006,1851,PLACE_ON108006
ON069007,1861,PLACE_ON108006
ON051004,1871,PLACE_ON108006
ON127004,1881,PLACE_ON108006
ON058003,1891,PLACE_ON108006
ON055003,1901,PLACE_ON108006
ON064006,1911,PLACE_ON108006
ON108006,1921,PLACE_ON108006
ON007002,1851,PLACE_ON109002
ON070002,1861,PLACE_ON109002
ON006005,1871,PLACE_ON109002
ON163008,1881,PLACE_ON109002
ON060002,1891,PLACE_ON109002
ON057002,1901,PLACE_ON109002
ON065001,1911,PLACE_ON109002
ON109002,1921,PLACE_ON109002
ON070008,1861,PLACE_ON109014
ON006006,1871,PLACE_ON109014
ON163009,1881,PLACE_ON109014
ON060006,1891,PLACE_ON109014
ON057006,1901,PLACE_ON109014
ON065008,1911,PLACE_ON109014
ON109014,1921,PLACE_ON109014
ON007005,1851,PLACE_ON109005
ON070005,1861,PLACE_ON109005
ON006003,1871,PLACE_ON109005
ON163004,1881,PLACE_ON109005
ON060003,1891,PLACE_ON109005
ON057003,1901,PLACE_ON109005
ON065003,1911,PLACE_ON109005
ON109005,1921,PLACE_ON109005
ON007007,1851,PLACE_ON109007
ON070009,1861,PLACE_ON109007
ON006001,1871,PLACE_ON109007
ON007001,1851,PLACE_ON109001
ON070001,1861,PLACE_ON109001
ON005001,1871,PLACE_ON109001
ON164001,1881,PLACE_ON109001
ON061001,1891,PLACE_ON109001
ON058001,1901,PLACE_ON109001
ON066001,1911,PLACE_ON109001
ON109001,1921,PLACE_ON109001
ON007003,1851,PLACE_ON109004
ON070004,1861,PLACE_ON109004
ON005002,1871,PLACE_ON109004
ON164002,1881,PLACE_ON109004
ON061002,1891,PLACE_ON109004
ON058002,1901,PLACE_ON109004
ON066002,1911,PLACE_ON109004
ON109004,1921,PLACE_ON109004
ON007006,1851,PLACE_ON109006
ON070006,1861,PLACE_ON109006
ON005003,1871,PLACE_ON109006
ON164003,1881,PLACE_ON109006
ON061007,1891,PLACE_ON109006
ON058007,1901,PLACE_ON109006
ON066003,1911,PLACE_ON109006
ON109006,1921,PLACE_ON109006
ON008009,1851,PLACE_ON110010
ON071011,1861,PLACE_ON110010
ON001013,1871,PLACE_ON110010
ON181015,1881,PLACE_ON110010
ON062003,1891,PLACE_ON110010
ON059003,1901,PLACE_ON110010
ON067002,1911,PLACE_ON110010
ON110010,1921,PLACE_ON110010
ON008002,1851,PLACE_ON110001
ON071002,1861,PLACE_ON110001
ON001003,1871,PLACE_ON110001
ON181003,1881,PLACE_ON110001
ON063002,1891,PLACE_ON110001
ON060002,1901,PLACE_ON110001
ON068001,1911,PLACE_ON110001
ON110001,1921,PLACE_ON110001
ON008006,1851,PLACE_ON110007
ON071006,1861,PLACE_ON110007
ON001001,1871,PLACE_ON110007
ON008007,1851,PLACE_ON110008
ON071007,1861,PLACE_ON110008
ON001006,1871,PLACE_ON110008
ON181008,1881,PLACE_ON110008
ON063010,1891,PLACE_ON110008
ON060011,1901,PLACE_ON110008
ON068007,1911,PLACE_ON110008
ON110008,1921,PLACE_ON110008
ON009005,1851,PLACE_ON111002
ON072002,1861,PLACE_ON111002
ON064011,1871,PLACE_ON111002
ON118010,1881,PLACE_ON111002
ON045003,1891,PLACE_ON111002
ON043003,1901,PLACE_ON111002
ON069002,1911,PLACE_ON111002
ON111002,1921,PLACE_ON111002
ON009006,1851,PLACE_ON111009
ON072006,1861,PLACE_ON111009
ON064010,1871,PLACE_ON111009
ON118001,1881,PLACE_ON111009
ON045009,1891,PLACE_ON111009
ON043009,1901,PLACE_ON111009
ON069011,1911,PLACE_ON111009
ON111009,1921,PLACE_ON111009
ON009008,1851,PLACE_ON065005
ON072011,1861,PLACE_ON065005
ON065005,1871,PLACE_ON065005
ON072016,1861,PLACE_ON072016
ON009007,1851,PLACE_ON111014
ON072012,1861,PLACE_ON111014
ON064009,1871,PLACE_ON111014
ON118002,1881,PLACE_ON111014
ON045014,1891,PLACE_ON111014
ON043014,1901,PLACE_ON111014
ON069016,1911,PLACE_ON111014
ON111014,1921,PLACE_ON111014
ON009002,1851,PLACE_ON111015
ON072014,1861,PLACE_ON111015
ON065006,1871,PLACE_ON111015
ON115007,1881,PLACE_ON111015
ON064006,1891,PLACE_ON111015
ON061006,1901,PLACE_ON111015
ON069017,1911,PLACE_ON111015
ON111015,1921,PLACE_ON111015
ON010004,1851,PLACE_ON112002
ON073002,1861,PLACE_ON112002
ON074003,1871,PLACE_ON112002
ON099003,1881,PLACE_ON112002
ON065003,1891,PLACE_ON112002
ON062003,1901,PLACE_ON112002
ON070002,1911,PLACE_ON112002
ON112002,1921,PLACE_ON112002
ON010001,1851,PLACE_ON112003
ON073003,1861,PLACE_ON112003
ON074002,1871,PLACE_ON112003
ON099002,1881,PLACE_ON112003
ON065004,1891,PLACE_ON112003
ON062004,1901,PLACE_ON112003
ON070003,1911,PLACE_ON112003
ON112003,1921,PLACE_ON112003
ON010003,1851,PLACE_ON112004
ON073004,1861,PLACE_ON112004
ON074004,1871,PLACE_ON112004
ON099004,1881,PLACE_ON112004
ON065006,1891,PLACE_ON112004
ON062006,1901,PLACE_ON112004
ON070004,1911,PLACE_ON112004
ON112004,1921,PLACE_ON112004
ON012002,1851,PLACE_ON113002
ON074002,1861,PLACE_ON113002
ON069003,1871,PLACE_ON113002
ON106003,1881,PLACE_ON113002
ON066003,1891,PLACE_ON113002
