tcpuid_from,year_from,name_from,tcpuid_to,year_to,name_to,province,iou,name_similarity
NB025007,1881,"Portland, Ward—Quartier No. 5",NB021004,1891,"Portland, Stanley, Ward—Quartier",NB,1.0,78.12
NB025006,1881,"Portland, Ward—Quartier No. 4",NB021005,1891,"Portland, Victoria, Ward—Quartier",NB,1.0,77.27
NB033006,1881,"Moncton, Town—Ville",NB024003,1891,"Moncton, City—Cité",NB,1.0,75.41
NS016014,1881,Morse's Road,NS026010,1891,Dalhousie,NS,1.0,50.0
NS016007,1881,Broad Cove,NS026012,1891,"Granville, Lower",NS,1.0,56.92
NS021005,1881,Cape George,NS027004,1891,Ballantyne’s Cove,NS,1.0,55.0
NS021009,1881,Tracadie,NS027008,1891,Lenwood,NS,1.0,39.33
NS021006,1881,Morristown,NS027011,1891,Mahoney’s Beach,NS,1.0,46.8
NS021007,1881,St. Andrew's,NS027013,1891,Pomquet River,NS,1.0,52.4
NS006018,1881,North Mira,NS028013,1891,Hillside Mira,NS,1.0,66.52
NS019016,1881,Broofield Corner,NS029003,1891,Brookfield,NS,1.0,78.46
NS019012,1881,Kemptown,NS029008,1891,"Kempt, Town—Ville",NS,1.0,74.8
NS022007,1881,Victoria Cross Road,NS030016,1891,Victoria,NS,1.0,71.48
NS008016,1881,Goshen & Giant's Lake,NS032008,1891,Goshen,NS,1.0,61.11
NS008003,1881,Cape Canso,NS032002,1891,Canso,NS,1.0,76.67
NS010012,1881,Pier's Mills,NS034009,1891,Polling District No. 15,NS,1.0,41.0
NS010008,1881,Haggett's Cove,NS034036,1891,Polling District No. 38,NS,1.0,39.92
NS010017,1881,Eastern Passage,NS034031,1891,Polling District No. 33,NS,1.0,39.42
NS010002,1881,Ferguson's Cove,NS034001,1891,Polling District No. 7,NS,1.0,39.92
NS010031,1881,Gay's River,NS034013,1891,Polling District No. 19,NS,1.0,37.47
NS010011,1881,Hammond's Plains,NS034010,1891,Polling District No. 16,NS,1.0,42.54
NS010019,1881,Lawrencetown,NS034026,1891,Polling District No. 29,NS,1.0,41.0
NS010029,1881,Little River,NS034033,1891,Polling District No. 35,NS,1.0,41.0
NS010030,1881,Wyse's Corner,NS034014,1891,Polling District No. 20,NS,1.0,32.67
NS010028,1881,Middle Musquodoboit,NS034015,1891,Polling District No. 21,NS,1.0,37.67
NS010001,1881,North West Arm,NS034008,1891,Polling District No. 14,NS,1.0,39.92
NS010025,1881,Salmon River,NS034032,1891,Polling District No. 34,NS,1.0,41.0
NS010003,1881,Portuguese Cove,NS034002,1891,Polling District No. 8,NS,1.0,43.7
NS010015,1881,Windsor Road,NS034011,1891,Polling District No. 17,NS,1.0,49.0
NS010004,1881,Sambro,NS034003,1891,Polling District No. 9,NS,1.0,36.0
NS010024,1881,Sheet Harbor,NS034019,1891,Polling District No. 25,NS,1.0,37.0
NS010026,1881,Nicumteouch,NS034018,1891,Polling District No. 24,NS,1.0,41.59
NS010007,1881,Drysdale's Cove,NS034007,1891,Polling District No. 13,NS,1.0,35.74
NS010005,1881,Lower Prospect,NS034017,1891,Polling District No. 23,NS,1.0,39.92
NS010027,1881,Upper Musquodoboit,NS034016,1891,Polling District No. 22,NS,1.0,38.07
NS010006,1881,Upper Prospect,NS034004,1891,Polling District No. 10,NS,1.0,39.92
NS018004,1881,Windsor Forks,NS035007,1891,Forks,NS,1.0,68.89
NS018016,1881,Rawdon N,NS035014,1891,Rawdon Church,NS,1.0,76.67
NS018008,1881,Rawdon S,NS035019,1891,South Rawdon & Uniacke,NS,1.0,62.67
NS004014,1881,North-East Margaree,NS036010,1891,Margarie N-E,NS,1.0,66.13
NS004012,1881,Margaree Harbour,NS036009,1891,Margarie,NS,1.0,70.83
NS004004,1881,Dennis River,NS036017,1891,River Dennis,NS,1.0,65.0
NS017006,1881,Kentville,NS037006,1891,Kentville & Canaan,NS,1.0,71.67
NS020024,1881,Gulf Shore,NS039002,1891,Bailey’s Brook,NS,1.0,47.5
NS020005,1881,Cariboo,NS039005,1891,Cariboo E & W-O,NS,1.0,74.55
NS020010,1881,West River & Green Hill,NS039011,1891,Green Hill,NS,1.0,72.42
NS020011,1881,Gairloch,NS039018,1891,Mill Brook,NS,1.0,53.33
NS020007,1881,Pictou,NS039022,1891,Pictou Island & Fisher's Grant,NS,1.0,53.33
NS020002,1881,West Branch River John,NS039025,1891,"River John, West branche",NS,1.0,66.52
NS007011,1881,Arichat W-O,NS041015,1891,West Arichat,NS,1.0,72.61
NS007013,1881,Forchu,NS041005,1891,Framboise,NS,1.0,48.67
NS012011,1881,Local District No. 11,NS040001,1891,Brookfield,NS,1.0,41.24
NS012006,1881,Local District No. 6,NS040002,1891,Brooklyn,NS,1.0,42.69
NS012012,1881,Local District No. 12,NS040003,1891,Caledonia,NS,1.0,51.03
NS013002,1881,"Birchtown, Gunning Cove",NS042005,1891,Church-Over,NS,1.0,58.82
NS012007,1881,Local District No. 7,NS040004,1891,Eagle Head,NS,1.0,46.36
NS012010,1881,Local District No. 10,NS040005,1891,Greenfield,NS,1.0,36.72
NS012003,1881,Local District No. 3,NS040006,1891,Hunt’s Point,NS,1.0,40.82
NS012013,1881,Local District No. 13,NS040007,1891,Kempt,NS,1.0,33.08
NS012005,1881,Local District No. 5,NS040010,1891,Milton,NS,1.0,43.85
NS013001,1881,Clyde River,NS042011,1891,North-East Harbonr,NS,1.0,49.31
NS012008,1881,Local District No. 8,NS040011,1891,Port Medway,NS,1.0,45.76
NS012004,1881,Local District No. 4,NS040012,1891,Port Mouton,NS,1.0,50.27
NS013007,1881,"Sable River, Louis Head",NS042009,1891,Louis Head,NS,1.0,72.42
NS012009,1881,Local District No. 9,NS040009,1891,Mill Village,NS,1.0,45.19
NS014007,1881,West Tusket River,NS044022,1891,Tusket Lakes,NS,1.0,68.62
NS014006,1881,Kempt,NS044012,1891,Kemptville,NS,1.0,76.67
NS014001,1881,Plymouth,NS044023,1891,Tusket Wedge,NS,1.0,44.0
NS020015,1881,Albion Mines,NS039026,1891,Stellarton,NS,1.0,49.09
NS010016,1881,Truro Road,NS034012,1891,Polling District No. 18,NS,1.0,37.97
NS004015,1881,Young's Bridge,NS036011,1891,Margarie S-O,NS,1.0,51.54
QC058012,1881,"Actonvale, Village",QC138001,1891,"Acton, Town—Ville",QC,1.0,78.0
QC048008,1881,St. Pierre,QC139021,1891,St. Pierre de Broughton,QC,0.9978,72.42
QC048018,1881,Lambton,QC139025,1891,St. Vital de Lambton,QC,1.0,66.3
QC073003,1881,"Melocheville, St. Clément",QC140004,1891,St. Clément,QC,1.0,72.78
QC086005,1881,Isle du Pad,QC142012,1891,Visitation de l’île Dupas,QC,1.0,65.0
QC038009,1881,"Carleton, Township",QC143001,1891,Carleton,QC,0.9845,73.08
QC038011,1881,St. Jean l'Évangéliste,QC143013,1891,Nouvelle & Shoolbred E,QC,0.9912,45.91
QC038015,1881,"Restigouche, Township",QC143019,1891,Restigouche,QC,1.0,78.12
QC067010,1881,St. Bazile,QC145008,1891,St. Bazile le Grand,QC,1.0,78.28
QC082009,1881,Mont Carmel,QC146003,1891,Notre-Dame du Mont Carmel,QC,1.0,72.78
QC077007,1881,St. F.-X. de la Petite Rivière,QC147005,1891,Petite Rivière,QC,1.0,74.55
QC076017,1881,St. François-Xavier,QC149001,1891,Chicoutimi,QC,1.0,41.76
QC076020,1881,Kénogami,QC149018,1891,St. Cyriac,QC,1.0,35.05
QC076018,1881,Laterrière,QC149006,1891,Notre-Dame de Laterrière,QC,1.0,68.45
QC076022,1881,St. Joseph,QC149025,1891,St. Joseph d’Alma,QC,1.0,79.12
QC054017,1881,Clifton W-O & E,QC150004,1891,"Clifton E & W-O, & St. Edwidge and Martinville, Village",QC,1.0,60.0
QC047004,1881,St. Edouard,QC152004,1891,St. Edouard de Frampton,QC,1.0,75.29
QC047005,1881,Cranbourne,QC152012,1891,St. Odilon de Cranbourne,QC,1.0,71.18
QC052020,1881,Chester E,QC153022,1891,Ste. Hélène,QC,1.0,65.0
QC052010,1881,Ulverton,QC153004,1891,Durham,QC,1.0,50.0
QC052001,1881,St. Eugène,QC153019,1891,St. Eugène de Grantham,QC,1.0,73.75
QC052005,1881,St. Germain,QC153020,1891,St. Germain de Grantham,QC,1.0,75.29
QC039008,1881,"St. Alban, Cap des Rosiers",QC154003,1891,Cap Rosier,QC,1.0,68.89
QC039006,1881,Rivière au Renard,QC154007,1891,Fox & Sydenham N,QC,1.0,51.21
QC039023,1881,Grosse Ile,QC154011,1891,"Grosse Ile, Isle Bryon & Bird Rocks",QC,1.0,61.11
QC039007,1881,"St. Joseph, Anse au Griffon",QC154015,1891,L’Anse aux Griffons,QC,1.0,75.65
QC039014,1881,St. Pierre de la Malbaie,QC154017,1891,Malbaie,QC,1.0,61.61
QC039018,1881,Ste. Adelaïde de Pabos,QC154020,1891,Pabos,QC,1.0,55.93
QC091008,1881,"St. Gabriel, Village",QC155017,1891,"Montréal, St. Gabriel, Ward—Quartier",QC,1.0,67.5
QC091011,1881,"N.-Dame de Grâce, W-O",QC155011,1891,"Notre-Dame-de-Grâce, Village",QC,1.0,72.86
QC087012,1881,St. Alphonse,QC159002,1891,St. Alphonse de Rodriguez,QC,1.0,75.41
QC087010,1881,St. Ambroise,QC159003,1891,St. Ambroise de Kildare,QC,1.0,78.0
QC087006,1881,St. Félix,QC159009,1891,St. Félix de Valois,QC,1.0,75.0
QC042001,1881,Ste. Anne,QC160005,1891,Ste. Anne de la Pocatière,QC,1.0,67.06
QC042009,1881,Kamouraska,QC160010,1891,St. Louis,QC,1.0,52.11
QC097005,1881,"Bowman, Villeneuve",QC176008,1891,Bowman & Villeneuve,QC,1.0,78.17
QC097003,1881,"L'Ange Gardien, Village",QC176022,1891,L’Ange Gardien,QC,1.0,63.04
QC097013,1881,"Mulgrave, Derry",QC176030,1891,Mulgrave & Derry,QC,1.0,77.07
QC097023,1881,"Ponsonby, Namur",QC176034,1891,Ponsonby,QC,1.0,62.54
QC097014,1881,Ste. Angelique,QC176040,1891,Ste. Angélique,QC,1.0,78.85
QC070003,1881,St. Michel,QC174004,1891,St. Michel Archange,QC,1.0,78.28
QC070005,1881,Sherrington,QC174005,1891,St. Patrice de Sherrington,QC,1.0,71.62
QC088002,1881,Mascouche,QC162007,1891,St. Henri de Mascouche,QC,1.0,68.15
QC088004,1881,St. Roch,QC162010,1891,St. Roch de l’Achigan,QC,1.0,66.12
QC091017,1881,Rivière des Prairies,QC155020,1891,"St. Joseph, Riv. des Prairies",QC,1.0,75.71
QC046007,1881,St. Henri,QC164007,1891,St. Henri de Lauzon,QC,1.0,75.0
QC046008,1881,St. Lambert,QC164010,1891,St. Lambert de Lauzon,QC,1.0,78.12
QC046012,1881,St. Romuald,QC164012,1891,St. Romuald d’Etchemin,QC,1.0,76.67
QC046001,1881,"Lévis, Town—Ville",QC164003,1891,"Lévis, City—Cité",QC,1.0,72.42
QC049012,1881,St. Patrice,QC166013,1891,St. Patrice de Beaurivage,QC,1.0,72.78
QC089007,1881,St. Calixte de Beauport,QC170002,1891,"St. Calixte, Village",QC,1.0,72.33
QC044005,1881,Berthier,QC171002,1891,L’Assomption de Berthier,QC,1.0,65.0
QC044004,1881,St. François,QC171007,1891,St. François de la Rivière du Sud,QC,1.0,67.33
QC078013,1881,Laval,QC172004,1891,Ste. Brigitte de Laval,QC,1.0,55.93
QC078011,1881,St. Tite,QC172013,1891,St. Tite des Caps,QC,1.0,74.8
QC051004,1881,Ste. Angèle,QC175006,1891,Ste. Angèle de Laval,QC,1.0,79.68
QC051014,1881,Ste. Brigitte,QC175007,1891,Ste. Brigitte des Saults,QC,1.0,79.19
QC098010,1881,"Portage du Fort, Village",QC177018,1891,Portage du Fort (Village) & Lower Litchfield,QC,1.0,77.35
QC079009,1881,"Québec, Banlieue Centre",QC179001,1891,Banlieu,QC,1.0,53.75
QC079008,1881,"Québec, Montcalm Ward—Quartier (Centre)",QC179005,1891,"Québec, Montcalm Centre, Ward—Quartier",QC,1.0,75.63
QC079013,1881,"Québec, Banlieue S",QC179002,1891,"Banlieu, South—Sud",QC,1.0,56.08
QC080003,1881,Lac Beauport,QC180008,1891,"St. Dunstan, Lac Beauport",QC,1.0,72.55
QC053011,1881,"Melbourne, Brompton Gore",QC182008,1891,"Melbourne, Brompton, Gore and New Rockland, Village",QC,1.0,74.8
QC053017,1881,St. Julien de Wolfestown,QC182018,1891,St. Julien,QC,1.0,71.18
QC053003,1881,"Richmond, Village",QC182010,1891,Richmond,QC,1.0,74.8
QC053007,1881,"Danville, Village",QC182003,1891,Danville,QC,1.0,74.8
QC040020,1881,"McNider, Township",QC183006,1891,N.-D. de l'Assomption,QC,1.0,55.79
QC040006,1881,Notre Dame du Sacré Cœur,QC183007,1891,N.-D. du Sacré-Cœur,QC,1.0,78.84
QC040016,1881,Ste. Angèle,QC183013,1891,Ste. Angèle de Merrici,QC,1.0,76.67
QC040013,1881,St. Gabriel,QC183022,1891,St. Gabriel & St. Marcelin,QC,1.0,71.62
QC040015,1881,St. Joseph,QC183024,1891,St. Joseph de Lepage,QC,1.0,76.67
QC068001,1881,Lacolle,QC186001,1891,St. Bernard de Lacolle,QC,1.0,63.79
QC068004,1881,St. Jean,QC186002,1891,St. Jean l’Evangéliste,QC,1.0,67.33
QC068003,1881,L'Acadie,QC186005,1891,Ste. Marguerite de Blairfindie,QC,1.0,48.42
QC074007,1881,St. Joseph de Soulanges,QC190007,1891,St. Joseph,QC,1.0,72.42
QC096009,1881,Wolfe,QC193005,1891,St. Faustin,QC,1.0,20.75
QC096008,1881,"De Salaberry, Grandison",QC193010,1891,St. Jovite,QC,1.0,24.73
QC094001,1881,"Terrebonne, Town—Ville",QC193011,1891,St. Louis,QC,1.0,48.06
QC094017,1881,Doncaster,QC193012,1891,Ste. Lucie,QC,1.0,52.11
QC094002,1881,Terrebonne,QC193018,1891,"Terrebonne, Town—Ville",QC,1.0,73.75
QC084007,1881,Shawenegan,QC187003,1891,St. Boniface,QC,1.0,49.09
QC084005,1881,St. Elie,QC187004,1891,St. Elie de Caxton,QC,1.0,73.08
QC084004,1881,St. Etienne,QC187005,1891,St. Etienne des Grès,QC,1.0,79.68
QC075007,1881,Isle Perrot,QC195005,1891,Ste. Jeanne de l’île Perrot,QC,1.0,66.84
QC097045,1881,Unorganized Territory,QC176042,1891,"Sicotte, Lytton & Baskatong",QC,1.0,31.35
QC097028,1881,"Gatineau, Village",QC176033,1891,Pointe Gatineau,QC,1.0,48.85
QC038013,1881,"Mann, Township",QC143006,1891,Mann & Indian Reserve,QC,1.0,58.0
QC039004,1881,La Grande Vallée,QC154010,1891,Grande Vallée des Monts,QC,1.0,76.67
QC044006,1881,Ile aux Grues,QC171006,1891,St. Antoine de l'Ile aux Grues,QC,1.0,72.33
QC091001,1881,"St. Jean Baptiste, Village",QC155019,1891,"Montréal, St. Jean-Baptiste, Ward—Quartier",QC,1.0,71.18
QC052031,1881,St. Samuel,QC175017,1891,St. Samuel,QC,1.0,74.29
QC061001,1881,"Sorel, Town—Ville",QC181001,1891,"Sorel, City—Cité",QC,1.0,72.42
QC040025,1881,Ste. Félicité,QC183020,1891,Ste. Félicité & Cherbourg,QC,1.0,77.89
QC061004,1881,Ste. Anne,QC181003,1891,Ste. Anne de Sorel,QC,1.0,76.67
QC038012,1881,"Escuminac, Village",QC143014,1891,Nouvelle & Shoolbred W-O,QC,1.0,46.67
QC079003,1881,"Québec, St. Roch S",QC179013,1891,"St. Roch, South —Sud",QC,1.0,57.92
QC053010,1881,Brompton,QC182001,1891,Brompton & St. Frs.-Xavier,QC,1.0,62.94
QC062006,1881,St. Louis,QC185010,1891,St. Louis de Bonsecours,QC,1.0,69.38
QC061007,1881,St. Louis,QC181005,1891,St. Louis de Bonsecours,QC,1.0,69.38
QC076012,1881,St. Jean,QC149004,1891,L’Anse St. Jean,QC,1.0,75.97
QC097021,1881,Petite Nation N,QC176037,1891,Preston & Addington,QC,1.0,46.79
QC079004,1881,"Québec, St. Roch N",QC179012,1891,"St. Roch, North—Nord",QC,1.0,57.92
QC081004,1881,Bourg Louis,QC178001,1891,"Bourg Louis, Village",QC,1.0,79.68
ON048003,1891,Brantford,ON127004,1901,"Brantford, East—Est",ON,1.0,67.17
ON048004,1891,Dumfries S,ON127005,1901,"Dumfries, South—Sud",ON,1.0,70.45
ON049001,1891,Brantford W-O,ON046002,1901,"Brantford, West—Ouest",ON,1.0,79.41
ON052002,1891,Amabel & Saugeen,ON049002,1901,Amabel & Saugeen Ind. Reserve,ON,1.0,79.78
ON062010,1891,"Windsor, Town—Ville",ON059012,1901,"Windsor, City—Cité",ON,1.0,75.41
ON062009,1891,Walkerville,ON059011,1901,"Walkerville, Town—Ville",ON,1.0,75.29
ON063003,1891,Colchester N,ON060003,1901,"Colchester, North—Nord",ON,1.0,79.41
ON063005,1891,"Essex Centre, Village",ON060005,1901,"Essex, Town—Ville",ON,1.0,74.21
ON062008,1891,"Tilbury Centre (Village), part",ON059009,1901,"Tilbury (part), Village",ON,1.0,74.91
ON085002,1891,Gower S,ON082002,1901,"Gower, South—Sud",ON,1.0,72.61
ON085003,1891,Kemptville,ON082003,1901,"Kemptville, Village",ON,1.0,78.28
ON094001,1891,Canboro',ON067002,1901,Canboro,ON,1.0,76.24
ON070002,1891,Cayuga N,ON067003,1901,"Cayuga, North—Nord",ON,1.0,63.85
ON094002,1891,Cayuga S,ON067004,1901,"Cayuga, South—Sud",ON,1.0,55.71
ON070008,1891,Walpole,ON094008,1901,Walpole,ON,1.0,74.44
ON078004,1891,East Wawanosh,ON075006,1901,"Wawanosh, East—Est",ON,1.0,66.13
ON078007,1891,Wawanosh W-O,ON075007,1901,"Wawanosh, West—Ouest",ON,1.0,78.12
ON079008,1891,Tilbury E,ON076008,1901,"Tilbury, East—Est",ON,1.0,78.46
ON079002,1891,"Chatham, Town—Ville",ON076002,1901,"Chatham, City—Cite",ON,1.0,79.19
ON079007,1891,"Tilbury Centre (Village), part",ON076007,1901,"Tilbury (part), Village",ON,1.0,74.91
ON084003,1891,Burgess N,ON081003,1901,"Burgess, North—Nord",ON,1.0,75.0
ON084006,1891,Elmsley N,ON081006,1901,"Elmsley, North—Nord",ON,0.9927,75.0
ON086003,1891,Crosby,ON083003,1901,"Crosby, North—Nord",ON,1.0,65.0
ON086004,1891,Crosby S,ON083004,1901,"Crosby, South—Sud",ON,1.0,74.8
ON085001,1891,Elmsley S,ON082001,1901,"Elmsley, South—Sud",ON,0.9904,76.67
ON094005,1891,Gainsborough,ON085003,1901,Gainsborough,ON,1.0,75.45
ON130005,1891,Grimsby N,ON128008,1901,"Grimsby, North—Nord",ON,1.0,75.0
ON130006,1891,Grimsby S,ON128009,1901,"Grimsby, South—Sud",ON,1.0,76.67
ON090001,1891,Dorchester N,ON087001,1901,"Dorchester, North—Nord",ON,1.0,79.41
ON090006,1891,Nissouri W-O,ON087006,1901,"Nissouri, West—Ouest",ON,1.0,78.12
ON091009,1891,Williams W-O,ON088009,1901,"Williams, West—Ouest",ON,1.0,78.12
ON114005,1891,"Head, Maria & Clara",ON092016,1901,"Clara, Head & Maria",ON,1.0,41.13
ON102005,1891,Whitby W-O,ON098007,1901,"Whitby, West—Ouest",ON,1.0,75.0
ON102004,1891,Whitby E,ON098005,1901,"Whitby, East—Est",ON,1.0,76.67
ON105007,1891,Zorra E,ON101007,1901,"Zorra, East—Est",ON,1.0,74.55
ON105008,1891,Zorra W-O,ON101008,1901,"Zorra, West—Ouest",ON,1.0,73.08
ON105006,1891,"Woodstock, Town—Ville",ON101006,1901,"Woodstock, City—Cité",ON,1.0,77.8
ON106003,1891,Norwich N,ON102003,1901,"Norwich, North—Nord",ON,1.0,75.0
ON106004,1891,Norwich S,ON102004,1901,"Norwich, South—Sud",ON,1.0,76.67
ON106007,1891,Oxford E,ON102007,1901,"Oxford, East—Est",ON,1.0,76.67
ON106008,1891,Oxford N,ON102008,1901,"Oxford, North—Nord",ON,1.0,73.08
ON106009,1891,Oxford W-O,ON102009,1901,"Oxford, West—Ouest",ON,1.0,75.0
ON105002,1891,Easthope N,ON101002,1901,"Easthope, North—Nord",ON,1.0,76.67
ON108006,1891,Mornington,ON104006,1901,"Mornington, Village",ON,1.0,78.28
ON105003,1891,Easthope S,ON101003,1901,"Easthope, South—Sud",ON,1.0,78.28
ON111003,1891,Monaghan S,ON107003,1901,"Monaghan, South—Sud",ON,1.0,78.28
ON110001,1891,"Ashburnham, Village",ON107004,1901,"Peterborough, Town—Ville",ON,1.0,59.95
ON113006,1891,Marysburg S,ON109006,1901,"Marysburg, South—Sud",ON,1.0,79.68
ON114001,1891,Algona S,ON110001,1901,"Algona, South—Sud",ON,1.0,74.8
ON118003,1891,Creemore,ON114003,1901,"Creemore, Village",ON,1.0,74.8
ON046032,1891,Murillo,ON044060,1901,Oliver,ON,1.0,40.77
ON124002,1891,Dumfries N,ON122002,1901,"Dumfries, North—Nord",ON,1.0,76.67
ON125001,1891,Bertie,ON123002,1901,"Bridgeburg, Village",ON,0.9843,58.0
ON094007,1891,Pelham,ON085009,1901,Pelham,ON,1.0,75.45
ON126005,1891,Garafraxa W-O,ON124005,1901,"Garafraxa, West—Ouest",ON,1.0,79.41
ON129003,1891,Flamborough E,ON128005,1901,"Flamborough, East—Est",ON,1.0,76.94
ON129004,1891,Flamborough W-O,ON128006,1901,"Flamborough, West—Ouest",ON,1.0,74.99
ON046053,1891,Dawson,ON044091,1901,Meldrum Bay,ON,1.0,46.47
ON046040,1891,Rainy River,ON044037,1901,Beaver Mills,ON,1.0,54.35
ON090005,1891,"London W-O, Village",ON087004,1901,"London, Ward—Quartier 3 & 4 (part city)",ON,1.0,54.14
ON046002,1891,Bruce Mines,ON044023,1901,Rydal Bank,ON,1.0,50.0
ON047006,1891,Sombra,ON045006,1901,Sombra & Walpole Island,ON,0.9847,58.97
MB009020,1891,Oakland,MB006011,1901,Oakland,MB,1.0,74.29
MB009013,1891,Elton,MB006007,1901,Elton,MB,1.0,74.29
MB009014,1891,Glenwood,MB006008,1901,Glenwood,MB,1.0,74.29
MB009028,1891,Whitehead,MB006016,1901,Whitehead,MB,1.0,74.29
MB009007,1891,Daly,MB006006,1901,Daly,MB,1.0,74.29
MB009024,1891,Sifton,MB006013,1901,Sifton,MB,1.0,74.29
MB009030,1891,Woodworth,MB006019,1901,Woodworth,MB,1.0,74.29
MB009021,1891,Pipestone,MB006012,1901,Pipestone,MB,1.0,74.29
MB009027,1891,Wallace,MB006014,1901,Wallace,MB,1.0,74.29
MB009026,1891,"Virden, Town—Ville",MB006015,1901,"Virden, Town—Ville",MB,1.0,74.29
MB009019,1891,"Morden, Town—Ville",MB007013,1901,"Morden, Village",MB,1.0,69.0
MB007019,1891,Oak River,MB009014,1901,Hamiota,MB,1.0,47.5
MB007017,1891,Norfolk N,MB008008,1901,Norfolk North—Nord,MB,1.0,53.33
MB007007,1891,Cypress N,MB008002,1901,"Cypress, North—Nord",MB,0.9983,51.67
MB007008,1891,Cypress S,MB008003,1901,"Cypress, South—Sud",MB,1.0,53.33
MB007010,1891,"Gladstone, Town—Ville",MB008004,1901,"Gladstone, Town—Ville",MB,1.0,76.67
MB007016,1891,"Neepawa, Town—Ville",MB008007,1901,"Neepawa, Town—Ville",MB,1.0,76.67
MB007023,1891,"Portage la Prairie, Town—Ville",MB008012,1901,"Portage la Prairie, Town—Ville",MB,1.0,76.67
BC002003,1891,"Vancouver, City—Cité",BC001004,1901,"Vancouver, City—Cité",BC,1.0,72.73
BC003007,1891,Goldstream and Sooke,BC003009,1901,"Victoria, South—Sud",BC,1.0,51.54
NL001999,1891,Labrador,NL999999,1901,NO DATA,NL,1.0,48.67
NB013018,1891,West Isles (Deer Island),NB015017,1901,West Isles,NB,1.0,71.18
NB021001,1891,"Portland, Dufferin, Ward—Quartier",NB021009,1901,"St. John, Dufferin, Ward—Quartier",NB,1.0,76.16
NB021002,1891,"Portland, Lansdowne, Ward—Quartier",NB021010,1901,"St. John, Lansdowne, Ward—Quartier",NB,1.0,76.54
NB021003,1891,"Portland, Lorne, Ward—Quartier",NB021011,1901,"St. John, Lorne, Ward—Quartier",NB,1.0,74.89
NB021004,1891,"Portland, Stanley, Ward—Quartier",NB021012,1901,"St. John, Stanley, Ward—Quartier",NB,1.0,75.76
NB021005,1891,"Portland, Victoria, Ward—Quartier",NB021013,1901,"St. John, Victoria, Ward—Quartier",NB,1.0,76.16
NB023008,1891,Ste. Anne,NB023008,1901,St. Anns,NB,1.0,74.79
NB023013,1891,St. Leonard's,NB023013,1901,St. Léonard,NB,1.0,75.48
NS026009,1891,Clements W-O,NS026009,1901,"Clements, West—Ouest",NS,1.0,78.12
NS026027,1891,Round Hill (Moschelle),NS026027,1901,Round Hill,NS,1.0,73.75
NS027002,1891,"Antigonish, Village",NS027003,1901,"Antigonish, South—Sud",NS,1.0,72.0
NS027004,1891,Ballantyne’s Cove,NS027004,1901,Cape George,NS,1.0,55.0
NS027005,1891,Fraser’s Mills,NS027015,1901,South-River,NS,1.0,46.8
NS027010,1891,Malignant Brook,NS027009,1901,Maryvale,NS,1.0,48.26
NS027011,1891,Mahoney’s Beach,NS027010,1901,Morristown,NS,1.0,46.8
NS027014,1891,Salt Springs,NS027011,1901,North Grant,NS,1.0,54.35
NS027012,1891,Merland,NS027016,1901,Tracadie,NS,1.0,58.0
NS028014,1891,Leitche’s Creek,NS028012,1901,George River,NS,1.0,55.93
NS043013,1891,New Haven,NS041013,1901,Neil Harbour,NS,1.0,63.33
NS028020,1891,North Sydney,NS028022,1901,"North Sydney, Town—Ville",NS,1.0,76.67
NS028007,1891,Cow Bay,NS028023,1901,Port Morien,NS,1.0,45.56
NS028022,1891,Sydney Forks,NS028025,1901,South Forks,NS,1.0,72.61
NS029010,1891,Lower Stewiacke S,NS029007,1901,Gays River,NS,1.0,45.56
NS029008,1891,"Kempt, Town—Ville",NS029008,1901,Kemptown,NS,1.0,74.8
NS030004,1891,Advocate Harbour,NS030029,1901,Polling district No. 33,NS,1.0,47.95
NS030006,1891,Malagash,NS030015,1901,Polling district No. 17,NS,1.0,43.55
NS030016,1891,Victoria,NS030017,1901,Polling district No. 19,NS,1.0,48.06
NS030012,1891,River Philip,NS030018,1901,Polling district No. 20,NS,1.0,46.0
NS030015,1891,Springhill,NS030022,1901,Polling district No. 24,NS,1.0,51.21
NS030019,1891,Wentworth,NS030014,1901,Polling district No. 16,NS,1.0,47.5
NS030017,1891,Westchester,NS030016,1901,Polling district No. 18,NS,1.0,46.47
NS030010,1891,Parrsboro’,NS030033,1901,Polling district No. 38,NS,1.0,46.97
NS032005,1891,Forks St. Mary’s,NS032005,1901,Forks,NS,1.0,63.33
NS032007,1891,Guysborough Intervale,NS032009,1901,Intervale,NS,1.0,72.0
NS034034,1891,Polling District No. 36,NS033009,1901,"Chezzetcook, East—Est",NS,1.0,37.51
NS034024,1891,Polling District No. 28a,NS033010,1901,"Chezzetcook, West—Ouest",NS,1.0,36.49
NS034036,1891,Polling District No. 38,NS033013,1901,East Dover,NS,1.0,38.57
NS034031,1891,Polling District No. 33,NS033014,1901,Eastern Passage,NS,1.0,40.02
NS034006,1891,Polling District No. 12,NS033017,1901,"French, Village",NS,1.0,32.65
NS034013,1891,Polling District No. 19,NS033018,1901,Gays River,NS,1.0,38.57
NS034005,1891,Polling District No. 11,NS033019,1901,Hackett Cove,NS,1.0,37.6
NS034010,1891,Polling District No. 16,NS033020,1901,Hammond Plains,NS,1.0,40.52
NS034030,1891,Polling District No.  32b,NS033022,1901,Hubbard Cove,NS,1.0,32.95
NS034029,1891,Polling District No. 32a,NS033023,1901,Ingram River,NS,1.0,44.93
NS034023,1891,Polling District No. 27b,NS033024,1901,Jeddore,NS,1.0,30.63
