norm_name,province,n_members,reason,members
sheffield mills,NS,2,no_supported_pairs,PLACE_NS036023;PLACE_NS014013
st. thomas d'aquin,QC,3,partitioned_into_2_sequences,PLACE_QC149033_1901;PLACE_QC063026 | PLACE_QC091011
d'israeli,QC,3,partitioned_into_2_sequences,PLACE_QC187017;PLACE_QC099018 | PLACE_QC099001_1911
st. gregoire le grand,QC,2,no_supported_pairs,PLACE_QC059006_1901;PLACE_QC078011_1911
st. jean l'evangeliste,QC,2,no_supported_pairs,PLACE_QC092004_1901;PLACE_QC044020
ste. agathe des monts,QC,2,no_supported_pairs,PLACE_QC096018;PLACE_QC096007
dorion,QC,3,partitioned_into_2_sequences,PLACE_QC097008_1901 | PLACE_QC185010_1911;PLACE_QC079012
unorganized territoryterritoire non organise,QC,2,no_supported_pairs,PLACE_QC181022;PLACE_QC180026
gilbert plains,MB,3,partitioned_into_2_sequences,PLACE_MB009012_1901;PLACE_MB168015 | PLACE_MB168002
104 townships,MB,2,no_supported_pairs,PLACE_MB018001;PLACE_MB021001
st. boniface pr,MB,2,no_supported_pairs,PLACE_MB018006;PLACE_MB021007
high bluff pr pt,MB,2,no_supported_pairs,PLACE_MB020002;PLACE_MB018005
indian reserves,MB,11,partitioned_into_9_sequences,PLACE_MB016002;PLACE_MB164008 | PLACE_MB019002;PLACE_MB165014 | PLACE_MB157009 | PLACE_MB162008 | PLACE_MB161009 | PLACE_MB160010 | PLACE_MB156009 | PLACE_MB159011 | PLACE_MB170002
winnipeg c pt,MB,2,no_supported_pairs,PLACE_MB022010;PLACE_MB024001
jarvis,ON,2,no_supported_pairs,PLACE_ON115016;PLACE_ON102038
hamilton c part,ON,2,no_supported_pairs,PLACE_ON077001_1911;PLACE_ON078001
tavistock (pt),ON,2,no_supported_pairs,PLACE_ON134017;PLACE_ON137017
burton,ON,2,no_supported_pairs,PLACE_ON135005;PLACE_ON129003_1911
indian reserves,ON,12,no_supported_pairs,PLACE_ON144017;PLACE_ON127022;PLACE_ON102107;PLACE_ON115011_1921;PLACE_ON118024;PLACE_ON132010;PLACE_ON130087;PLACE_ON135047;PLACE_ON142035;PLACE_ON147035;PLACE_ON141046;PLACE_ON120042
"toronto, ward quartier 3 pt",ON,3,no_supported_pairs,PLACE_ON124002_1901;PLACE_ON126002_1911;PLACE_ON127003_1901
"toronto, ward quartier 2 pt",ON,4,no_supported_pairs,PLACE_ON127002_1911;PLACE_ON124001_1911;PLACE_ON125002_1911;PLACE_ON126001_1911
"toronto, wardquartier 4 (part)",ON,2,no_supported_pairs,PLACE_ON118002_1901;PLACE_ON129009_1901
"toronto, ward quartier 4 pt",ON,3,no_supported_pairs,PLACE_ON124003_1911;PLACE_ON127004;PLACE_ON126003_1911
"toronto, ward quartier 5 pt",ON,4,no_supported_pairs,PLACE_ON124004_1911;PLACE_ON127005;PLACE_ON126004_1911;PLACE_ON128001_1911
other parts,ON,3,no_supported_pairs,PLACE_ON099144;PLACE_ON054107;PLACE_ON147034
deloro,ON,2,no_supported_pairs,PLACE_ON148053;PLACE_ON118029
matheson,ON,2,no_supported_pairs,PLACE_ON148128;PLACE_ON148199
transcontinental ry,ON,2,no_supported_pairs,PLACE_ON054097;PLACE_ON055029
isle a la crosse i r,SK,2,no_supported_pairs,PLACE_SK212008;PLACE_SK208011
kaslo,BC,3,partitioned_into_2_sequences,PLACE_BC009004;PLACE_BC211001 | PLACE_BC211006
revelstoke,BC,2,no_supported_pairs,PLACE_BC211008;PLACE_BC211002
richmond (pt),BC,2,no_supported_pairs,PLACE_BC213002;PLACE_BC208003
fernie,BC,3,partitioned_into_2_sequences,PLACE_BC009003;PLACE_BC210003 | PLACE_BC210006
cranbrook,BC,3,partitioned_into_2_sequences,PLACE_BC009002;PLACE_BC210002 | PLACE_BC210005
grand forks,BC,2,no_supported_pairs,PLACE_BC218008;PLACE_BC218001
greenwood,BC,3,partitioned_into_2_sequences,PLACE_BC014003;PLACE_BC218002 | PLACE_BC218009
green lake i r,SK,2,no_supported_pairs,PLACE_SK208009;PLACE_SK212007
st. andrews,NB,2,no_supported_pairs,PLACE_NB024017;PLACE_NB024008
ste. christine,QC,3,partitioned_into_2_sequences,PLACE_QC138003;PLACE_QC039002_1911 | PLACE_QC080014
st. nazaire (part),QC,2,no_supported_pairs,PLACE_QC138011;PLACE_QC153013
bersimis,QC,3,partitioned_into_2_sequences,PLACE_QC149040;PLACE_QC154052 | PLACE_QC086002
"montreal, ste. marie ward quartier pt",QC,2,no_supported_pairs,PLACE_QC172009;PLACE_QC183002
notre dame de lourdes,QC,3,partitioned_into_2_sequences,PLACE_QC153022;PLACE_QC071010 | PLACE_QC169011_1901
ste. angele de merici,QC,3,partitioned_into_2_sequences,PLACE_QC193009;PLACE_QC084003 | PLACE_QC084023
st. jacques le majeur,QC,2,no_supported_pairs,PLACE_QC193021;PLACE_QC099010_1911
courville,QC,2,no_supported_pairs,PLACE_QC081018;PLACE_QC094007_1921
abitibi,QC,2,no_supported_pairs,PLACE_QC20N001;PLACE_QC094050
indian reserves,AB,8,partitioned_into_6_sequences,PLACE_AB002004;PLACE_AB199015 | PLACE_AB007003;PLACE_AB201024 | PLACE_AB194024 | PLACE_AB204023 | PLACE_AB190017 | PLACE_AB196020
unorganized parts,AB,2,no_supported_pairs,PLACE_AB005002;PLACE_AB007002
indian reserves,BC,4,no_supported_pairs,PLACE_BC211005;PLACE_BC213003;PLACE_BC206003;PLACE_BC216003
north vancouver,BC,2,no_supported_pairs,PLACE_BC206004;PLACE_BC206001
roblin,MB,2,no_supported_pairs,PLACE_MB168016;PLACE_MB157006
indian reserves,NB,7,no_supported_pairs,PLACE_NB023012;PLACE_NB025010;PLACE_NB033008;PLACE_NB034007_1921;PLACE_NB028012;PLACE_NB035008;PLACE_NB036015
boularderie (pt.),NS,2,no_supported_pairs,PLACE_NS020006;PLACE_NS006002
indian reserves,NS,9,no_supported_pairs,PLACE_NS007024;PLACE_NS008029;PLACE_NS009027;PLACE_NS012017;PLACE_NS013024;PLACE_NS018017;PLACE_NS017012;PLACE_NS019015;PLACE_NS021020
kapuskasing,ON,2,no_supported_pairs,PLACE_ON102041;PLACE_ON148202
indian reserves,PE,3,no_supported_pairs,PLACE_PE001022;PLACE_PE002024;PLACE_PE003024
indian reserves,SK,10,no_supported_pairs,PLACE_SK187022;PLACE_SK188002;PLACE_SK183023;PLACE_SK182019;PLACE_SK186025;PLACE_SK179017;PLACE_SK173024;PLACE_SK185025;PLACE_SK176021;PLACE_SK171020
indian reserves,QC,4,no_supported_pairs,PLACE_QC044024;PLACE_QC078023;PLACE_QC095028;PLACE_QC086090
st. cur de marie (delisle),QC,2,no_supported_pairs,PLACE_QC063031;PLACE_QC063013
reserves indiennes,QC,6,no_supported_pairs,PLACE_QC086009;PLACE_QC052012_1921;PLACE_QC058010;PLACE_QC094049;PLACE_QC081016;PLACE_QC047028
st. gerard de magella,QC,2,no_supported_pairs,PLACE_QC081013;PLACE_QC100008
st. hermenegilde,QC,3,partitioned_into_2_sequences,PLACE_QC200007;PLACE_QC090007 | PLACE_QC090017
st. joseph de la riviere bleue,QC,2,no_supported_pairs,PLACE_QC095032;PLACE_QC095018
unorg. ter. ter. non org.,QC,2,no_supported_pairs,PLACE_QC203011;PLACE_QC185023
other partsautres parties,QC,2,no_supported_pairs,PLACE_QC073012_1921;PLACE_QC057027
