lineage_type,:START_ID,:END_ID,change_year:int,:TYPE
BRIDGE_NAME_MATCH,PLACE_ON113008_1891,PLACE_ON140007,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON109008_1901,PLACE_ON140007,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON115007_1911,PLACE_ON140007,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON114010_1851,PLACE_ON142031,1901,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON082007,PLACE_ON142033,1911,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON139001_1851,PLACE_ON144008,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON151002,PLACE_ON152005,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON151003,PLACE_ON152013,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON039005,PLACE_ON152009,1861,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON022003,PLACE_ON153002,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON128001_1881,PLACE_ON153002,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON135002_1911,PLACE_ON153002,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON040008,PLACE_ON151001,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON142003,PLACE_ON151001,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON040004,PLACE_ON151002_1891,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON142005,PLACE_ON151002_1891,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON040003,PLACE_ON151005,1911,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON125009,PLACE_ON151005,1911,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON142008,PLACE_ON151006,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON142007_1851,PLACE_ON151008,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON160002,PLACE_ON103005,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON056004_1891,PLACE_ON103005,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON100014,PLACE_ON149009,1871,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON037002,PLACE_ON149010,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON129001,PLACE_ON149010,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON129002,PLACE_ON149013,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON033009,PLACE_ON142022,1901,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON114006_1861,PLACE_ON142022,1901,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON114007_1861,PLACE_ON142037,1901,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON033007,PLACE_ON142021,1861,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON081002,PLACE_ON117015,1881,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON159005,PLACE_ON103006,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON056005,PLACE_ON103006,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON075014,PLACE_ON114012,1871,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON075010,PLACE_ON106004,1871,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON008008,PLACE_ON110024,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON181011,PLACE_ON110024,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON181010,PLACE_ON067005,1901,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON062005,PLACE_ON067005,1901,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON062004,PLACE_ON110011,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON067003_1901,PLACE_ON110011,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON001002,PLACE_ON110017,1881,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON084008,PLACE_ON101007,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON069002,PLACE_ON113006,1881,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON059002,PLACE_ON104002_1921,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON066001,PLACE_ON177006,1881,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON013005,PLACE_ON115005,1881,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON120002,PLACE_ON118021,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON073004,PLACE_ON118021,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON079013,PLACE_ON118021,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON121003,PLACE_ON118025,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON075001_1891,PLACE_ON118025,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON072001_1901,PLACE_ON118025,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON173007,PLACE_ON119003,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON174002,PLACE_ON119018,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON080011,PLACE_ON121010,1871,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON002007,PLACE_ON121012,1881,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON085008,PLACE_ON126011,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON158005,PLACE_ON131009_1891,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON102001,PLACE_ON132001,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON026001,PLACE_ON133010,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON048003,PLACE_ON133010,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON132003_1881,PLACE_ON133010,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON166005,PLACE_ON134012,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON165009,PLACE_ON134008_1891,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON165007,PLACE_ON134009_1891,1891,BRIDGE_NAME_MATCH
