tcpuid,year,province,old_canonical_name,new_canonical_name,old_place_id,new_place_id
QC042003,1861,QC,Charlesbourg,"Charlesbourg, VL",PLACE_QC080002,PLACE_QC081021
QC144005,1871,QC,Charlesbourg,"Charlesbourg, VL",PLACE_QC080002,PLACE_QC081021
QC080002,1881,QC,Charlesbourg,"Charlesbourg, VL",PLACE_QC080002,PLACE_QC081021
QC180003,1891,QC,Charlesbourg,"Charlesbourg, VL",PLACE_QC185003,PLACE_QC081021
QC185003,1901,QC,Charlesbourg,"Charlesbourg, VL",PLACE_QC185003,PLACE_QC081021
QC190003,1911,QC,Charlesbourg,"Charlesbourg, VL",PLACE_QC190003,PLACE_QC081021
QC055016,1851,QC,"Wotton, Township",Wotton,PLACE_QC055016,PLACE_QC099015_1921
QC072010,1851,QC,St. Hilaire,"St. Hilaire, VL",PLACE_QC063012,PLACE_QC085016
QC046004,1861,QC,St. Hilaire,"St. Hilaire, VL",PLACE_QC063012,PLACE_QC085016
QC123003,1871,QC,St. Hilaire,"St. Hilaire, VL",PLACE_QC063012,PLACE_QC085016
QC063012,1881,QC,St. Hilaire,"St. Hilaire, VL",PLACE_QC063012,PLACE_QC085016
QC184009,1891,QC,St. Hilaire,"St. Hilaire, VL",PLACE_QC194005,PLACE_QC085016
QC189009,1901,QC,St. Hilaire,"St. Hilaire, VL",PLACE_QC194005,PLACE_QC085016
QC194005,1911,QC,St. Hilaire,"St. Hilaire, VL",PLACE_QC194005,PLACE_QC085016
QC072011,1851,QC,St. Jean Baptiste,St. Jean-Baptiste,PLACE_QC072011,PLACE_QC194006
QC046005,1861,QC,St. Jean Baptiste,St. Jean-Baptiste,PLACE_QC123004,PLACE_QC194006
QC123004,1871,QC,St. Jean Baptiste,St. Jean-Baptiste,PLACE_QC123004,PLACE_QC194006
QC046002,1861,QC,"Marieville, Village","Marieville, T-V",PLACE_QC189003,PLACE_QC085011
QC123006,1871,QC,"Marieville, Village","Marieville, T-V",PLACE_QC189003,PLACE_QC085011
QC063005,1881,QC,"Marieville, Village","Marieville, T-V",PLACE_QC189003,PLACE_QC085011
QC184003,1891,QC,"Marieville, Village","Marieville, T-V",PLACE_QC189003,PLACE_QC085011
QC189003,1901,QC,"Marieville, Village","Marieville, T-V",PLACE_QC189003,PLACE_QC085011
QC078002,1851,QC,"St. Hyacinthe, Town","St. Hyacinthe, City—Cité",PLACE_QC078002,PLACE_QC091012
QC081010,1881,QC,Notre-Dame des Anges,Notre Dame des Anges,PLACE_QC186008,PLACE_QC080007
QC178006,1891,QC,Notre-Dame des Anges,Notre Dame des Anges,PLACE_QC186008,PLACE_QC080007
QC181006,1901,QC,Notre-Dame des Anges,Notre Dame des Anges,PLACE_QC186008,PLACE_QC080007
QC186008,1911,QC,Notre-Dame des Anges,Notre Dame des Anges,PLACE_QC186008,PLACE_QC080007
QC081006,1851,QC,St. Polycarpe,"St. Polycarpe, Village",PLACE_QC081006,PLACE_QC089012
QC049006,1861,QC,St. Polycarpe,"St. Polycarpe, Village",PLACE_QC049006,PLACE_QC089012
QC110002,1871,QC,St. Polycarpe,"St. Polycarpe, Village",PLACE_QC110002,PLACE_QC089012
QC074001,1881,QC,St. Polycarpe,"St. Polycarpe, Village",PLACE_QC074001,PLACE_QC089012
QC049001,1861,QC,"Côteau Landing, Village","Côteau Landing, VL",PLACE_QC190002,PLACE_QC089008
QC110005,1871,QC,"Côteau Landing, Village","Côteau Landing, VL",PLACE_QC190002,PLACE_QC089008
QC074004,1881,QC,"Côteau Landing, Village","Côteau Landing, VL",PLACE_QC190002,PLACE_QC089008
QC190002,1891,QC,"Côteau Landing, Village","Côteau Landing, VL",PLACE_QC190002,PLACE_QC089008
QC077003,1851,QC,Hatley,"Hatley, VL",PLACE_QC191006,PLACE_QC090014
QC053004,1861,QC,Hatley,"Hatley, VL",PLACE_QC191006,PLACE_QC090014
QC141004,1871,QC,Hatley,"Hatley, VL",PLACE_QC191006,PLACE_QC090014
QC056005,1881,QC,Hatley,"Hatley, VL",PLACE_QC191006,PLACE_QC090014
QC191006,1891,QC,Hatley,"Hatley, VL",PLACE_QC191006,PLACE_QC090014
QC195006,1901,QC,Hatley,"Hatley, VL",PLACE_QC195006,PLACE_QC090014
QC200003,1911,QC,Hatley,"Hatley, VL",PLACE_QC200003,PLACE_QC090014
QC077006,1851,QC,Magog,"Magog, T-V",PLACE_QC056004,PLACE_QC090010
QC053005,1861,QC,Magog,"Magog, T-V",PLACE_QC056004,PLACE_QC090010
QC141003,1871,QC,Magog,"Magog, T-V",PLACE_QC056004,PLACE_QC090010
QC056004,1881,QC,Magog,"Magog, T-V",PLACE_QC056004,PLACE_QC090010
QC041014,1881,QC,Trois-Pistoles,Trois Pistoles,PLACE_QC201022,PLACE_QC095027
QC192024,1891,QC,Trois-Pistoles,Trois Pistoles,PLACE_QC201022,PLACE_QC095027
QC196024,1901,QC,Trois-Pistoles,Trois Pistoles,PLACE_QC201022,PLACE_QC095027
QC201022,1911,QC,Trois-Pistoles,Trois Pistoles,PLACE_QC201022,PLACE_QC095027
QC076030,1881,QC,Ste. Anne,"Ste. Anne, VL",PLACE_QC149015_1881,PLACE_QC050025
QC149015,1891,QC,Ste. Anne,"Ste. Anne, VL",PLACE_QC149015_1881,PLACE_QC050025
QC055005,1861,QC,"St. Jérôme, Village","St. Jérôme, Town—Ville",PLACE_QC099010,PLACE_QC096019
QC099010,1871,QC,"St. Jérôme, Village","St. Jérôme, Town—Ville",PLACE_QC099010,PLACE_QC096019
QC149027,1901,QC,"St. Jérôme, Village","St. Jérôme, VL",PLACE_QC149027,PLACE_QC063034
QC079009,1851,QC,Terrebonne,"Terrebonne, Town—Ville",PLACE_QC079009,PLACE_QC099001
QC079002,1851,QC,"Ste. Thérèse, Village","Ste. Thérèse, T-V",PLACE_QC099004,PLACE_QC096020
QC055010,1861,QC,"Ste. Thérèse, Village","Ste. Thérèse, T-V",PLACE_QC099004,PLACE_QC096020
QC099004,1871,QC,"Ste. Thérèse, Village","Ste. Thérèse, T-V",PLACE_QC099004,PLACE_QC096020
QC094003,1881,QC,"Ste. Thérèse, Village","Ste. Thérèse, T-V",PLACE_QC202021,PLACE_QC096020
QC193017,1891,QC,"Ste. Thérèse, Village","Ste. Thérèse, T-V",PLACE_QC202021,PLACE_QC096020
QC197018,1901,QC,"Ste. Thérèse, Village","Ste. Thérèse, T-V",PLACE_QC202021,PLACE_QC096020
QC202021,1911,QC,"Ste. Thérèse, Village","Ste. Thérèse, T-V",PLACE_QC202021,PLACE_QC096020
QC073005,1851,QC,Yamachiche,"Yamachiche, Village",PLACE_QC073005,PLACE_QC093018_1891
QC052007,1861,QC,Yamachiche,"Yamachiche, Village",PLACE_QC084001,PLACE_QC093018_1891
QC129002,1871,QC,Yamachiche,"Yamachiche, Village",PLACE_QC084001,PLACE_QC093018_1891
QC084001,1881,QC,Yamachiche,"Yamachiche, Village",PLACE_QC084001,PLACE_QC093018_1891
QC060002,1861,QC,Pierreville,"Pierreville, VL",PLACE_QC057004_1861,PLACE_QC100017
QC134004,1871,QC,Pierreville,"Pierreville, VL",PLACE_QC057004_1861,PLACE_QC100017
QC057004,1881,QC,Pierreville,"Pierreville, VL",PLACE_QC057004_1861,PLACE_QC100017
QC069004,1851,QC,Beauport,"Beauport, VL",PLACE_QC185002,PLACE_QC081020
QC042002,1861,QC,Beauport,"Beauport, VL",PLACE_QC185002,PLACE_QC081020
QC144006,1871,QC,Beauport,"Beauport, VL",PLACE_QC185002,PLACE_QC081020
QC080001,1881,QC,Beauport,"Beauport, VL",PLACE_QC185002,PLACE_QC081020
QC180002,1891,QC,Beauport,"Beauport, VL",PLACE_QC185002,PLACE_QC081020
QC185002,1901,QC,Beauport,"Beauport, VL",PLACE_QC185002,PLACE_QC081020
QC190002,1911,QC,Beauport,"Beauport, VL",PLACE_QC190002_1911,PLACE_QC081020
QC067021,1851,QC,Templeton,"Templeton, VL",PLACE_QC093001,PLACE_QC057035
QC039036,1861,QC,Templeton,"Templeton, VL",PLACE_QC093001,PLACE_QC057035
QC093001,1871,QC,Templeton,"Templeton, VL",PLACE_QC093001,PLACE_QC057035
QC176044,1891,QC,Templeton,"Templeton, VL",PLACE_QC205018,PLACE_QC057035
QC200021,1901,QC,Templeton,"Templeton, VL",PLACE_QC205018,PLACE_QC057035
QC205018,1911,QC,Templeton,"Templeton, VL",PLACE_QC205018,PLACE_QC057035
