old_place_id,new_place_id,province,old_canonical_name,new_canonical_name,old_years_active,new_years_active,confidence,reason
PLACE_NB034001,PLACE_NB034001_1921,NB,Andover,Andover,1871;1881;1891;1901;1911,1921,high,bridge_name_match
PLACE_NB181002,PLACE_NB034006,NB,Perth,Perth,1871,1911;1921,high,bridge_name_match
PLACE_NB023007_1881,PLACE_NB034006,NB,Perth,Perth,1881;1891;1901,1911;1921,high,bridge_name_match
PLACE_NB181003,PLACE_NB034003,NB,Gordon,Gordon,1871,1881;1891;1901;1911;1921,high,bridge_name_match
PLACE_NB181004,PLACE_NB034004,NB,Grand Falls,Grand Falls,1871,1881;1891;1901;1911;1921,high,bridge_name_match
PLACE_NB185008,PLACE_NB026004,NB,Harcourt,Harcourt,1871,1891;1901;1911;1921,medium,bridge_name_match
PLACE_NB023010_1871,PLACE_NB028008,NB,St. Francis,St. Francis,1871;1881;1891;1901,1911;1921,high,bridge_name_match
PLACE_NB181007,PLACE_NB028004,NB,Madawaska,Madawaska,1871,1911;1921,high,bridge_name_match
PLACE_NB032003_1881,PLACE_NB028004,NB,Madawaska,Madawaska,1881,1911;1921,high,bridge_name_match
PLACE_NB023006_1891,PLACE_NB028004,NB,Madawaska,Madawaska,1891;1901,1911;1921,high,bridge_name_match
PLACE_NB017006,PLACE_NB026007,NB,St. Louis,St. Louis,1871;1881;1891;1901,1911;1921,high,bridge_name_match
PLACE_NB035009,PLACE_NB029009,NB,Nelson,Nelson,1871;1881,1891;1901;1911;1921,high,bridge_name_match
PLACE_NB185001,PLACE_NB026002,NB,Carleton,Carleton,1871,1881;1891;1901;1911;1921,high,bridge_name_match
PLACE_NB035011,PLACE_NB029006,NB,Glenelg,Glenelg,1871;1881,1891;1901;1911;1921,high,bridge_name_match
PLACE_NB019004,PLACE_NB029015,NB,Chatham,"Chatham, T-V",1871;1881;1891;1901,1911;1921,high,bridge_name_match
PLACE_NB030001_1871,PLACE_NB029001,NB,Alnwick,Alnwick,1871;1881;1891;1901;1911,1921,high,bridge_name_match
PLACE_NB019003,PLACE_NB031004,NB,Dalhousie,Dalhousie,1871;1881;1891,1901;1911;1921,high,bridge_name_match
PLACE_NB020005,PLACE_NB031005,NB,Durham,Durham,1871;1881;1891;1901,1911;1921,high,bridge_name_match
PLACE_NB036005_1871,PLACE_NB025008_1891,NB,Saumarez,Saumarez,1871;1881,1891;1901;1911;1921,high,bridge_name_match
PLACE_NB016002,PLACE_NB025002,NB,Beresford,Beresford,1871;1881;1891;1901,1911;1921,high,bridge_name_match
PLACE_NB036004,PLACE_NB025004,NB,Inkerman,Inkerman,1871;1881,1901;1911;1921,high,bridge_name_match
PLACE_NB014004,PLACE_NB025004,NB,Inkerman,Inkerman,1891,1901;1911;1921,high,bridge_name_match
PLACE_QC143007,PLACE_QC039016_1921,QC,St. Liboire,"St. Liboire, VL",1861;1871;1881;1891;1901;1911,1921,high,bridge_name_match
PLACE_QC157005,PLACE_QC048015,QC,St. Evariste,St. Evariste,1871,1881,high,bridge_name_match
PLACE_QC196013,PLACE_QC059007_1921,QC,St. Sébastien,St. Sébastien,1871;1881;1891;1901;1911,1921,high,bridge_name_match
PLACE_QC157002,PLACE_QC048013_1881,QC,St. Victor,St. Victor,1871,1881,high,bridge_name_match
PLACE_QC139028,PLACE_QC055016_1911,QC,St. Vital de Lambton,St. Vital de Lambton,1871;1881;1891;1901,1911;1921,high,bridge_name_match
PLACE_QC201002,PLACE_QC100001,QC,La Visitation,La Visitation,1901,1911;1921,high,bridge_name_match
PLACE_QC150008,PLACE_QC063028,QC,Hébertville,"Hébertville, VL",1871,1891;1901;1911;1921,high,bridge_name_match
PLACE_QC076021,PLACE_QC063028,QC,Hébertville,"Hébertville, VL",1881,1891;1901;1911;1921,high,bridge_name_match
PLACE_QC151002,PLACE_QC086003,QC,Escoumains,Escoumains,1871,1901;1911;1921,high,bridge_name_match
