norm_name,province,n_members,winner,members,reason
russell,MB,2,PLACE_MB168006,PLACE_MB009022_1901;PLACE_MB168006,medium_confidence_gap
langford,MB,2,PLACE_MB164003,PLACE_MB008005_1901;PLACE_MB164003,medium_confidence_gap
stellarton,NS,2,PLACE_NS016038,PLACE_NS039026;PLACE_NS016038,medium_confidence_gap
fermont,QC,2,PLACE_QC047036,PLACE_QC146002;PLACE_QC047036,medium_confidence_gap
st. joseph d'alma,QC,2,PLACE_QC063035,PLACE_QC149025;PLACE_QC063035,medium_confidence_gap
notre dame de grace,QC,2,PLACE_QC162015,PLACE_QC155011_1891;PLACE_QC162015,medium_confidence_gap
sheen & esher,QC,2,PLACE_QC079020,PLACE_QC180021;PLACE_QC079020,medium_confidence_gap
aberdeen & malakoff,QC,2,PLACE_QC079001,PLACE_QC180001;PLACE_QC079001,medium_confidence_gap
gilbert plains,MB,2,PLACE_MB168002,PLACE_MB009012_1901;PLACE_MB168002,medium_confidence_gap
stanley,MB,2,PLACE_MB156007,PLACE_MB007012;PLACE_MB156007,medium_confidence_gap
pembina,MB,2,PLACE_MB157004,PLACE_MB007006;PLACE_MB157004,medium_confidence_gap
dufferin,MB,2,PLACE_MB160003,PLACE_MB007002;PLACE_MB160003,medium_confidence_gap
hamiota,MB,2,PLACE_MB165006,PLACE_MB009014_1901;PLACE_MB165006,medium_confidence_gap
morton,MB,2,PLACE_MB158006,PLACE_MB006009;PLACE_MB158006,medium_confidence_gap
winchester,MB,2,PLACE_MB158008,PLACE_MB006018;PLACE_MB158008,medium_confidence_gap
cameron,MB,2,PLACE_MB158004,PLACE_MB006004_1901;PLACE_MB158004,medium_confidence_gap
brokenhead,MB,2,PLACE_MB159001,PLACE_MB011002;PLACE_MB159001,medium_confidence_gap
