var_code,label,category,unit,source_tables,year_count,comparable_across_years,presence_count,quality
VAR_AGE_15to20FM_N,Number of married females aged 15 to 20,AGE,persons,"1851:V1T3,1861:V1T5",2,true,1737,signal
VAR_AGE_15to20FS_N,Number of single females aged 15 to 20,AGE,persons,"1851:V1T3,1861:V1T5",2,true,1927,signal
VAR_AGE_15to20MM_N,Number of married males aged 15 to 20,AGE,persons,"1851:V1T3,1861:V1T5",2,true,988,signal
VAR_AGE_15to20MS_N,Number of single males aged 15 to 20,AGE,persons,"1851:V1T3,1861:V1T5",2,true,1932,signal
VAR_AGE_16to21F_N,Number of females aged 16 to 21,AGE,persons,1871:V1T1,1,false,71,sparse
VAR_AGE_16to21M_N,Number of males aged 16 to 21,AGE,persons,1871:V1T1,1,false,71,sparse
VAR_AGE_20to30FM_N,Number of married females aged 20 to 30,AGE,persons,"1851:V1T3,1861:V1T5",2,true,1916,signal
VAR_AGE_20to30FS_N,Number of single females aged 20 to 30,AGE,persons,"1851:V1T3,1861:V1T5",2,true,1909,signal
VAR_AGE_20to30FW_N,Number of widowed females aged 20 to 30,AGE,persons,"1851:V1T3,1861:V1T5",2,true,1227,signal
VAR_AGE_20to30MM_N,Number of married males aged 20 to 30,AGE,persons,"1851:V1T3,1861:V1T5",2,true,1915,signal
VAR_AGE_20to30MS_N,Number of single males aged 20 to 30,AGE,persons,"1851:V1T3,1861:V1T5",2,true,1932,signal
VAR_AGE_20to30MW_N,Number of widowed males aged 20 to 30,AGE,persons,"1851:V1T3,1861:V1T5",2,true,977,signal
VAR_AGE_21to45F_N,Number of females aged 21-45,AGE,persons,1871:V1T1,1,false,71,sparse
VAR_AGE_21to45M_N,Number of males aged 21 to 45,AGE,persons,1871:V1T1,1,false,71,sparse
VAR_AGE_30to40FM_N,Number of married females aged 30 to 40,AGE,persons,"1851:V1T3,1861:V1T5",2,true,1916,signal
VAR_AGE_30to40FS_N,Number of single females aged 30 to 40,AGE,persons,"1851:V1T3,1861:V1T5",2,true,1780,signal
VAR_AGE_30to40FW_N,Number of widowed females aged 30 to 40,AGE,persons,"1851:V1T3,1861:V1T5",2,true,1562,signal
VAR_AGE_30to40MM_N,Number of married males aged 30 to 40,AGE,persons,"1851:V1T3,1861:V1T5",2,true,1921,signal
VAR_AGE_30to40MS_N,Number of single males aged 30 to 40,AGE,persons,"1851:V1T3,1861:V1T5",2,true,1868,signal
VAR_AGE_30to40MW_N,Number of widowed males aged 30 to 40,AGE,persons,"1851:V1T3,1861:V1T5",2,true,1441,signal
VAR_AGE_40to50FM_N,Number of married females aged 40 to 50,AGE,persons,"1851:V1T3,1861:V1T5",2,true,1899,signal
VAR_AGE_40to50FS_N,Number of single females aged 40 to 50,AGE,persons,"1851:V1T3,1861:V1T5",2,true,1629,signal
VAR_AGE_40to50FW_N,Number of widowed females aged 40 to 50,AGE,persons,"1851:V1T3,1861:V1T5",2,true,1681,signal
VAR_AGE_40to50MM_N,Number of married males aged 40 to 50,AGE,persons,"1851:V1T3,1861:V1T5",2,true,1907,signal
VAR_AGE_40to50MS_N,Number of single males aged 40 to 50,AGE,persons,"1851:V1T3,1861:V1T5",2,true,1764,signal
VAR_AGE_40to50MW_N,Number of widowed males aged 40 to 50,AGE,persons,"1851:V1T3,1861:V1T5",2,true,1591,signal
VAR_AGE_45to60F_N,Number of females aged 45-60,AGE,persons,1871:V1T1,1,false,71,sparse
VAR_AGE_45to60M_N,Number of males aged 45 to 60,AGE,persons,1871:V1T1,1,false,71,sparse
VAR_AGE_50to60FM_N,Number of married females aged 50 to 60,AGE,persons,"1851:V1T3,1861:V1T5",2,true,1881,signal
VAR_AGE_50to60FS_N,Number of single females aged 50 to 60,AGE,persons,"1851:V1T3,1861:V1T5",2,true,1494,signal
VAR_AGE_50to60FW_N,Number of widowed females aged 50 to 60,AGE,persons,"1851:V1T3,1861:V1T5",2,true,1735,signal
VAR_AGE_50to60MM_N,Number of married males aged 50 to 60,AGE,persons,"1851:V1T3,1861:V1T5",2,true,1905,signal
VAR_AGE_50to60MS_N,Number of single males aged 50 to 60,AGE,persons,"1851:V1T3,1861:V1T5",2,true,1620,signal
VAR_AGE_50to60MW_N,Number of widowed males aged 50 to 60,AGE,persons,"1851:V1T3,1861:V1T5",2,true,1665,signal
VAR_AGE_60to70FM_N,Number of married females aged 60 to 70,AGE,persons,"1851:V1T3,1861:V1T5",2,true,1835,signal
VAR_AGE_60to70FS_N,Number of single females aged 60 to 70,AGE,persons,"1851:V1T3,1861:V1T5",2,true,1217,signal
VAR_AGE_60to70FW_N,Number of widowed females aged 60 to 70,AGE,persons,"1851:V1T3,1861:V1T5",2,true,1729,signal
VAR_AGE_60to70MM_N,Number of married males aged 60 to 70,AGE,persons,"1851:V1T3,1861:V1T5",2,true,1873,signal
VAR_AGE_60to70MS_N,Number of single males aged 60 to 70,AGE,persons,"1851:V1T3,1861:V1T5",2,true,1382,signal
VAR_AGE_60to70MW_N,Number of widowed males aged 60 to 70,AGE,persons,"1851:V1T3,1861:V1T5",2,true,1672,signal
VAR_AGE_70to80FM_N,Number of married females aged 70 to 80,AGE,persons,"1851:V1T3,1861:V1T5",2,true,1546,signal
VAR_AGE_70to80FS_N,Number of single females aged 70 to 80,AGE,persons,"1851:V1T3,1861:V1T5",2,true,923,signal
VAR_AGE_70to80FW_N,Number of widowed females aged 70 to 80,AGE,persons,"1851:V1T3,1861:V1T5",2,true,1620,signal
VAR_AGE_70to80MM_N,Number of married males aged 70 to 80,AGE,persons,"1851:V1T3,1861:V1T5",2,true,1705,signal
VAR_AGE_70to80MS_N,Number of single males aged 70 to 80,AGE,persons,"1851:V1T3,1861:V1T5",2,true,915,signal
VAR_AGE_70to80MW_N,Number of widowed males aged 70 to 80,AGE,persons,"1851:V1T3,1861:V1T5",2,true,1518,signal
VAR_AGE_80to90FM_N,Number of married females aged 80 to 90,AGE,persons,"1851:V1T3,1861:V1T5",2,true,706,signal
VAR_AGE_80to90FS_N,Number of single females aged 80 to 90,AGE,persons,"1851:V1T3,1861:V1T5",2,true,406,signal
VAR_AGE_80to90FW_N,Number of widowed females aged 80 to 90,AGE,persons,"1851:V1T3,1861:V1T5",2,true,1186,signal
VAR_AGE_80to90MM_N,Number of married males aged 80 to 90,AGE,persons,"1851:V1T3,1861:V1T5",2,true,1211,signal
VAR_AGE_80to90MS_N,Number of single males aged 80 to 90,AGE,persons,"1851:V1T3,1861:V1T5",2,true,439,signal
VAR_AGE_80to90MW_N,Number of widowed males aged 80 to 90,AGE,persons,"1851:V1T3,1861:V1T5",2,true,1144,signal
VAR_AGE_90to100FM_N,Number of married females aged 90 to 100,AGE,persons,"1851:V1T3,1861:V1T5",2,true,118,signal
VAR_AGE_90to100FS_N,Number of single females aged 90 to 100,AGE,persons,"1851:V1T3,1861:V1T5",2,true,93,sparse
VAR_AGE_90to100FW_N,Number of widowed females aged 90 to 100,AGE,persons,"1851:V1T3,1861:V1T5",2,true,420,signal
VAR_AGE_90to100MM_N,Number of married males aged 90 to 100,AGE,persons,"1851:V1T3,1861:V1T5",2,true,277,signal
VAR_AGE_90to100MS_N,Number of single males aged 90 to 100,AGE,persons,"1851:V1T3,1861:V1T5",2,true,98,sparse
VAR_AGE_90to100MW_N,Number of widowed males aged 90 to 100,AGE,persons,"1851:V1T3,1861:V1T5",2,true,348,signal
VAR_AGE_NF_N,Number of females of unknown age,AGE,persons,"1851:V1T3,1861:V1T5",2,true,658,signal
VAR_AGE_NM_N,Number of males of unknown age,AGE,persons,"1851:V1T3,1861:V1T5",2,true,810,signal
VAR_AGE_ov100FM_N,Number of married females over 100,AGE,persons,"1851:V1T3,1861:V1T5",2,true,7,sparse
VAR_AGE_ov100FS_N,Number of single females over 100,AGE,persons,"1851:V1T3,1861:V1T5",2,true,10,sparse
VAR_AGE_ov100FW_N,Number of widowed females over 100,AGE,persons,"1851:V1T3,1861:V1T5",2,true,49,sparse
VAR_AGE_ov100MM_N,Number of married males over 100,AGE,persons,"1851:V1T3,1861:V1T5",2,true,29,sparse
VAR_AGE_ov100MS_N,Number of single males over 100,AGE,persons,"1851:V1T3,1861:V1T5",2,true,10,sparse
VAR_AGE_ov100MW_N,Number of widowed males over 100,AGE,persons,"1851:V1T3,1861:V1T5",2,true,48,sparse
VAR_AGE_ov60F_N,Number of females over 60,AGE,persons,1871:V1T1,1,false,71,sparse
VAR_AGE_ov60M_N,Number of males over 60,AGE,persons,1871:V1T1,1,false,71,sparse
VAR_ANGLICANS,Number of Anglicans (Church of England),REL,persons,"1911:V2T2,1921:V1T38",2,true,6064,signal
VAR_AREA_ACRES,Area in acres,POP,acres,1911:V1T1,1,false,2425,signal
VAR_AREA_SQ_MI,Area in square miles,POP,square_miles,1911:V1T1,1,false,2424,signal
VAR_ARE_XX_A,Total area (acres),AGR,acres,"1871:V1T1,1901:V1T7",2,true,4198,signal
VAR_ASIA_CHINESE_AND_JAPANESE,Number of persons of Chinese or Japanese origin,ETH,persons,1921:V1T27,1,false,1226,signal
VAR_ASIA_OTHER,Number of persons of other Asian origin,ETH,persons,1921:V1T27,1,false,165,signal
VAR_ASIA_SYRIAN,Number of persons of Syrian origin,ETH,persons,1921:V1T27,1,false,504,signal
VAR_AUSTRO_HUNGARIAN,Number of persons of Austro-Hungarian origin,ETH,persons,1911:V2T7,1,false,440,signal
VAR_BAPTISTS,Number of Baptists,REL,persons,"1911:V2T2,1921:V1T38",2,true,4941,signal
VAR_BAR_XX_A,Acres of barley,AGR,acres,"1851:V2T6,1861:V2T11,1891:V4T2",3,true,3963,signal
VAR_BAR_XX_B,Bushels of barley produced in the past year,AGR,bushels,"1851:V2T6,1861:V2T11,1871:V1T1,1881:V3T24,1891:V4T2",5,true,6036,signal
VAR_BEAN_XX_B,Bushels of beans produced in the past year,AGR,bushels,"1851:V2T6,1861:V2T11,1871:V1T1,1891:V4T2",4,true,3355,signal
VAR_BEEF_XX_BL,Barrels of beef produced in the past year,AGR,barrels,"1851:V2T6,1861:V2T11",2,true,1618,signal
VAR_BELGIAN,Number of persons of Belgian origin,ETH,persons,1911:V2T7,1,false,327,signal
VAR_BIRTH_FX_N,Number of female births in the past year,POP,persons,"1851:V1T3,1861:V1T5",2,true,1877,signal
VAR_BIRTH_LY_N,Number of births in the past year,POP,persons,1871:V1T1,1,false,71,sparse
VAR_BIRTH_MX_N,Number of male births in the past year,POP,persons,"1851:V1T3,1861:V1T5",2,true,1879,signal
VAR_BLD_CX_N,Number of churches,BLD,buildings,1871:V1T1,1,false,64,sparse
VAR_BLD_SX_N,Number or schoolhouses,BLD,buildings,1871:V1T1,1,false,69,sparse
VAR_BRCK_PX_N,Number of bricks produced in the past year,MFG,establishments,1871:V1T1,1,false,13,sparse
VAR_BRCK_XX_N,Number of brick kilns,MFG,establishments,1871:V1T1,1,false,14,sparse
VAR_BRDI_XX_N,Number of breweries and distilleries,MFG,establishments,1871:V1T1,1,false,10,sparse
VAR_BRETHREN,Number of Brethren,REL,persons,"1911:V2T2,1921:V1T38",2,true,1075,signal
VAR_BREW_EX_N,Number of employees in breweries,MFG,persons,1851:V2T7,1,false,102,signal
VAR_BREW_NR_N,Number of breweries not reporting,MFG,establishments,1851:V2T7,1,false,107,signal
VAR_BREW_PX_G,Gallons of beer produced in breweries in the past year,MFG,gallons,1851:V2T7,1,false,107,signal
VAR_BREW_XC_N,Number of breweries returning capital,MFG,establishments,1851:V2T7,1,false,104,signal
VAR_BREW_XR_N,Number of breweries reporting,MFG,establishments,1851:V2T7,1,false,112,signal
VAR_BREW_XX_N,Number of breweries,MFG,establishments,1851:V2T7,1,false,176,signal
VAR_BRIT_BORN_F,Number of females born in the British Empire (excluding Canada),POP,persons,1921:V1T16,1,false,3899,signal
VAR_BRIT_BORN_M,Number of males born in the British Empire (excluding Canada),POP,persons,1921:V1T16,1,false,4057,signal
VAR_BRIT_ENG,Number of persons of British origin (English),ETH,persons,1921:V1T27,1,false,4245,signal
VAR_BRIT_ENGLISH,Number of persons of British origin (English),ETH,persons,1911:V2T7,1,false,2439,signal
VAR_BRIT_IRISH,Number of persons of British origin (Irish),ETH,persons,"1911:V2T7,1921:V1T27",2,true,6412,signal
VAR_BRIT_OTHER,Number of persons of British origin (other),ETH,persons,"1911:V2T7,1921:V1T27",2,true,3103,signal
VAR_BRIT_SCOTCH,Number of persons of British origin (Scotch / Scottish),ETH,persons,"1911:V2T7,1921:V1T27",2,true,6185,signal
VAR_BULGARIAN_AND_RUMANIAN,Number of persons of Bulgarian or Romanian origin,ETH,persons,1911:V2T7,1,false,135,signal
VAR_BUT_XX_LB,Pounds of homemade butter,AGR,pounds,"1851:V2T6,1861:V2T11,1871:V1T1,1891:V4T3",4,true,4258,signal
VAR_BWT_XX_A,Acres of buckwheat,AGR,acres,"1851:V2T6,1861:V2T11",2,true,1494,signal
VAR_BWT_XX_B,Bushels of buckwheat produced in the past year,AGR,bushels,"1851:V2T6,1861:V2T11,1871:V1T1,1881:V3T24,1891:V4T2",5,true,5313,signal
VAR_CAN_BORN_F,Number of females born in Canada,POP,persons,1921:V1T16,1,false,5134,signal
VAR_CAN_BORN_M,Number of males born in Canada,POP,persons,1921:V1T16,1,false,5285,signal
VAR_CAN_READ_AND_WRITE_5YRS_AND_OVER,Persons aged 5 and over who can both read and write,POP,persons,,0,false,0,undocumented
VAR_CAN_READ_NOR_WRITE_5YRS_AND_OVER,Persons aged 5 and over who can neither read nor write,POP,persons,,0,false,0,undocumented
VAR_CAN_READ_ONLY_5YRS_AND_OVER,Persons aged 5 and over who can read only,POP,persons,,0,false,0,undocumented
VAR_CAR_MISC_N,"Number of riding wagons, carriages, wood sleds, and jaunting sleds",MFG,establishments,1871:V1T1,1,false,68,sparse
VAR_CAR_SM_N,Number of carriages and sleighs produced in the past year,MFG,establishments,1871:V1T1,1,false,34,sparse
VAR_CAR_XH_N,Number of carriages for hire,MFG,establishments,1861:V2T11,1,false,392,signal
VAR_CAR_XH_V,Value of carriages for hire (dollars),MFG,dollars,1861:V2T11,1,false,373,signal
VAR_CAR_XP_N,Number of carriages for pleasure,MFG,establishments,1861:V2T11,1,false,972,signal
VAR_CAR_XP_V,Value of carriages for pleasure (dollars),MFG,dollars,1861:V2T11,1,false,974,signal
VAR_CFM_EX_N,Number of employees in carding and fulling mills,MFG,persons,1851:V2T7,1,false,443,signal
VAR_CFM_NR_N,Number of carding and fulling mills not reporting,MFG,establishments,1851:V2T7,1,false,350,signal
VAR_CFM_PCF_YD,Yards of fulled cloth produced in the past year,MFG,yards,"1851:V2T6,1861:V2T11,1871:V1T1",3,true,1732,signal
VAR_CFM_PCNF_YD,Yards of not-fulled cloth produced in the past year,MFG,yards,1871:V1T1,1,false,71,sparse
VAR_CFM_PC_YD,Yards of cloth produced in carding and fulling mills in the past year,MFG,yards,1851:V2T7,1,false,426,signal
VAR_CFM_PW_LB,Pounds of wool produced in carding and fulling mills in the past year,MFG,pounds,1851:V2T7,1,false,482,signal
VAR_CFM_XC_N,Number of carding and fulling mills returning capital,MFG,establishments,1851:V2T7,1,false,532,signal
VAR_CFM_XR_N,Number of carding and fulling mills reporting,MFG,establishments,1851:V2T7,1,false,545,signal
VAR_CFM_XX_N,Number of carding and fulling mills,MFG,establishments,"1851:V2T7,1871:V1T1",2,true,592,signal
VAR_CFM_XY_N,Number of fulling and dressing mills,MFG,establishments,1871:V1T1,1,false,17,sparse
VAR_CHINESE,Number of persons of Chinese origin,ETH,persons,1911:V2T7,1,false,464,signal
VAR_CHRISTIANS,Number of Christians (general / no denomination specified),REL,persons,"1911:V2T2,1921:V1T38",2,true,1325,signal
VAR_CLOTH_PC_YD,Yards of cloth produced in the past year,MFG,yards,1871:V1T1,1,false,44,sparse
VAR_CLOTH_PF_YD,Yards of flannel produced in the past year,MFG,yards,"1851:V2T6,1861:V2T11",2,true,1690,signal
VAR_CLOTH_PL_YD,Yards of linen produced in the past year,MFG,yards,"1851:V2T6,1861:V2T11",2,true,1061,signal
VAR_CLOTH_XX_N,Number of cloth factories,MFG,establishments,1871:V1T1,1,false,6,sparse
VAR_CONGREGATIONALISTS,Number of Congregationalists,REL,persons,"1911:V2T2,1921:V1T38",2,true,2114,signal
VAR_CRN_XX_A,Acres of corn,AGR,acres,"1851:V2T6,1861:V2T11",2,true,1399,signal
VAR_CRN_XX_B,Bushels of corn produced in the past year,AGR,bushels,"1851:V2T6,1861:V2T11,1871:V1T1,1881:V3T24,1891:V4T2",5,true,5081,signal
VAR_CTL_CH_N,Number of calves and heifers,AGR,head,"1851:V2T6,1861:V2T11",2,true,1794,signal
VAR_CTL_MX_N,Number of milk cows,AGR,count,"1851:V2T6,1861:V2T11,1891:V4T3",3,true,4332,signal
VAR_CTL_OB_N,"Number of bulls, oxen, or steers",AGR,head,"1851:V2T6,1861:V2T11",2,true,1798,signal
VAR_CTL_OTH_N,Number of other cattle,AGR,count,1891:V4T3,1,false,2447,signal
VAR_CTL_OX_N,Number of oxen,AGR,head,1891:V4T3,1,false,2000,signal
VAR_CTL_PC_LB,Pounds of cheese produced on farms in the past year,AGR,pounds,"1851:V2T6,1861:V2T11,1871:V1T1,1891:V4T3",4,true,2600,signal
VAR_CTL_SX_N,Number of cattle killed or sold in the past year,AGR,head,1891:V4T3,1,false,2375,signal
VAR_CTL_XX_N,Number of cattle,AGR,head,1871:V1T1,1,false,71,sparse
VAR_DISCIPLES,Number of Disciples of Christ,REL,persons,1911:V2T2,1,false,366,signal
VAR_DISCIPLES_OF_CHRIST,Number of Disciples of Christ,REL,persons,1921:V1T38,1,false,495,signal
VAR_DIST_EX_N,Number of employees in distilleries,MFG,persons,1851:V2T7,1,false,104,signal
VAR_DIST_NR_N,Number of distilleries not reporting,MFG,establishments,1851:V2T7,1,false,58,sparse
VAR_DIST_PX_G,Gallons of liquor produced in distilleries in the past year,MFG,gallons,1851:V2T7,1,false,75,sparse
VAR_DIST_XC_N,Number of distilleries returning capital,MFG,establishments,1851:V2T7,1,false,101,signal
VAR_DIST_XR_N,Number of distilleries reporting,MFG,establishments,1851:V2T7,1,false,144,signal
VAR_DIST_XX_N,Number of distilleries,MFG,establishments,1851:V2T7,1,false,165,signal
VAR_DTH_01to02F_N,Deaths in the past year among females aged 1 to 2,DTH,deaths,"1851:V1T3,1861:V1T5",2,true,861,signal
VAR_DTH_01to02M_N,Deaths in the past year among males aged 1 to 2,DTH,deaths,"1851:V1T3,1861:V1T5",2,true,877,signal
VAR_DTH_02to03F_N,Deaths in the past year among females aged 2 to 3,DTH,deaths,"1851:V1T3,1861:V1T5",2,true,559,signal
VAR_DTH_02to03M_N,Deaths in the past year among males aged 2 to 3,DTH,deaths,"1851:V1T3,1861:V1T5",2,true,582,signal
VAR_DTH_03to04F_N,Deaths in the past year among females aged 3 to 4,DTH,deaths,"1851:V1T3,1861:V1T5",2,true,424,signal
VAR_DTH_03to04M_N,Deaths in the past year among males age 3 to 4,DTH,deaths,"1851:V1T3,1861:V1T5",2,true,449,signal
VAR_DTH_04to05F_N,Deaths in the past year among females aged 4 to 5,DTH,deaths,"1851:V1T3,1861:V1T5",2,true,341,signal
VAR_DTH_04to05M_N,Deaths in the past year among males aged 4 to 5,DTH,deaths,"1851:V1T3,1861:V1T5",2,true,336,signal
VAR_DTH_05to10F_N,Deaths in the past year among females aged 5 to 10,DTH,deaths,"1851:V1T3,1861:V1T5",2,true,604,signal
VAR_DTH_05to10M_N,Deaths in the past year among males aged 5 to 10,DTH,deaths,"1851:V1T3,1861:V1T5",2,true,635,signal
VAR_DTH_0to01F_N,Deaths in the past year among females under age 1,DTH,deaths,"1851:V1T3,1861:V1T5",2,true,1309,signal
VAR_DTH_0to01M_N,Deaths in the past year among males under age 1,DTH,deaths,"1851:V1T3,1861:V1T5",2,true,1377,signal
VAR_DTH_10to15F_N,Deaths in the past year among females aged 10 to 15,DTH,deaths,"1851:V1T3,1861:V1T5",2,true,444,signal
VAR_DTH_10to15M_N,Deaths in the past year among males aged 10 to 15,DTH,deaths,"1851:V1T3,1861:V1T5",2,true,432,signal
VAR_DTH_15to20F_N,Deaths in the past year among females aged 15 to 20,DTH,deaths,"1851:V1T3,1861:V1T5",2,true,505,signal
VAR_DTH_15to20M_N,Deaths in the past year among males aged 15 to 20,DTH,deaths,"1851:V1T3,1861:V1T5",2,true,492,signal
VAR_DTH_20to30F_N,Deaths in the past year among females aged 20 to 30,DTH,deaths,"1851:V1T3,1861:V1T5",2,true,790,signal
VAR_DTH_20to30M_N,Deaths in the past year among males aged 20 to 30,DTH,deaths,"1851:V1T3,1861:V1T5",2,true,724,signal
VAR_DTH_30to40F_N,Deaths in the past year among females aged 30 to 40,DTH,deaths,"1851:V1T3,1861:V1T5",2,true,734,signal
VAR_DTH_30to40M_N,Deaths in the past year among males aged 30 to 40,DTH,deaths,"1851:V1T3,1861:V1T5",2,true,607,signal
VAR_DTH_40to50F_N,Deaths in the past year among females aged 40 to 50,DTH,deaths,"1851:V1T3,1861:V1T5",2,true,552,signal
VAR_DTH_40to50M_N,Deaths in the past year among males aged 40 to 50,DTH,deaths,"1851:V1T3,1861:V1T5",2,true,607,signal
VAR_DTH_50to60F_N,Deaths in the past year among females aged 50 to 60,DTH,deaths,"1851:V1T3,1861:V1T5",2,true,489,signal
VAR_DTH_50to60M_N,Deaths in the past year among males aged 50 to 60,DTH,deaths,"1851:V1T3,1861:V1T5",2,true,585,signal
VAR_DTH_60to70F_N,Deaths in the past year among females aged 60 to 70,DTH,deaths,"1851:V1T3,1861:V1T5",2,true,533,signal
VAR_DTH_60to70M_N,Deaths in the past year among males aged 60 to 70,DTH,deaths,"1851:V1T3,1861:V1T5",2,true,619,signal
VAR_DTH_70to80F_N,Deaths in the past year among females aged 70 to 80,DTH,deaths,"1851:V1T3,1861:V1T5",2,true,480,signal
VAR_DTH_70to80M_N,Deaths in the past year among males aged 70 to 80,DTH,deaths,"1851:V1T3,1861:V1T5",2,true,575,signal
VAR_DTH_80to90F_N,Deaths in the past year among females aged 80 to 90,DTH,deaths,"1851:V1T3,1861:V1T5",2,true,266,signal
VAR_DTH_80to90M_N,Deaths in the past year among males aged 80 to 90,DTH,deaths,"1851:V1T3,1861:V1T5",2,true,371,signal
VAR_DTH_90to100F_N,Deaths in the past year among females aged 90 to 100,DTH,deaths,"1851:V1T3,1861:V1T5",2,true,100,signal
VAR_DTH_90to100M_N,Deaths in the past year among males aged 90 to 100,DTH,deaths,"1851:V1T3,1861:V1T5",2,true,99,sparse
VAR_DTH_BR_PR,Ratio of deaths to births in the past year,DTH,ratio,,0,false,0,undocumented
VAR_DTH_FX_N,Deaths in the past year among females of all ages,DTH,deaths,"1851:V1T3,1861:V1T5",2,true,1761,signal
VAR_DTH_MX_N,Deaths in the past year among males of all ages,DTH,deaths,"1851:V1T3,1861:V1T5",2,true,1779,signal
VAR_DTH_NF_N,Deaths in the past year among females of unknown age,DTH,deaths,"1851:V1T3,1861:V1T5",2,true,567,signal
VAR_DTH_NM_N,Deaths in the past year among males of unknown age,DTH,deaths,"1851:V1T3,1861:V1T5",2,true,654,signal
VAR_DTH_XX_N,Total number of deaths in the past year,DTH,persons,"1851:V1T3,1861:V1T5,1871:V1T1",3,true,1905,signal
VAR_DTH_ov100F_N,Deaths in the past year among females over 100,DTH,deaths,"1851:V1T3,1861:V1T5",2,true,24,sparse
VAR_DTH_ov100M_N,Deaths in the past year among males over 100,DTH,deaths,"1851:V1T3,1861:V1T5",2,true,10,sparse
VAR_DUTCH,Number of persons of Dutch origin,ETH,persons,1911:V2T7,1,false,1112,signal
VAR_DWELLINGS,Number of dwellings,BLD,buildings,1911:V1T2,1,false,3380,signal
VAR_EASTERN_RELIGIONS,Number of adherents of Eastern religions,REL,persons,1921:V1T38,1,false,854,signal
VAR_EDU_LF_N,Number of adult females unable to read or write,POP,persons,1861:V1T5,1,false,1007,signal
VAR_EDU_LM_N,Number of adult males unable to read or write,POP,persons,1861:V1T5,1,false,1013,signal
VAR_EDU_SF_N,Number of females attending school,POP,persons,"1851:V1T3,1861:V1T5",2,true,1803,signal
VAR_EDU_SM_N,Number of males attending school,POP,persons,"1851:V1T3,1861:V1T5",2,true,1806,signal
VAR_ETH_FC_N,Number of French Canadians,ETH,persons,"1851:V1T1,1861:V1T1,1891:V1T3",3,true,3665,signal
VAR_ETH_FI_N,Number of Indigenous females,ETH,persons,"1851:V1T3,1861:V1T5,1871:V1T1",3,true,179,signal
VAR_ETH_FN_N,Number of female negroes or coloured persons,ETH,persons,"1851:V1T3,1861:V1T5",2,true,271,signal
VAR_ETH_MI_N,Number of Indigenous males,ETH,persons,"1851:V1T3,1861:V1T5,1871:V1T1",3,true,218,signal
VAR_ETH_MN_N,Number of male negroes or coloured persons,ETH,persons,"1851:V1T3,1861:V1T5",2,true,335,signal
