cd_from,cd_to,relationship,iou,from_fraction,to_fraction,overlap_sqm
"CD_ON_Waterloo,_North—Nord","CD_ON_Waterloo,_North—Nord",CONTAINS,0.7603,0.7603,1.0,553887373.54
"CD_ON_Waterloo,_South—Sud","CD_ON_Waterloo,_South—Sud",WITHIN,0.7989,1.0,0.7989,693742177.45
CD_ON_Welland,CD_ON_Welland,SAME_AS,1.0,1.0,1.0,720281599.02
"CD_ON_Wellington,_Centre","CD_ON_Wellington,_Centre",SAME_AS,1.0,1.0,1.0,1221975054.96
"CD_ON_Wellington,_North—Nord","CD_ON_Wellington,_North—Nord",SAME_AS,1.0,1.0,1.0,1497427505.63
"CD_ON_Wellington,_South—Sud","CD_ON_Wellington,_South—Sud",SAME_AS,1.0,1.0,1.0,956660364.43
"CD_ON_Wentworth,_South—Sud","CD_ON_Wentworth,_South—Sud",WITHIN,0.7126,1.0,0.7126,719110344.13
"CD_ON_York,_East—Est","CD_ON_York,_East—Est",SAME_AS,0.9908,0.9986,0.9922,619515073.46
"CD_ON_York,_North—Nord","CD_ON_York,_North—Nord",SAME_AS,0.9983,1.0,0.9983,1536660006.52
"CD_ON_York,_West—Ouest","CD_ON_York,_West—Ouest",SAME_AS,0.9927,0.9959,0.9967,603782069.05
CD_PE_King’s,CD_PE_Kings,CONTAINS,0.8341,0.8341,1.0,1469232356.38
CD_PE_Prince,"CD_PE_Prince,_West-Ouest",CONTAINS,0.6444,0.6444,1.0,1368440070.47
CD_PE_Queen’s,"CD_PE_Queens,_West—Ouest",CONTAINS,0.3193,0.3193,1.0,683189599.97
CD_QC_Argenteuil,CD_QC_Argenteuil,SAME_AS,1.0,1.0,1.0,2041411461.78
CD_QC_Beauce,CD_QC_Beauce,SAME_AS,0.9914,0.9944,0.9969,5142543281.8
CD_QC_Beauharnois,CD_QC_Beauharnois,SAME_AS,1.0,1.0,1.0,393990597.35
CD_QC_Bellechasse,CD_QC_Bellechasse,WITHIN,0.9711,0.9717,0.9994,1692934251.52
CD_QC_Berthier,CD_QC_Berthier,SAME_AS,0.9876,0.9876,1.0,5580853957.24
CD_QC_Bonaventure,CD_QC_Bonaventure,SAME_AS,1.0,1.0,1.0,9013421925.6
CD_QC_Brome,CD_QC_Brome,SAME_AS,1.0,1.0,1.0,1323044135.99
CD_QC_Chambly,CD_QC_Chambly_&_Verchères,WITHIN,0.4014,1.0,0.4014,370416645.33
CD_QC_Champlain,CD_QC_Champlain,WITHIN,0.8778,1.0,0.8778,24428514019.65
CD_QC_Champlain_,CD_QC_Champlain,WITHIN,0.1222,1.0,0.1222,3401031485.91
CD_QC_Charlevoix,CD_QC_Charlevoix,SAME_AS,1.0,1.0,1.0,5878218959.49
CD_QC_Chateauguay,CD_QC_Chateauguay,WITHIN,0.9296,1.0,0.9296,693171105.08
CD_QC_Chicoutimi_and_Saguenay,CD_QC_Chicoutimi_&_Saguenay,SAME_AS,1.0,1.0,1.0,356287676612.43
CD_QC_Compton,CD_QC_Compton,SAME_AS,1.0,1.0,1.0,3815927221.93
CD_QC_Deux-Montagnes,CD_QC_Deux-Montagnes,SAME_AS,1.0,1.0,1.0,731412767.62
CD_QC_Dorchester,CD_QC_Dorchester,SAME_AS,0.9818,0.9933,0.9884,2475090058.4
CD_QC_Drummond_&_Arthabaska_,CD_QC_Drummond_&_Arthabaska,WITHIN,0.9551,0.9792,0.9748,3520951401.88
CD_QC_Gaspé,CD_QC_Gaspé,SAME_AS,1.0,1.0,1.0,12137509927.73
CD_QC_Hochalaga,CD_QC_Maisonneuve,WITHIN,0.1309,1.0,0.1309,3569452.71
CD_QC_Hochelaga,CD_QC_Hochelaga,CONTAINS,0.0379,0.0379,1.0,8813881.48
CD_QC_Huntingdon,CD_QC_Huntingdon,SAME_AS,1.0,1.0,1.0,987466927.68
CD_QC_Iberville,CD_QC_St._Jean_&_Iberville,WITHIN,0.5902,1.0,0.5902,523606554.76
CD_QC_Jacques-Cartier,CD_QC_Jacques-Cartier,WITHIN,0.1042,1.0,0.1042,32725135.16
CD_QC_Jacques-Cartier_,CD_QC_Jacques-Cartier,WITHIN,0.7151,1.0,0.7151,224607878.89
CD_QC_Joliette,CD_QC_Joliette,SAME_AS,1.0,1.0,1.0,7863375806.78
CD_QC_Kamouraska,CD_QC_Kamouraska,SAME_AS,1.0,1.0,1.0,2842419878.34
CD_QC_Laval,CD_QC_Laval,WITHIN,0.6369,1.0,0.6369,251703807.49
CD_QC_Lotbinière,CD_QC_Lotbinière,SAME_AS,0.9852,0.9852,1.0,1934833049.27
CD_QC_Lévis,CD_QC_Lévis,SAME_AS,1.0,1.0,1.0,694603560.89
CD_QC_L’Assomption,CD_QC_L’Assomption,WITHIN,0.9057,1.0,0.9057,672121358.02
CD_QC_L’Islet,CD_QC_L’Islet,SAME_AS,1.0,1.0,1.0,2134179763.0
CD_QC_Maskinongé,CD_QC_Maskinongé,SAME_AS,0.9995,1.0,0.9995,7783875212.79
CD_QC_Montcalm,CD_QC_Montcalm,SAME_AS,1.0,1.0,1.0,11012535410.9
CD_QC_Montmagny,CD_QC_Montmagny,WITHIN,0.9721,1.0,0.9721,1720292380.25
CD_QC_Montmorency,CD_QC_Montmorency,SAME_AS,1.0,1.0,1.0,5776774696.54
CD_QC_Montréal,"CD_QC_Montreal,_St._Antoine,_City—Cité",CONTAINS,0.2706,0.2706,1.0,4471403.57
CD_QC_Montréal,"CD_QC_Montreal,_St._Laurent,_City—Cité",CONTAINS,0.1412,0.1412,1.0,2333574.37
CD_QC_Montréal,CD_QC_Montréal,CONTAINS,0.0722,0.0722,1.0,1193662.01
