cd_id,year,province,cd_name
CD_QC_Bagot,1861,QC,Bagot
CD_QC_Beauce,1861,QC,Beauce
CD_QC_Mégantic,1861,QC,Mégantic
CD_QC_Beauharnois,1861,QC,Beauharnois
CD_QC_Bellechasse,1861,QC,Bellechasse
CD_QC_Berthier,1861,QC,Berthier
CD_QC_Bonaventure,1861,QC,Bonaventure
CD_QC_Brome,1861,QC,Brome
CD_QC_Chambly,1861,QC,Chambly
CD_QC_Vercheres,1861,QC,Vercheres
CD_QC_Champlain,1861,QC,Champlain
CD_QC_Charlevoix,1861,QC,Charlevoix
CD_QC_Chateauguay,1861,QC,Chateauguay
CD_QC_Chicoutimi,1861,QC,Chicoutimi
CD_QC_Saguenay,1861,QC,Saguenay
CD_QC_Compton,1861,QC,Compton
CD_QC_Two_Mountains,1861,QC,Two Mountains
CD_QC_Dorchester,1861,QC,Dorchester
CD_QC_Arthabaska,1861,QC,Arthabaska
CD_QC_Drummond,1861,QC,Drummond
CD_QC_Gaspé,1861,QC,Gaspé
CD_QC_Hochelaga,1861,QC,Hochelaga
CD_QC_Huntingdon,1861,QC,Huntingdon
CD_QC_Jacques_Cartier,1861,QC,Jacques Cartier
CD_QC_Joliette,1861,QC,Joliette
CD_QC_Kamouraska,1861,QC,Kamouraska
CD_QC_Outaouais,1861,QC,Outaouais
CD_QC_Laprairie,1861,QC,Laprairie
CD_QC_Napierville,1861,QC,Napierville
CD_QC_L'Assomption,1861,QC,L'Assomption
CD_QC_Laval,1861,QC,Laval
CD_QC_Lévis,1861,QC,Lévis
CD_QC_L'Islet,1861,QC,L'Islet
CD_QC_Lotbiniere,1861,QC,Lotbiniere
CD_QC_Maskinonge,1861,QC,Maskinonge
CD_QC_Megantic,1861,QC,Megantic
CD_QC_Missisquoi,1861,QC,Missisquoi
CD_QC_Montcalm,1861,QC,Montcalm
CD_QC_Montmagny,1861,QC,Montmagny
CD_QC_Montmorency,1861,QC,Montmorency
CD_QC_City_of_Montreal,1861,QC,City of Montreal
CD_QC_Nicolet,1861,QC,Nicolet
CD_QC_Pontiac,1861,QC,Pontiac
CD_QC_Portneuf,1861,QC,Portneuf
CD_QC_City_of_Quebec,1861,QC,City of Quebec
CD_QC_Quebec_(Comté),1861,QC,Quebec (Comté)
CD_QC_Richelieu,1861,QC,Richelieu
CD_QC_Richmond,1861,QC,Richmond
CD_QC_Wolfe,1861,QC,Wolfe
CD_QC_Rimouski,1861,QC,Rimouski
CD_QC_Rouville,1861,QC,Rouville
CD_QC_St._Hyacinthe,1861,QC,St. Hyacinthe
CD_QC_Iberville,1861,QC,Iberville
CD_QC_St._Johns,1861,QC,St. Johns
CD_QC_Shefford,1861,QC,Shefford
CD_QC_Town_of_Sherbrooke,1861,QC,Town of Sherbrooke
CD_QC_Soulanges,1861,QC,Soulanges
CD_QC_Stanstead,1861,QC,Stanstead
CD_QC_Temiscouata,1861,QC,Temiscouata
CD_QC_Terrebonne,1861,QC,Terrebonne
CD_QC_St._Maurice,1861,QC,St. Maurice
CD_QC_City_of_Three_Rivers,1861,QC,City of Three Rivers
CD_QC_Vaudreuil,1861,QC,Vaudreuil
CD_QC_Yamaska,1861,QC,Yamaska
CD_NT_The_Territories,1871,NT,The Territories
CD_BC_British_Colombia,1871,BC,British Colombia
CD_MB_Manitoba,1871,MB,Manitoba
CD_ON_Manitoulin,1871,ON,Manitoulin
"CD_ON_Algoma,_East—Est",1871,ON,"Algoma, East—Est"
"CD_ON_Algoma,_West—Ouest",1871,ON,"Algoma, West—Ouest"
"CD_ON_Brant,_North_or_East—Nord_ou_Est",1871,ON,"Brant, North or East—Nord ou Est"
"CD_ON_Brant,_South_or_West—Sud_ou_Ouest",1871,ON,"Brant, South or West—Sud ou Ouest"
CD_ON_Brockville,1871,ON,Brockville
"CD_ON_Bruce,_North—Nord",1871,ON,"Bruce, North—Nord"
"CD_ON_Bruce,_South—Sud",1871,ON,"Bruce, South—Sud"
CD_ON_Carleton,1871,ON,Carleton
"CD_ON_Wellington,_North—Nord",1871,ON,"Wellington, North—Nord"
"CD_ON_Wellington,_Centre",1871,ON,"Wellington, Centre"
"CD_ON_Grey,_South—Sud",1871,ON,"Grey, South—Sud"
CD_ON_Cardwell,1871,ON,Cardwell
"CD_ON_Simcoe,_South—Sud",1871,ON,"Simcoe, South—Sud"
CD_ON_Dundas,1871,ON,Dundas
"CD_ON_Durham,_West—Ouest",1871,ON,"Durham, West—Ouest"
"CD_ON_Durham,_East—Est",1871,ON,"Durham, East—Est"
"CD_ON_Elgin,_East—Est",1871,ON,"Elgin, East—Est"
"CD_ON_Elgin,_West—Ouest",1871,ON,"Elgin, West—Ouest"
CD_ON_Essex,1871,ON,Essex
CD_ON_Addington,1871,ON,Addington
CD_ON_Frontenac,1871,ON,Frontenac
CD_ON_Glengarry,1871,ON,Glengarry
"CD_ON_Grenville,_South—Sud",1871,ON,"Grenville, South—Sud"
"CD_ON_Leeds_&_Grenville,_North—Nord",1871,ON,"Leeds & Grenville, North—Nord"
"CD_ON_Grey,_North—Nord",1871,ON,"Grey, North—Nord"
CD_ON_Monck,1871,ON,Monck
CD_ON_Haldimand,1871,ON,Haldimand
CD_ON_Halton,1871,ON,Halton
CD_ON_Hamilton,1871,ON,Hamilton
"CD_ON_Hastings,_North—Nord",1871,ON,"Hastings, North—Nord"
"CD_ON_Hastings,_East—Est",1871,ON,"Hastings, East—Est"
"CD_ON_Hastings,_West—Ouest",1871,ON,"Hastings, West—Ouest"
"CD_ON_Huron,_North—Nord",1871,ON,"Huron, North—Nord"
"CD_ON_Huron,_South—Sud",1871,ON,"Huron, South—Sud"
CD_ON_Bothwell,1871,ON,Bothwell
CD_ON_Dover,1871,ON,Dover
CD_ON_Kingston,1871,ON,Kingston
CD_ON_Lambton,1871,ON,Lambton
"CD_ON_Lanark,_North—Nord",1871,ON,"Lanark, North—Nord"
"CD_ON_Lanark,_South—Sud",1871,ON,"Lanark, South—Sud"
"CD_ON_Leeds,_South—Sud",1871,ON,"Leeds, South—Sud"
CD_ON_Lennox,1871,ON,Lennox
CD_ON_Lincoln,1871,ON,Lincoln
CD_ON_Niagara,1871,ON,Niagara
"CD_ON_Middlesex,_East—Est",1871,ON,"Middlesex, East—Est"
"CD_ON_Middlesex,_North—Nord",1871,ON,"Middlesex, North—Nord"
"CD_ON_Middlesex,_West—Ouest",1871,ON,"Middlesex, West—Ouest"
CD_ON_Muskoka,1871,ON,Muskoka
"CD_ON_Nipissing,_North—Nord",1871,ON,"Nipissing, North—Nord"
"CD_ON_Nipissing,_South—Sud",1871,ON,"Nipissing, South—Sud"
"CD_ON_Norfolk,_South—Sud",1871,ON,"Norfolk, South—Sud"
"CD_ON_Norfolk,_North—Nord",1871,ON,"Norfolk, North—Nord"
"CD_ON_Northumberland,_East—Est",1871,ON,"Northumberland, East—Est"
"CD_ON_Northumberland,_West—Ouest",1871,ON,"Northumberland, West—Ouest"
"CD_ON_Ontario,_North—Nord",1871,ON,"Ontario, North—Nord"
"CD_ON_Ontario,_South—Sud",1871,ON,"Ontario, South—Sud"
"CD_ON_Ottawa,_City—Cité",1871,ON,"Ottawa, City—Cité"
"CD_ON_Oxford,_North—Nord",1871,ON,"Oxford, North—Nord"
"CD_ON_Oxford,_South—Sud",1871,ON,"Oxford, South—Sud"
CD_ON_Parry_Sound,1871,ON,Parry Sound
CD_ON_Peel,1871,ON,Peel
"CD_ON_Perth,_North—Nord",1871,ON,"Perth, North—Nord"
"CD_ON_Perth,_South—Sud",1871,ON,"Perth, South—Sud"
"CD_ON_Peterborough,_East—Est",1871,ON,"Peterborough, East—Est"
"CD_ON_Peterborough,_West—Ouest",1871,ON,"Peterborough, West—Ouest"
CD_ON_Prescott,1871,ON,Prescott
CD_ON_Prince_Edward,1871,ON,Prince Edward
"CD_ON_Renfrew,_North—Nord",1871,ON,"Renfrew, North—Nord"
"CD_ON_Renfrew,_South—Sud",1871,ON,"Renfrew, South—Sud"
CD_ON_Russell,1871,ON,Russell
"CD_ON_Simcoe,_North—Nord",1871,ON,"Simcoe, North—Nord"
CD_ON_London,1871,ON,London
"CD_ON_Waterloo,_North—Nord",1871,ON,"Waterloo, North—Nord"
"CD_ON_Waterloo,_South—Sud",1871,ON,"Waterloo, South—Sud"
"CD_ON_Wellington,_South—Sud",1871,ON,"Wellington, South—Sud"
"CD_ON_Wentworth,_South—Sud",1871,ON,"Wentworth, South—Sud"
"CD_ON_Wentworth,_North—Nord",1871,ON,"Wentworth, North—Nord"
CD_ON_Welland,1871,ON,Welland
CD_ON_Cornwall,1871,ON,Cornwall
CD_ON_Stormont,1871,ON,Stormont
"CD_ON_Toronto,_West—Ouest",1871,ON,"Toronto, West—Ouest"
"CD_ON_York,_West—Ouest",1871,ON,"York, West—Ouest"
"CD_ON_Victoria,_North—Nord",1871,ON,"Victoria, North—Nord"
"CD_ON_Victoria,_South—Sud",1871,ON,"Victoria, South—Sud"
"CD_ON_York,_East—Est",1871,ON,"York, East—Est"
"CD_ON_York,_North—Nord",1871,ON,"York, North—Nord"
"CD_ON_Toronto,_East—Est",1871,ON,"Toronto, East—Est"
"CD_ON_Algoma,_Centre",1871,ON,"Algoma, Centre"
CD_NB_Carleton,1871,NB,Carleton
CD_NB_Charlotte,1871,NB,Charlotte
CD_NB_Gloucester,1871,NB,Gloucester
CD_NB_Kent,1871,NB,Kent
CD_NB_King's,1871,NB,King's
CD_NB_Albert,1871,NB,Albert
CD_NB_Northumberland,1871,NB,Northumberland
CD_NB_Restigouche,1871,NB,Restigouche
CD_NB_St._John,1871,NB,St. John
CD_NB_Sunbury,1871,NB,Sunbury
CD_NB_Queen's,1871,NB,Queen's
CD_NB_Victoria,1871,NB,Victoria
CD_NB_Westmorland,1871,NB,Westmorland
CD_NB_York,1871,NB,York
CD_NS_Annapolis,1871,NS,Annapolis
CD_NS_Antigonish,1871,NS,Antigonish
CD_NS_Victoria,1871,NS,Victoria
CD_NS_Cape_Breton,1871,NS,Cape Breton
CD_NS_Colchester,1871,NS,Colchester
CD_NS_Cumberland,1871,NS,Cumberland
CD_NS_Digby,1871,NS,Digby
CD_NS_Guysborough,1871,NS,Guysborough
"CD_NS_Halifax,_West",1871,NS,"Halifax, West"
"CD_NS_Halifax,_East",1871,NS,"Halifax, East"
CD_NS_Hants,1871,NS,Hants
CD_NS_Inverness,1871,NS,Inverness
CD_NS_King's,1871,NS,King's
CD_NS_Lunenburg,1871,NS,Lunenburg
CD_NS_Pictou,1871,NS,Pictou
CD_NS_Richmond,1871,NS,Richmond
CD_NS_Shelburne,1871,NS,Shelburne
CD_NS_Queens,1871,NS,Queens
CD_NS_Yarmouth,1871,NS,Yarmouth
CD_PE_King's,1871,PE,King's
CD_PE_Prince,1871,PE,Prince
CD_PE_Queen's,1871,PE,Queen's
CD_NL_Newfoundland,1871,NL,Newfoundland
CD_QC_Argenteuil,1871,QC,Argenteuil
CD_QC_Bagot,1871,QC,Bagot
CD_QC_Beauce_Ouest,1871,QC,Beauce Ouest
CD_QC_Beauce_Est,1871,QC,Beauce Est
CD_QC_Beauharnois,1871,QC,Beauharnois
CD_QC_Bellechasse_Sud,1871,QC,Bellechasse Sud
CD_QC_Bellechasse_Nord,1871,QC,Bellechasse Nord
CD_QC_Berthier,1871,QC,Berthier
CD_QC_Bonaventure,1871,QC,Bonaventure
CD_QC_Brome,1871,QC,Brome
CD_QC_Chambly,1871,QC,Chambly
CD_QC_Vercheres,1871,QC,Vercheres
CD_QC_Champlain_Sud,1871,QC,Champlain Sud
CD_QC_Champlain_Nord,1871,QC,Champlain Nord
CD_QC_Charlevoix,1871,QC,Charlevoix
CD_QC_Chateauguay,1871,QC,Chateauguay
CD_QC_Chicoutimi,1871,QC,Chicoutimi
CD_QC_Saguenay,1871,QC,Saguenay
CD_QC_Labrador,1871,QC,Labrador
CD_QC_Compton,1871,QC,Compton
CD_QC_Deux-Montagnes,1871,QC,Deux-Montagnes
CD_QC_Dorchester_Est,1871,QC,Dorchester Est
CD_QC_Dorchester_Ouest,1871,QC,Dorchester Ouest
CD_QC_Arthabaska,1871,QC,Arthabaska
CD_QC_Drummond,1871,QC,Drummond
CD_QC_Gaspé_Ouest,1871,QC,Gaspé Ouest
CD_QC_Gaspé_Centre,1871,QC,Gaspé Centre
CD_QC_Isles_de_la_Magdeleine,1871,QC,Isles de la Magdeleine
CD_QC_Gaspé_Sud,1871,QC,Gaspé Sud
CD_QC_Hochelaga,1871,QC,Hochelaga
CD_QC_Huntingdon_Ouest,1871,QC,Huntingdon Ouest
CD_QC_Huntingdon_Est,1871,QC,Huntingdon Est
CD_QC_Jacques_Cartier,1871,QC,Jacques Cartier
CD_QC_Joliette,1871,QC,Joliette
CD_QC_Kamouraska,1871,QC,Kamouraska
CD_QC_Ottaoua_Centre,1871,QC,Ottaoua Centre
CD_QC_Ottaoua_Est,1871,QC,Ottaoua Est
CD_QC_Laprairie,1871,QC,Laprairie
CD_QC_Napierville,1871,QC,Napierville
CD_QC_L'Assomption,1871,QC,L'Assomption
CD_QC_Laval,1871,QC,Laval
CD_QC_Lévis_(Comté),1871,QC,Lévis (Comté)
CD_QC_Lévis_(Ville),1871,QC,Lévis (Ville)
CD_QC_L'Islet,1871,QC,L'Islet
CD_QC_Lotbiniere,1871,QC,Lotbiniere
CD_QC_Maskinonge,1871,QC,Maskinonge
CD_QC_Megantic,1871,QC,Megantic
CD_QC_Missisquoi,1871,QC,Missisquoi
CD_QC_Montcalm,1871,QC,Montcalm
CD_QC_Montmagny,1871,QC,Montmagny
CD_QC_Montmorency,1871,QC,Montmorency
CD_QC_Montreal_Centre,1871,QC,Montreal Centre
CD_QC_Montreal_Ouest,1871,QC,Montreal Ouest
CD_QC_Montreal_Est,1871,QC,Montreal Est
CD_QC_Nicolet,1871,QC,Nicolet
CD_QC_Pontiac_Nord,1871,QC,Pontiac Nord
CD_QC_Pontiac_Sud,1871,QC,Pontiac Sud
CD_QC_Ottawa_Ouest,1871,QC,Ottawa Ouest
CD_QC_Portneuf,1871,QC,Portneuf
CD_QC_Quebec_Centre,1871,QC,Quebec Centre
CD_QC_Quebec_Est,1871,QC,Quebec Est
CD_QC_Quebec_Ouest,1871,QC,Quebec Ouest
CD_QC_Quebec_(Comté),1871,QC,Quebec (Comté)
CD_QC_Richelieu,1871,QC,Richelieu
CD_QC_Richmond,1871,QC,Richmond
CD_QC_Wolfe,1871,QC,Wolfe
CD_QC_Rimouski_Est,1871,QC,Rimouski Est
CD_QC_Rimouski_Ouest,1871,QC,Rimouski Ouest
CD_QC_Rouville,1871,QC,Rouville
CD_QC_St._Hyacinthe,1871,QC,St. Hyacinthe
CD_QC_Iberville,1871,QC,Iberville
CD_QC_St._Jean,1871,QC,St. Jean
CD_QC_Shefford,1871,QC,Shefford
CD_QC_Sherbrooke,1871,QC,Sherbrooke
CD_QC_Soulanges,1871,QC,Soulanges
CD_QC_Stanstead,1871,QC,Stanstead
CD_QC_Temiscouata,1871,QC,Temiscouata
CD_QC_Terrebonne,1871,QC,Terrebonne
CD_QC_Saint_Maurice_Sud,1871,QC,Saint Maurice Sud
CD_QC_Trois_Rivieres,1871,QC,Trois Rivieres
CD_QC_Vaudreuil,1871,QC,Vaudreuil
CD_QC_Yamaska,1871,QC,Yamaska
CD_QC_Saint_Maurice_Nord,1871,QC,Saint Maurice Nord
CD_ON_Algoma,1881,ON,Algoma
"CD_ON_Brant,_North—Nord",1881,ON,"Brant, North—Nord"
"CD_ON_Brant,_South—Sud",1881,ON,"Brant, South—Sud"
CD_ON_Brockville,1881,ON,Brockville
"CD_ON_Bruce,_North—Nord",1881,ON,"Bruce, North—Nord"
"CD_ON_Bruce,_South—Sud",1881,ON,"Bruce, South—Sud"
CD_ON_Carleton,1881,ON,Carleton
"CD_ON_Wellington,_North—Nord",1881,ON,"Wellington, North—Nord"
"CD_ON_Wellington,_Centre",1881,ON,"Wellington, Centre"
"CD_ON_Grey,_East—Est",1881,ON,"Grey, East—Est"
CD_ON_Cardwell,1881,ON,Cardwell
"CD_ON_Simcoe,_South—Sud",1881,ON,"Simcoe, South—Sud"
CD_ON_Dundas,1881,ON,Dundas
"CD_ON_Durham,_West—Ouest",1881,ON,"Durham, West—Ouest"
"CD_ON_Durham,_East—Est",1881,ON,"Durham, East—Est"
"CD_ON_Elgin,_East—Est",1881,ON,"Elgin, East—Est"
"CD_ON_Elgin,_West—Ouest",1881,ON,"Elgin, West—Ouest"
CD_ON_Essex,1881,ON,Essex
CD_ON_Addington,1881,ON,Addington
CD_ON_Frontenac,1881,ON,Frontenac
CD_ON_Glengarry,1881,ON,Glengarry
"CD_ON_Grenville,_South—Sud",1881,ON,"Grenville, South—Sud"
"CD_ON_Leeds_&_Grenville,_North—Nord",1881,ON,"Leeds & Grenville, North—Nord"
"CD_ON_Grey,_North—Nord",1881,ON,"Grey, North—Nord"
"CD_ON_Grey,_South—Sud",1881,ON,"Grey, South—Sud"
CD_ON_Monck,1881,ON,Monck
CD_ON_Haldimand,1881,ON,Haldimand
CD_ON_Halton,1881,ON,Halton
"CD_ON_Hamilton,_City—Cité",1881,ON,"Hamilton, City—Cité"
"CD_ON_Hastings,_North—Nord",1881,ON,"Hastings, North—Nord"
"CD_ON_Hastings,_East—Est",1881,ON,"Hastings, East—Est"
"CD_ON_Hastings,_West—Ouest",1881,ON,"Hastings, West—Ouest"
"CD_ON_Huron,_Centre",1881,ON,"Huron, Centre"
"CD_ON_Huron,_North—Nord",1881,ON,"Huron, North—Nord"
"CD_ON_Huron,_South—Sud",1881,ON,"Huron, South—Sud"
CD_ON_Bothwell,1881,ON,Bothwell
CD_ON_Kent,1881,ON,Kent
"CD_ON_Kingston,_City—Cité",1881,ON,"Kingston, City—Cité"
CD_ON_Lambton,1881,ON,Lambton
"CD_ON_Lanark,_North—Nord",1881,ON,"Lanark, North—Nord"
"CD_ON_Lanark,_South—Sud",1881,ON,"Lanark, South—Sud"
"CD_ON_Leeds,_South—Sud",1881,ON,"Leeds, South—Sud"
CD_ON_Lennox,1881,ON,Lennox
CD_ON_Lincoln,1881,ON,Lincoln
CD_ON_Niagara,1881,ON,Niagara
"CD_ON_Middlesex,_East—Est",1881,ON,"Middlesex, East—Est"
"CD_ON_Middlesex,_North—Nord",1881,ON,"Middlesex, North—Nord"
"CD_ON_Middlesex,_West—Ouest",1881,ON,"Middlesex, West—Ouest"
CD_ON_Muskoka,1881,ON,Muskoka
"CD_ON_Renfrew,_North—Nord",1881,ON,"Renfrew, North—Nord"
"CD_ON_Norfolk,_South—Sud",1881,ON,"Norfolk, South—Sud"
"CD_ON_Norfolk,_North—Nord",1881,ON,"Norfolk, North—Nord"
"CD_ON_Northumberland,_East—Est",1881,ON,"Northumberland, East—Est"
"CD_ON_Northumberland,_West—Ouest",1881,ON,"Northumberland, West—Ouest"
"CD_ON_Ontario,_North—Nord",1881,ON,"Ontario, North—Nord"
"CD_ON_Ontario,_South—Sud",1881,ON,"Ontario, South—Sud"
"CD_ON_Ottawa,_City—Cité",1881,ON,"Ottawa, City—Cité"
"CD_ON_Oxford,_North—Nord",1881,ON,"Oxford, North—Nord"
"CD_ON_Oxford,_South—Sud",1881,ON,"Oxford, South—Sud"
CD_ON_Peel,1881,ON,Peel
"CD_ON_Perth,_North—Nord",1881,ON,"Perth, North—Nord"
"CD_ON_Perth,_South—Sud",1881,ON,"Perth, South—Sud"
"CD_ON_Peterborough,_East—Est",1881,ON,"Peterborough, East—Est"
"CD_ON_Peterborough,_West—Ouest",1881,ON,"Peterborough, West—Ouest"
CD_ON_Prescott,1881,ON,Prescott
CD_ON_Prince_Edward,1881,ON,Prince Edward
"CD_ON_Renfrew,_South—Sud",1881,ON,"Renfrew, South—Sud"
CD_ON_Russell,1881,ON,Russell
"CD_ON_Simcoe,_North—Nord",1881,ON,"Simcoe, North—Nord"
CD_ON_Cornwall,1881,ON,Cornwall
CD_ON_Stormont,1881,ON,Stormont
"CD_ON_Toronto,_City—Cité",1881,ON,"Toronto, City—Cité"
"CD_ON_York,_West—Ouest",1881,ON,"York, West—Ouest"
"CD_ON_Victoria,_North—Nord",1881,ON,"Victoria, North—Nord"
"CD_ON_Victoria,_South—Sud",1881,ON,"Victoria, South—Sud"
"CD_ON_Waterloo,_North—Nord",1881,ON,"Waterloo, North—Nord"
"CD_ON_Waterloo,_South—Sud",1881,ON,"Waterloo, South—Sud"
CD_ON_Welland,1881,ON,Welland
"CD_ON_Wellington,_South—Sud",1881,ON,"Wellington, South—Sud"
"CD_ON_Wentworth,_South—Sud",1881,ON,"Wentworth, South—Sud"
"CD_ON_Wentworth,_North—Nord",1881,ON,"Wentworth, North—Nord"
"CD_ON_York,_East—Est",1881,ON,"York, East—Est"
"CD_ON_York,_North—Nord",1881,ON,"York, North—Nord"
"CD_ON_London,_City—Cité",1881,ON,"London, City—Cité"
"CD_ON_Kingston,_City—Cite",1881,ON,"Kingston, City—Cite"
CD_NT_The_Territories,1881,NT,The Territories
CD_MB_Extension,1881,MB,Extension
CD_MB_Marquette,1881,MB,Marquette
