from,to,length_m
ON023002_1851,ON023004_1851,14936.36
ON023002_1851,ON023003_1851,19396.87
ON023004_1851,ON023005_1851,12522.69
ON023001_1851,ON023002_1851,16180.92
ON023001_1851,ON023004_1851,4239.67
ON025003_1851,ON025007_1851,20296.88
ON025003_1851,ON025006_1851,9710.28
ON025003_1851,ON025009_1851,2816.57
ON025003_1851,ON025004_1851,14317.35
ON025001_1851,ON025007_1851,22483.71
ON025001_1851,ON025002_1851,5632.92
ON025002_1851,ON025007_1851,15063.48
ON025002_1851,ON025003_1851,4080.04
ON025002_1851,ON027006_1851,5205.53
ON025002_1851,ON025004_1851,7923.93
ON025002_1851,ON027007_1851,16784.25
ON025005_1851,ON025006_1851,13035.97
ON025005_1851,ON025009_1851,2450.33
ON025007_1851,ON025008_1851,1293.42
ON025004_1851,ON025009_1851,1335.15
ON025004_1851,ON027007_1851,11946.86
ON025004_1851,ON025005_1851,19019.17
ON024001_1851,ON024002_1851,20241.86
ON024001_1851,ON024009_1851,26270.55
ON024001_1851,ON024006_1851,7450.11
ON024001_1851,ON024005_1851,6618.22
ON024002_1851,ON024003_1851,19955.3
ON024002_1851,ON024006_1851,10573.71
ON024009_1851,ON032001_1851,2180.48
ON024006_1851,ON030006_1851,15732.44
ON024005_1851,ON024009_1851,10132.48
ON024005_1851,ON024006_1851,17274.5
ON024005_1851,ON030006_1851,2987.2
ON024005_1851,ON030001_1851,16074.2
ON024003_1851,ON024007_1851,21126.87
ON024003_1851,ON024004_1851,15029.2
ON024003_1851,ON024006_1851,4315.69
ON024007_1851,ON024010_1851,8019.97
ON024007_1851,ON024008_1851,11064.91
ON024007_1851,ON030008_1851,5662.58
ON026005_1851,ON026009_1851,9468.41
ON026005_1851,ON026010_1851,10816.56
ON026005_1851,ON037001_1851,17047.88
ON026005_1851,ON026006_1851,14492.71
ON026005_1851,ON037004_1851,455.42
ON026007_1851,ON037004_1851,3454.33
ON026007_1851,ON035001_1851,41262.49
ON026009_1851,ON042008_1851,14487.06
ON026009_1851,ON026010_1851,14735.72
ON026006_1851,ON026010_1851,13335.08
ON026006_1851,ON037004_1851,16257.18
ON026006_1851,ON035001_1851,3205.41
ON026006_1851,ON026007_1851,17074.99
ON026003_1851,ON042003_1851,707.84
ON026003_1851,ON042009_1851,14794.98
ON026003_1851,ON026004_1851,15351.49
ON026003_1851,ON026009_1851,14763.86
ON026002_1851,ON042004_1851,9609.14
ON026002_1851,ON042003_1851,13755.06
ON026002_1851,ON026003_1851,14819.55
ON026002_1851,ON026004_1851,179.11
ON026004_1851,ON026009_1851,5173.09
ON026004_1851,ON026008_1851,9831.0
ON026004_1851,ON026005_1851,14530.49
ON027009_1851,ON027011_1851,4192.24
ON027009_1851,ON038003_1851,4974.37
ON027008_1851,ON027009_1851,20049.8
ON027008_1851,ON038001_1851,9633.05
ON027008_1851,ON038003_1851,14727.88
ON027006_1851,ON027007_1851,19655.83
ON028001_1851,ON028003_1851,10684.31
ON028001_1851,ON028002_1851,14019.36
ON028001_1851,ON028005_1851,8369.92
ON028001_1851,ON042002_1851,3030.81
ON028001_1851,ON042006_1851,14435.5
ON028001_1851,ON035016_1851,1708.87
ON028001_1851,ON035013_1851,10082.54
ON028001_1851,ON035012_1851,4977.35
ON028002_1851,ON039001_1851,18960.41
ON028002_1851,ON028003_1851,16898.37
ON028002_1851,ON039006_1851,8886.96
ON028002_1851,ON035016_1851,9502.74
ON028003_1851,ON028004_1851,16956.48
ON028003_1851,ON039001_1851,1259.42
ON028003_1851,ON028005_1851,10747.07
ON028004_1851,ON042001_1851,15111.05
ON028004_1851,ON028005_1851,9445.82
ON029006_1851,ON029007_1851,17148.02
ON029006_1851,ON029009_1851,3758.2
ON029006_1851,ON029011_1851,10584.14
ON029009_1851,ON029011_1851,19623.61
ON029009_1851,ON029010_1851,14917.49
ON029011_1851,ON038005_1851,19573.72
ON029011_1851,ON039009_1851,11399.08
ON029010_1851,ON039009_1851,19009.39
ON029010_1851,ON039010_1851,16074.16
ON029001_1851,ON029004_1851,13736.5
ON029001_1851,ON029003_1851,8211.44
ON029003_1851,ON029004_1851,15633.64
ON029003_1851,ON029006_1851,4203.82
ON029003_1851,ON029005_1851,8390.66
ON029002_1851,ON029003_1851,12866.25
ON029002_1851,ON029005_1851,6304.91
ON029005_1851,ON029006_1851,16704.44
ON029005_1851,ON029009_1851,11435.1
ON030006_1851,ON030008_1851,12774.46
ON030002_1851,ON030008_1851,17192.02
ON030002_1851,ON030009_1851,1458.76
ON030002_1851,ON030004_1851,26809.46
ON030002_1851,ON030003_1851,18287.93
ON030003_1851,ON030006_1851,16508.8
ON030003_1851,ON030004_1851,26607.91
ON030008_1851,ON030009_1851,4022.62
ON030007_1851,ON037003_1851,14273.63
ON030004_1851,ON030005_1851,6082.11
ON030004_1851,ON030009_1851,4957.99
ON030004_1851,ON037003_1851,6116.51
ON030004_1851,ON030007_1851,28203.22
ON030004_1851,ON037007_1851,19944.64
ON030004_1851,ON037006_1851,740.45
ON031005_1851,ON031007_1851,7114.13
ON031005_1851,ON031006_1851,14651.92
ON031001_1851,ON031007_1851,11218.03
ON031001_1851,ON031005_1851,11392.79
ON031001_1851,ON031002_1851,12560.55
ON031001_1851,ON031004_1851,10417.82
ON032001_1851,ON032004_1851,15602.09
ON032001_1851,ON032006_1851,4472.75
ON032002_1851,ON032003_1851,17920.62
ON032002_1851,ON032005_1851,12059.38
ON032003_1851,ON032004_1851,13220.08
ON032003_1851,ON032007_1851,8273.98
ON032003_1851,ON032005_1851,13431.45
ON032003_1851,ON032006_1851,19457.28
ON032004_1851,ON032006_1851,3895.24
ON033004_1851,ON033012_1851,3639.83
ON033004_1851,ON033013_1851,16693.1
ON033004_1851,ON033006_1851,11826.07
ON033004_1851,ON033010_1851,7958.37
ON033004_1851,ON033008_1851,7081.0
ON033006_1851,ON033008_1851,15382.5
ON033010_1851,ON033013_1851,9652.01
ON033008_1851,ON033010_1851,9595.36
ON033008_1851,ON033009_1851,4348.5
ON033001_1851,ON033002_1851,4567.29
ON033001_1851,ON033011_1851,9378.56
ON033001_1851,ON033003_1851,16701.72
ON033001_1851,ON033012_1851,10366.55
ON033001_1851,ON033005_1851,14030.14
ON033001_1851,ON033004_1851,16271.41
ON033001_1851,ON033006_1851,4670.99
ON033012_1851,ON033013_1851,23293.3
ON033005_1851,ON033007_1851,14927.8
ON033005_1851,ON033006_1851,10498.43
ON034003_1851,ON036003_1851,12211.91
ON034003_1851,ON034004_1851,14189.97
ON034003_1851,ON036004_1851,11780.77
ON034002_1851,ON034003_1851,14271.04
ON034001_1851,ON034004_1851,13501.45
ON034001_1851,ON034003_1851,2060.95
ON034001_1851,ON034002_1851,19642.3
ON004002_1851,ON004009_1851,22507.91
ON004002_1851,ON004008_1851,25988.75
ON004002_1851,ON046001_1851,3664.75
ON004002_1851,ON034001_1851,18800.69
ON034004_1851,ON036003_1851,5226.2
ON035003_1851,ON035006_1851,14948.61
ON035003_1851,ON035004_1851,20200.5
ON035006_1851,ON035008_1851,12420.65
ON035006_1851,ON035007_1851,16513.87
ON035009_1851,ON035015_1851,15184.82
ON035009_1851,ON035014_1851,499.53
ON035004_1851,ON042007_1851,7496.15
ON035004_1851,ON035017_1851,12357.95
ON035004_1851,ON035018_1851,2430.52
ON035004_1851,ON035005_1851,15691.94
ON035008_1851,ON035014_1851,9539.32
ON035008_1851,ON035011_1851,5969.03
ON035008_1851,ON035009_1851,20762.98
ON035005_1851,ON035011_1851,9114.63
ON035005_1851,ON035017_1851,4144.17
ON035005_1851,ON035008_1851,12936.12
ON035005_1851,ON035018_1851,9176.01
ON035005_1851,ON035006_1851,20340.54
ON038005_1851,ON039008_1851,13869.75
ON038004_1851,ON038005_1851,12554.82
ON038004_1851,ON039012_1851,20351.05
ON038004_1851,ON039008_1851,12814.61
ON039009_1851,ON039010_1851,12488.04
ON039008_1851,ON039012_1851,6485.74
ON039008_1851,ON039009_1851,24252.18
ON039008_1851,ON039010_1851,6512.62
ON039001_1851,ON039007_1851,20163.15
ON039001_1851,ON039006_1851,15979.58
ON039003_1851,ON039004_1851,15509.63
ON039003_1851,ON039012_1851,5210.1
ON039003_1851,ON039007_1851,12394.28
ON039003_1851,ON039005_1851,6339.46
ON039005_1851,ON039012_1851,20164.32
ON039005_1851,ON039007_1851,6921.86
ON039005_1851,ON039008_1851,6208.01
ON039005_1851,ON039006_1851,13258.08
ON039002_1851,ON041001_1851,16255.69
ON039002_1851,ON041003_1851,1990.95
