from,to
PE003012_1921,APP_PE003012_1921_VARIANT
PE003013_1881,APP_PE003013_1881_VARIANT
PE003014_1921,APP_PE003014_1921_VARIANT
PE003015_1881,APP_PE003015_1881_VARIANT
PE003015_1921,APP_PE003015_1921_VARIANT
PE003016_1881,APP_PE003016_1881_VARIANT
PE003016_1921,APP_PE003016_1921_VARIANT
PE003017_1881,APP_PE003017_1881_VARIANT
PE003017_1921,APP_PE003017_1921_VARIANT
PE003018_1881,APP_PE003018_1881_VARIANT
PE003018_1921,APP_PE003018_1921_VARIANT
PE003019_1881,APP_PE003019_1881_VARIANT
PE003019_1921,APP_PE003019_1921_VARIANT
PE003020_1881,APP_PE003020_1881_VARIANT
PE003020_1921,APP_PE003020_1921_VARIANT
PE003021_1881,APP_PE003021_1881_VARIANT
PE003021_1921,APP_PE003021_1921_VARIANT
PE134002_1901,APP_PE134002_1901_VARIANT
PE134003_1901,APP_PE134003_1901_VARIANT
PE134004_1901,APP_PE134004_1901_VARIANT
PE134005_1901,APP_PE134005_1901_VARIANT
PE134006_1901,APP_PE134006_1901_VARIANT
PE134007_1901,APP_PE134007_1901_VARIANT
PE134008_1901,APP_PE134008_1901_VARIANT
PE134009_1901,APP_PE134009_1901_VARIANT
PE134012_1901,APP_PE134012_1901_VARIANT
PE135002_1901,APP_PE135002_1901_VARIANT
PE135003_1901,APP_PE135003_1901_VARIANT
PE135004_1901,APP_PE135004_1901_VARIANT
PE135005_1901,APP_PE135005_1901_VARIANT
PE135006_1901,APP_PE135006_1901_VARIANT
PE135007_1901,APP_PE135007_1901_VARIANT
PE135008_1901,APP_PE135008_1901_VARIANT
PE135009_1901,APP_PE135009_1901_VARIANT
PE135010_1901,APP_PE135010_1901_VARIANT
PE135013_1901,APP_PE135013_1901_VARIANT
PE135014_1901,APP_PE135014_1901_VARIANT
PE136001_1901,APP_PE136001_1901_VARIANT
PE136002_1901,APP_PE136002_1901_VARIANT
PE136003_1901,APP_PE136003_1901_VARIANT
PE136004_1901,APP_PE136004_1901_VARIANT
PE136005_1901,APP_PE136005_1901_VARIANT
PE136007_1901,APP_PE136007_1901_VARIANT
QC037005_1921,APP_QC037005_1921_VARIANT
QC137010_1901,APP_QC137010_1901_VARIANT
QC141010_1901,APP_QC141010_1901_VARIANT
QC141013_1901,APP_QC141013_1901_VARIANT
QC178010_1911,APP_QC178010_1911_VARIANT
QC184006_1911,APP_QC184006_1911_VARIANT
QC190005_1901,APP_QC190005_1901_VARIANT
