from,to,overlap_type,iou,year_from,year_to
ON026007_1851,ON089005_1861,CONTAINS,0.3761,1851,1861
ON028003_1851,ON091002_1861,CONTAINS,0.032,1851,1861
ON028004_1851,ON091005_1861,CONTAINS,0.0089,1851,1861
ON029001_1851,ON092012_1861,CONTAINS,0.012,1851,1861
ON030008_1851,ON093001_1861,CONTAINS,0.0077,1851,1861
ON030004_1851,ON093013_1861,CONTAINS,0.3839,1851,1861
ON030004_1851,ON093008_1861,CONTAINS,0.6161,1851,1861
ON033005_1851,ON096015_1861,CONTAINS,0.0195,1851,1861
ON035009_1851,ON098004_1861,CONTAINS,0.0183,1851,1861
ON039005_1851,ON103003_1861,CONTAINS,0.0206,1851,1861
ON039005_1851,ON103006_1861,CONTAINS,0.0206,1851,1861
ON040008_1851,ON102005_1861,CONTAINS,0.0376,1851,1861
ON040004_1851,ON102004_1861,CONTAINS,0.9195,1851,1861
ON040003_1851,ON102008_1861,CONTAINS,0.9378,1851,1861
ON040003_1851,ON102003_1861,CONTAINS,0.0622,1851,1861
ON037006_1851,ON100002_1861,CONTAINS,0.3422,1851,1861
ON037006_1851,ON100016_1861,CONTAINS,0.6578,1851,1861
ON037002_1851,ON100011_1861,CONTAINS,0.0361,1851,1861
ON033009_1851,ON096012_1861,CONTAINS,0.8666,1851,1861
ON033009_1851,ON096013_1861,CONTAINS,0.1334,1851,1861
ON033007_1851,ON096004_1861,CONTAINS,0.0201,1851,1861
ON011009_1851,ON075014_1861,CONTAINS,0.4915,1851,1861
ON011009_1851,ON075010_1861,CONTAINS,0.5085,1851,1861
ON008008_1851,ON071009_1861,CONTAINS,0.3376,1851,1861
ON008008_1851,ON071008_1861,CONTAINS,0.6031,1851,1861
ON008008_1851,ON071010_1861,CONTAINS,0.0363,1851,1861
ON008008_1851,ON071013_1861,CONTAINS,0.0231,1851,1861
ON009999_1851,ON084008_1861,CONTAINS,0.2622,1851,1861
ON009999_1851,ON072009_1861,CONTAINS,0.1845,1851,1861
ON009999_1851,ON072004_1861,CONTAINS,0.2847,1851,1861
ON009999_1851,ON072008_1861,CONTAINS,0.2685,1851,1861
ON009001_1851,ON109008_1861,CONTAINS,0.0104,1851,1861
ON012005_1851,ON074005_1861,CONTAINS,0.0109,1851,1861
ON011015_1851,ON066002_1861,CONTAINS,0.1788,1851,1861
ON011015_1851,ON075009_1861,CONTAINS,0.2328,1851,1861
ON011015_1851,ON066001_1861,CONTAINS,0.2872,1851,1861
ON011015_1851,ON066999_1861,CONTAINS,0.3012,1851,1861
ON013005_1851,ON076005_1861,CONTAINS,0.0199,1851,1861
ON013005_1851,ON076006_1861,WITHIN,0.8097,1851,1861
ON014001_1851,ON077002_1861,CONTAINS,0.0086,1851,1861
ON015006_1851,ON078012_1861,CONTAINS,0.0083,1851,1861
ON017001_1851,ON080001_1861,CONTAINS,0.6534,1851,1861
ON017001_1851,ON080011_1861,CONTAINS,0.3466,1851,1861
ON017007_1851,ON080009_1861,CONTAINS,0.3247,1851,1861
ON017007_1851,ON080010_1861,CONTAINS,0.6753,1851,1861
ON023006_1851,ON086012_1861,CONTAINS,0.5209,1851,1861
ON023006_1851,ON086013_1861,CONTAINS,0.4791,1851,1861
ON026001_1851,ON089011_1861,CONTAINS,0.4943,1851,1861
ON026001_1851,ON089013_1861,CONTAINS,0.0414,1851,1861
ON026001_1851,ON089012_1861,CONTAINS,0.4643,1851,1861
ON046001_1851,ON111003_1861,CONTAINS,0.4387,1851,1861
ON046001_1851,ON111001_1861,CONTAINS,0.2576,1851,1861
ON046001_1851,ON111002_1861,CONTAINS,0.3037,1851,1861
ON027002_1851,ON090004_1861,CONTAINS,0.0102,1851,1861
ON027007_1851,ON090008_1861,CONTAINS,0.5044,1851,1861
ON027007_1851,ON090007_1861,CONTAINS,0.4956,1851,1861
ON031002_1851,ON094005_1861,CONTAINS,0.0193,1851,1861
ON033011_1851,ON096005_1861,WITHIN,0.6485,1851,1861
ON035007_1851,ON098017_1861,WITHIN,0.6444,1851,1861
ON047001_1851,ON110001_1861,CONTAINS,0.4044,1851,1861
ON047001_1851,ON110003_1861,CONTAINS,0.5956,1851,1861
ON047002_1851,ON110002_1861,CONTAINS,0.5417,1851,1861
ON047002_1851,ON110004_1861,CONTAINS,0.4583,1851,1861
ON038002_1851,ON101005_1861,CONTAINS,0.0065,1851,1861
ON038002_1851,ON101009_1861,CONTAINS,0.4868,1851,1861
ON038002_1851,ON101001_1861,CONTAINS,0.0342,1851,1861
ON038002_1851,ON101007_1861,CONTAINS,0.0334,1851,1861
ON038002_1851,ON101008_1861,CONTAINS,0.4391,1851,1861
ON038003_1851,ON101004_1861,CONTAINS,0.0093,1851,1861
ON043001_1851,ON112003_1861,CONTAINS,0.1638,1851,1861
ON043001_1851,ON112001_1861,CONTAINS,0.0829,1851,1861
ON043001_1851,ON112006_1861,CONTAINS,0.0711,1851,1861
ON043001_1851,ON112005_1861,CONTAINS,0.0684,1851,1861
ON043001_1851,ON112004_1861,CONTAINS,0.065,1851,1861
ON043001_1851,ON112002_1861,CONTAINS,0.1931,1851,1861
ON042005_1851,ON112008_1861,CONTAINS,0.0086,1851,1861
ON042005_1851,ON105012_1861,CONTAINS,0.0072,1851,1861
ON045007_1851,ON109007_1861,WITHIN,0.6959,1851,1861
ON045005_1851,ON109003_1861,WITHIN,0.9132,1851,1861
ON045009_1851,ON109007_1861,WITHIN,0.0681,1851,1861
ON045008_1851,ON109003_1861,WITHIN,0.0868,1851,1861
ON045010_1851,ON109007_1861,WITHIN,0.236,1851,1861
ON045013_1851,ON109002_1861,WITHIN,0.029,1851,1861
ON045011_1851,ON109004_1861,WITHIN,0.0007,1851,1861
ON045012_1851,ON072013_1861,WITHIN,0.0522,1851,1861
ON018011_1851,ON081010_1861,WITHIN,0.3189,1851,1861
ON018009_1851,ON081010_1861,WITHIN,0.6811,1851,1861
ON013008_1851,ON076006_1861,WITHIN,0.1768,1851,1861
ON044006_1851,ON108002_1861,WITHIN,0.0102,1851,1861
ON015010_1851,ON078002_1861,WITHIN,0.4909,1851,1861
ON035002_1851,ON098017_1861,WITHIN,0.3536,1851,1861
ON035010_1851,ON098003_1861,CONTAINS,0.0302,1851,1861
ON042008_1851,ON105005_1861,CONTAINS,0.0095,1851,1861
ON043002_1851,ON112007_1861,WITHIN,0.0671,1851,1861
ON043004_1851,ON112003_1861,WITHIN,0.0162,1851,1861
ON043007_1851,ON112004_1861,WITHIN,0.012,1851,1861
ON043009_1851,ON112004_1861,WITHIN,0.0065,1851,1861
ON043008_1851,ON112004_1861,WITHIN,0.0122,1851,1861
ON043006_1851,ON105011_1861,WITHIN,0.0,1851,1861
ON043003_1851,ON105011_1861,WITHIN,0.0006,1851,1861
ON043005_1851,ON112005_1861,WITHIN,0.0054,1851,1861
ON043010_1851,ON112006_1861,WITHIN,0.0091,1851,1861
ON033002_1851,ON096005_1861,WITHIN,0.3515,1851,1861
NT999999_1851,ON093007_1861,CONTAINS,0.0001,1851,1861
NT999999_1851,ON084003_1861,CONTAINS,0.0,1851,1861
NT999999_1851,ON093999_1861,CONTAINS,0.0002,1851,1861
NT999999_1851,ON072001_1861,CONTAINS,0.0001,1851,1861
NT999999_1851,ON072010_1861,CONTAINS,0.0,1851,1861
NT999999_1851,ON084005_1861,CONTAINS,0.0001,1851,1861
NT999999_1851,ON078999_1861,CONTAINS,0.0002,1851,1861
NT999999_1851,ON072007_1861,CONTAINS,0.0001,1851,1861
NT999999_1851,ON096999_1861,CONTAINS,0.0,1851,1861
NT999999_1851,ON096008_1861,CONTAINS,0.0001,1851,1861
NT999999_1851,ON096018_1861,CONTAINS,0.0001,1851,1861
NT999999_1851,ON096003_1861,CONTAINS,0.0,1851,1861
NT999999_1851,ON096002_1861,CONTAINS,0.0001,1851,1861
NT999999_1851,ON100003_1861,CONTAINS,0.0,1851,1861
NT999999_1851,ON100010_1861,CONTAINS,0.0,1851,1861
NT999999_1851,ON098999_1861,CONTAINS,0.0001,1851,1861
NT999999_1851,ON098011_1861,CONTAINS,0.0002,1851,1861
NT999999_1851,ON107000_1861,CONTAINS,0.0065,1851,1861
NT999999_1851,ON096014_1861,CONTAINS,0.0001,1851,1861
NT999999_1851,ON096016_1861,CONTAINS,0.0,1851,1861
NT999999_1851,ON100004_1861,CONTAINS,0.0,1851,1861
NT999999_1851,ON100005_1861,CONTAINS,0.0,1851,1861
NT999999_1851,ON100012_1861,CONTAINS,0.0,1851,1861
NT999999_1851,ON100013_1861,CONTAINS,0.0001,1851,1861
NT999999_1851,ON093014_1861,CONTAINS,0.0001,1851,1861
NT999999_1851,ON100001_1861,CONTAINS,0.0,1851,1861
NT999999_1851,ON100009_1861,CONTAINS,0.0,1851,1861
NT999999_1851,ON093009_1861,CONTAINS,0.0001,1851,1861
NT999999_1851,ON100999_1861,CONTAINS,0.0002,1851,1861
NT999999_1851,ON106001_1861,CONTAINS,0.0,1851,1861
NT999999_1851,ON106002_1861,CONTAINS,0.0128,1851,1861
QC080999_1851,QC002008_1861,CONTAINS,0.1443,1851,1861
QC080999_1851,QC002003_1861,CONTAINS,0.1183,1851,1861
QC080999_1851,QC002999_1861,CONTAINS,0.4783,1851,1861
QC080999_1851,QC055001_1861,CONTAINS,0.1329,1851,1861
QC080999_1851,QC002001_1861,CONTAINS,0.1262,1851,1861
QC080011_1851,QC002010_1861,WITHIN,0.7965,1851,1861
QC078009_1851,QC004002_1861,CONTAINS,0.9192,1851,1861
QC078008_1851,QC004006_1861,WITHIN,0.905,1851,1861
QC078011_1851,QC004008_1861,CONTAINS,0.5138,1851,1861
QC062999_1851,QC005001_1861,CONTAINS,0.2065,1851,1861
QC062999_1851,QC005005_1861,CONTAINS,0.1524,1851,1861
QC062999_1851,QC005003_1861,CONTAINS,0.2637,1851,1861
QC062999_1851,QC005011_1861,CONTAINS,0.263,1851,1861
QC048011_1851,QC006003_1861,WITHIN,0.7892,1851,1861
QC048010_1851,QC006002_1861,CONTAINS,0.4653,1851,1861
QC048010_1851,QC006006_1861,CONTAINS,0.5284,1851,1861
QC049011_1851,QC017001_1861,CONTAINS,0.5239,1851,1861
QC049011_1851,QC007003_1861,CONTAINS,0.4761,1851,1861
QC049007_1851,QC007001_1861,WITHIN,0.6995,1851,1861
QC049999_1851,QC007999_1861,CONTAINS,0.6769,1851,1861
QC049004_1851,QC007007_1861,CONTAINS,0.6761,1851,1861
QC049003_1851,QC007009_1861,CONTAINS,0.448,1851,1861
QC075007_1851,QC033002_1861,CONTAINS,0.3996,1851,1861
QC075007_1851,QC010003_1861,CONTAINS,0.6004,1851,1861
QC052004_1851,QC011002_1861,CONTAINS,0.011,1851,1861
QC052002_1851,QC011008_1861,CONTAINS,0.5202,1851,1861
QC052002_1851,QC011005_1861,CONTAINS,0.3989,1851,1861
QC052005_1851,QC011007_1861,WITHIN,0.6386,1851,1861
QC082004_1851,QC058001_1861,CONTAINS,0.7466,1851,1861
QC082005_1851,QC058005_1861,WITHIN,0.6568,1851,1861
QC053004_1851,QC012002_1861,CONTAINS,0.2688,1851,1861
QC053003_1851,QC012003_1861,CONTAINS,0.9001,1851,1861
QC053005_1851,QC012004_1861,CONTAINS,0.5099,1851,1861
QC048014_1851,QC014002_1861,WITHIN,0.6721,1851,1861
QC048016_1851,QC014004_1861,CONTAINS,0.8205,1851,1861
QC048017_1851,QC014005_1861,CONTAINS,0.6721,1851,1861
QC074022_1851,QC015005_1861,CONTAINS,0.8082,1851,1861
QC074023_1851,QC015011_1861,WITHIN,0.8968,1851,1861
QC080008_1851,QC056009_1861,CONTAINS,0.2908,1851,1861
QC080008_1851,QC056007_1861,CONTAINS,0.7092,1851,1861
QC080003_1851,QC056012_1861,CONTAINS,0.0058,1851,1861
QC080003_1851,QC056013_1861,CONTAINS,0.6703,1851,1861
QC049012_1851,QC017011_1861,CONTAINS,0.4526,1851,1861
QC049012_1851,QC017010_1861,CONTAINS,0.5474,1851,1861
QC054010_1851,QC017009_1861,CONTAINS,0.676,1851,1861
QC055006_1851,QC003007_1861,CONTAINS,0.5521,1851,1861
QC056010_1851,QC019001_1861,CONTAINS,0.3598,1851,1861
QC056999_1851,QC019999_1861,CONTAINS,0.8822,1851,1861
QC056999_1851,QC019010_1861,CONTAINS,0.0239,1851,1861
QC048012_1851,QC021003_1861,CONTAINS,0.9497,1851,1861
QC065006_1851,QC024006_1861,CONTAINS,0.0199,1851,1861
QC050014_1851,QC025006_1861,CONTAINS,0.6708,1851,1861
QC050014_1851,QC025005_1861,CONTAINS,0.2857,1851,1861
QC050008_1851,QC025004_1861,CONTAINS,0.0017,1851,1861
QC050008_1851,QC025003_1861,CONTAINS,0.0012,1851,1861
QC050010_1851,QC025009_1861,CONTAINS,0.0002,1851,1861
QC050011_1851,QC025010_1861,CONTAINS,0.3741,1851,1861
QC050011_1851,QC025011_1861,CONTAINS,0.6259,1851,1861
QC058003_1851,QC026011_1861,CONTAINS,0.3925,1851,1861
QC058003_1851,QC026004_1861,CONTAINS,0.2508,1851,1861
QC058003_1851,QC026003_1861,CONTAINS,0.3538,1851,1861
QC058005_1851,QC026002_1861,CONTAINS,0.0262,1851,1861
QC067004_1851,QC039011_1861,CONTAINS,0.014,1851,1861
QC067999_1851,QC040015_1861,CONTAINS,0.0022,1851,1861
QC067999_1851,QC040019_1861,CONTAINS,0.0017,1851,1861
QC067999_1851,QC039014_1861,CONTAINS,0.0024,1851,1861
QC067999_1851,QC040017_1861,CONTAINS,0.0022,1851,1861
QC067999_1851,QC039004_1861,CONTAINS,0.0022,1851,1861
QC067999_1851,QC040008_1861,CONTAINS,0.0019,1851,1861
QC067999_1851,QC040020_1861,CONTAINS,0.0019,1851,1861
QC067999_1851,QC040021_1861,CONTAINS,0.0022,1851,1861
QC067999_1851,QC040012_1861,CONTAINS,0.0044,1851,1861
QC067999_1851,QC040001_1861,CONTAINS,0.003,1851,1861
QC067999_1851,QC040018_1861,CONTAINS,0.0035,1851,1861
QC067999_1851,QC039019_1861,CONTAINS,0.0022,1851,1861
QC067999_1851,QC039008_1861,CONTAINS,0.0018,1851,1861
QC067999_1851,QC039020_1861,CONTAINS,0.0032,1851,1861
QC067999_1851,QC039034_1861,CONTAINS,0.0077,1851,1861
QC067999_1851,QC039006_1861,CONTAINS,0.0012,1851,1861
QC067999_1851,QC039005_1861,CONTAINS,0.0045,1851,1861
QC067999_1851,QC039029_1861,CONTAINS,0.0016,1851,1861
QC067999_1851,QC039007_1861,CONTAINS,0.0032,1851,1861
QC067999_1851,QC039037_1861,CONTAINS,0.0043,1851,1861
QC067999_1851,QC039032_1861,CONTAINS,0.0025,1851,1861
QC067999_1851,QC039009_1861,CONTAINS,0.0031,1851,1861
QC067999_1851,QC039001_1861,CONTAINS,0.0023,1851,1861
QC067999_1851,QC040999_1861,CONTAINS,0.614,1851,1861
QC067999_1851,QC039013_1861,CONTAINS,0.0022,1851,1861
QC067999_1851,QC039027_1861,CONTAINS,0.0059,1851,1861
QC067999_1851,QC039016_1861,CONTAINS,0.0026,1851,1861
QC067999_1851,QC039024_1861,CONTAINS,0.0032,1851,1861
QC067999_1851,QC039010_1861,CONTAINS,0.0031,1851,1861
QC067999_1851,QC039018_1861,CONTAINS,0.0037,1851,1861
QC067999_1851,QC039022_1861,CONTAINS,0.0052,1851,1861
QC067999_1851,QC039002_1861,CONTAINS,0.0027,1851,1861
QC067999_1851,QC039023_1861,CONTAINS,0.0023,1851,1861
QC067999_1851,QC039999_1861,CONTAINS,0.2901,1851,1861
QC067018_1851,QC039035_1861,CONTAINS,0.1359,1851,1861
QC067018_1851,QC039030_1861,CONTAINS,0.6692,1851,1861
QC067018_1851,QC039033_1861,CONTAINS,0.1949,1851,1861
QC057001_1851,QC027002_1861,WITHIN,0.8396,1851,1861
QC057010_1851,QC037002_1861,CONTAINS,0.8339,1851,1861
QC057018_1851,QC037004_1861,CONTAINS,0.6127,1851,1861
QC059001_1851,QC001002_1861,CONTAINS,0.7017,1851,1861
QC059004_1851,QC001006_1861,CONTAINS,0.3736,1851,1861
QC059004_1851,QC001010_1861,CONTAINS,0.6264,1851,1861
QC059007_1851,QC001008_1861,CONTAINS,0.916,1851,1861
QC059011_1851,QC001009_1861,WITHIN,0.8691,1851,1861
QC059002_1851,QC001003_1861,CONTAINS,0.0558,1851,1861
QC059002_1851,QC001001_1861,CONTAINS,0.9442,1851,1861
QC079011_1851,QC028006_1861,CONTAINS,0.0011,1851,1861
QC079011_1851,QC028005_1861,CONTAINS,0.0009,1851,1861
QC054003_1851,QC029005_1861,CONTAINS,0.8734,1851,1861
QC054003_1851,QC029008_1861,CONTAINS,0.1266,1851,1861
QC054004_1851,QC029007_1861,CONTAINS,0.4059,1851,1861
QC060005_1851,QC023005_1861,CONTAINS,0.3894,1851,1861
QC060004_1851,QC023001_1861,WITHIN,0.8049,1851,1861
QC060999_1851,QC035999_1861,CONTAINS,0.3378,1851,1861
QC060999_1851,QC023999_1861,CONTAINS,0.5179,1851,1861
QC060003_1851,QC023006_1861,CONTAINS,0.4995,1851,1861
QC061005_1851,QC030004_1861,CONTAINS,0.5657,1851,1861
QC061005_1851,QC030003_1861,CONTAINS,0.4081,1851,1861
QC061002_1851,QC030008_1861,WITHIN,0.9153,1851,1861
QC073012_1851,QC031004_1861,WITHIN,0.9101,1851,1861
QC073013_1851,QC031002_1861,CONTAINS,0.5638,1851,1861
QC073013_1851,QC031005_1861,CONTAINS,0.4221,1851,1861
QC062005_1851,QC032003_1861,CONTAINS,0.5617,1851,1861
QC062007_1851,QC032005_1861,WITHIN,0.6707,1851,1861
QC062004_1851,QC032009_1861,CONTAINS,0.5578,1851,1861
QC062004_1851,QC032008_1861,CONTAINS,0.4329,1851,1861
QC059009_1851,QC034007_1861,CONTAINS,0.7571,1851,1861
QC059009_1851,QC034002_1861,CONTAINS,0.0011,1851,1861
QC059014_1851,QC034004_1861,CONTAINS,0.9129,1851,1861
QC060009_1851,QC035011_1861,CONTAINS,0.4905,1851,1861
QC085000_1851,QC061003_1861,CONTAINS,0.1976,1851,1861
QC085000_1851,QC061004_1861,CONTAINS,0.3054,1851,1861
QC085000_1851,QC061009_1861,CONTAINS,0.0161,1851,1861
QC085000_1851,QC061001_1861,CONTAINS,0.0122,1851,1861
QC085000_1851,QC061006_1861,CONTAINS,0.0753,1851,1861
QC085000_1851,QC061010_1861,CONTAINS,0.0191,1851,1861
QC085000_1851,QC061002_1861,CONTAINS,0.0199,1851,1861
QC085000_1851,QC061007_1861,CONTAINS,0.0644,1851,1861
QC085000_1851,QC061005_1861,CONTAINS,0.1022,1851,1861
QC085000_1851,QC061008_1861,CONTAINS,0.1878,1851,1861
QC066006_1851,QC038003_1861,CONTAINS,0.8921,1851,1861
QC067011_1851,QC040013_1861,CONTAINS,0.0941,1851,1861
QC067011_1851,QC040009_1861,CONTAINS,0.9059,1851,1861
QC068003_1851,QC041002_1861,CONTAINS,0.6073,1851,1861
QC084000_1851,QC062008_1861,CONTAINS,0.206,1851,1861
QC084000_1851,QC062003_1861,CONTAINS,0.328,1851,1861
QC084000_1851,QC062001_1861,CONTAINS,0.0694,1851,1861
QC084000_1851,QC062005_1861,CONTAINS,0.0778,1851,1861
QC084000_1851,QC062002_1861,CONTAINS,0.0811,1851,1861
QC084000_1851,QC062006_1861,CONTAINS,0.1041,1851,1861
QC084000_1851,QC062004_1861,CONTAINS,0.0451,1851,1861
QC084000_1851,QC062007_1861,CONTAINS,0.0885,1851,1861
QC069001_1851,QC042006_1861,CONTAINS,0.5601,1851,1861
QC069003_1851,QC042007_1861,WITHIN,0.7726,1851,1861
QC070010_1851,QC043002_1861,CONTAINS,0.2463,1851,1861
QC070010_1851,QC043001_1861,CONTAINS,0.5149,1851,1861
QC070002_1851,QC043004_1861,CONTAINS,0.6757,1851,1861
QC070002_1851,QC043006_1861,CONTAINS,0.3243,1851,1861
QC070005_1851,QC043009_1861,CONTAINS,0.7131,1851,1861
QC076013_1851,QC044004_1861,CONTAINS,0.7068,1851,1861
QC076013_1851,QC044005_1861,CONTAINS,0.007,1851,1861
QC055015_1851,QC059003_1861,CONTAINS,0.3078,1851,1861
QC055015_1851,QC059004_1861,CONTAINS,0.6922,1851,1861
QC076015_1851,QC044002_1861,CONTAINS,0.441,1851,1861
QC076015_1851,QC044006_1861,CONTAINS,0.5524,1851,1861
QC076015_1851,QC044003_1861,CONTAINS,0.0066,1851,1861
QC055016_1851,QC059005_1861,CONTAINS,0.3561,1851,1861
QC055016_1851,QC059008_1861,CONTAINS,0.6439,1851,1861
QC071013_1851,QC045001_1861,WITHIN,0.811,1851,1861
QC071016_1851,QC045010_1861,CONTAINS,0.7355,1851,1861
QC071017_1851,QC045006_1861,WITHIN,0.9292,1851,1861
QC071999_1851,QC054999_1861,CONTAINS,0.1903,1851,1861
QC071999_1851,QC054002_1861,CONTAINS,0.0081,1851,1861
QC071999_1851,QC045003_1861,CONTAINS,0.0098,1851,1861
QC071999_1851,QC045999_1861,CONTAINS,0.7292,1851,1861
QC078006_1851,QC046001_1861,CONTAINS,0.7925,1851,1861
QC072011_1851,QC046005_1861,WITHIN,0.9117,1851,1861
QC072004_1851,QC046002_1861,CONTAINS,0.0095,1851,1861
QC078002_1851,QC050006_1861,WITHIN,0.5604,1851,1861
QC072006_1851,QC033003_1861,CONTAINS,0.1921,1851,1861
QC072009_1851,QC022004_1861,CONTAINS,0.8712,1851,1861
QC072007_1851,QC022006_1861,CONTAINS,0.9439,1851,1861
QC052011_1851,QC051006_1861,WITHIN,0.6764,1851,1861
QC075004_1851,QC048003_1861,CONTAINS,0.0128,1851,1861
QC076005_1851,QC064004_1861,CONTAINS,0.0085,1851,1861
QC081008_1851,QC049002_1861,CONTAINS,0.0028,1851,1861
QC081006_1851,QC049007_1861,CONTAINS,0.4328,1851,1861
QC081006_1851,QC049006_1861,CONTAINS,0.5672,1851,1861
QC081010_1851,QC049001_1861,CONTAINS,0.0125,1851,1861
QC071003_1851,QC054012_1861,CONTAINS,0.84,1851,1861
QC071001_1851,QC054011_1861,WITHIN,0.8554,1851,1861
QC071005_1851,QC054007_1861,CONTAINS,0.8754,1851,1861
QC071007_1851,QC054013_1861,CONTAINS,0.6225,1851,1861
QC079004_1851,QC056010_1861,CONTAINS,0.031,1851,1861
QC079004_1851,QC002011_1861,CONTAINS,0.2059,1851,1861
QC079004_1851,QC055005_1861,CONTAINS,0.008,1851,1861
QC079009_1851,QC055011_1861,CONTAINS,0.0227,1851,1861
QC073005_1851,QC052007_1861,CONTAINS,0.712,1851,1861
QC073005_1851,QC052005_1861,CONTAINS,0.288,1851,1861
QC073001_1851,QC063005_1861,CONTAINS,0.4087,1851,1861
QC073001_1851,QC063004_1861,CONTAINS,0.098,1851,1861
QC073001_1851,QC063002_1861,CONTAINS,0.0063,1851,1861
QC073001_1851,QC063006_1861,CONTAINS,0.0212,1851,1861
QC073001_1851,QC063003_1861,CONTAINS,0.4658,1851,1861
QC083003_1851,QC060004_1861,CONTAINS,0.497,1851,1861
QC083003_1851,QC060002_1861,CONTAINS,0.4922,1851,1861
QC050999_1851,QC025002_1861,CONTAINS,0.0543,1851,1861
QC050999_1851,QC025999_1861,CONTAINS,0.5476,1851,1861
QC050999_1851,QC008999_1861,CONTAINS,0.3981,1851,1861
QC065010_1851,QC020003_1861,CONTAINS,0.8782,1851,1861
QC065010_1851,QC020004_1861,CONTAINS,0.1218,1851,1861
QC071006_1851,QC054010_1861,WITHIN,0.5185,1851,1861
QC059999_1851,QC034011_1861,CONTAINS,0.1636,1851,1861
QC059999_1851,QC034999_1861,CONTAINS,0.8364,1851,1861
QC068999_1851,QC041999_1861,CONTAINS,0.936,1851,1861
QC076014_1851,QC044001_1861,WITHIN,0.7028,1851,1861
QC076022_1851,QC044007_1861,CONTAINS,0.1877,1851,1861
QC076022_1851,QC016005_1861,CONTAINS,0.0836,1851,1861
QC076022_1851,QC016008_1861,CONTAINS,0.178,1851,1861
QC076022_1851,QC016012_1861,CONTAINS,0.1865,1851,1861
QC082001_1851,QC058008_1861,CONTAINS,0.0008,1851,1861
QC074999_1851,QC015019_1861,CONTAINS,0.0001,1851,1861
QC074999_1851,QC015014_1861,CONTAINS,0.0005,1851,1861
QC074999_1851,QC015012_1861,CONTAINS,0.0004,1851,1861
QC074999_1851,QC015003_1861,CONTAINS,0.0007,1851,1861
QC074999_1851,QC015017_1861,CONTAINS,0.0005,1851,1861
QC074999_1851,QC015006_1861,CONTAINS,0.0005,1851,1861
QC074999_1851,QC015020_1861,CONTAINS,0.0005,1851,1861
QC074999_1851,QC015002_1861,CONTAINS,0.0006,1851,1861
QC074999_1851,QC013999_1861,CONTAINS,0.01,1851,1861
QC074999_1851,QC015004_1861,CONTAINS,0.0004,1851,1861
QC074999_1851,QC015015_1861,CONTAINS,0.0006,1851,1861
QC074999_1851,QC015021_1861,CONTAINS,0.001,1851,1861
QC074999_1851,QC015999_1861,CONTAINS,0.2806,1851,1861
QC074999_1851,QC047005_1861,CONTAINS,0.0025,1851,1861
QC074999_1851,QC047010_1861,CONTAINS,0.0,1851,1861
QC074999_1851,QC047006_1861,CONTAINS,0.0019,1851,1861
QC074999_1851,QC047999_1861,CONTAINS,0.6871,1851,1861
QC074999_1851,QC047008_1861,CONTAINS,0.002,1851,1861
