from,to,iou
QC139004_1891,QC139005_1901,1.0
QC139007_1891,QC139006_1901,1.0
QC139012_1891,QC139007_1901,1.0
QC139014_1891,QC139010_1901,1.0
QC139018_1891,QC139016_1901,1.0
QC139001_1891,QC139001_1901,1.0
QC139021_1891,QC139022_1901,1.0
QC139005_1891,QC139023_1901,1.0
QC139022_1891,QC139024_1901,1.0
QC139023_1891,QC139025_1901,1.0
QC139025_1891,QC139028_1901,1.0
QC139009_1891,QC139029_1901,1.0
QC139019_1891,QC139017_1901,1.0
QC140004_1891,QC140003_1901,1.0
QC140005_1891,QC140004_1901,1.0
QC140006_1891,QC140005_1901,1.0
QC140007_1891,QC140006_1901,1.0
QC140008_1891,QC140007_1901,1.0
QC140001_1891,QC140001_1901,1.0
QC141004_1891,QC141003_1901,1.0
QC141005_1891,QC141004_1901,1.0
QC141006_1891,QC141006_1901,0.99
QC141007_1891,QC141007_1901,1.0
QC141009_1891,QC141009_1901,1.0
QC141010_1891,QC141010_1901,1.0
QC141012_1891,QC141012_1901,1.0
QC141013_1891,QC141013_1901,1.0
QC142001_1891,QC142001_1901,1.0
QC142004_1891,QC142003_1901,1.0
QC142006_1891,QC142004_1901,1.0
QC142007_1891,QC142005_1901,1.0
QC142010_1891,QC142010_1901,1.0
QC142011_1891,QC142011_1901,1.0
QC142002_1891,QC142002_1901,1.0
QC143001_1891,QC143001_1901,1.0
QC143009_1891,QC143006_1901,1.0
QC143010_1891,QC143007_1901,1.0
QC143019_1891,QC143012_1901,1.0
QC143020_1891,QC143013_1901,1.0
QC143999_1891,QC143999_1901,1.0
QC144005_1891,QC144008_1901,1.0
QC144006_1891,QC144010_1901,0.9833
QC145001_1891,QC145001_1901,1.0
QC145003_1891,QC145003_1901,1.0
QC145006_1891,QC145006_1901,1.0
QC145008_1891,QC145008_1901,1.0
QC145009_1891,QC145009_1901,1.0
QC145010_1891,QC145010_1901,1.0
QC196001_1891,QC145012_1901,1.0
QC196002_1891,QC145013_1901,1.0
QC196003_1891,QC145014_1901,1.0
QC196004_1891,QC145015_1901,1.0
QC196005_1891,QC145016_1901,1.0
QC196006_1891,QC145017_1901,1.0
QC196009_1891,QC145020_1901,1.0
QC145007_1891,QC145007_1901,1.0
QC145011_1891,QC145011_1901,1.0
QC145002_1891,QC145002_1901,1.0
QC145005_1891,QC145005_1901,1.0
QC145004_1891,QC145004_1901,1.0
QC146001_1891,QC146001_1901,1.0
QC146002_1891,QC146004_1901,1.0
QC146005_1891,QC146007_1901,1.0
QC146007_1891,QC146009_1901,1.0
QC146008_1891,QC146010_1901,1.0
QC146010_1891,QC146013_1901,1.0
QC146013_1891,QC146016_1901,1.0
QC146014_1891,QC146017_1901,1.0
QC146015_1891,QC146018_1901,1.0
QC146999_1891,QC146999_1901,1.0
QC147001_1891,QC147001_1901,0.9927
QC147002_1891,QC147003_1901,1.0
QC147003_1891,QC147004_1901,1.0
QC147004_1891,QC147005_1901,0.9889
QC147007_1891,QC147009_1901,1.0
QC147008_1891,QC147010_1901,1.0
QC147009_1891,QC147011_1901,1.0
QC147010_1891,QC147012_1901,1.0
QC147012_1891,QC147014_1901,1.0
QC147006_1891,QC147008_1901,1.0
QC148001_1891,QC148002_1901,1.0
QC148002_1891,QC148003_1901,1.0
QC148003_1891,QC148004_1901,1.0
QC148004_1891,QC148005_1901,1.0
QC148005_1891,QC148006_1901,0.9887
QC148006_1891,QC148007_1901,1.0
QC148007_1891,QC148008_1901,1.0
QC148008_1891,QC148009_1901,1.0
QC148009_1891,QC148011_1901,1.0
QC149001_1891,QC149005_1901,1.0
QC149016_1891,QC149019_1901,0.9989
QC149022_1891,QC149024_1901,1.0
QC149025_1891,QC149028_1901,0.9996
QC149024_1891,QC149026_1901,0.9935
QC149002_1891,QC149006_1901,1.0
QC149012_1891,QC149017_1901,1.0
QC149008_1891,QC149011_1901,1.0
QC149035_1891,QC149050_1901,1.0
QC149029_1891,QC149041_1901,1.0
QC149036_1891,QC149051_1901,0.9835
QC149034_1891,QC149048_1901,0.998
QC150001_1891,QC150001_1901,1.0
QC150002_1891,QC150002_1901,1.0
QC150003_1891,QC150003_1901,1.0
QC150008_1891,QC150010_1901,1.0
QC150006_1891,QC150008_1901,1.0
QC150013_1891,QC150015_1901,1.0
QC150014_1891,QC150016_1901,1.0
QC150017_1891,QC150022_1901,1.0
QC150016_1891,QC150021_1901,1.0
QC150018_1891,QC150023_1901,1.0
QC150015_1891,QC150020_1901,1.0
QC151001_1891,QC151001_1901,1.0
QC151002_1891,QC151002_1901,1.0
QC151003_1891,QC151003_1901,1.0
QC151004_1891,QC151004_1901,1.0
QC151005_1891,QC151005_1901,1.0
QC151006_1891,QC151006_1901,1.0
QC151008_1891,QC151008_1901,1.0
QC151009_1891,QC151009_1901,1.0
QC151010_1891,QC151010_1901,1.0
QC151011_1891,QC151011_1901,1.0
QC151012_1891,QC151012_1901,1.0
QC151013_1891,QC151013_1901,1.0
QC152001_1891,QC152001_1901,0.9897
QC152003_1891,QC152004_1901,1.0
QC152004_1891,QC152005_1901,1.0
QC152005_1891,QC152006_1901,1.0
QC152006_1891,QC152007_1901,1.0
QC152009_1891,QC152010_1901,1.0
QC152010_1891,QC152011_1901,1.0
QC152011_1891,QC152012_1901,1.0
QC152015_1891,QC152016_1901,1.0
QC153002_1891,QC153018_1901,1.0
QC153004_1891,QC153003_1901,1.0
QC153007_1891,QC153004_1901,1.0
QC153008_1891,QC153005_1901,1.0
QC153009_1891,QC153006_1901,1.0
QC153010_1891,QC153007_1901,1.0
QC153013_1891,QC153024_1901,1.0
QC153019_1891,QC153010_1901,1.0
QC153018_1891,QC153028_1901,1.0
QC153026_1891,QC153032_1901,1.0
QC153029_1891,QC153038_1901,1.0
QC153034_1891,QC153015_1901,1.0
QC153006_1891,QC153001_1901,1.0
QC153030_1891,QC153039_1901,1.0
QC153001_1891,QC153017_1901,1.0
QC153011_1891,QC153023_1901,1.0
QC154002_1891,QC154001_1901,1.0
QC154003_1891,QC154002_1901,1.0
QC154006_1891,QC154023_1901,1.0
QC154007_1891,QC154006_1901,1.0
QC154014_1891,QC154011_1901,1.0
QC154004_1891,QC154003_1901,1.0
QC154001_1891,QC154022_1901,1.0
QC154015_1891,QC154012_1901,1.0
QC154016_1891,QC154013_1901,1.0
QC154017_1891,QC154014_1901,1.0
QC154019_1891,QC154016_1901,1.0
QC154020_1891,QC154017_1901,1.0
QC154021_1891,QC154018_1901,1.0
QC154022_1891,QC154019_1901,1.0
QC154023_1891,QC154020_1901,1.0
QC154999_1891,QC154999_1901,1.0
QC154009_1891,QC154007_1901,1.0
QC155016_1891,QC155001_1901,1.0
QC155017_1891,QC155002_1901,1.0
QC156001_1891,QC156001_1901,1.0
QC156002_1891,QC156002_1901,1.0
QC156003_1891,QC156003_1901,1.0
QC156004_1891,QC156004_1901,1.0
QC156005_1891,QC156005_1901,1.0
QC156006_1891,QC156006_1901,1.0
QC156008_1891,QC156008_1901,1.0
QC156010_1891,QC156010_1901,1.0
QC156011_1891,QC156011_1901,1.0
QC156007_1891,QC156007_1901,1.0
QC156009_1891,QC156009_1901,1.0
QC158005_1891,QC157013_1901,1.0
QC158007_1891,QC157015_1901,1.0
QC158011_1891,QC157021_1901,1.0
QC158002_1891,QC157004_1901,1.0
QC158008_1891,QC157016_1901,1.0
QC158004_1891,QC157011_1901,1.0
QC158010_1891,QC157018_1901,1.0
QC158006_1891,QC157014_1901,1.0
QC159005_1891,QC158005_1901,1.0
QC159006_1891,QC158007_1901,1.0
QC159010_1891,QC158011_1901,1.0
QC159011_1891,QC158012_1901,1.0
QC159012_1891,QC158013_1901,1.0
QC159013_1891,QC158014_1901,1.0
QC159001_1891,QC158001_1901,1.0
QC160002_1891,QC159002_1901,1.0
QC160003_1891,QC159003_1901,1.0
QC160004_1891,QC159004_1901,1.0
QC160005_1891,QC159006_1901,1.0
QC160007_1891,QC159008_1901,1.0
QC160009_1891,QC159011_1901,0.984
QC160012_1891,QC159014_1901,1.0
QC160014_1891,QC159016_1901,1.0
QC161001_1891,QC161001_1901,1.0
QC161004_1891,QC161003_1901,1.0
QC161005_1891,QC161004_1901,1.0
QC161006_1891,QC161005_1901,1.0
QC161007_1891,QC161006_1901,1.0
QC161002_1891,QC161002_1901,1.0
QC174002_1891,QC161008_1901,1.0
QC174003_1891,QC161009_1901,1.0
QC174004_1891,QC161010_1901,1.0
QC174005_1891,QC161011_1901,1.0
QC174006_1891,QC161012_1901,1.0
QC174001_1891,QC161007_1901,1.0
QC174007_1891,QC161013_1901,1.0
QC162002_1891,QC162002_1901,1.0
QC162005_1891,QC162006_1901,1.0
QC162006_1891,QC162007_1901,1.0
QC162009_1891,QC162010_1901,1.0
QC162011_1891,QC162012_1901,1.0
QC162003_1891,QC162003_1901,1.0
QC162004_1891,QC162004_1901,1.0
QC155014_1891,QC163004_1901,1.0
QC163001_1891,QC163006_1901,1.0
QC163002_1891,QC163007_1901,1.0
QC163004_1891,QC163012_1901,1.0
QC155008_1891,QC163003_1901,0.9841
QC163005_1891,QC163013_1901,1.0
QC164005_1891,QC164005_1901,1.0
QC164006_1891,QC164006_1901,1.0
QC164007_1891,QC164007_1901,1.0
QC164008_1891,QC164008_1901,1.0
QC164010_1891,QC164010_1901,1.0
QC164011_1891,QC164011_1901,1.0
QC164002_1891,QC164002_1901,1.0
QC164003_1891,QC164003_1901,1.0
QC164001_1891,QC164001_1901,1.0
QC165007_1891,QC165006_1901,1.0
QC165008_1891,QC165007_1901,0.9845
QC166001_1891,QC166003_1901,1.0
QC166002_1891,QC166004_1901,1.0
QC166004_1891,QC166006_1901,1.0
QC166006_1891,QC166008_1901,1.0
QC166008_1891,QC166010_1901,1.0
QC166011_1891,QC166013_1901,1.0
QC166012_1891,QC166014_1901,1.0
QC166015_1891,QC166017_1901,1.0
QC167001_1891,QC168001_1901,1.0
QC167004_1891,QC168004_1901,1.0
QC167005_1891,QC168005_1901,1.0
QC167003_1891,QC168003_1901,1.0
QC167006_1891,QC168006_1901,1.0
QC167007_1891,QC168007_1901,1.0
QC167008_1891,QC168008_1901,1.0
QC167009_1891,QC168009_1901,1.0
QC167011_1891,QC168011_1901,1.0
QC167999_1891,QC168999_1901,1.0
QC168003_1891,QC169004_1901,1.0
QC168007_1891,QC169008_1901,1.0
QC168008_1891,QC169010_1901,1.0
QC168012_1891,QC169013_1901,1.0
QC168013_1891,QC169015_1901,1.0
QC168009_1891,QC169012_1901,1.0
QC169003_1891,QC170003_1901,1.0
QC169011_1891,QC170009_1901,1.0
QC169012_1891,QC170010_1901,1.0
QC169014_1891,QC170014_1901,1.0
QC169015_1891,QC170015_1901,1.0
QC169016_1891,QC170016_1901,1.0
QC169001_1891,QC170001_1901,1.0
QC169005_1891,QC170005_1901,1.0
QC169002_1891,QC170002_1901,1.0
QC169004_1891,QC170004_1901,1.0
QC169007_1891,QC170007_1901,1.0
QC169010_1891,QC170008_1901,1.0
QC169017_1891,QC170017_1901,1.0
QC170001_1891,QC171001_1901,1.0
QC170004_1891,QC171004_1901,1.0
QC170005_1891,QC171005_1901,1.0
QC170006_1891,QC171006_1901,1.0
QC170007_1891,QC171007_1901,1.0
QC170008_1891,QC171008_1901,1.0
QC170009_1891,QC171009_1901,1.0
QC170010_1891,QC171010_1901,1.0
QC170011_1891,QC171011_1901,1.0
QC171002_1891,QC172002_1901,1.0
QC171003_1891,QC172003_1901,1.0
QC171008_1891,QC172008_1901,1.0
QC171009_1891,QC172009_1901,1.0
QC171004_1891,QC172004_1901,1.0
QC172001_1891,QC173001_1901,1.0
QC172002_1891,QC173002_1901,1.0
QC172004_1891,QC173004_1901,1.0
QC172005_1891,QC173005_1901,1.0
QC172006_1891,QC173006_1901,1.0
QC172007_1891,QC173007_1901,1.0
QC172008_1891,QC173008_1901,1.0
QC172009_1891,QC173009_1901,1.0
QC172010_1891,QC173010_1901,1.0
QC172011_1891,QC173011_1901,1.0
QC172013_1891,QC173013_1901,1.0
QC172012_1891,QC173012_1901,1.0
QC175001_1891,QC179002_1901,1.0
QC175002_1891,QC179003_1901,1.0
QC175004_1891,QC179005_1901,1.0
QC175006_1891,QC179007_1901,1.0
QC175008_1891,QC179009_1901,0.9935
QC175010_1891,QC179011_1901,1.0
QC175011_1891,QC179012_1901,1.0
QC175013_1891,QC179014_1901,1.0
QC175015_1891,QC179016_1901,1.0
QC175016_1891,QC179017_1901,1.0
QC175019_1891,QC179020_1901,1.0
QC175005_1891,QC179006_1901,1.0
QC177001_1891,QC180002_1901,1.0
QC177002_1891,QC180003_1901,1.0
QC177003_1891,QC180004_1901,1.0
QC177007_1891,QC180007_1901,1.0
QC177009_1891,QC180009_1901,1.0
QC177014_1891,QC180013_1901,1.0
QC177015_1891,QC180015_1901,1.0
QC177022_1891,QC180023_1901,1.0
QC177024_1891,QC180025_1901,1.0
QC177999_1891,QC180999_1901,0.9957
QC177008_1891,QC180008_1901,1.0
QC177013_1891,QC180012_1901,1.0
QC177019_1891,QC180019_1901,1.0
QC177020_1891,QC180020_1901,1.0
QC178002_1891,QC181002_1901,1.0
QC178004_1891,QC181004_1901,1.0
QC178005_1891,QC181005_1901,1.0
QC178007_1891,QC181007_1901,1.0
QC178006_1891,QC181006_1901,1.0
QC178011_1891,QC181010_1901,1.0
QC178014_1891,QC181013_1901,1.0
QC178015_1891,QC181016_1901,1.0
QC179005_1891,QC182002_1901,1.0
QC179007_1891,QC182003_1901,1.0
QC179008_1891,QC182004_1901,1.0
QC179009_1891,QC182005_1901,1.0
QC179004_1891,QC183001_1901,1.0
QC179011_1891,QC183002_1901,1.0
QC179003_1891,QC184002_1901,1.0
QC179006_1891,QC184003_1901,1.0
QC179010_1891,QC184004_1901,1.0
QC180001_1891,QC185001_1901,1.0
QC180003_1891,QC185003_1901,1.0
QC180009_1891,QC185008_1901,1.0
QC180010_1891,QC185009_1901,1.0
QC180011_1891,QC185010_1901,1.0
QC180012_1891,QC185011_1901,1.0
QC180006_1891,QC185005_1901,1.0
QC181002_1891,QC186001_1901,1.0
QC181004_1891,QC186003_1901,1.0
QC181007_1891,QC186005_1901,1.0
QC181009_1891,QC186007_1901,1.0
QC181010_1891,QC186008_1901,1.0
QC181011_1891,QC186009_1901,1.0
QC181012_1891,QC186010_1901,1.0
QC181008_1891,QC186006_1901,1.0
QC182002_1891,QC187003_1901,1.0
QC182014_1891,QC187024_1901,1.0
QC182015_1891,QC187025_1901,1.0
QC182017_1891,QC187012_1901,1.0
QC182011_1891,QC187010_1901,0.9845
QC182013_1891,QC187029_1901,1.0
QC182022_1891,QC187033_1901,1.0
QC182021_1891,QC187015_1901,1.0
QC182009_1891,QC187007_1901,1.0
QC183007_1891,QC188005_1901,1.0
QC183008_1891,QC188007_1901,1.0
QC183011_1891,QC188009_1901,1.0
QC183013_1891,QC188010_1901,1.0
QC183014_1891,QC188012_1901,1.0
QC183015_1891,QC188013_1901,1.0
QC183016_1891,QC188014_1901,1.0
QC183018_1891,QC188016_1901,1.0
QC183019_1891,QC188018_1901,1.0
QC183021_1891,QC188020_1901,1.0
QC183022_1891,QC188021_1901,1.0
QC183024_1891,QC188025_1901,1.0
QC183025_1891,QC188027_1901,1.0
QC183030_1891,QC188034_1901,1.0
QC183031_1891,QC188035_1901,1.0
QC183032_1891,QC188036_1901,1.0
QC183999_1891,QC188999_1901,0.9893
QC183009_1891,QC188008_1901,1.0
QC183004_1891,QC188002_1901,1.0
QC184002_1891,QC189002_1901,1.0
QC184004_1891,QC189004_1901,1.0
QC184006_1891,QC189006_1901,1.0
QC184007_1891,QC189007_1901,1.0
QC184009_1891,QC189009_1901,1.0
QC184010_1891,QC189010_1901,1.0
QC184011_1891,QC189011_1901,1.0
QC184012_1891,QC189012_1901,1.0
QC184014_1891,QC189014_1901,1.0
QC184003_1891,QC189003_1901,1.0
QC184001_1891,QC189001_1901,1.0
QC184005_1891,QC189005_1901,1.0
QC184008_1891,QC189008_1901,1.0
QC185001_1891,QC190001_1901,1.0
QC185003_1891,QC190004_1901,1.0
QC185004_1891,QC190005_1901,1.0
QC185006_1891,QC190007_1901,1.0
QC185009_1891,QC190011_1901,1.0
QC185007_1891,QC190008_1901,1.0
QC157002_1891,QC191011_1901,1.0
QC157003_1891,QC191013_1901,1.0
QC157005_1891,QC191014_1901,1.0
QC157006_1891,QC191015_1901,1.0
QC186004_1891,QC191006_1901,1.0
QC157008_1891,QC191017_1901,1.0
QC157001_1891,QC191010_1901,1.0
QC186003_1891,QC191004_1901,1.0
QC188010_1891,QC192008_1901,1.0
QC188011_1891,QC192010_1901,0.9878
QC188012_1891,QC192012_1901,1.0
QC188004_1891,QC192004_1901,1.0
QC188013_1891,QC192016_1901,1.0
QC188006_1891,QC192006_1901,1.0
QC189006_1891,QC193006_1901,1.0
QC190005_1891,QC194005_1901,1.0
QC190006_1891,QC194006_1901,0.9994
QC190008_1891,QC194008_1901,1.0
QC190010_1891,QC194010_1901,1.0
QC190011_1891,QC194011_1901,1.0
QC190003_1891,QC194003_1901,1.0
QC190004_1891,QC194004_1901,1.0
QC190009_1891,QC194009_1901,1.0
QC191001_1891,QC195001_1901,1.0
QC191002_1891,QC195002_1901,1.0
QC191007_1891,QC195008_1901,1.0
QC191009_1891,QC195011_1901,0.9932
QC191004_1891,QC195004_1901,1.0
QC191008_1891,QC195009_1901,1.0
QC191003_1891,QC195003_1901,1.0
QC191005_1891,QC195005_1901,1.0
QC191010_1891,QC195012_1901,1.0
QC192002_1891,QC196002_1901,1.0
QC192005_1891,QC196005_1901,1.0
QC192006_1891,QC196006_1901,1.0
QC192007_1891,QC196007_1901,1.0
QC192008_1891,QC196008_1901,1.0
QC192010_1891,QC196009_1901,1.0
QC192011_1891,QC196010_1901,1.0
QC192012_1891,QC196011_1901,1.0
QC192013_1891,QC196012_1901,1.0
QC192015_1891,QC196014_1901,1.0
QC192017_1891,QC196016_1901,1.0
QC192019_1891,QC196018_1901,1.0
QC192020_1891,QC196020_1901,1.0
QC192022_1891,QC196022_1901,1.0
QC192023_1891,QC196023_1901,1.0
QC192024_1891,QC196024_1901,1.0
QC192004_1891,QC196004_1901,1.0
QC192003_1891,QC196003_1901,1.0
QC193002_1891,QC197002_1901,1.0
QC193004_1891,QC197005_1901,0.9936
QC193005_1891,QC197006_1901,1.0
QC193006_1891,QC197007_1901,1.0
QC193007_1891,QC197008_1901,1.0
QC193008_1891,QC197009_1901,1.0
QC193010_1891,QC197011_1901,1.0
QC193013_1891,QC197014_1901,1.0
QC193014_1891,QC197015_1901,1.0
QC193015_1891,QC197016_1901,1.0
QC193016_1891,QC197017_1901,1.0
QC193009_1891,QC197010_1901,1.0
QC193018_1891,QC197019_1901,1.0
QC193001_1891,QC197001_1901,1.0
QC187001_1891,QC198006_1901,1.0
QC187004_1891,QC198009_1901,1.0
QC187005_1891,QC198010_1901,1.0
QC187006_1891,QC198011_1901,1.0
QC194003_1891,QC198004_1901,1.0
QC187011_1891,QC198014_1901,1.0
QC195003_1891,QC199004_1901,1.0
QC195005_1891,QC199006_1901,1.0
QC195006_1891,QC199007_1901,1.0
QC195007_1891,QC199008_1901,1.0
QC195008_1891,QC199009_1901,1.0
QC195004_1891,QC199005_1901,1.0
QC195002_1891,QC199003_1901,1.0
QC195011_1891,QC199012_1901,1.0
QC153015_1891,QC153009_1901,1.0
QC197004_1891,QC201006_1901,1.0
QC197007_1891,QC201009_1901,1.0
QC197002_1891,QC201004_1901,1.0
QC142999_1891,QC142999_1901,1.0
QC159999_1891,QC158999_1901,1.0
QC173999_1891,QC178999_1901,1.0
QC172999_1891,QC173999_1901,1.0
QC150011_1891,QC150013_1901,1.0
QC142008_1891,QC142006_1901,1.0
QC143006_1891,QC143004_1901,1.0
QC149031_1891,QC149046_1901,1.0
QC151007_1891,QC151007_1901,1.0
QC154012_1891,QC154025_1901,1.0
QC154010_1891,QC154010_1901,1.0
QC162001_1891,QC162001_1901,1.0
QC164004_1891,QC164004_1901,1.0
QC167002_1891,QC168002_1901,1.0
QC171006_1891,QC172006_1901,1.0
QC172003_1891,QC173003_1901,1.0
QC175003_1891,QC179004_1901,1.0
QC138007_1891,QC138008_1901,1.0
QC181001_1891,QC186011_1901,1.0
QC183026_1891,QC188029_1901,1.0
QC183005_1891,QC188003_1901,1.0
QC183023_1891,QC188023_1901,0.9906
QC183002_1891,QC188001_1901,1.0
QC189005_1891,QC193001_1901,1.0
QC189003_1891,QC193004_1901,1.0
QC189002_1891,QC193003_1901,1.0
QC189004_1891,QC193005_1901,1.0
QC189001_1891,QC193002_1901,1.0
QC190001_1891,QC194001_1901,1.0
QC192021_1891,QC196021_1901,1.0
QC193017_1891,QC197018_1901,1.0
QC194004_1891,QC198005_1901,1.0
QC194001_1891,QC198002_1901,1.0
QC194002_1891,QC198003_1901,1.0
QC197006_1891,QC201008_1901,0.9951
QC181003_1891,QC186002_1901,1.0
QC180002_1891,QC185002_1901,1.0
QC180999_1891,QC185999_1901,0.9995
QC196008_1891,QC145019_1901,1.0
QC188005_1891,QC192005_1901,1.0
QC187999_1891,QC198999_1901,1.0
QC196007_1891,QC145018_1901,1.0
QC149999_1891,QC149999_1901,0.9941
QC164013_1891,QC164013_1901,1.0
QC160001_1891,QC159001_1901,1.0
QC137009_1891,QC137009_1901,1.0
QC192001_1891,QC196001_1901,1.0
QC192999_1891,QC196999_1901,1.0
MB009020_1901,MB019005_1911,1.0
ON044080_1901,ON054003_1911,1.0
ON044081_1901,ON054006_1911,1.0
ON044082_1901,ON054008_1911,1.0
ON044083_1901,ON054012_1911,1.0
ON044084_1901,ON054013_1911,1.0
ON044085_1901,ON054014_1911,1.0
ON044006_1901,ON054024_1911,1.0
ON044009_1901,ON054036_1911,1.0
ON044011_1901,ON054037_1911,1.0
ON044014_1901,ON054048_1911,1.0
ON044015_1901,ON054050_1911,1.0
ON044092_1901,ON054062_1911,1.0
ON044001_1901,ON055002_1911,1.0
ON044008_1901,ON055005_1911,1.0
ON044012_1901,ON055009_1911,1.0
ON044013_1901,ON055011_1911,1.0
ON044016_1901,ON055016_1911,1.0
ON044018_1901,ON055018_1911,1.0
ON044022_1901,ON055021_1911,1.0
ON044028_1901,ON055024_1911,1.0
ON044017_1901,ON055033_1911,1.0
ON046005_1901,ON056005_1911,1.0
ON047006_1901,ON058001_1911,0.9968
ON049003_1901,ON059003_1911,1.0
ON050001_1901,ON059004_1911,1.0
ON049005_1901,ON059005_1911,1.0
ON050003_1901,ON059006_1911,1.0
ON049007_1901,ON059007_1911,1.0
ON049009_1901,ON059008_1911,1.0
ON050008_1901,ON059009_1911,1.0
ON048001_1901,ON060001_1911,1.0
ON048002_1901,ON060002_1911,1.0
ON048003_1901,ON060003_1911,1.0
ON049006_1901,ON060004_1911,1.0
ON048004_1901,ON060005_1911,1.0
ON050002_1901,ON060006_1911,1.0
ON050005_1901,ON060007_1911,1.0
ON052001_1901,ON061002_1911,1.0
ON052003_1901,ON061005_1911,1.0
ON052004_1901,ON061006_1911,1.0
ON052005_1901,ON061007_1911,0.9846
ON052009_1901,ON061008_1911,1.0
ON052008_1901,ON061014_1911,1.0
ON054003_1901,ON063001_1911,1.0
ON054005_1901,ON063002_1911,1.0
ON054006_1901,ON063003_1911,1.0
ON054007_1901,ON063004_1911,1.0
ON054001_1901,ON063005_1911,1.0
ON054002_1901,ON063006_1911,1.0
ON054004_1901,ON063007_1911,1.0
ON054008_1901,ON063008_1911,1.0
ON056002_1901,ON064001_1911,1.0
ON055001_1901,ON064002_1911,1.0
ON056003_1901,ON064003_1911,1.0
ON056004_1901,ON064004_1911,1.0
ON055002_1901,ON064005_1911,1.0
ON055003_1901,ON064006_1911,1.0
ON057002_1901,ON065001_1911,1.0
ON057003_1901,ON065003_1911,1.0
ON057007_1901,ON065004_1911,1.0
ON058001_1901,ON066001_1911,0.9849
ON058002_1901,ON066002_1911,1.0
ON058007_1901,ON066003_1911,1.0
ON059002_1901,ON067001_1911,1.0
ON059003_1901,ON067002_1911,1.0
ON060002_1901,ON068001_1911,1.0
ON060011_1901,ON068007_1911,1.0
ON060012_1901,ON068008_1911,1.0
ON043002_1901,ON069001_1911,1.0
ON043003_1901,ON069002_1911,1.0
ON061002_1901,ON069008_1911,1.0
ON043008_1901,ON069009_1911,1.0
ON061003_1901,ON069010_1911,1.0
ON043009_1901,ON069011_1911,1.0
ON043011_1901,ON069012_1911,1.0
ON043012_1901,ON069013_1911,1.0
ON061004_1901,ON069015_1911,1.0
ON043014_1901,ON069016_1911,1.0
ON061006_1901,ON069017_1911,1.0
ON061007_1901,ON069018_1911,1.0
ON062002_1901,ON070001_1911,1.0
ON062003_1901,ON070002_1911,1.0
ON062004_1901,ON070003_1911,1.0
ON062006_1901,ON070004_1911,1.0
ON062001_1901,ON070005_1911,1.0
ON062005_1901,ON070006_1911,1.0
ON062007_1901,ON070007_1911,1.0
ON063001_1901,ON071001_1911,1.0
ON063003_1901,ON071002_1911,1.0
ON082005_1901,ON071004_1911,1.0
ON082007_1901,ON071005_1911,1.0
ON066001_1901,ON072001_1911,1.0
ON064001_1901,ON072002_1911,1.0
ON064003_1901,ON072003_1911,1.0
ON065002_1901,ON072004_1911,1.0
ON064006_1901,ON072005_1911,1.0
ON064007_1901,ON072006_1911,1.0
ON065001_1901,ON073001_1911,1.0
ON065003_1901,ON073002_1911,0.9938
ON065005_1901,ON073004_1911,1.0
ON065007_1901,ON073005_1911,1.0
ON066002_1901,ON074001_1911,1.0
ON066005_1901,ON074002_1911,1.0
ON066006_1901,ON074003_1911,1.0
ON066008_1901,ON074004_1911,0.9911
ON065006_1901,ON074005_1911,0.9919
ON067002_1901,ON075001_1911,1.0
ON067006_1901,ON075004_1911,1.0
ON067009_1901,ON075005_1911,1.0
ON067010_1901,ON075006_1911,1.0
ON067011_1901,ON075007_1911,1.0
ON067012_1901,ON075008_1911,1.0
ON067013_1901,ON075009_1911,1.0
ON068003_1901,ON076001_1911,1.0
ON068006_1901,ON076002_1911,1.0
ON068007_1901,ON076003_1911,1.0
ON068009_1901,ON076004_1911,1.0
ON068001_1901,ON076007_1911,1.0
ON068002_1901,ON076008_1911,1.0
ON068004_1901,ON076009_1911,1.0
ON071002_1901,ON079001_1911,1.0
ON071003_1901,ON079003_1911,1.0
ON070002_1901,ON079006_1911,1.0
ON071007_1901,ON079007_1911,1.0
ON071008_1901,ON079008_1911,1.0
ON071012_1901,ON079009_1911,1.0
ON071005_1901,ON080002_1911,0.99
ON071006_1901,ON080004_1911,1.0
ON071014_1901,ON080008_1911,1.0
ON071017_1901,ON080011_1911,1.0
ON073003_1901,ON081001_1911,1.0
ON073004_1901,ON081002_1911,1.0
ON073005_1901,ON081003_1911,1.0
ON074002_1901,ON082001_1911,1.0
ON074005_1901,ON082002_1911,1.0
ON074007_1901,ON082003_1911,1.0
ON074008_1901,ON082005_1911,1.0
ON075001_1901,ON083001_1911,1.0
ON075003_1901,ON083002_1911,1.0
ON075004_1901,ON083003_1911,1.0
ON074004_1901,ON083004_1911,1.0
ON058004_1901,ON084003_1911,1.0
ON058005_1901,ON084004_1911,1.0
ON076004_1901,ON085003_1911,1.0
ON076005_1901,ON085004_1911,1.0
ON076006_1901,ON085005_1911,1.0
ON078003_1901,ON087001_1911,1.0
ON078004_1901,ON087002_1911,1.0
ON078005_1901,ON087003_1911,1.0
ON090003_1901,ON087004_1911,1.0
ON078009_1901,ON087005_1911,1.0
ON078006_1901,ON087010_1911,1.0
ON079002_1901,ON088002_1911,0.9919
ON079003_1901,ON088003_1911,1.0
ON079005_1901,ON088004_1911,1.0
ON080003_1901,ON089002_1911,1.0
ON080006_1901,ON089003_1911,1.0
ON080008_1901,ON089004_1911,1.0
ON080009_1901,ON089005_1911,1.0
ON080010_1901,ON089006_1911,1.0
