from,to,iou
QC051999_1851,QC009999_1861,1.0
QC052004_1851,QC011001_1861,0.989
QC082003_1851,QC058002_1861,1.0
QC082006_1851,QC058003_1861,1.0
QC082002_1851,QC058007_1861,1.0
QC052001_1851,QC011006_1861,1.0
QC053006_1851,QC012007_1861,1.0
QC053008_1851,QC012010_1861,1.0
QC080010_1851,QC056002_1861,1.0
QC080001_1851,QC056003_1861,1.0
QC080004_1851,QC056008_1861,1.0
QC080002_1851,QC056011_1861,1.0
QC054006_1851,QC017004_1861,1.0
QC054011_1851,QC017005_1861,1.0
QC054018_1851,QC017003_1861,1.0
QC054007_1851,QC017008_1861,1.0
QC054019_1851,QC017002_1861,1.0
QC056008_1851,QC019002_1861,1.0
QC056011_1851,QC019017_1861,1.0
QC056002_1851,QC019007_1861,1.0
QC050008_1851,QC025007_1861,0.9971
QC050010_1851,QC025008_1861,0.9998
QC050007_1851,QC025013_1861,1.0
QC050009_1851,QC025014_1861,1.0
QC058001_1851,QC026007_1861,1.0
QC058004_1851,QC026008_1861,1.0
QC067004_1851,QC039012_1861,0.986
QC067019_1851,QC039031_1861,1.0
QC060006_1851,QC023002_1861,1.0
QC061009_1851,QC030002_1861,1.0
QC061004_1851,QC030006_1861,1.0
QC061003_1851,QC030007_1861,0.9832
QC061008_1851,QC030009_1861,1.0
QC073010_1851,QC031001_1861,1.0
QC073008_1851,QC031006_1861,1.0
QC073009_1851,QC031007_1861,1.0
QC073011_1851,QC031008_1861,1.0
QC062002_1851,QC032004_1861,1.0
QC062001_1851,QC032006_1861,1.0
QC062003_1851,QC032007_1861,1.0
QC062008_1851,QC032010_1861,1.0
QC063005_1851,QC033001_1861,1.0
QC063002_1851,QC033006_1861,1.0
QC063003_1851,QC033005_1861,1.0
QC063006_1851,QC033008_1861,1.0
QC063004_1851,QC033004_1861,1.0
QC064001_1851,QC036002_1861,1.0
QC064002_1851,QC036001_1861,1.0
QC064003_1851,QC036003_1861,1.0
QC064008_1851,QC036005_1861,1.0
QC064006_1851,QC036006_1861,1.0
QC064009_1851,QC036007_1861,1.0
QC064011_1851,QC036008_1861,1.0
QC064005_1851,QC036009_1861,1.0
QC064010_1851,QC036010_1861,1.0
QC064007_1851,QC036011_1861,1.0
QC066004_1851,QC038001_1861,1.0
QC066009_1851,QC038005_1861,1.0
QC066005_1851,QC038007_1861,1.0
QC066001_1851,QC038008_1861,1.0
QC066007_1851,QC038009_1861,1.0
QC067016_1851,QC040011_1861,1.0
QC067002_1851,QC040003_1861,1.0
QC067003_1851,QC040004_1861,1.0
