place_id,canonical_name,province,anchor_cd_id,anchor_year,years_active,num_years
CD_BC_Yale_&_Cariboo,Yale & Cariboo,BC,CD_BC_Yale_&_Cariboo,1911,1901;1911,2
CD_BC_Yale_1921,Yale,BC,CD_BC_Yale,1921,1921,1
CD_MB_Brandon,Brandon,MB,CD_MB_Brandon,1911,1901;1911,2
CD_MB_Dauphin,Dauphin,MB,CD_MB_Dauphin,1911,1911,1
CD_MB_Division_No._1,Division No. 1,MB,CD_MB_Division_No._1,1921,1921,1
CD_MB_Division_No._10,Division No. 10,MB,CD_MB_Division_No._10,1921,1921,1
CD_MB_Division_No._11,Division No. 11,MB,CD_MB_Division_No._11,1921,1921,1
CD_MB_Division_No._12,Division No. 12,MB,CD_MB_Division_No._12,1921,1921,1
CD_MB_Division_No._13,Division No. 13,MB,CD_MB_Division_No._13,1921,1921,1
CD_MB_Division_No._14,Division No. 14,MB,CD_MB_Division_No._14,1921,1921,1
CD_MB_Division_No._15,Division No. 15,MB,CD_MB_Division_No._15,1921,1921,1
CD_MB_Division_No._16,Division No. 16,MB,CD_MB_Division_No._16,1921,1921,1
CD_MB_Division_No._2,Division No. 2,MB,CD_MB_Division_No._2,1921,1921,1
CD_MB_Division_No._3,Division No. 3,MB,CD_MB_Division_No._3,1921,1921,1
CD_MB_Division_No._4,Division No. 4,MB,CD_MB_Division_No._4,1921,1921,1
CD_MB_Division_No._5,Division No. 5,MB,CD_MB_Division_No._5,1921,1921,1
CD_MB_Division_No._6,Division No. 6,MB,CD_MB_Division_No._6,1921,1921,1
CD_MB_Division_No._7,Division No. 7,MB,CD_MB_Division_No._7,1921,1921,1
CD_MB_Division_No._8,Division No. 8,MB,CD_MB_Division_No._8,1921,1921,1
CD_MB_Division_No._9,Division No. 9,MB,CD_MB_Division_No._9,1921,1921,1
CD_MB_Extension,Extension,MB,CD_MB_Extension,1881,1881,1
CD_MB_Lisgar,Lisgar,MB,CD_MB_Lisgar,1911,1881;1891;1901;1911,4
CD_MB_Macdonald,Macdonald,MB,CD_MB_Macdonald,1911,1901;1911,2
CD_MB_Manitoba,Manitoba,MB,CD_MB_Manitoba,1871,1871,1
CD_MB_Marquette,Marquette,MB,CD_MB_Marquette,1911,1881;1891;1901;1911,4
CD_MB_Portage_La_Prairie,Portage La Prairie,MB,CD_MB_Portage_La_Prairie,1911,1911,1
CD_MB_Provencher,Provencher,MB,CD_MB_Provencher,1911,1881;1891;1901;1911,4
CD_MB_Selkirk,Selkirk,MB,CD_MB_Selkirk,1911,1881;1891;1901;1911,4
CD_MB_Souris,Souris,MB,CD_MB_Souris,1911,1911,1
CD_MB_Winnipeg_City,Winnipeg City,MB,CD_MB_Winnipeg_City,1911,1891;1901;1911,3
CD_NB_Albert,Albert,NB,CD_NB_Albert,1901,1871;1881;1891;1901,4
CD_NB_Albert_1921,Albert,NB,CD_NB_Albert,1921,1921,1
CD_NB_Carleton,Carleton,NB,CD_NB_Carleton,1921,1871;1881;1891;1901;1911;1921,6
CD_NB_Charlotte,Charlotte,NB,CD_NB_Charlotte,1921,1871;1881;1891;1901;1911;1921,6
CD_NB_Gloucester,Gloucester,NB,CD_NB_Gloucester,1921,1871;1881;1891;1901;1911;1921,6
CD_NB_Kent,Kent,NB,CD_NB_Kent,1921,1871;1881;1891;1901;1911;1921,6
CD_NB_King's,King's,NB,CD_NB_Kings,1901,1871;1881;1891;1901,4
CD_NB_Kings,Kings,NB,CD_NB_Kings,1921,1921,1
CD_NB_Kings_&_Albert,Kings & Albert,NB,CD_NB_Kings_&_Albert,1911,1911,1
CD_NB_Madawaska,Madawaska,NB,CD_NB_Madawaska,1921,1921,1
CD_NB_New_Brunswick,New Brunswick,NB,CD_NB_New_Brunswick,1861,1851;1861,2
CD_NB_Northumberland,Northumberland,NB,CD_NB_Northumberland,1921,1871;1881;1891;1901;1911;1921,6
CD_NB_Queen's,Queen's,NB,CD_NB_Queen's,1891,1871;1881;1891,3
CD_NB_Queens,Queens,NB,CD_NB_Queens,1921,1921,1
CD_NB_Restigouche,Restigouche,NB,CD_NB_Restigouche,1921,1871;1881;1891;1901;1911;1921,6
CD_NB_St._John,St. John,NB,CD_NB_St._John,1921,1871;1881;1891;1901;1911;1921,6
CD_NB_St._John_City,St. John City,NB,"CD_NB_St._John,_(City-Ville)",1881,1881,1
CD_NB_Sunbury,Sunbury,NB,CD_NB_Sunbury,1891,1871;1881;1891,3
CD_NB_Sunbury_&_Queens,Sunbury & Queens,NB,CD_NB_Sunbury_&_Queens,1911,1901;1911,2
CD_NB_Sunbury_1921,Sunbury,NB,CD_NB_Sunbury,1921,1921,1
CD_NB_Victoria,Victoria,NB,CD_NB_Victoria_&_Madawaska,1911,1871;1881;1891;1901;1911,5
CD_NB_Victoria_1921,Victoria,NB,CD_NB_Victoria,1921,1921,1
CD_NB_Westmorland,Westmorland,NB,CD_NB_Westmorland,1921,1871;1881;1891;1901;1911;1921,6
CD_NB_York,York,NB,CD_NB_York,1921,1871;1881;1891;1901;1911;1921,6
CD_NL_Labrador,Labrador,NL,CD_NL_Labrador,1921,1891;1901;1911;1921,4
CD_NL_Newfoundland,Newfoundland,NL,CD_NL_Newfoundland,1921,1851;1861;1871;1881;1891;1901;1911;1921,8
CD_NS_Annapolis,Annapolis,NS,CD_NS_Annapolis,1921,1871;1881;1891;1901;1911;1921,6
CD_NS_Antigonish,Antigonish,NS,CD_NS_Antigonish,1921,1871;1881;1891;1901;1911;1921,6
CD_NS_Cape_Breton,Cape Breton,NS,CD_NS_Cape_Breton,1901,1871;1881;1891;1901;1921,5
CD_NS_Cape_Breton_N._&_Victoria,Cape Breton N. & Victoria,NS,CD_NS_Cape_Breton_N._&_Victoria,1911,1911,1
CD_NS_Cape_Breton_South,Cape Breton South,NS,CD_NS_Cape_Breton_S.,1911,1911,1
CD_NS_Colchester,Colchester,NS,CD_NS_Colchester,1921,1871;1881;1891;1901;1911;1921,6
CD_NS_Cumberland,Cumberland,NS,CD_NS_Cumberland,1921,1871;1881;1891;1901;1911;1921,6
CD_NS_Digby,Digby,NS,CD_NS_Digby,1921,1871;1881;1891;1901;1911;1921,6
CD_NS_Guysborough,Guysborough,NS,CD_NS_Guysborough,1921,1871;1881;1891;1901;1911;1921,6
CD_NS_Halifax_City,Halifax City,NS,CD_NS_Halifax,1921,1881;1891;1901;1911;1921,5
CD_NS_Halifax_East,Halifax East,NS,"CD_NS_Halifax,_East",1871,1871,1
CD_NS_Halifax_West,Halifax West,NS,"CD_NS_Halifax,_West",1871,1871,1
CD_NS_Hants,Hants,NS,CD_NS_Hants,1921,1871;1881;1891;1901;1911;1921,6
CD_NS_Inverness,Inverness,NS,CD_NS_Inverness,1921,1871;1881;1891;1901;1911;1921,6
CD_NS_Kings,Kings,NS,CD_NS_Kings,1921,1871;1881;1891;1901;1911;1921,6
CD_NS_Lunenburg,Lunenburg,NS,CD_NS_Lunenburg,1921,1871;1881;1891;1901;1911;1921,6
CD_NS_Nova_Scotia,Nova Scotia,NS,CD_NS_Nova_Scotia,1861,1851;1861,2
CD_NS_Pictou,Pictou,NS,CD_NS_Pictou,1921,1871;1881;1891;1901;1911;1921,6
CD_NS_Queens,Queens,NS,CD_NS_Queen's,1891,1871;1881;1891,3
CD_NS_Queens_1921,Queens,NS,CD_NS_Queens,1921,1921,1
CD_NS_Richmond,Richmond,NS,CD_NS_Richmond,1921,1871;1881;1891;1901;1911;1921,6
CD_NS_Shelburne,Shelburne,NS,CD_NS_Shelburne,1891,1871;1881;1891,3
CD_NS_Shelburne_&_Queens,Shelburne & Queens,NS,CD_NS_Shelburne_&_Queens,1911,1901;1911,2
CD_NS_Shelburne_1921,Shelburne,NS,CD_NS_Shelburne,1921,1921,1
CD_NS_Victoria,Victoria,NS,CD_NS_Victoria,1901,1871;1881;1891;1901,4
CD_NS_Victoria_1921,Victoria,NS,CD_NS_Victoria,1921,1921,1
CD_NS_Yarmouth,Yarmouth,NS,CD_NS_Yarmouth,1921,1871;1881;1891;1901;1911;1921,6
CD_NT_Alberta,Alberta,NT,CD_NT_Alberta,1901,1891;1901,2
CD_NT_Assiniboia_East,Assiniboia East,NT,"CD_NT_Assiniboia,_East—Est",1901,1891;1901,2
CD_NT_Assiniboia_West,Assiniboia West,NT,"CD_NT_Assiniboia,_West—Ouest",1901,1891;1901,2
CD_NT_Northwest_Territories,Northwest Territories,NT,CD_NT_Northwest_Territories,1921,1911;1921,2
CD_NT_Saskatchewan,Saskatchewan,NT,CD_NT_Saskatchewan,1901,1891;1901,2
CD_NT_The_Territories,The Territories,NT,CD_NT_The_Territories,1881,1851;1861;1871;1881,4
CD_NT_The_Unorganized_Territories,The Unorganized Territories,NT,CD_NT_The_Unorganized_Territories,1891,1891,1
CD_NT_Unorganized_Territories,Unorganized Territories,NT,CD_NT_Unorganized_Territories,1901,1901,1
CD_NT_Unorganized_Territories—Territoires_non-organisés,Unorganized Territories—Territoires non-organisés,NT,CD_NT_Unorganized_Territories—Territoires_non-organisés,1901,1901,1
CD_ON_Addington,Addington,ON,CD_ON_Addington,1851,1851,1
CD_ON_Addington_1871,Addington,ON,CD_ON_Addington,1901,1871;1881;1891;1901,4
CD_ON_Addington_1921,Addington,ON,CD_ON_Addington,1921,1921,1
CD_ON_Algoma,Algoma,ON,CD_ON_Algoma,1861,1861;1881;1891;1901;1921,5
CD_ON_Algoma_Centre,Algoma Centre,ON,"CD_ON_Algoma,_Centre",1871,1871,1
CD_ON_Algoma_East,Algoma East,ON,"CD_ON_Algoma,_East—Est",1871,1871,1
CD_ON_Algoma_East_1911,Algoma East,ON,CD_ON_Algoma_E,1911,1911,1
CD_ON_Algoma_West,Algoma West,ON,"CD_ON_Algoma,_West—Ouest",1871,1871,1
CD_ON_Algoma_West_1911,Algoma West,ON,CD_ON_Algoma_W-O,1911,1911,1
CD_ON_Bothwell,Bothwell,ON,CD_ON_Bothwell,1901,1871;1881;1891;1901,4
CD_ON_Brant,Brant,ON,CD_ON_Brant,1861,1851;1861,2
"CD_ON_Brant,_North_or_East—Nord_ou_East","Brant, North or East—Nord ou East",ON,"CD_ON_Brant,_North_or_East—Nord_ou_Est",1871,1871,1
"CD_ON_Brant,_South_or_West—Sud_ou_West","Brant, South or West—Sud ou West",ON,"CD_ON_Brant,_South_or_West—Sud_ou_Ouest",1871,1871,1
CD_ON_Brant_1911,Brant,ON,CD_ON_Brant,1921,1911;1921,2
CD_ON_Brant_North,Brant North,ON,"CD_ON_Brant,_North—Nord",1891,1881;1891,2
CD_ON_Brant_South,Brant South,ON,"CD_ON_Brant,_South—Sud",1901,1881;1891;1901,3
CD_ON_Brantford,Brantford,ON,CD_ON_Brantford,1911,1911,1
CD_ON_Brockville,Brockville,ON,CD_ON_Brockville,1911,1871;1881;1891;1901;1911,5
CD_ON_Bruce,Bruce,ON,CD_ON_Bruce,1861,1851;1861,2
CD_ON_Bruce_1921,Bruce,ON,CD_ON_Bruce,1921,1921,1
CD_ON_Bruce_East,Bruce East,ON,"CD_ON_Bruce,_East—Est",1901,1891;1901,2
CD_ON_Bruce_North,Bruce North,ON,CD_ON_Bruce_N,1911,1871;1881;1891;1901;1911,5
CD_ON_Bruce_South,Bruce South,ON,"CD_ON_Bruce,_South—Sud",1881,1871;1881,2
CD_ON_Bruce_South_1911,Bruce South,ON,CD_ON_Bruce_S,1911,1911,1
CD_ON_Bruce_West,Bruce West,ON,"CD_ON_Bruce,_West—Ouest",1901,1891;1901,2
CD_ON_Bytown,Bytown,ON,CD_ON_Bytown,1851,1851,1
CD_ON_Cardwell,Cardwell,ON,CD_ON_Cardwell,1901,1871;1881;1891;1901,4
CD_ON_Carleton,Carleton,ON,CD_ON_Carleton,1921,1851;1861;1871;1881;1891;1901;1911;1921,8
CD_ON_Cornwall,Cornwall,ON,CD_ON_Cornwall,1881,1871;1881,2
CD_ON_Dufferin,Dufferin,ON,CD_ON_Dufferin,1921,1911;1921,2
CD_ON_Dundas,Dundas,ON,CD_ON_Dundas,1921,1851;1861;1871;1881;1891;1901;1911;1921,8
CD_ON_Durham,Durham,ON,CD_ON_Durham,1861,1851;1861;1911;1921,4
CD_ON_Durham_East,Durham East,ON,"CD_ON_Durham,_East—Est",1901,1871;1881;1891;1901,4
CD_ON_Durham_West,Durham West,ON,"CD_ON_Durham,_West—Ouest",1901,1871;1881;1891;1901,4
CD_ON_Elgin,Elgin,ON,CD_ON_Elgin,1861,1851;1861;1921,3
CD_ON_Elgin_East,Elgin East,ON,CD_ON_Elgin_E,1911,1871;1881;1891;1901;1911,5
CD_ON_Elgin_West,Elgin West,ON,CD_ON_Elgin_W-O,1911,1871;1881;1891;1901;1911,5
CD_ON_Essex,Essex,ON,CD_ON_Essex,1881,1851;1861;1871;1881;1921,5
CD_ON_Essex_North,Essex North,ON,CD_ON_Essex_N,1911,1891;1901;1911,3
CD_ON_Essex_South,Essex South,ON,CD_ON_Essex_S,1911,1891;1901;1911,3
CD_ON_Frontenac,Frontenac,ON,CD_ON_Frontenac,1921,1851;1861;1871;1881;1891;1901;1911;1921,8
CD_ON_Glengarry,Glengarry,ON,CD_ON_Glengarry,1921,1851;1861;1871;1881;1891;1901;1911;1921,8
CD_ON_Grenville,Grenville,ON,CD_ON_Grenville,1861,1851;1861;1911;1921,4
CD_ON_Grenville_South,Grenville South,ON,"CD_ON_Grenville,_South—Sud",1901,1871;1881;1891;1901,4
CD_ON_Grey,Grey,ON,CD_ON_Grey,1861,1851;1861;1921,3
CD_ON_Grey_East,Grey East,ON,CD_ON_Grey_E,1911,1881;1891;1901;1911,4
CD_ON_Grey_North,Grey North,ON,CD_ON_Grey_N,1911,1871;1881;1891;1901;1911,5
CD_ON_Grey_South,Grey South,ON,CD_ON_Grey_S,1911,1871;1881;1891;1901;1911,5
CD_ON_Haldimand,Haldimand,ON,CD_ON_Haldimand,1891,1851;1861;1871;1881;1891,5
CD_ON_Haldimand_&_Monok,Haldimand & Monok,ON,CD_ON_Haldimand_&_Monok,1901,1901,1
CD_ON_Haldimand_1911,Haldimand,ON,CD_ON_Haldimand,1921,1911;1921,2
CD_ON_Haliburton,Haliburton,ON,CD_ON_Haliburton,1921,1921,1
CD_ON_Halton,Halton,ON,CD_ON_Halton,1921,1851;1861;1871;1881;1891;1901;1911;1921,8
CD_ON_Hamilton,Hamilton,ON,CD_ON_Hamilton,1871,1851;1861;1871,3
CD_ON_Hamilton_City,Hamilton City,ON,"CD_ON_Hamilton,_City—Cité",1901,1881;1891;1901,3
CD_ON_Hamilton_East,Hamilton East,ON,CD_ON_Hamilton_E,1911,1911,1
CD_ON_Hamilton_West,Hamilton West,ON,CD_ON_Hamilton_W-O,1911,1911,1
CD_ON_Hastings,Hastings,ON,CD_ON_Hastings,1861,1851;1861,2
CD_ON_Hastings_1921,Hastings,ON,CD_ON_Hastings,1921,1921,1
CD_ON_Hastings_East,Hastings East,ON,CD_ON_Hastings_E,1911,1871;1881;1891;1901;1911,5
CD_ON_Hastings_North,Hastings North,ON,"CD_ON_Hastings,_North—Nord",1901,1871;1881;1891;1901,4
CD_ON_Hastings_West,Hastings West,ON,CD_ON_Hastings_W-O,1911,1871;1881;1891;1901;1911,5
CD_ON_Huron,Huron,ON,CD_ON_Huron,1861,1851;1861,2
CD_ON_Huron_1921,Huron,ON,CD_ON_Huron,1921,1921,1
CD_ON_Huron_Centre,Huron Centre,ON,"CD_ON_Huron,_Centre",1881,1881,1
CD_ON_Huron_East,Huron East,ON,CD_ON_Huron_E,1911,1891;1901;1911,3
CD_ON_Huron_North,Huron North,ON,"CD_ON_Huron,_North—Nord",1881,1871;1881,2
CD_ON_Huron_South,Huron South,ON,CD_ON_Huron_S,1911,1871;1881;1891;1901;1911,5
CD_ON_Huron_West,Huron West,ON,CD_ON_Huron_W-O,1911,1891;1901;1911,3
CD_ON_Kenora,Kenora,ON,CD_ON_Kenora,1921,1921,1
CD_ON_Kent,Kent,ON,CD_ON_Kent,1861,1851;1861;1921,3
CD_ON_Kent_1871,Kent,ON,CD_ON_Kent_W-O,1911,1871;1881;1891;1901;1911,5
CD_ON_Kent_East,Kent East,ON,CD_ON_Kent_E,1911,1911,1
CD_ON_Kingston,Kingston,ON,CD_ON_Kingston,1871,1861;1871;1911,3
CD_ON_Kingston_City,Kingston City,ON,"CD_ON_Kingston,_City",1851,1851,1
CD_ON_Kingston_City_1881,Kingston City,ON,"CD_ON_Kingston,_City—Cité",1901,1881;1891;1901,3
CD_ON_Kingston_City_1881_1901,Kingston City,ON,"CD_ON_Kingston,_City—Cite",1901,1881;1891;1901,3
CD_ON_Lambton,Lambton,ON,CD_ON_Lambton,1881,1851;1861;1871;1881;1921,5
CD_ON_Lambton_East,Lambton East,ON,CD_ON_Lambton_East,1911,1891;1901;1911,3
CD_ON_Lambton_West,Lambton West,ON,CD_ON_Lambton_W-O,1911,1891;1901;1911,3
CD_ON_Lanark,Lanark,ON,CD_ON_Lanark,1861,1851;1861;1921,3
CD_ON_Lanark_North,Lanark North,ON,CD_ON_Lanark_N,1911,1871;1881;1891;1901;1911,5
CD_ON_Lanark_South,Lanark South,ON,CD_ON_Lanark_S,1911,1871;1881;1891;1901;1911,5
CD_ON_Leeds,Leeds,ON,CD_ON_Leeds,1861,1851;1861,2
CD_ON_Leeds_&_Grenville_North,Leeds & Grenville North,ON,"CD_ON_Leeds_&_Grenville,_North—Nord",1901,1871;1881;1891;1901,4
CD_ON_Leeds_1911,Leeds,ON,CD_ON_Leeds,1921,1911;1921,2
CD_ON_Leeds_South,Leeds South,ON,"CD_ON_Leeds,_South—Sud",1901,1871;1881;1891;1901,4
CD_ON_Lennox,Lennox,ON,CD_ON_Lennox,1851,1851,1
CD_ON_Lennox_&_Addington,Lennox & Addington,ON,CD_ON_Lennox_&_Addington,1911,1911,1
CD_ON_Lennox_1871,Lennox,ON,CD_ON_Lennox,1901,1871;1881;1891;1901,4
CD_ON_Lennox_1921,Lennox,ON,CD_ON_Lennox,1921,1921,1
CD_ON_Lennox_and_Addington,Lennox and Addington,ON,CD_ON_Lennox_and_Addington,1861,1861,1
CD_ON_Lincoln,Lincoln,ON,CD_ON_Lincoln,1881,1851;1861;1871;1881;1911;1921,6
CD_ON_Lincoln_&_Niagara,Lincoln & Niagara,ON,CD_ON_Lincoln_&_Niagara,1901,1891;1901,2
CD_ON_London,London,ON,CD_ON_London,1911,1911,1
CD_ON_London_City,London City,ON,"CD_ON_London,_City—Cité",1901,1851;1861;1871;1881;1891;1901,6
CD_ON_Manitoulin,Manitoulin,ON,CD_ON_Manitoulin,1871,1871,1
CD_ON_Manitoulin_1921,Manitoulin,ON,CD_ON_Manitoulin,1921,1921,1
CD_ON_Middlesex,Middlesex,ON,CD_ON_Middlesex,1861,1851;1861;1921,3
CD_ON_Middlesex_East,Middlesex East,ON,CD_ON_Middlesex_E,1911,1871;1881;1891;1901;1911,5
CD_ON_Middlesex_North,Middlesex North,ON,CD_ON_Middlesex_N,1911,1871;1881;1891;1901;1911,5
CD_ON_Middlesex_South,Middlesex South,ON,"CD_ON_Middlesex,_South—Sud",1901,1891;1901,2
CD_ON_Middlesex_West,Middlesex West,ON,CD_ON_Middlesex_W-O,1911,1871;1881;1891;1901;1911,5
CD_ON_Monck,Monck,ON,CD_ON_Monck,1891,1871;1881;1891,3
CD_ON_Muskoka,Muskoka,ON,CD_ON_Muskoka,1881,1871;1881,2
CD_ON_Muskoka_&_Parry_Sound,Muskoka & Parry Sound,ON,CD_ON_Muskoka_&_Parry_Sound,1901,1891;1901,2
CD_ON_Muskoka_1911,Muskoka,ON,CD_ON_Muskoka,1921,1911;1921,2
CD_ON_Niagara,Niagara,ON,CD_ON_Niagara,1881,1871;1881,2
CD_ON_Nipissing,Nipissing,ON,CD_ON_Nipissing,1861,1861,1
CD_ON_Nipissing_1891,Nipissing,ON,CD_ON_Nipissing,1921,1891;1901;1911;1921,4
CD_ON_Nipissing_North,Nipissing North,ON,"CD_ON_Nipissing,_North—Nord",1871,1871,1
CD_ON_Nipissing_South,Nipissing South,ON,"CD_ON_Nipissing,_South—Sud",1871,1871,1
CD_ON_Norfolk,Norfolk,ON,CD_ON_Norfolk,1861,1851;1861;1911;1921,4
CD_ON_Norfolk_North,Norfolk North,ON,"CD_ON_Norfolk,_North—Nord",1901,1871;1881;1891;1901,4
CD_ON_Norfolk_South,Norfolk South,ON,"CD_ON_Norfolk,_South—Sud",1901,1871;1881;1891;1901,4
CD_ON_Northumberland,Northumberland,ON,CD_ON_Northumberland,1861,1851;1861;1921,3
CD_ON_Northumberland_East,Northumberland East,ON,CD_ON_Northumber_Land_E,1911,1871;1881;1891;1901;1911,5
CD_ON_Northumberland_West,Northumberland West,ON,CD_ON_Northumber_Land_W-O,1911,1871;1881;1891;1901;1911,5
CD_ON_Ontario,Ontario,ON,CD_ON_Ontario,1861,1851;1861;1921,3
CD_ON_Ontario_North,Ontario North,ON,CD_ON_Ontario_N,1911,1871;1881;1891;1901;1911,5
CD_ON_Ontario_South,Ontario South,ON,CD_ON_Ontario_S,1911,1871;1881;1891;1901;1911,5
CD_ON_Ontario_West,Ontario West,ON,"CD_ON_Ontario,_West—Ouest",1901,1891;1901,2
CD_ON_Ottawa,Ottawa,ON,CD_ON_Ottawa,1861,1861,1
CD_ON_Ottawa_City,Ottawa City,ON,CD_ON_Ottawa_City-Cité_Pt,1911,1871;1881;1891;1901;1911,5
CD_ON_Oxford,Oxford,ON,CD_ON_Oxford,1861,1851;1861;1921,3
CD_ON_Oxford_North,Oxford North,ON,CD_ON_Oxford_N,1911,1871;1881;1891;1901;1911,5
CD_ON_Oxford_South,Oxford South,ON,CD_ON_Oxford_S,1911,1871;1881;1891;1901;1911,5
CD_ON_Parry_Sound,Parry Sound,ON,CD_ON_Parry_Sound,1871,1871,1
CD_ON_Parry_Sound_1911,Parry Sound,ON,CD_ON_Parry_Sound,1921,1911;1921,2
CD_ON_Peel,Peel,ON,CD_ON_Peel,1921,1851;1861;1871;1881;1891;1901;1911;1921,8
CD_ON_Perth,Perth,ON,CD_ON_Perth,1861,1851;1861;1921,3
CD_ON_Perth_North,Perth North,ON,CD_ON_Perth_N,1911,1871;1881;1891;1901;1911,5
CD_ON_Perth_South,Perth South,ON,CD_ON_Perth_S,1911,1871;1881;1891;1901;1911,5
CD_ON_Peterboro,Peterboro,ON,CD_ON_Peterboro,1851,1851,1
CD_ON_Peterborough,Peterborough,ON,CD_ON_Peterborough,1861,1861;1921,2
CD_ON_Peterborough_East,Peterborough East,ON,CD_ON_Peterborough_E,1911,1871;1881;1891;1901;1911,5
CD_ON_Peterborough_West,Peterborough West,ON,CD_ON_Peterborough_W-O,1911,1871;1881;1891;1901;1911,5
CD_ON_Prescott,Prescott,ON,CD_ON_Prescott,1921,1851;1861;1871;1881;1891;1901;1911;1921,8
CD_ON_Prince_Edward,Prince Edward,ON,CD_ON_Prince_Edward,1921,1851;1861;1871;1881;1891;1901;1911;1921,8
CD_ON_Rainy_River,Rainy River,ON,CD_ON_Rainy_River,1921,1921,1
CD_ON_Renfrew,Renfrew,ON,CD_ON_Renfrew,1861,1851;1861;1921,3
CD_ON_Renfrew_North,Renfrew North,ON,CD_ON_Renfrew_N,1911,1871;1881;1891;1901;1911,5
CD_ON_Renfrew_South,Renfrew South,ON,CD_ON_Renfrew_S,1911,1871;1881;1891;1901;1911,5
CD_ON_Russell,Russell,ON,CD_ON_Russell,1921,1851;1861;1871;1881;1891;1901;1911;1921,8
CD_ON_Simcoe,Simcoe,ON,CD_ON_Simcoe,1861,1851;1861;1921,3
CD_ON_Simcoe_East,Simcoe East,ON,CD_ON_Simcoe_E,1911,1891;1901;1911,3
