uid_from,year_from,name_from,canon_from,uid_to,year_to,name_to,canon_to,rel,iou,frac_from,frac_to,source,accept_rule,chain_place_id
CD_ON_Glengary,1851,Glengary,Glengary,CD_ON_Glengary_,1861,Glengary ,Glengary,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_ON_Glengarry
CD_ON_Grenville,1851,Grenville,Grenville,CD_ON_Grenville_,1861,Grenville ,Grenville,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_ON_Grenville
CD_ON_Grey,1851,Grey,Grey,CD_ON_Grey,1861,Grey,Grey,CONTAINS,0.768,0.768,1.0,high_confidence,3,CD_ON_Grey
CD_ON_Haldimand,1851,Haldimand,Haldimand,CD_ON_Haldimand,1861,Haldimand,Haldimand,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_ON_Haldimand
CD_ON_Halton,1851,Halton,Halton,CD_ON_Halton,1861,Halton,Halton,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_ON_Halton
CD_ON_Hamilton,1851,Hamilton,Hamilton,CD_ON_Hamilton,1861,Hamilton,Hamilton,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_ON_Hamilton
CD_ON_Hastings,1851,Hastings,Hastings,CD_ON_Hastings,1861,Hastings,Hastings,WITHIN,0.5798,1.0,0.5798,high_confidence,3,CD_ON_Hastings
CD_ON_Huron,1851,Huron,Huron,CD_ON_Huron,1861,Huron,Huron,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_ON_Huron
CD_ON_Kent,1851,Kent,Kent,CD_ON_Kent,1861,Kent,Kent,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_ON_Kent
CD_ON_Lambton,1851,Lambton,Lambton,CD_ON_Lambton,1861,Lambton,Lambton,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_ON_Lambton
CD_ON_Lanark,1851,Lanark,Lanark,CD_ON_Lanark,1861,Lanark,Lanark,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_ON_Lanark
CD_ON_Leeds,1851,Leeds,Leeds,CD_ON_Leeds,1861,Leeds,Leeds,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_ON_Leeds
CD_ON_Lincoln,1851,Lincoln,Lincoln,CD_ON_Lincoln,1861,Lincoln,Lincoln,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_ON_Lincoln
CD_ON_London,1851,London,London,CD_ON_London,1861,London,London,WITHIN,0.6385,1.0,0.6385,high_confidence,3,CD_ON_London_City
CD_ON_Middlesex,1851,Middlesex,Middlesex,CD_ON_Middlesex,1861,Middlesex,Middlesex,SAME_AS,0.9989,0.9989,1.0,high_confidence,1,CD_ON_Middlesex
CD_ON_Norfolk,1851,Norfolk,Norfolk,CD_ON_Norfolk,1861,Norfolk,Norfolk,SAME_AS,0.9985,0.9985,1.0,high_confidence,1,CD_ON_Norfolk
CD_ON_Northumberland,1851,Northumberland,Northumberland,CD_ON_Northumberland,1861,Northumberland,Northumberland,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_ON_Northumberland
CD_ON_Ontario,1851,Ontario,Ontario,CD_ON_Ontario,1861,Ontario,Ontario,CONTAINS,0.879,0.879,1.0,high_confidence,3,CD_ON_Ontario
CD_ON_Oxford,1851,Oxford,Oxford,CD_ON_Oxford,1861,Oxford,Oxford,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_ON_Oxford
CD_ON_Peel,1851,Peel,Peel,CD_ON_Peel,1861,Peel,Peel,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_ON_Peel
CD_ON_Perth,1851,Perth,Perth,CD_ON_Perth,1861,Perth,Perth,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_ON_Perth
CD_ON_Prescott,1851,Prescott,Prescott,CD_ON_Prescott,1861,Prescott,Prescott,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_ON_Prescott
CD_ON_Prince_Edward,1851,Prince Edward,Prince Edward,CD_ON_Prince_Edward,1861,Prince Edward,Prince Edward,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_ON_Prince_Edward
CD_ON_Renfrew,1851,Renfrew,Renfrew,CD_ON_Renfrew,1861,Renfrew,Renfrew,WITHIN,0.4547,0.9989,0.4549,high_confidence,3,CD_ON_Renfrew
CD_ON_Russell,1851,Russell,Russell,CD_ON_Russell,1861,Russell,Russell,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_ON_Russell
CD_ON_Simcoe,1851,Simcoe,Simcoe,CD_ON_Simcoe,1861,Simcoe,Simcoe,WITHIN,0.6725,1.0,0.6725,high_confidence,3,CD_ON_Simcoe
CD_ON_Stormont,1851,Stormont,Stormont,CD_ON_Stormont,1861,Stormont,Stormont,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_ON_Stormont
CD_ON_Victoria,1851,Victoria,Victoria,CD_ON_Victoria,1861,Victoria,Victoria,WITHIN,0.3608,1.0,0.3608,high_confidence,3,CD_ON_Victoria
CD_ON_Waterloo,1851,Waterloo,Waterloo,CD_ON_Waterloo,1861,Waterloo,Waterloo,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_ON_Waterloo
CD_ON_Welland,1851,Welland,Welland,CD_ON_Welland,1861,Welland,Welland,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_ON_Welland
CD_ON_Wellington,1851,Wellington,Wellington,CD_ON_Wellington,1861,Wellington,Wellington,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_ON_Wellington
CD_ON_Wentworth,1851,Wentworth,Wentworth,CD_ON_Wentworth,1861,Wentworth,Wentworth,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_ON_Wentworth
CD_ON_York,1851,York,York,CD_ON_York,1861,York,York,WITHIN,0.8756,0.9989,0.8764,high_confidence,3,CD_ON_York
CD_PE_Prince_Edward_Island,1851,Prince Edward Island,Prince Edward Island,CD_PE_Prince_Edward_Island,1861,Prince Edward Island,Prince Edward Island,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_PE_Prince_Edward_Island
CD_QC_Beauharnois,1851,Beauharnois,Beauharnois,CD_QC_Beauharnois,1861,Beauharnois,Beauharnois,CONTAINS,0.1987,0.1987,1.0,high_confidence,3,CD_QC_Beauharnois
CD_QC_Bellechasse,1851,Bellechasse,Bellechasse,CD_QC_Bellechasse,1861,Bellechasse,Bellechasse,CONTAINS,0.6324,0.6536,0.9511,high_confidence,3,CD_QC_Bellechasse
CD_QC_Berthier,1851,Berthier,Berthier,CD_QC_Berthier,1861,Berthier,Berthier,CONTAINS,0.4411,0.4411,1.0,high_confidence,3,CD_QC_Berthier
CD_QC_Bonaventure,1851,Bonaventure,Bonaventure,CD_QC_Bonaventure,1861,Bonaventure,Bonaventure,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_QC_Bonaventure
CD_QC_Chambly,1851,Chambly,Chambly,CD_QC_Chambly,1861,Chambly,Chambly,CONTAINS,0.6683,0.6737,0.9881,high_confidence,3,CD_QC_Chambly
CD_QC_Champlain,1851,Champlain,Champlain,CD_QC_Champlain,1861,Champlain,Champlain,CONTAINS,0.9409,0.9409,1.0,high_confidence,3,CD_QC_Champlain
CD_QC_Drummond,1851,Drummond,Drummond,CD_QC_Drummond,1861,Drummond,Drummond,CONTAINS,0.3803,0.3803,1.0,high_confidence,3,CD_QC_Drummond
CD_QC_Gaspé,1851,Gaspé,Gaspé,CD_QC_Gaspé,1861,Gaspé,Gaspé,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_QC_Gaspé
CD_QC_Kamouraska,1851,Kamouraska,Kamouraska,CD_QC_Kamouraska,1861,Kamouraska,Kamouraska,WITHIN,0.9707,0.9707,1.0,high_confidence,3,CD_QC_Kamouraska
CD_QC_Lotbinière,1851,Lotbinière,Lotbinière,CD_QC_Lotbiniere,1861,Lotbiniere,Lotbiniere,SAME_AS,0.9979,0.9979,1.0,high_confidence,1,CD_QC_Lotbiniere
CD_QC_Megantic,1851,Megantic,Megantic,CD_QC_Megantic,1861,Megantic,Megantic,CONTAINS,0.4525,0.454,0.9925,high_confidence,3,CD_QC_Mégantic
CD_QC_Montmorenci,1851,Montmorenci,Montmorenci,CD_QC_Montmorency,1861,Montmorency,Montmorency,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_QC_Montmorency
"CD_QC_Montréal,_cité",1851,"Montréal, cité",Montréal City,CD_QC_City_of_Montreal,1861,City of Montreal,City of Montreal,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_QC_City_of_Montreal
CD_QC_Nicolet,1851,Nicolet,Nicolet,CD_QC_Nicolet,1861,Nicolet,Nicolet,CONTAINS,0.862,0.862,1.0,high_confidence,3,CD_QC_Nicolet
CD_QC_Outaouais,1851,Outaouais,Outaouais,CD_QC_Outaouais,1861,Outaouais,Outaouais,CONTAINS,0.3804,0.3804,1.0,high_confidence,3,CD_QC_Outaouais
CD_QC_Portneuf,1851,Portneuf,Portneuf,CD_QC_Portneuf,1861,Portneuf,Portneuf,WITHIN,0.973,0.973,1.0,high_confidence,3,CD_QC_Portneuf
CD_QC_Québec,1851,Québec,Québec,CD_QC_Quebec_(Comté),1861,Quebec (Comté),Quebec (Comté),SAME_AS,0.9847,1.0,0.9847,high_confidence,1,CD_QC_Quebec_County
"CD_QC_Québec,_cité",1851,"Québec, cité",Québec City,CD_QC_City_of_Quebec,1861,City of Quebec,City of Quebec,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_QC_City_of_Quebec
CD_QC_Richelieu,1851,Richelieu,Richelieu,CD_QC_Richelieu,1861,Richelieu,Richelieu,CONTAINS,0.5673,0.5687,0.9955,high_confidence,3,CD_QC_Richelieu
CD_QC_Rimouski,1851,Rimouski,Rimouski,CD_QC_Rimouski,1861,Rimouski,Rimouski,CONTAINS,0.7496,0.7496,1.0,high_confidence,3,CD_QC_Rimouski
CD_QC_Saguenay,1851,Saguenay,Saguenay,CD_QC_Saguenay,1861,Saguenay,Saguenay,CONTAINS,0.6953,0.6953,1.0,high_confidence,3,CD_QC_Saguenay
CD_QC_Shefford,1851,Shefford,Shefford,CD_QC_Shefford,1861,Shefford,Shefford,CONTAINS,0.7409,0.7409,1.0,high_confidence,3,CD_QC_Shefford
CD_QC_St._Maurice,1851,St. Maurice,St. Maurice,CD_QC_St._Maurice,1861,St. Maurice,St. Maurice,CONTAINS,0.9361,0.9452,0.9898,high_confidence,3,CD_QC_St._Maurice
CD_QC_Stanstead,1851,Stanstead,Stanstead,CD_QC_Stanstead,1861,Stanstead,Stanstead,CONTAINS,0.6562,0.6562,1.0,high_confidence,3,CD_QC_Stanstead
CD_QC_Two_Mountains,1851,Two Mountains,Two Mountains,CD_QC_Two_Mountains,1861,Two Mountains,Two Mountains,CONTAINS,0.2176,0.2183,0.9865,high_confidence,3,CD_QC_Deux-Montagnes
CD_QC_Vaudreuil,1851,Vaudreuil,Vaudreuil,CD_QC_Vaudreuil,1861,Vaudreuil,Vaudreuil,CONTAINS,0.5875,0.5875,1.0,high_confidence,3,CD_QC_Vaudreuil
CD_QC_Verchères,1851,Verchères,Verchères,CD_QC_Vercheres,1861,Vercheres,Vercheres,SAME_AS,0.9945,1.0,0.9945,high_confidence,1,CD_QC_Verchères
CD_QC_Yamaska,1851,Yamaska,Yamaska,CD_QC_Yamaska,1861,Yamaska,Yamaska,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_QC_Yamaska
CD_NL_Newfoundland,1861,Newfoundland,Newfoundland,CD_NL_Newfoundland,1871,Newfoundland,Newfoundland,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_NL_Newfoundland
CD_NT_The_Territories,1861,The Territories,The Territories,CD_NT_The_Territories,1871,The Territories,The Territories,CONTAINS,0.8736,0.8736,1.0,high_confidence,3,CD_NT_The_Territories
CD_ON_Carleton,1861,Carleton,Carleton,CD_ON_Carleton,1871,Carleton,Carleton,CONTAINS,0.6944,0.6951,0.9986,high_confidence,3,CD_ON_Carleton
CD_ON_Dundas,1861,Dundas,Dundas,CD_ON_Dundas,1871,Dundas,Dundas,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_ON_Dundas
CD_ON_Essex,1861,Essex,Essex,CD_ON_Essex,1871,Essex,Essex,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_ON_Essex
CD_ON_Frontenac,1861,Frontenac,Frontenac,CD_ON_Frontenac,1871,Frontenac,Frontenac,CONTAINS,0.2206,0.2208,0.9973,high_confidence,3,CD_ON_Frontenac
CD_ON_Glengary_,1861,Glengary ,Glengary,CD_ON_Glengarry,1871,Glengarry,Glengarry,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_ON_Glengarry
CD_ON_Haldimand,1861,Haldimand,Haldimand,CD_ON_Haldimand,1871,Haldimand,Haldimand,CONTAINS,0.8102,0.8102,1.0,high_confidence,3,CD_ON_Haldimand
CD_ON_Halton,1861,Halton,Halton,CD_ON_Halton,1871,Halton,Halton,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_ON_Halton
CD_ON_Hamilton,1861,Hamilton,Hamilton,CD_ON_Hamilton,1871,Hamilton,Hamilton,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_ON_Hamilton
CD_ON_Kingston,1861,Kingston,Kingston,CD_ON_Kingston,1871,Kingston,Kingston,CONTAINS,0.751,0.751,1.0,high_confidence,3,CD_ON_Kingston
CD_ON_Lambton,1861,Lambton,Lambton,CD_ON_Lambton,1871,Lambton,Lambton,CONTAINS,0.6978,0.6978,1.0,high_confidence,3,CD_ON_Lambton
CD_ON_Lincoln,1861,Lincoln,Lincoln,CD_ON_Lincoln,1871,Lincoln,Lincoln,CONTAINS,0.5152,0.5152,1.0,high_confidence,3,CD_ON_Lincoln
CD_ON_London,1861,London,London,CD_ON_London,1871,London,London,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_ON_London_City
CD_ON_Peel,1861,Peel,Peel,CD_ON_Peel,1871,Peel,Peel,CONTAINS,0.5724,0.5724,1.0,high_confidence,3,CD_ON_Peel
CD_ON_Prescott,1861,Prescott,Prescott,CD_ON_Prescott,1871,Prescott,Prescott,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_ON_Prescott
CD_ON_Prince_Edward,1861,Prince Edward,Prince Edward,CD_ON_Prince_Edward,1871,Prince Edward,Prince Edward,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_ON_Prince_Edward
CD_ON_Russell,1861,Russell,Russell,CD_ON_Russell,1871,Russell,Russell,WITHIN,0.5886,1.0,0.5886,high_confidence,3,CD_ON_Russell
CD_ON_Stormont,1861,Stormont,Stormont,CD_ON_Stormont,1871,Stormont,Stormont,CONTAINS,0.7288,0.7288,1.0,high_confidence,3,CD_ON_Stormont
CD_ON_Welland,1861,Welland,Welland,CD_ON_Welland,1871,Welland,Welland,CONTAINS,0.6642,0.6642,1.0,high_confidence,3,CD_ON_Welland
CD_QC_Argenteuil,1861,Argenteuil,Argenteuil,CD_QC_Argenteuil,1871,Argenteuil,Argenteuil,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_QC_Argenteuil
CD_QC_Arthabaska,1861,Arthabaska,Arthabaska,CD_QC_Arthabaska,1871,Arthabaska,Arthabaska,CONTAINS,0.8717,0.888,0.9794,high_confidence,3,CD_QC_Arthabaska
CD_QC_Bagot,1861,Bagot,Bagot,CD_QC_Bagot,1871,Bagot,Bagot,WITHIN,0.9648,0.9648,1.0,high_confidence,3,CD_QC_Bagot
CD_QC_Beauharnois,1861,Beauharnois,Beauharnois,CD_QC_Beauharnois,1871,Beauharnois,Beauharnois,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_QC_Beauharnois
CD_QC_Berthier,1861,Berthier,Berthier,CD_QC_Berthier,1871,Berthier,Berthier,WITHIN,0.9677,0.9677,1.0,high_confidence,3,CD_QC_Berthier
CD_QC_Bonaventure,1861,Bonaventure,Bonaventure,CD_QC_Bonaventure,1871,Bonaventure,Bonaventure,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_QC_Bonaventure
CD_QC_Brome,1861,Brome,Brome,CD_QC_Brome,1871,Brome,Brome,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_QC_Brome
CD_QC_Chambly,1861,Chambly,Chambly,CD_QC_Chambly,1871,Chambly,Chambly,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_QC_Chambly
CD_QC_Charlevoix,1861,Charlevoix,Charlevoix,CD_QC_Charlevoix,1871,Charlevoix,Charlevoix,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_QC_Charlevoix
CD_QC_Chateauguay,1861,Chateauguay,Chateauguay,CD_QC_Chateauguay,1871,Chateauguay,Chateauguay,SAME_AS,0.9957,0.9957,1.0,high_confidence,1,CD_QC_Chateauguay
CD_QC_Chicoutimi,1861,Chicoutimi,Chicoutimi,CD_QC_Chicoutimi,1871,Chicoutimi,Chicoutimi,SAME_AS,0.9971,0.9971,1.0,high_confidence,1,CD_QC_Chicoutimi
CD_QC_Compton,1861,Compton,Compton,CD_QC_Compton,1871,Compton,Compton,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_QC_Compton
CD_QC_Drummond,1861,Drummond,Drummond,CD_QC_Drummond,1871,Drummond,Drummond,CONTAINS,0.9181,0.9319,0.9842,high_confidence,3,CD_QC_Drummond
CD_QC_Hochelaga,1861,Hochelaga,Hochelaga,CD_QC_Hochelaga,1871,Hochelaga,Hochelaga,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_QC_Hochelaga
CD_QC_Iberville,1861,Iberville,Iberville,CD_QC_Iberville,1871,Iberville,Iberville,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_QC_Iberville
CD_QC_Jacques_Cartier,1861,Jacques Cartier,Jacques Cartier,CD_QC_Jacques_Cartier,1871,Jacques Cartier,Jacques Cartier,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_QC_Jacques_Cartier
CD_QC_Joliette,1861,Joliette,Joliette,CD_QC_Joliette,1871,Joliette,Joliette,WITHIN,0.9736,0.9985,0.975,high_confidence,3,CD_QC_Joliette
CD_QC_Kamouraska,1861,Kamouraska,Kamouraska,CD_QC_Kamouraska,1871,Kamouraska,Kamouraska,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_QC_Kamouraska
CD_QC_L'Assomption,1861,L'Assomption,L'Assomption,CD_QC_L'Assomption,1871,L'Assomption,L'Assomption,SAME_AS,0.9851,0.9851,1.0,high_confidence,1,CD_QC_L'Assomption
CD_QC_L'Islet,1861,L'Islet,L'Islet,CD_QC_L'Islet,1871,L'Islet,L'Islet,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_QC_L'Islet
CD_QC_Laprairie,1861,Laprairie,Laprairie,CD_QC_Laprairie,1871,Laprairie,Laprairie,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_QC_Laprairie
CD_QC_Laval,1861,Laval,Laval,CD_QC_Laval,1871,Laval,Laval,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_QC_Laval
CD_QC_Lotbiniere,1861,Lotbiniere,Lotbiniere,CD_QC_Lotbiniere,1871,Lotbiniere,Lotbiniere,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_QC_Lotbiniere
CD_QC_Maskinonge,1861,Maskinonge,Maskinonge,CD_QC_Maskinonge,1871,Maskinonge,Maskinonge,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_QC_Maskinonge
CD_QC_Megantic,1861,Megantic,Megantic,CD_QC_Megantic,1871,Megantic,Megantic,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_QC_Mégantic
CD_QC_Missisquoi,1861,Missisquoi,Missisquoi,CD_QC_Missisquoi,1871,Missisquoi,Missisquoi,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_QC_Missisquoi
CD_QC_Montcalm,1861,Montcalm,Montcalm,CD_QC_Montcalm,1871,Montcalm,Montcalm,CONTAINS,0.7954,0.7987,0.9948,high_confidence,3,CD_QC_Montcalm
CD_QC_Montmagny,1861,Montmagny,Montmagny,CD_QC_Montmagny,1871,Montmagny,Montmagny,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_QC_Montmagny
CD_QC_Montmorency,1861,Montmorency,Montmorency,CD_QC_Montmorency,1871,Montmorency,Montmorency,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_QC_Montmorency
CD_QC_Napierville,1861,Napierville,Napierville,CD_QC_Napierville,1871,Napierville,Napierville,SAME_AS,0.9927,1.0,0.9927,high_confidence,1,CD_QC_Napierville
CD_QC_Nicolet,1861,Nicolet,Nicolet,CD_QC_Nicolet,1871,Nicolet,Nicolet,WITHIN,0.7784,1.0,0.7784,high_confidence,3,CD_QC_Nicolet
CD_QC_Portneuf,1861,Portneuf,Portneuf,CD_QC_Portneuf,1871,Portneuf,Portneuf,SAME_AS,0.9999,0.9999,1.0,high_confidence,1,CD_QC_Portneuf
CD_QC_Quebec_(Comté),1861,Quebec (Comté),Quebec (Comté),CD_QC_Quebec_(Comté),1871,Quebec (Comté),Quebec (Comté),SAME_AS,0.9959,0.9959,1.0,high_confidence,1,CD_QC_Quebec_County
CD_QC_Richelieu,1861,Richelieu,Richelieu,CD_QC_Richelieu,1871,Richelieu,Richelieu,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_QC_Richelieu
CD_QC_Richmond,1861,Richmond,Richmond,CD_QC_Richmond,1871,Richmond,Richmond,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_QC_Richmond
CD_QC_Rouville,1861,Rouville,Rouville,CD_QC_Rouville,1871,Rouville,Rouville,SAME_AS,0.9904,1.0,0.9904,high_confidence,1,CD_QC_Rouville
CD_QC_Saguenay,1861,Saguenay,Saguenay,CD_QC_Saguenay,1871,Saguenay,Saguenay,CONTAINS,0.1588,0.159,0.9926,high_confidence,3,CD_QC_Saguenay
CD_QC_Shefford,1861,Shefford,Shefford,CD_QC_Shefford,1871,Shefford,Shefford,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_QC_Shefford
CD_QC_Soulanges,1861,Soulanges,Soulanges,CD_QC_Soulanges,1871,Soulanges,Soulanges,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_QC_Soulanges
CD_QC_St._Hyacinthe,1861,St. Hyacinthe,St. Hyacinthe,CD_QC_St._Hyacinthe,1871,St. Hyacinthe,St. Hyacinthe,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_QC_St._Hyacinthe
CD_QC_St._Johns,1861,St. Johns,St. Johns,CD_QC_St._Jean,1871,St. Jean,St. Jean,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_QC_St._Jean
CD_QC_Stanstead,1861,Stanstead,Stanstead,CD_QC_Stanstead,1871,Stanstead,Stanstead,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_QC_Stanstead
CD_QC_Temiscouata,1861,Temiscouata,Temiscouata,CD_QC_Temiscouata,1871,Temiscouata,Temiscouata,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_QC_Temiscouata
CD_QC_Terrebonne,1861,Terrebonne,Terrebonne,CD_QC_Terrebonne,1871,Terrebonne,Terrebonne,WITHIN,0.6294,1.0,0.6294,high_confidence,3,CD_QC_Terrebonne
CD_QC_Town_of_Sherbrooke,1861,Town of Sherbrooke,Town of Sherbrooke,CD_QC_Sherbrooke,1871,Sherbrooke,Sherbrooke,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_QC_Sherbrooke_1861
CD_QC_Two_Mountains,1861,Two Mountains,Two Mountains,CD_QC_Deux-Montagnes,1871,Deux-Montagnes,Deux-Montagnes,SAME_AS,0.9865,0.9865,1.0,high_confidence,1,CD_QC_Deux-Montagnes
CD_QC_Vaudreuil,1861,Vaudreuil,Vaudreuil,CD_QC_Vaudreuil,1871,Vaudreuil,Vaudreuil,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_QC_Vaudreuil
CD_QC_Vercheres,1861,Vercheres,Vercheres,CD_QC_Vercheres,1871,Vercheres,Vercheres,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_QC_Verchères
CD_QC_Wolfe,1861,Wolfe,Wolfe,CD_QC_Wolfe,1871,Wolfe,Wolfe,SAME_AS,0.9987,1.0,0.9987,high_confidence,1,CD_QC_Wolfe
CD_QC_Yamaska,1861,Yamaska,Yamaska,CD_QC_Yamaska,1871,Yamaska,Yamaska,CONTAINS,0.9467,0.9467,1.0,high_confidence,3,CD_QC_Yamaska
CD_NB_Albert,1871,Albert,Albert,CD_NB_Albert,1881,Albert,Albert,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_NB_Albert
CD_NB_Carleton,1871,Carleton,Carleton,CD_NB_Carleton,1881,Carleton,Carleton,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_NB_Carleton
CD_NB_Charlotte,1871,Charlotte,Charlotte,CD_NB_Charlotte,1881,Charlotte,Charlotte,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_NB_Charlotte
CD_NB_Gloucester,1871,Gloucester,Gloucester,CD_NB_Gloucester,1881,Gloucester,Gloucester,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_NB_Gloucester
CD_NB_Kent,1871,Kent,Kent,CD_NB_Kent,1881,Kent,Kent,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_NB_Kent
CD_NB_King's,1871,King's,King's,CD_NB_King's,1881,King's,King's,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_NB_King's
CD_NB_Northumberland,1871,Northumberland,Northumberland,CD_NB_Northumberland,1881,Northumberland,Northumberland,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_NB_Northumberland
CD_NB_Queen's,1871,Queen's,Queen's,CD_NB_Queen's,1881,Queen's,Queen's,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_NB_Queen's
