place_id:ID,uri,uri_source,wikidata_qid,wikidata_label,grounding_status,mint_reason
PLACE_NS021999,http://temp.lincsproject.ca/census/place/NS021999,temp_lincs,,,ungrounded,
PLACE_NS021014,http://temp.lincsproject.ca/census/place/NS021014,temp_lincs,,,ungrounded,
PLACE_NS021016,http://temp.lincsproject.ca/census/place/NS021016,temp_lincs,,,ungrounded,
PLACE_NS021020,http://temp.lincsproject.ca/census/place/NS021020,temp_lincs,,,ungrounded,
PLACE_NS021002,http://temp.lincsproject.ca/census/place/NS021002,temp_lincs,,,ungrounded,
PLACE_NS021019,http://temp.lincsproject.ca/census/place/NS021019,temp_lincs,,,ungrounded,
PLACE_NS021021,http://temp.lincsproject.ca/census/place/NS021021,temp_lincs,,,ungrounded,
PLACE_NS021022,http://www.wikidata.org/entity/Q864688,wikidata,Q864688,Yarmouth,matched,
PLACE_NT218002,http://temp.lincsproject.ca/census/place/NT218002,temp_lincs,,,ungrounded,
PLACE_QC086093,http://temp.lincsproject.ca/census/place/QC086093,temp_lincs,,,ungrounded,
PLACE_QC086095,http://temp.lincsproject.ca/census/place/QC086095,temp_lincs,,,ungrounded,
PLACE_QC086092,http://temp.lincsproject.ca/census/place/QC086092,temp_lincs,,,ungrounded,
PLACE_QC086100,http://temp.lincsproject.ca/census/place/QC086100,temp_lincs,,,ungrounded,
PLACE_QC086099,http://temp.lincsproject.ca/census/place/QC086099,temp_lincs,,,ungrounded,
PLACE_QC086097,http://temp.lincsproject.ca/census/place/QC086097,temp_lincs,,,ungrounded,
PLACE_QC086101,http://temp.lincsproject.ca/census/place/QC086101,temp_lincs,,,ungrounded,
PLACE_NT218004,http://temp.lincsproject.ca/census/place/NT218004,temp_lincs,,,ungrounded,
PLACE_QC086098,http://temp.lincsproject.ca/census/place/QC086098,temp_lincs,,,ungrounded,
PLACE_NT220001,http://temp.lincsproject.ca/census/place/NT220001,temp_lincs,,,ungrounded,
PLACE_QC086094,http://temp.lincsproject.ca/census/place/QC086094,temp_lincs,,,ungrounded,
PLACE_QC086096,http://temp.lincsproject.ca/census/place/QC086096,temp_lincs,,,ungrounded,
PLACE_MB170003,http://www.wikidata.org/entity/Q61422,wikidata,Q61422,The Pas,matched,
PLACE_ON102002_1921,http://temp.lincsproject.ca/census/place/ON102002,temp_lincs,,,mint_uri,Historic Algoma CSD; only Wikidata entity Q22372157 is the physical island (not a civil entity)
PLACE_ON102079,http://www.wikidata.org/entity/Q115262811,wikidata,Q115262811,Shedden,matched,
PLACE_ON146088,http://www.wikidata.org/entity/Q115262308,wikidata,Q115262308,Merritt,matched,
PLACE_ON146127,http://temp.lincsproject.ca/census/place/ON146127,temp_lincs,,,skip,
PLACE_ON146006,http://www.wikidata.org/entity/Q115260768,wikidata,Q115260768,Baldwin,matched,
PLACE_ON054005,http://temp.lincsproject.ca/census/place/ON054005,temp_lincs,,,ungrounded,
PLACE_ON146007,http://www.wikidata.org/entity/Q115260769,wikidata,Q115260769,Balfour,matched,
PLACE_ON146091,http://www.wikidata.org/entity/Q115262365,wikidata,Q115262365,Morgan,matched,
PLACE_ON102006_1921,http://www.wikidata.org/entity/Q115260933,wikidata,Q115260933,Bright,matched,
PLACE_ON102012,http://www.wikidata.org/entity/Q115261248,wikidata,Q115261248,Day,matched,
PLACE_ON127009,http://www.wikidata.org/entity/Q115261035,wikidata,Q115261035,Carnarvon,matched,
PLACE_ON146019,http://www.wikidata.org/entity/Q115261048,wikidata,Q115261048,Cartier,matched,
PLACE_ON146061,http://www.wikidata.org/entity/Q115261741,wikidata,Q115261741,Hess,matched,
PLACE_ON102009,http://www.wikidata.org/entity/Q115261133,wikidata,Q115261133,Cobden,matched,
PLACE_ON054017,http://temp.lincsproject.ca/census/place/ON054017,temp_lincs,,,ungrounded,
PLACE_ON146999,http://temp.lincsproject.ca/census/place/ON146999,temp_lincs,,,ungrounded,
PLACE_ON146124,http://www.wikidata.org/entity/Q115263109,wikidata,Q115263109,Waters,matched,
PLACE_ON146028,http://www.wikidata.org/entity/Q115174175,wikidata,Q115174175,Creighton,matched,
PLACE_ON146112,http://www.wikidata.org/entity/Q115262861,wikidata,Q115262861,Snider,matched,
PLACE_ON146031,http://www.wikidata.org/entity/Q29015238,wikidata,Q29015238,Denison,matched,
PLACE_ON146049,http://www.wikidata.org/entity/Q115261608,wikidata,Q115261608,Graham,matched,
PLACE_ON146034,http://www.wikidata.org/entity/Q115261319,wikidata,Q115261319,Drury,matched,
PLACE_ON146120,http://www.wikidata.org/entity/Q115263019,wikidata,Q115263019,Trill,matched,
PLACE_ON127012,http://temp.lincsproject.ca/census/place/ON127012,temp_lincs,,,mint_uri,"Historic Manitoulin township, no Wikidata entity"
PLACE_ON127016,http://www.wikidata.org/entity/Q115262704,wikidata,Q115262704,Robinson,matched,
PLACE_ON146047,http://www.wikidata.org/entity/Q115261601,wikidata,Q115261601,Gough,matched,
PLACE_ON146110,http://www.wikidata.org/entity/Q115262801,wikidata,Q115262801,Shakespeare,matched,
PLACE_ON054026,http://temp.lincsproject.ca/census/place/ON054026,temp_lincs,,,ungrounded,
PLACE_ON146042,http://www.wikidata.org/entity/Q115261493,wikidata,Q115261493,Foster,matched,
PLACE_ON146074,http://www.wikidata.org/entity/Q115262077,wikidata,Q115262077,Lorne,matched,
PLACE_ON146076,http://www.wikidata.org/entity/Q115262085,wikidata,Q115262085,Louise,matched,
PLACE_ON146093,http://www.wikidata.org/entity/Q115262415,wikidata,Q115262415,Nairn,matched,
PLACE_ON102099,http://www.wikidata.org/entity/Q115263124,wikidata,Q115263124,Wells,matched,
PLACE_ON102027,http://www.wikidata.org/entity/Q115261602,wikidata,Q115261602,Gould,matched,
PLACE_ON102068,http://www.wikidata.org/entity/Q115262539,wikidata,Q115262539,Parkinson,matched,
PLACE_ON102028,http://temp.lincsproject.ca/census/place/ON102028,temp_lincs,,,mint_uri,"Historic Algoma geographic township, no Wikidata entity"
PLACE_ON146055,http://www.wikidata.org/entity/Q115261698,wikidata,Q115261698,Harrow,matched,
PLACE_ON146105,http://www.wikidata.org/entity/Q115262748,wikidata,Q115262748,Salter,matched,
PLACE_ON146087,http://www.wikidata.org/entity/Q115262185,wikidata,Q115262185,May,matched,
PLACE_ON102999,http://temp.lincsproject.ca/census/place/ON102999,temp_lincs,,,ungrounded,
PLACE_ON102048,http://www.wikidata.org/entity/Q115262016,wikidata,Q115262016,Lefroy,matched,
PLACE_ON102045,http://www.wikidata.org/entity/Q115261933,wikidata,Q115261933,Kirkwood,matched,
PLACE_ON102085,http://www.wikidata.org/entity/Q115262927,wikidata,Q115262927,Striker,matched,
PLACE_ON102052,http://www.wikidata.org/entity/Q115262074,wikidata,Q115262074,Long,matched,
PLACE_ON054039,http://temp.lincsproject.ca/census/place/ON054039,temp_lincs,,,ungrounded,
PLACE_ON146103,http://www.wikidata.org/entity/Q115262660,wikidata,Q115262660,Rayside,matched,
PLACE_ON146077,http://www.wikidata.org/entity/Q115262091,wikidata,Q115262091,Lumsden,matched,
PLACE_ON148191,http://temp.lincsproject.ca/census/place/ON148191,temp_lincs,,,mint_uri,ON unorganized area not in Wikidata
PLACE_ON127021,http://temp.lincsproject.ca/census/place/ON127021,temp_lincs,,,skip,
PLACE_ON127999,http://temp.lincsproject.ca/census/place/ON127999,temp_lincs,,,ungrounded,
PLACE_ON054045,http://temp.lincsproject.ca/census/place/ON054045,temp_lincs,,,ungrounded,
PLACE_ON148135,http://www.wikidata.org/entity/Q115262407,wikidata,Q115262407,Musgrove,matched,
PLACE_ON148155,http://temp.lincsproject.ca/census/place/ON148155,temp_lincs,,,mint_uri,Historic Robb township in Timiskaming District; no Wikidata entity
PLACE_ON148094,http://temp.lincsproject.ca/census/place/ON148094,temp_lincs,,,mint_uri,"Timiskaming geographic township, no WD entity"
PLACE_ON127019,http://temp.lincsproject.ca/census/place/ON127019,temp_lincs,,,mint_uri,Historic Sheguiandah township in Manitoulin District; First Nation P31 not settlement-compatible
PLACE_ON102007_1921,http://www.wikidata.org/entity/Q115260934,wikidata,Q115260934,Bright Additional,matched,
PLACE_ON102078,http://www.wikidata.org/entity/Q115262774,wikidata,Q115262774,Scarfe,matched,
PLACE_ON102074,http://www.wikidata.org/entity/Q115262625,wikidata,Q115262625,Proctor,matched,
PLACE_ON127008,http://www.wikidata.org/entity/Q115261031,wikidata,Q115261031,Carlyle,matched,
PLACE_ON146039,http://www.wikidata.org/entity/Q115261433,wikidata,Q115261433,Fairbank,matched,
PLACE_ON146104,http://www.wikidata.org/entity/Q115262673,wikidata,Q115262673,Regan,matched,
PLACE_ON146048,http://www.wikidata.org/entity/Q115263229,wikidata,Q115263229,Gouin,matched,
PLACE_ON146064,http://www.wikidata.org/entity/Q115261843,wikidata,Q115261843,Ivanhoe,matched,
PLACE_ON146067,http://www.wikidata.org/entity/Q115261889,wikidata,Q115261889,Keith,matched,
PLACE_ON146100,http://www.wikidata.org/entity/Q115262571,wikidata,Q115262571,Penhorwood,matched,
PLACE_ON146041,http://www.wikidata.org/entity/Q115261486,wikidata,Q115261486,Foleyet,matched,
PLACE_ON146111,http://www.wikidata.org/entity/Q115262817,wikidata,Q115262817,Shenango,matched,
PLACE_ON146097,http://www.wikidata.org/entity/Q115262487,wikidata,Q115262487,Oates,matched,
PLACE_ON148054,http://temp.lincsproject.ca/census/place/ON148054,temp_lincs,,,mint_uri,"Historic Timiskaming geographic township, no Wikidata entity"
PLACE_ON148176,http://temp.lincsproject.ca/census/place/ON148176,temp_lincs,,,mint_uri,ON geographic township not in Wikidata
PLACE_ON148150,http://temp.lincsproject.ca/census/place/ON148150,temp_lincs,,,mint_uri,Historic Price township in Timiskaming District; no Wikidata entity
PLACE_ON102044,http://www.wikidata.org/entity/Q115261932,wikidata,Q115261932,Kirkwall,matched,
PLACE_ON102041,http://www.wikidata.org/entity/Q115261882,wikidata,Q115261882,Kapuskasing,matched,
PLACE_ON148184,http://temp.lincsproject.ca/census/place/ON148184,temp_lincs,,,mint_uri,ON geographic township not in Wikidata
PLACE_ON102053,http://www.wikidata.org/entity/Q115262082,wikidata,Q115262082,Lougheed,matched,
PLACE_ON148142,http://temp.lincsproject.ca/census/place/ON148142,temp_lincs,,,mint_uri,Historic Ogden township in Timiskaming District; no Wikidata entity
PLACE_ON148053,http://temp.lincsproject.ca/census/place/ON148053,temp_lincs,,,mint_uri,"Historic Timiskaming geographic township (distinct from Deloro village), no Wikidata entity"
PLACE_ON148161,http://temp.lincsproject.ca/census/place/ON148161,temp_lincs,,,mint_uri,Historic Shaw township in Timiskaming District; no Wikidata entity
PLACE_ON102010,http://www.wikidata.org/entity/Q115261139,wikidata,Q115261139,Coderre,matched,
PLACE_ON148181,http://temp.lincsproject.ca/census/place/ON148181,temp_lincs,,,mint_uri,ON geographic township not in Wikidata
PLACE_ON102083,http://temp.lincsproject.ca/census/place/ON102083,temp_lincs,,,mint_uri,Historic Stefanson township in Algoma District; no Wikidata entity
PLACE_ON148201,http://www.wikidata.org/entity/Q991310,wikidata,Q991310,Timmins,matched,
PLACE_ON148133,http://temp.lincsproject.ca/census/place/ON148133,temp_lincs,,,mint_uri,"Timiskaming geographic township, no WD entity"
PLACE_ON102033,http://www.wikidata.org/entity/Q115261718,wikidata,Q115261718,Hayward,matched,
PLACE_ON148185,http://temp.lincsproject.ca/census/place/ON148185,temp_lincs,,,mint_uri,ON Timiskaming geographic township not in Wikidata
PLACE_ON148090,http://temp.lincsproject.ca/census/place/ON148090,temp_lincs,,,mint_uri,"Timiskaming geographic township, no WD entity"
PLACE_ON148121,http://temp.lincsproject.ca/census/place/ON148121,temp_lincs,,,mint_uri,"Timiskaming geographic township, no WD entity"
PLACE_ON148123,http://temp.lincsproject.ca/census/place/ON148123,temp_lincs,,,mint_uri,"Timiskaming geographic township, no WD entity"
PLACE_ON148190,http://temp.lincsproject.ca/census/place/ON148190,temp_lincs,,,mint_uri,"Historic Timiskaming unorganized area, no Wikidata entity"
PLACE_ON148070,http://temp.lincsproject.ca/census/place/ON148070,temp_lincs,,,mint_uri,"Historic Timiskaming geographic township, no Wikidata entity"
PLACE_ON148035,http://temp.lincsproject.ca/census/place/ON148035,temp_lincs,,,mint_uri,"Historic Timiskaming geographic township, no Wikidata entity"
PLACE_ON148045,http://temp.lincsproject.ca/census/place/ON148045,temp_lincs,,,mint_uri,"Historic Timiskaming geographic township, no Wikidata entity"
PLACE_ON148170,http://temp.lincsproject.ca/census/place/ON148170,temp_lincs,,,mint_uri,Historic Swanson township in Timiskaming District; no Wikidata entity
PLACE_ON148159,http://temp.lincsproject.ca/census/place/ON148159,temp_lincs,,,mint_uri,Historic Shackleton township in Timiskaming District; no Wikidata entity
