dimension_id:ID,:LABEL,value:float,dimension_type
BORDER_DIM_NB026003_NB026011_1921,E54_Dimension,6800.88,length
BORDER_DIM_NB026004_NB035005_1921,E54_Dimension,23026.02,length
BORDER_DIM_NB026004_NB030009_1921,E54_Dimension,6328.92,length
BORDER_DIM_NB026004_NB030001_1921,E54_Dimension,6040.82,length
BORDER_DIM_NB026004_NB030004_1921,E54_Dimension,22734.91,length
BORDER_DIM_NB026004_NB029003_1921,E54_Dimension,8045.76,length
BORDER_DIM_NB026004_NB035003_1921,E54_Dimension,3735.19,length
BORDER_DIM_NB026004_NB026009_1921,E54_Dimension,15378.94,length
BORDER_DIM_NB026004_NB029002_1921,E54_Dimension,12471.98,length
BORDER_DIM_NB026004_NB026999_1921,E54_Dimension,35171.56,length
BORDER_DIM_NB026004_NB026010_1921,E54_Dimension,18304.02,length
BORDER_DIM_NB026005_NB026008_1921,E54_Dimension,457.88,length
BORDER_DIM_NB026005_NB026010_1921,E54_Dimension,24087.61,length
BORDER_DIM_NB026005_NB026011_1921,E54_Dimension,13863.39,length
BORDER_DIM_NB026005_NB026012_1921,E54_Dimension,3230.86,length
BORDER_DIM_NB026005_NB026006_1921,E54_Dimension,20122.72,length
BORDER_DIM_NB026005_NB026013_1921,E54_Dimension,5999.94,length
BORDER_DIM_NB026006_NB026007_1921,E54_Dimension,44504.84,length
BORDER_DIM_NB026006_NB026010_1921,E54_Dimension,14912.49,length
BORDER_DIM_NB026007_NB026010_1921,E54_Dimension,10933.55,length
BORDER_DIM_NB026008_NB026009_1921,E54_Dimension,19303.45,length
BORDER_DIM_NB026008_NB026010_1921,E54_Dimension,13910.75,length
BORDER_DIM_NB026008_NB026011_1921,E54_Dimension,28312.47,length
BORDER_DIM_NB026009_NB035003_1921,E54_Dimension,16749.67,length
BORDER_DIM_NB026009_NB026010_1921,E54_Dimension,10225.26,length
BORDER_DIM_NB026010_NB026999_1921,E54_Dimension,18256.07,length
BORDER_DIM_NB026010_NB026012_1921,E54_Dimension,24244.38,length
BORDER_DIM_NB026011_NB026012_1921,E54_Dimension,3255.84,length
BORDER_DIM_NB026999_NB029002_1921,E54_Dimension,20192.46,length
BORDER_DIM_NB026999_NB029012_1921,E54_Dimension,5581.21,length
BORDER_DIM_NB027001_NB027012_1921,E54_Dimension,7433.83,length
BORDER_DIM_NB027001_NB027014_1921,E54_Dimension,21828.15,length
BORDER_DIM_NB027001_NB027011_1921,E54_Dimension,12129.94,length
BORDER_DIM_NB027001_NB027005_1921,E54_Dimension,14190.42,length
BORDER_DIM_NB027001_NB035005_1921,E54_Dimension,8907.01,length
BORDER_DIM_NB027002_NB027015_1921,E54_Dimension,6887.28,length
BORDER_DIM_NB027002_NB030008_1921,E54_Dimension,9206.84,length
BORDER_DIM_NB027002_NB030006_1921,E54_Dimension,12452.13,length
BORDER_DIM_NB027003_NB027013_1921,E54_Dimension,12217.0,length
BORDER_DIM_NB027003_NB032003_1921,E54_Dimension,37249.56,length
BORDER_DIM_NB027003_NB027012_1921,E54_Dimension,15845.53,length
BORDER_DIM_NB027003_NB027014_1921,E54_Dimension,21321.79,length
BORDER_DIM_NB027004_NB027009_1921,E54_Dimension,3505.29,length
BORDER_DIM_NB027004_NB027007_1921,E54_Dimension,10835.47,length
BORDER_DIM_NB027004_NB027017_1921,E54_Dimension,5999.91,length
BORDER_DIM_NB027004_NB027013_1921,E54_Dimension,11431.34,length
BORDER_DIM_NB027004_NB027008_1921,E54_Dimension,8607.55,length
BORDER_DIM_NB027005_NB027011_1921,E54_Dimension,21761.82,length
BORDER_DIM_NB027005_NB035005_1921,E54_Dimension,21289.9,length
BORDER_DIM_NB027005_NB030001_1921,E54_Dimension,19911.22,length
BORDER_DIM_NB027006_NB030010_1921,E54_Dimension,11737.72,length
BORDER_DIM_NB027006_NB027010_1921,E54_Dimension,7188.32,length
BORDER_DIM_NB027007_NB027015_1921,E54_Dimension,13310.16,length
BORDER_DIM_NB027007_NB027008_1921,E54_Dimension,1690.35,length
BORDER_DIM_NB027007_NB027010_1921,E54_Dimension,4870.09,length
BORDER_DIM_NB027008_NB027013_1921,E54_Dimension,12380.61,length
BORDER_DIM_NB027008_NB027012_1921,E54_Dimension,8158.59,length
BORDER_DIM_NB027008_NB027011_1921,E54_Dimension,4034.1,length
BORDER_DIM_NB027008_NB027010_1921,E54_Dimension,20771.42,length
BORDER_DIM_NB027009_NB032004_1921,E54_Dimension,22944.23,length
BORDER_DIM_NB027009_NB027018_1921,E54_Dimension,5990.62,length
BORDER_DIM_NB027009_NB027013_1921,E54_Dimension,2955.69,length
BORDER_DIM_NB027010_NB027011_1921,E54_Dimension,19735.45,length
BORDER_DIM_NB027010_NB030010_1921,E54_Dimension,10736.47,length
BORDER_DIM_NB027010_NB030007_1921,E54_Dimension,10017.06,length
BORDER_DIM_NB027011_NB027012_1921,E54_Dimension,27702.4,length
BORDER_DIM_NB027011_NB030007_1921,E54_Dimension,9928.96,length
BORDER_DIM_NB027011_NB030001_1921,E54_Dimension,16341.09,length
BORDER_DIM_NB027012_NB027013_1921,E54_Dimension,3658.71,length
BORDER_DIM_NB027012_NB027016_1921,E54_Dimension,5999.9,length
BORDER_DIM_NB027012_NB027014_1921,E54_Dimension,13186.98,length
BORDER_DIM_NB027013_NB032004_1921,E54_Dimension,1130.18,length
BORDER_DIM_NB027013_NB032003_1921,E54_Dimension,17143.19,length
BORDER_DIM_NB027015_NB032002_1921,E54_Dimension,19020.28,length
BORDER_DIM_NB027015_NB032001_1921,E54_Dimension,4977.52,length
BORDER_DIM_NB027015_NB030008_1921,E54_Dimension,24014.49,length
BORDER_DIM_NB028001_NB028008_1921,E54_Dimension,10011.81,length
BORDER_DIM_NB028001_NB028003_1921,E54_Dimension,11297.07,length
BORDER_DIM_NB028001_NB028009_1921,E54_Dimension,2745.75,length
BORDER_DIM_NB028002_NB028007_1921,E54_Dimension,3418.68,length
BORDER_DIM_NB028003_NB028008_1921,E54_Dimension,6769.18,length
BORDER_DIM_NB028003_QC095020_1921,E54_Dimension,6294.65,length
BORDER_DIM_NB028003_NB028009_1921,E54_Dimension,12177.85,length
BORDER_DIM_NB028004_NB028009_1921,E54_Dimension,9093.99,length
BORDER_DIM_NB028004_NB028012_1921,E54_Dimension,2553.48,length
BORDER_DIM_NB028004_NB028013_1921,E54_Dimension,5999.91,length
BORDER_DIM_NB028004_NB028010_1921,E54_Dimension,17196.21,length
BORDER_DIM_NB028004_NB028007_1921,E54_Dimension,33494.9,length
BORDER_DIM_NB028004_NB031007_1921,E54_Dimension,11295.47,length
BORDER_DIM_NB028005_NB034004_1921,E54_Dimension,4887.12,length
BORDER_DIM_NB028005_NB034002_1921,E54_Dimension,24319.95,length
BORDER_DIM_NB028005_NB028011_1921,E54_Dimension,23731.26,length
BORDER_DIM_NB028006_NB034002_1921,E54_Dimension,13331.89,length
BORDER_DIM_NB028006_NB028011_1921,E54_Dimension,37997.25,length
BORDER_DIM_NB028006_NB028007_1921,E54_Dimension,46190.17,length
BORDER_DIM_NB028006_NB031007_1921,E54_Dimension,6401.52,length
BORDER_DIM_NB028007_NB028012_1921,E54_Dimension,3311.58,length
BORDER_DIM_NB028007_NB031007_1921,E54_Dimension,23707.45,length
BORDER_DIM_NB028008_QC095020_1921,E54_Dimension,22301.15,length
BORDER_DIM_NB028009_QC095026_1921,E54_Dimension,66.16,length
BORDER_DIM_NB028009_NB028010_1921,E54_Dimension,15985.93,length
BORDER_DIM_NB028010_QC095026_1921,E54_Dimension,13262.1,length
BORDER_DIM_NB028010_QC095999_1921,E54_Dimension,25230.47,length
BORDER_DIM_NB028010_NB031007_1921,E54_Dimension,16585.17,length
BORDER_DIM_NB028010_QC084999_1921,E54_Dimension,11256.18,length
BORDER_DIM_NB028011_NB028014_1921,E54_Dimension,7584.27,length
BORDER_DIM_NB028011_NB034002_1921,E54_Dimension,24362.26,length
BORDER_DIM_NB029001_NB029010_1921,E54_Dimension,28795.12,length
BORDER_DIM_NB029001_NB029014_1921,E54_Dimension,36023.24,length
BORDER_DIM_NB029002_NB029003_1921,E54_Dimension,55759.4,length
BORDER_DIM_NB029002_NB029013_1921,E54_Dimension,19666.92,length
BORDER_DIM_NB029002_NB029012_1921,E54_Dimension,11396.5,length
BORDER_DIM_NB029002_NB029009_1921,E54_Dimension,15319.38,length
BORDER_DIM_NB029002_NB029005_1921,E54_Dimension,2074.31,length
BORDER_DIM_NB029003_NB033005_1921,E54_Dimension,10529.88,length
BORDER_DIM_NB029003_NB033006_1921,E54_Dimension,9935.58,length
BORDER_DIM_NB029003_NB030004_1921,E54_Dimension,193.69,length
BORDER_DIM_NB029003_NB029008_1921,E54_Dimension,49737.63,length
BORDER_DIM_NB029003_NB029013_1921,E54_Dimension,22966.58,length
BORDER_DIM_NB029004_NB029009_1921,E54_Dimension,5139.27,length
BORDER_DIM_NB029004_NB029006_1921,E54_Dimension,14264.12,length
BORDER_DIM_NB029004_NB029015_1921,E54_Dimension,5999.86,length
BORDER_DIM_NB029005_NB029013_1921,E54_Dimension,22365.46,length
BORDER_DIM_NB029005_NB029009_1921,E54_Dimension,16933.59,length
BORDER_DIM_NB029006_NB029012_1921,E54_Dimension,22614.54,length
BORDER_DIM_NB029006_NB029009_1921,E54_Dimension,12744.23,length
BORDER_DIM_NB029006_NB029007_1921,E54_Dimension,15388.44,length
BORDER_DIM_NB029008_NB033005_1921,E54_Dimension,4748.46,length
BORDER_DIM_NB029008_NB036014_1921,E54_Dimension,58133.43,length
BORDER_DIM_NB029008_NB029013_1921,E54_Dimension,26491.45,length
BORDER_DIM_NB029009_NB029012_1921,E54_Dimension,26193.51,length
BORDER_DIM_NB029010_NB029016_1921,E54_Dimension,5999.94,length
BORDER_DIM_NB029010_NB029011_1921,E54_Dimension,29974.45,length
BORDER_DIM_NB029010_NB029014_1921,E54_Dimension,3474.02,length
BORDER_DIM_NB029011_NB034005_1921,E54_Dimension,5827.42,length
BORDER_DIM_NB029011_NB029013_1921,E54_Dimension,95109.7,length
BORDER_DIM_NB029011_NB029014_1921,E54_Dimension,55061.05,length
BORDER_DIM_NB029011_NB031006_1921,E54_Dimension,13723.67,length
BORDER_DIM_NB029011_NB031001_1921,E54_Dimension,17843.91,length
BORDER_DIM_NB029011_NB031002_1921,E54_Dimension,22657.05,length
BORDER_DIM_NB029011_NB031003_1921,E54_Dimension,12358.12,length
BORDER_DIM_NB029013_NB036014_1921,E54_Dimension,23429.66,length
BORDER_DIM_NB029013_NB034003_1921,E54_Dimension,3129.28,length
BORDER_DIM_NB029013_NB034005_1921,E54_Dimension,45054.64,length
BORDER_DIM_NB029013_NB029014_1921,E54_Dimension,33942.03,length
BORDER_DIM_NB030001_NB035005_1921,E54_Dimension,18705.92,length
BORDER_DIM_NB030001_NB030007_1921,E54_Dimension,21316.93,length
BORDER_DIM_NB030001_NB030009_1921,E54_Dimension,31746.55,length
BORDER_DIM_NB030002_NB030010_1921,E54_Dimension,16463.57,length
BORDER_DIM_NB030002_NB030003_1921,E54_Dimension,11653.68,length
BORDER_DIM_NB030002_NB030007_1921,E54_Dimension,9889.39,length
BORDER_DIM_NB030002_NB030009_1921,E54_Dimension,11118.95,length
BORDER_DIM_NB030003_NB033007_1921,E54_Dimension,23204.32,length
BORDER_DIM_NB030003_NB030009_1921,E54_Dimension,24859.09,length
BORDER_DIM_NB030003_NB033006_1921,E54_Dimension,10705.36,length
BORDER_DIM_NB030003_NB030004_1921,E54_Dimension,10639.77,length
BORDER_DIM_NB030004_NB030009_1921,E54_Dimension,39492.19,length
BORDER_DIM_NB030004_NB033006_1921,E54_Dimension,28137.23,length
BORDER_DIM_NB030005_NB030008_1921,E54_Dimension,12625.01,length
BORDER_DIM_NB030005_NB033001_1921,E54_Dimension,1851.46,length
BORDER_DIM_NB030005_NB030006_1921,E54_Dimension,16856.15,length
BORDER_DIM_NB030005_NB033002_1921,E54_Dimension,19982.52,length
BORDER_DIM_NB030005_NB030011_1921,E54_Dimension,5999.91,length
BORDER_DIM_NB030006_NB030008_1921,E54_Dimension,18359.34,length
BORDER_DIM_NB030007_NB030010_1921,E54_Dimension,13005.7,length
BORDER_DIM_NB030007_NB030009_1921,E54_Dimension,23885.28,length
BORDER_DIM_NB030008_NB033001_1921,E54_Dimension,25534.08,length
BORDER_DIM_NB031001_NB031006_1921,E54_Dimension,66277.82,length
BORDER_DIM_NB031001_NB031002_1921,E54_Dimension,54118.56,length
BORDER_DIM_NB031001_QC044021_1921,E54_Dimension,2221.19,length
BORDER_DIM_NB031001_NB031008_1921,E54_Dimension,5999.92,length
BORDER_DIM_NB031001_NB031004_1921,E54_Dimension,7860.27,length
BORDER_DIM_NB031002_NB031003_1921,E54_Dimension,52785.05,length
BORDER_DIM_NB031002_NB031004_1921,E54_Dimension,22884.58,length
BORDER_DIM_NB031003_NB031005_1921,E54_Dimension,45108.99,length
BORDER_DIM_NB031003_NB031004_1921,E54_Dimension,5060.64,length
BORDER_DIM_NB031004_NB031009_1921,E54_Dimension,5999.9,length
BORDER_DIM_NB031006_NB034005_1921,E54_Dimension,10275.06,length
BORDER_DIM_NB031006_NB031007_1921,E54_Dimension,53849.34,length
BORDER_DIM_NB031006_QC044009_1921,E54_Dimension,17766.22,length
BORDER_DIM_NB031006_QC044021_1921,E54_Dimension,20694.26,length
BORDER_DIM_NB031006_QC044999_1921,E54_Dimension,19308.44,length
BORDER_DIM_NB031007_NB034002_1921,E54_Dimension,40569.02,length
BORDER_DIM_NB031007_NB034005_1921,E54_Dimension,3029.39,length
BORDER_DIM_NB031007_QC084999_1921,E54_Dimension,82122.75,length
BORDER_DIM_NB031007_QC044999_1921,E54_Dimension,40300.49,length
BORDER_DIM_NB032001_NB032002_1921,E54_Dimension,15774.3,length
BORDER_DIM_NB032001_NB032005_1921,E54_Dimension,1620.43,length
BORDER_DIM_NB032003_NB032004_1921,E54_Dimension,17383.87,length
BORDER_DIM_NB032004_NB032005_1921,E54_Dimension,7716.25,length
BORDER_DIM_NB033001_NB033003_1921,E54_Dimension,39362.43,length
BORDER_DIM_NB033001_NB033002_1921,E54_Dimension,14208.74,length
BORDER_DIM_NB033002_NB033004_1921,E54_Dimension,876.59,length
BORDER_DIM_NB033002_NB033008_1921,E54_Dimension,2178.02,length
BORDER_DIM_NB033003_NB036008_1921,E54_Dimension,36272.75,length
BORDER_DIM_NB033003_NB033004_1921,E54_Dimension,11805.02,length
BORDER_DIM_NB033004_NB036008_1921,E54_Dimension,12061.0,length
BORDER_DIM_NB033004_NB036016_1921,E54_Dimension,5598.0,length
BORDER_DIM_NB033005_NB033007_1921,E54_Dimension,35744.59,length
BORDER_DIM_NB033005_NB036012_1921,E54_Dimension,57727.15,length
BORDER_DIM_NB033005_NB033006_1921,E54_Dimension,27162.78,length
BORDER_DIM_NB033005_NB036014_1921,E54_Dimension,5490.38,length
BORDER_DIM_NB033006_NB033007_1921,E54_Dimension,13334.43,length
BORDER_DIM_NB034001_NB034009_1921,E54_Dimension,2244.67,length
BORDER_DIM_NB034001_NB034006_1921,E54_Dimension,13181.69,length
BORDER_DIM_NB034001_NB034010_1921,E54_Dimension,8569.36,length
BORDER_DIM_NB034001_NB034007_1921,E54_Dimension,5337.72,length
BORDER_DIM_NB034001_NB034004_1921,E54_Dimension,7810.85,length
BORDER_DIM_NB034002_NB034006_1921,E54_Dimension,8442.53,length
BORDER_DIM_NB034002_NB034007_1921,E54_Dimension,6564.68,length
BORDER_DIM_NB034002_NB034004_1921,E54_Dimension,31082.44,length
BORDER_DIM_NB034002_NB034003_1921,E54_Dimension,16845.09,length
BORDER_DIM_NB034002_NB034005_1921,E54_Dimension,56882.27,length
BORDER_DIM_NB034003_NB034006_1921,E54_Dimension,18481.14,length
BORDER_DIM_NB034003_NB036014_1921,E54_Dimension,19610.74,length
BORDER_DIM_NB034003_NB034005_1921,E54_Dimension,58142.17,length
BORDER_DIM_NB034004_NB034007_1921,E54_Dimension,307.92,length
BORDER_DIM_NB034004_NB034008_1921,E54_Dimension,5999.91,length
BORDER_DIM_NB034006_NB034009_1921,E54_Dimension,5308.8,length
BORDER_DIM_NB034006_NB034010_1921,E54_Dimension,2801.08,length
BORDER_DIM_NB034006_NB034007_1921,E54_Dimension,12759.35,length
BORDER_DIM_NB034007_NB034010_1921,E54_Dimension,238.6,length
BORDER_DIM_NB034009_NB034010_1921,E54_Dimension,1615.83,length
BORDER_DIM_NB035001_NB035004_1921,E54_Dimension,5220.05,length
BORDER_DIM_NB035001_NB035007_1921,E54_Dimension,14279.07,length
BORDER_DIM_NB035001_NB035006_1921,E54_Dimension,11000.09,length
BORDER_DIM_NB035002_NB035008_1921,E54_Dimension,3867.81,length
BORDER_DIM_NB035002_NB035004_1921,E54_Dimension,30140.23,length
BORDER_DIM_NB035002_NB035003_1921,E54_Dimension,12233.98,length
BORDER_DIM_NB035002_NB035006_1921,E54_Dimension,4616.5,length
BORDER_DIM_NB035003_NB035005_1921,E54_Dimension,27499.04,length
BORDER_DIM_NB035003_NB035009_1921,E54_Dimension,5999.91,length
BORDER_DIM_NB035003_NB035012_1921,E54_Dimension,5990.62,length
BORDER_DIM_NB035003_NB035006_1921,E54_Dimension,27176.04,length
BORDER_DIM_NB035004_NB035010_1921,E54_Dimension,5999.94,length
BORDER_DIM_NB035004_NB035007_1921,E54_Dimension,34272.91,length
BORDER_DIM_NB035004_NB035006_1921,E54_Dimension,19855.52,length
BORDER_DIM_NB035006_NB035011_1921,E54_Dimension,5999.86,length
BORDER_DIM_NB035007_NS008008_1921,E54_Dimension,20966.25,length
BORDER_DIM_NB035007_NS008024_1921,E54_Dimension,14057.3,length
BORDER_DIM_NB035007_NB035013_1921,E54_Dimension,5990.59,length
BORDER_DIM_NB036001_NB036011_1921,E54_Dimension,29221.89,length
BORDER_DIM_NB036001_NB036013_1921,E54_Dimension,18343.15,length
