presence_id:ID,csd_tcpuid,census_year:int,area_sqm:float,:LABEL
ON062008_1891,ON062008,1891,2442693.74,E93_Presence
ON045002_1891,ON045002,1891,266736514.47,E93_Presence
ON045003_1891,ON045003,1891,393911342.38,E93_Presence
ON045005_1891,ON045005,1891,516491422.83,E93_Presence
ON045006_1891,ON045006,1891,320281390.6,E93_Presence
ON064002_1891,ON064002,1891,38016504.14,E93_Presence
ON045008_1891,ON045008,1891,319673885.62,E93_Presence
ON064003_1891,ON064003,1891,249206312.94,E93_Presence
ON045009_1891,ON045009,1891,257369494.93,E93_Presence
ON045011_1891,ON045011,1891,301463046.06,E93_Presence
ON045012_1891,ON045012,1891,207191136.38,E93_Presence
ON045013_1891,ON045013,1891,591859010.76,E93_Presence
ON064004_1891,ON064004,1891,225979246.59,E93_Presence
ON045014_1891,ON045014,1891,238629514.29,E93_Presence
ON064006_1891,ON064006,1891,305416898.86,E93_Presence
ON064007_1891,ON064007,1891,144571943.15,E93_Presence
ON064001_1891,ON064001,1891,314965.49,E93_Presence
ON065002_1891,ON065002,1891,371615192.22,E93_Presence
ON065003_1891,ON065003,1891,348894958.96,E93_Presence
ON065004_1891,ON065004,1891,256353648.17,E93_Presence
ON065006_1891,ON065006,1891,318906806.16,E93_Presence
ON065001_1891,ON065001,1891,2598745.24,E93_Presence
ON065005_1891,ON065005,1891,2597806.67,E93_Presence
ON066001_1891,ON066001,1891,329367082.89,E93_Presence
ON066003_1891,ON066003,1891,323407935.2,E93_Presence
ON085002_1891,ON085002,1891,94823977.58,E93_Presence
ON085005_1891,ON085005,1891,273405714.05,E93_Presence
ON085007_1891,ON085007,1891,235915171.48,E93_Presence
ON066004_1891,ON066004,1891,2595541.69,E93_Presence
ON066002_1891,ON066002,1891,2597182.67,E93_Presence
ON085003_1891,ON085003,1891,2598823.31,E93_Presence
ON085004_1891,ON085004,1891,2600086.15,E93_Presence
ON069001_1891,ON069001,1891,300705794.77,E93_Presence
ON067001_1891,ON067001,1891,297024290.04,E93_Presence
ON067003_1891,ON067003,1891,319239794.52,E93_Presence
ON068002_1891,ON068002,1891,304040663.07,E93_Presence
ON067006_1891,ON067006,1891,308707979.2,E93_Presence
ON067007_1891,ON067007,1891,353774669.45,E93_Presence
ON067010_1891,ON067010,1891,2598020.53,E93_Presence
ON067002_1891,ON067002,1891,2597996.04,E93_Presence
ON069006_1891,ON069006,1891,2551036.41,E93_Presence
ON068001_1891,ON068001,1891,177793067.56,E93_Presence
ON068003_1891,ON068003,1891,417468475.1,E93_Presence
ON067008_1891,ON067008,1891,286257368.56,E93_Presence
ON068005_1891,ON068005,1891,47848060.46,E93_Presence
ON068007_1891,ON068007,1891,325493858.52,E93_Presence
ON067004_1891,ON067004,1891,2597983.32,E93_Presence
ON068004_1891,ON068004,1891,20369359.24,E93_Presence
ON069002_1891,ON069002,1891,330008920.5,E93_Presence
ON069004_1891,ON069004,1891,326242445.66,E93_Presence
ON069005_1891,ON069005,1891,299459168.32,E93_Presence
ON069007_1891,ON069007,1891,293511363.59,E93_Presence
ON068006_1891,ON068006,1891,321225035.98,E93_Presence
ON069003_1891,ON069003,1891,2597995.98,E93_Presence
ON094001_1891,ON094001,1891,97291540.98,E93_Presence
ON070002_1891,ON070002,1891,155558595.5,E93_Presence
ON094002_1891,ON094002,1891,62336206.39,E93_Presence
ON094003_1891,ON094003,1891,74699198.94,E93_Presence
ON094006_1891,ON094006,1891,128286398.52,E93_Presence
ON070005_1891,ON070005,1891,186216586.64,E93_Presence
ON070006_1891,ON070006,1891,114400104.52,E93_Presence
ON070007_1891,ON070007,1891,187472409.45,E93_Presence
ON094008_1891,ON094008,1891,27519261.63,E93_Presence
ON070008_1891,ON070008,1891,302792079.39,E93_Presence
ON094004_1891,ON094004,1891,2597973.67,E93_Presence
ON070001_1891,ON070001,1891,2597991.58,E93_Presence
ON070003_1891,ON070003,1891,2597999.11,E93_Presence
ON070004_1891,ON070004,1891,2597999.65,E93_Presence
ON071003_1891,ON071003,1891,298195138.07,E93_Presence
ON071006_1891,ON071006,1891,199578071.29,E93_Presence
ON071007_1891,ON071007,1891,209015604.49,E93_Presence
ON071009_1891,ON071009,1891,302741559.0,E93_Presence
ON071005_1891,ON071005,1891,2597995.81,E93_Presence
ON071008_1891,ON071008,1891,2597996.34,E93_Presence
ON071001_1891,ON071001,1891,2597996.09,E93_Presence
ON071002_1891,ON071002,1891,2597996.14,E93_Presence
ON071004_1891,ON071004,1891,2597996.06,E93_Presence
