wikidata_qid,wikidata_label,place_id,place_type,name,province,year_min,year_max,num_years,num_chains_for_qid
Q142481,Danville,PLACE_QC083014,CSD,"Danville, VL",QC,1871,1921,5,2
Q142481,Danville,PLACE_QC182003_1891,CSD,Danville,QC,1891,1891,1,2
Q142490,Neuville,PLACE_QC041005,CSD,Pointe-aux-Trembles,QC,1851,1861,2,5
Q142490,Neuville,PLACE_QC143011_1871,CSD,Neuville,QC,1871,1871,1,5
Q142490,Neuville,PLACE_QC181007,CSD,Pointe aux Trembles,QC,1871,1901,4,5
Q142490,Neuville,PLACE_QC080026,CSD,"Neuville, VL",QC,1911,1921,2,5
Q142490,Neuville,PLACE_QC080006_1921,CSD,Neuville (Pointe aux Trembles),QC,1921,1921,1,5
Q142500,Sainte-Marguerite-du-Lac-Masson,PLACE_QC094016,CSD,Ste. Marguerite,QC,1881,1881,1,2
Q142500,Sainte-Marguerite-du-Lac-Masson,PLACE_QC096013,CSD,Ste. Marguerite,QC,1891,1921,4,2
Q142516,Princeville,PLACE_QC153037,CSD,Stanfold,QC,1861,1901,5,4
Q142516,Princeville,PLACE_QC038024,CSD,"Princeville, Village",QC,1871,1921,6,4
Q142516,Princeville,PLACE_QC158028_1911,CSD,Stanfold,QC,1911,1911,1,4
Q142516,Princeville,PLACE_QC038006_1921,CSD,Princeville (Stanfold),QC,1921,1921,1,4
Q142521,Sutton,PLACE_QC063001_1851,CSD,Sutton,QC,1851,1851,1,4
Q142521,Sutton,PLACE_QC144006,CSD,Sutton,QC,1861,1891,4,4
Q142521,Sutton,PLACE_QC045006_1901,CSD,Sutton,QC,1901,1921,3,4
Q142521,Sutton,PLACE_QC045011_1901,CSD,"Sutton, VL",QC,1901,1921,3,4
Q1427108,Dundurn,PLACE_NT204017,CSD,Dundurn,NT,1901,1901,1,3
Q1427108,Dundurn,PLACE_SK216017,CSD,Dundurn vl (T33 R4 MW3),SK,1911,1911,1,3
Q1427108,Dundurn,PLACE_SK181036_1921,CSD,"Dundurn, VL",SK,1921,1921,1,3
Q1427885,Davidson,PLACE_SK209003,CSD,Davidson t-v,SK,1911,1911,1,2
Q1427885,Davidson,PLACE_SK181021_1921,CSD,"Davidson, T-V",SK,1921,1921,1,2
Q1427938,Duck Lake,PLACE_NT205019,CSD,Duck Lake,NT,1901,1901,1,3
Q1427938,Duck Lake,PLACE_SK212022,CSD,Duck Lake vl (T44 R2 MW3),SK,1911,1911,1,3
Q1427938,Duck Lake,PLACE_SK185027_1921,CSD,"Duck Lake, T-V",SK,1921,1921,1,3
