identifier_id:ID,:LABEL,value,identifier_type,year:int
TCPUID_ON181003_1881,E42_Identifier,ON181003,TCP_UID,1881
TCPUID_ON063002_1891,E42_Identifier,ON063002,TCP_UID,1891
TCPUID_ON060002_1901,E42_Identifier,ON060002,TCP_UID,1901
TCPUID_ON068001_1911,E42_Identifier,ON068001,TCP_UID,1911
TCPUID_ON110001_1921,E42_Identifier,ON110001,TCP_UID,1921
TCPUID_ON008006_1851,E42_Identifier,ON008006,TCP_UID,1851
TCPUID_ON071006_1861,E42_Identifier,ON071006,TCP_UID,1861
TCPUID_ON001001_1871,E42_Identifier,ON001001,TCP_UID,1871
TCPUID_ON008007_1851,E42_Identifier,ON008007,TCP_UID,1851
TCPUID_ON071007_1861,E42_Identifier,ON071007,TCP_UID,1861
TCPUID_ON001006_1871,E42_Identifier,ON001006,TCP_UID,1871
TCPUID_ON009005_1851,E42_Identifier,ON009005,TCP_UID,1851
TCPUID_ON072002_1861,E42_Identifier,ON072002,TCP_UID,1861
TCPUID_ON064011_1871,E42_Identifier,ON064011,TCP_UID,1871
TCPUID_ON118010_1881,E42_Identifier,ON118010,TCP_UID,1881
TCPUID_ON045003_1891,E42_Identifier,ON045003,TCP_UID,1891
TCPUID_ON043003_1901,E42_Identifier,ON043003,TCP_UID,1901
TCPUID_ON069002_1911,E42_Identifier,ON069002,TCP_UID,1911
TCPUID_ON111002_1921,E42_Identifier,ON111002,TCP_UID,1921
TCPUID_ON009006_1851,E42_Identifier,ON009006,TCP_UID,1851
TCPUID_ON072006_1861,E42_Identifier,ON072006,TCP_UID,1861
TCPUID_ON064010_1871,E42_Identifier,ON064010,TCP_UID,1871
TCPUID_ON118001_1881,E42_Identifier,ON118001,TCP_UID,1881
TCPUID_ON045009_1891,E42_Identifier,ON045009,TCP_UID,1891
TCPUID_ON043009_1901,E42_Identifier,ON043009,TCP_UID,1901
TCPUID_ON069010_1911,E42_Identifier,ON069010,TCP_UID,1911
TCPUID_ON111009_1921,E42_Identifier,ON111009,TCP_UID,1921
TCPUID_ON009008_1851,E42_Identifier,ON009008,TCP_UID,1851
TCPUID_ON072016_1861,E42_Identifier,ON072016,TCP_UID,1861
TCPUID_ON072011_1861,E42_Identifier,ON072011,TCP_UID,1861
TCPUID_ON009007_1851,E42_Identifier,ON009007,TCP_UID,1851
TCPUID_ON072012_1861,E42_Identifier,ON072012,TCP_UID,1861
TCPUID_ON064009_1871,E42_Identifier,ON064009,TCP_UID,1871
TCPUID_ON118002_1881,E42_Identifier,ON118002,TCP_UID,1881
TCPUID_ON045014_1891,E42_Identifier,ON045014,TCP_UID,1891
TCPUID_ON043014_1901,E42_Identifier,ON043014,TCP_UID,1901
TCPUID_ON069015_1911,E42_Identifier,ON069015,TCP_UID,1911
TCPUID_ON111014_1921,E42_Identifier,ON111014,TCP_UID,1921
TCPUID_ON009002_1851,E42_Identifier,ON009002,TCP_UID,1851
TCPUID_ON072014_1861,E42_Identifier,ON072014,TCP_UID,1861
TCPUID_ON065006_1871,E42_Identifier,ON065006,TCP_UID,1871
TCPUID_ON115007_1881,E42_Identifier,ON115007,TCP_UID,1881
TCPUID_ON064006_1891,E42_Identifier,ON064006,TCP_UID,1891
TCPUID_ON061006_1901,E42_Identifier,ON061006,TCP_UID,1901
TCPUID_ON069016_1911,E42_Identifier,ON069016,TCP_UID,1911
TCPUID_ON010004_1851,E42_Identifier,ON010004,TCP_UID,1851
TCPUID_ON073002_1861,E42_Identifier,ON073002,TCP_UID,1861
TCPUID_ON074003_1871,E42_Identifier,ON074003,TCP_UID,1871
TCPUID_ON099003_1881,E42_Identifier,ON099003,TCP_UID,1881
TCPUID_ON065003_1891,E42_Identifier,ON065003,TCP_UID,1891
TCPUID_ON010001_1851,E42_Identifier,ON010001,TCP_UID,1851
TCPUID_ON073003_1861,E42_Identifier,ON073003,TCP_UID,1861
TCPUID_ON074002_1871,E42_Identifier,ON074002,TCP_UID,1871
TCPUID_ON099002_1881,E42_Identifier,ON099002,TCP_UID,1881
TCPUID_ON010003_1851,E42_Identifier,ON010003,TCP_UID,1851
TCPUID_ON073004_1861,E42_Identifier,ON073004,TCP_UID,1861
TCPUID_ON074004_1871,E42_Identifier,ON074004,TCP_UID,1871
TCPUID_ON099004_1881,E42_Identifier,ON099004,TCP_UID,1881
TCPUID_ON012002_1851,E42_Identifier,ON012002,TCP_UID,1851
TCPUID_ON074002_1861,E42_Identifier,ON074002,TCP_UID,1861
TCPUID_ON069003_1871,E42_Identifier,ON069003,TCP_UID,1871
TCPUID_ON106003_1881,E42_Identifier,ON106003,TCP_UID,1881
TCPUID_ON012004_1851,E42_Identifier,ON012004,TCP_UID,1851
TCPUID_ON074006_1861,E42_Identifier,ON074006,TCP_UID,1861
TCPUID_ON070005_1871,E42_Identifier,ON070005,TCP_UID,1871
TCPUID_ON107005_1881,E42_Identifier,ON107005,TCP_UID,1881
TCPUID_ON085005_1891,E42_Identifier,ON085005,TCP_UID,1891
TCPUID_ON082005_1901,E42_Identifier,ON082005,TCP_UID,1901
TCPUID_ON071004_1911,E42_Identifier,ON071004,TCP_UID,1911
TCPUID_ON113004_1921,E42_Identifier,ON113004,TCP_UID,1921
TCPUID_ON074004_1861,E42_Identifier,ON074004,TCP_UID,1861
TCPUID_ON070006_1871,E42_Identifier,ON070006,TCP_UID,1871
TCPUID_ON107006_1881,E42_Identifier,ON107006,TCP_UID,1881
TCPUID_ON011001_1851,E42_Identifier,ON011001,TCP_UID,1851
TCPUID_ON075001_1861,E42_Identifier,ON075001,TCP_UID,1861
TCPUID_ON011003_1851,E42_Identifier,ON011003,TCP_UID,1851
TCPUID_ON075003_1861,E42_Identifier,ON075003,TCP_UID,1861
TCPUID_ON037004_1871,E42_Identifier,ON037004,TCP_UID,1871
TCPUID_ON155002_1881,E42_Identifier,ON155002,TCP_UID,1881
TCPUID_ON011006_1851,E42_Identifier,ON011006,TCP_UID,1851
TCPUID_ON075006_1861,E42_Identifier,ON075006,TCP_UID,1861
TCPUID_ON037003_1871,E42_Identifier,ON037003,TCP_UID,1871
TCPUID_ON155003_1881,E42_Identifier,ON155003,TCP_UID,1881
TCPUID_ON067003_1891,E42_Identifier,ON067003,TCP_UID,1891
TCPUID_ON064003_1901,E42_Identifier,ON064003,TCP_UID,1901
TCPUID_ON072003_1911,E42_Identifier,ON072003,TCP_UID,1911
TCPUID_ON114006_1921,E42_Identifier,ON114006,TCP_UID,1921
TCPUID_ON011008_1851,E42_Identifier,ON011008,TCP_UID,1851
TCPUID_ON075008_1861,E42_Identifier,ON075008,TCP_UID,1861
TCPUID_ON037002_1871,E42_Identifier,ON037002,TCP_UID,1871
TCPUID_ON156003_1881,E42_Identifier,ON156003,TCP_UID,1881
TCPUID_ON068002_1891,E42_Identifier,ON068002,TCP_UID,1891
TCPUID_ON065002_1901,E42_Identifier,ON065002,TCP_UID,1901
TCPUID_ON072004_1911,E42_Identifier,ON072004,TCP_UID,1911
TCPUID_ON114008_1921,E42_Identifier,ON114008,TCP_UID,1921
TCPUID_ON011011_1851,E42_Identifier,ON011011,TCP_UID,1851
TCPUID_ON075012_1861,E42_Identifier,ON075012,TCP_UID,1861
TCPUID_ON011012_1851,E42_Identifier,ON011012,TCP_UID,1851
TCPUID_ON075017_1861,E42_Identifier,ON075017,TCP_UID,1861
TCPUID_ON037008_1871,E42_Identifier,ON037008,TCP_UID,1871
TCPUID_ON011005_1851,E42_Identifier,ON011005,TCP_UID,1851
TCPUID_ON075005_1861,E42_Identifier,ON075005,TCP_UID,1861
TCPUID_ON036002_1871,E42_Identifier,ON036002,TCP_UID,1871
TCPUID_ON154005_1881,E42_Identifier,ON154005,TCP_UID,1881
TCPUID_ON069004_1891,E42_Identifier,ON069004,TCP_UID,1891
TCPUID_ON066005_1901,E42_Identifier,ON066005,TCP_UID,1901
TCPUID_ON074002_1911,E42_Identifier,ON074002,TCP_UID,1911
TCPUID_ON114005_1921,E42_Identifier,ON114005,TCP_UID,1921
TCPUID_ON011007_1851,E42_Identifier,ON011007,TCP_UID,1851
TCPUID_ON075007_1861,E42_Identifier,ON075007,TCP_UID,1861
TCPUID_ON011010_1851,E42_Identifier,ON011010,TCP_UID,1851
TCPUID_ON075011_1861,E42_Identifier,ON075011,TCP_UID,1861
TCPUID_ON036001_1871,E42_Identifier,ON036001,TCP_UID,1871
TCPUID_ON154003_1881,E42_Identifier,ON154003,TCP_UID,1881
TCPUID_ON069007_1891,E42_Identifier,ON069007,TCP_UID,1891
TCPUID_ON066008_1901,E42_Identifier,ON066008,TCP_UID,1901
TCPUID_ON013004_1851,E42_Identifier,ON013004,TCP_UID,1851
TCPUID_ON076004_1861,E42_Identifier,ON076004,TCP_UID,1861
TCPUID_ON017009_1871,E42_Identifier,ON017009,TCP_UID,1871
TCPUID_ON013006_1851,E42_Identifier,ON013006,TCP_UID,1851
TCPUID_ON076007_1861,E42_Identifier,ON076007,TCP_UID,1861
TCPUID_ON017006_1871,E42_Identifier,ON017006,TCP_UID,1871
TCPUID_ON146006_1881,E42_Identifier,ON146006,TCP_UID,1881
TCPUID_ON070005_1891,E42_Identifier,ON070005,TCP_UID,1891
TCPUID_ON067010_1901,E42_Identifier,ON067010,TCP_UID,1901
TCPUID_ON075006_1911,E42_Identifier,ON075006,TCP_UID,1911
TCPUID_ON013007_1851,E42_Identifier,ON013007,TCP_UID,1851
TCPUID_ON076008_1861,E42_Identifier,ON076008,TCP_UID,1861
TCPUID_ON017002_1871,E42_Identifier,ON017002,TCP_UID,1871
TCPUID_ON146002_1881,E42_Identifier,ON146002,TCP_UID,1881
TCPUID_ON070006_1891,E42_Identifier,ON070006,TCP_UID,1891
TCPUID_ON067011_1901,E42_Identifier,ON067011,TCP_UID,1901
TCPUID_ON075007_1911,E42_Identifier,ON075007,TCP_UID,1911
TCPUID_ON115007_1921,E42_Identifier,ON115007,TCP_UID,1921
TCPUID_ON013010_1851,E42_Identifier,ON013010,TCP_UID,1851
TCPUID_ON076009_1861,E42_Identifier,ON076009,TCP_UID,1861
TCPUID_ON013009_1851,E42_Identifier,ON013009,TCP_UID,1851
TCPUID_ON076010_1861,E42_Identifier,ON076010,TCP_UID,1861
TCPUID_ON017001_1871,E42_Identifier,ON017001,TCP_UID,1871
TCPUID_ON146001_1881,E42_Identifier,ON146001,TCP_UID,1881
TCPUID_ON014003_1851,E42_Identifier,ON014003,TCP_UID,1851
TCPUID_ON077004_1861,E42_Identifier,ON077004,TCP_UID,1861
TCPUID_ON038005_1871,E42_Identifier,ON038005,TCP_UID,1871
TCPUID_ON150006_1881,E42_Identifier,ON150006,TCP_UID,1881
TCPUID_ON071006_1891,E42_Identifier,ON071006,TCP_UID,1891
TCPUID_ON068006_1901,E42_Identifier,ON068006,TCP_UID,1901
TCPUID_ON076002_1911,E42_Identifier,ON076002,TCP_UID,1911
TCPUID_ON117002_1921,E42_Identifier,ON117002,TCP_UID,1921
TCPUID_ON014004_1851,E42_Identifier,ON014004,TCP_UID,1851
TCPUID_ON077005_1861,E42_Identifier,ON077005,TCP_UID,1861
TCPUID_ON038001_1871,E42_Identifier,ON038001,TCP_UID,1871
TCPUID_ON014002_1851,E42_Identifier,ON014002,TCP_UID,1851
TCPUID_ON077006_1861,E42_Identifier,ON077006,TCP_UID,1861
TCPUID_ON038003_1871,E42_Identifier,ON038003,TCP_UID,1871
TCPUID_ON150004_1881,E42_Identifier,ON150004,TCP_UID,1881
TCPUID_ON077003_1861,E42_Identifier,ON077003,TCP_UID,1861
TCPUID_ON038004_1871,E42_Identifier,ON038004,TCP_UID,1871
TCPUID_ON150005_1881,E42_Identifier,ON150005,TCP_UID,1881
TCPUID_ON071005_1891,E42_Identifier,ON071005,TCP_UID,1891
TCPUID_ON068005_1901,E42_Identifier,ON068005,TCP_UID,1901
TCPUID_ON015003_1851,E42_Identifier,ON015003,TCP_UID,1851
TCPUID_ON078006_1861,E42_Identifier,ON078006,TCP_UID,1861
