appellation_id:ID,:LABEL,name,type,tcpuid,notes,year
APP_QC146999_CANONICAL,E41_Appellation,NO DATA,canonical,QC146999,Canonical name for QC146999 (OCR corrected),
APP_QC147999_CANONICAL,E41_Appellation,NO DATA,canonical,QC147999,Canonical name for QC147999 (OCR corrected),
APP_QC150002_CANONICAL,E41_Appellation,Bury,canonical,QC150002,Canonical name for QC150002 (OCR corrected),
APP_QC150003_CANONICAL,E41_Appellation,Chesham,canonical,QC150003,Canonical name for QC150003 (OCR corrected),
APP_QC151012_CANONICAL,E41_Appellation,Ste. Scholastique,canonical,QC151012,Canonical name for QC151012 (OCR corrected),
APP_QC154010_CANONICAL,E41_Appellation,Grande Vallée des Monts,canonical,QC154010,Canonical name for QC154010 (OCR corrected),
APP_QC154999_CANONICAL,E41_Appellation,NO DATA,canonical,QC154999,Canonical name for QC154999 (OCR corrected),
APP_QC158999_CANONICAL,E41_Appellation,NO DATA,canonical,QC158999,Canonical name for QC158999 (OCR corrected),
APP_QC159999_CANONICAL,E41_Appellation,NO DATA,canonical,QC159999,Canonical name for QC159999 (OCR corrected),
APP_QC172007_CANONICAL,E41_Appellation,St. François,canonical,QC172007,Canonical name for QC172007 (OCR corrected),
APP_QC172999_CANONICAL,E41_Appellation,NO DATA,canonical,QC172999,Canonical name for QC172999 (OCR corrected),
APP_QC173999_CANONICAL,E41_Appellation,NO DATA,canonical,QC173999,Canonical name for QC173999 (OCR corrected),
APP_QC178010_CANONICAL,E41_Appellation,St. Alban,canonical,QC178010,Canonical name for QC178010 (OCR corrected),
APP_QC178010_1911_VARIANT,E41_Appellation,St. Laurent,variant,QC178010,"OCR variant of ""St. Alban""",1911.0
APP_QC178999_CANONICAL,E41_Appellation,NO DATA,canonical,QC178999,Canonical name for QC178999 (OCR corrected),
APP_QC184006_CANONICAL,E41_Appellation,Ste. Angèle,canonical,QC184006,Canonical name for QC184006 (OCR corrected),
APP_QC184006_1911_VARIANT,E41_Appellation,Ste. Angèle de Laval,variant,QC184006,"OCR variant of ""Ste. Angèle""",1911.0
APP_QC190005_CANONICAL,E41_Appellation,St. Clet,canonical,QC190005,Canonical name for QC190005 (OCR corrected),
APP_QC190005_1901_VARIANT,E41_Appellation,St. Charles,variant,QC190005,"OCR variant of ""St. Clet""",1901.0
